pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_25kg,prodPcat_米面类
2022-07-20,2.0,201,2,7,-0.3131070409358267,-0.9497178427914317,2.002,2.0140000000000002,2.02,1.62,2.0163333333333333,True,True
2022-07-21,1.9945454545454546,202,3,7,-0.3294084822245302,-0.9441875088341994,2.0,2.012,2.02,1.62,2.0154848484848484,True,True
2022-07-22,1.989090909090909,203,4,7,-0.3456123126707333,-0.9383773917408642,1.9945454545454546,2.01,2.02,1.62,2.0144545454545453,True,True
2022-07-23,1.9836363636363636,204,5,7,-0.3617137307297674,-0.9322892131745134,1.989090909090909,2.008,2.02,1.62,2.0132424242424243,True,True
2022-07-24,1.9781818181818183,205,6,7,-0.37770796520396466,-0.9259247771938499,1.9836363636363636,2.0060000000000002,2.02,1.62,2.0118484848484846,True,True
2022-07-25,1.9727272727272727,206,0,7,-0.39359027665646645,-0.9192859697186105,1.9781818181818183,2.004,2.02,1.62,2.010272727272727,True,True
2022-07-26,1.9672727272727273,207,1,7,-0.4093559588156211,-0.9123747579707274,1.9727272727272727,2.002,2.02,1.62,2.0085151515151516,True,True
2022-07-27,1.9618181818181817,208,2,7,-0.42500033996955394,-0.9051931898913975,1.9672727272727273,2.0,2.02,1.62,2.0065757575757575,True,True
2022-07-28,1.9563636363636363,209,3,7,-0.4405187843504952,-0.8977433935342336,1.9618181818181817,1.9945454545454546,2.02,1.62,2.0044545454545455,True,True
2022-07-29,1.950909090909091,210,4,7,-0.455906693508459,-0.8900275764346766,1.9563636363636363,1.989090909090909,2.02,1.62,2.0021515151515152,True,True
2022-07-30,1.9454545454545453,211,5,7,-0.47115950767386394,-0.8820480249558535,1.950909090909091,1.9836363636363636,2.02,1.62,1.9996666666666667,True,True
2022-07-31,1.94,212,6,7,-0.4862727071086902,-0.8738071036110807,1.9454545454545453,1.9781818181818183,2.02,1.62,1.9969999999999999,True,True
2022-08-01,1.94,213,0,8,-0.5012418134457756,-0.8653072543632061,1.94,1.9727272727272727,2.02,1.6260000000000001,1.9943333333333335,True,True
2022-08-02,1.94,214,1,8,-0.5160623910158526,-0.8565509959010037,1.94,1.9672727272727273,2.02,1.6320000000000001,1.9916666666666667,True,True
2022-08-03,1.94,215,2,8,-0.5307300481619331,-0.8475409228928312,1.94,1.9618181818181817,2.02,1.6380000000000001,1.9889999999999999,True,True
2022-08-04,1.94,216,3,8,-0.5452404385406507,-0.8382797052177745,1.94,1.9563636363636363,2.02,1.6440000000000001,1.9863333333333335,True,True
2022-08-05,1.94,217,4,8,-0.5595892624101763,-0.828770087174504,1.94,1.950909090909091,2.02,1.6500000000000001,1.9836666666666667,True,True
2022-08-06,1.94,218,5,8,-0.5737722679043243,-0.8190148866680802,1.94,1.9454545454545453,2.02,1.6560000000000001,1.981,True,True
2022-08-07,1.94,219,6,8,-0.5877852522924734,-0.8090169943749472,1.94,1.94,2.02,1.6620000000000001,1.978333333333333,True,True
2022-08-08,1.94,220,0,8,-0.6016240632249227,-0.7987793728863648,1.94,1.94,2.02,1.6680000000000001,1.9756666666666667,True,True
2022-08-09,1.94,221,1,8,-0.6152845999633277,-0.7883050558305253,1.94,1.94,2.02,1.6740000000000002,1.9729999999999999,True,True
2022-08-10,1.94,222,2,8,-0.6287628145958345,-0.7775971469736268,1.94,1.94,2.018,1.6800000000000002,1.9704,True,True
2022-08-11,1.94,223,3,8,-0.6420547132365636,-0.7666588193001592,1.94,1.94,2.016,1.686,1.9678666666666667,True,True
2022-08-12,1.94,224,4,8,-0.655156357209085,-0.7554933140726804,1.94,1.94,2.0140000000000002,1.692,1.9653999999999998,True,True
2022-08-13,1.94,225,5,8,-0.6680638642135333,-0.7441039398713608,1.94,1.94,2.012,1.698,1.9629999999999999,True,True
2022-08-14,1.94,226,6,8,-0.6807734094770159,-0.7324940716135792,1.94,1.94,2.01,1.704,1.9606666666666668,True,True
2022-08-15,1.94,227,0,8,-0.6932812268869771,-0.7206671495538615,1.94,1.94,2.008,1.71,1.9584,True,True
2022-08-16,1.94,228,1,8,-0.7055836101071774,-0.70862667826446,1.94,1.94,2.0060000000000002,1.716,1.9561999999999997,True,True
2022-08-17,1.94,229,2,8,-0.7176769136759615,-0.6963762255968726,1.94,1.94,2.004,1.722,1.9540666666666666,True,True
2022-08-18,1.94,230,3,8,-0.7295575540864876,-0.6839194216246105,1.94,1.94,2.002,1.728,1.9520000000000002,True,True
2022-08-19,1.94,231,4,8,-0.7412220108485957,-0.6712599575675315,1.94,1.94,2.0,1.734,1.95,True,True
2022-08-20,1.94,232,5,8,-0.7526668275320083,-0.6584015846980489,1.94,1.94,1.9945454545454546,1.74,1.9481818181818182,True,True
2022-08-21,1.94,233,6,8,-0.7638886127905429,-0.64534811322955,1.94,1.94,1.989090909090909,1.74,1.9465454545454546,True,True
2022-08-22,1.94,234,0,8,-0.7748840413670406,-0.6321034111873488,1.94,1.94,1.9836363636363636,1.74,1.945090909090909,True,True
2022-08-23,1.94,235,1,8,-0.7856498550787144,-0.6186714032625032,1.94,1.94,1.9781818181818183,1.74,1.9438181818181817,True,True
2022-08-24,1.94,236,2,8,-0.7961828637826154,-0.6050560696488494,1.94,1.94,1.9727272727272727,1.74,1.9427272727272726,True,True
2022-08-25,1.94,237,3,8,-0.8064799463209447,-0.5912614448635782,1.94,1.94,1.9672727272727273,1.74,1.9418181818181817,True,True
2022-08-26,1.94,238,4,8,-0.8165380514459157,-0.5772916165517278,1.94,1.94,1.9618181818181817,1.74,1.941090909090909,True,True
2022-08-27,1.94,239,5,8,-0.8263541987239094,-0.5631507242749187,1.94,1.94,1.9563636363636363,1.74,1.9405454545454546,True,True
2022-08-28,1.94,240,6,8,-0.8359254794186365,-0.5488429582847199,1.94,1.94,1.950909090909091,1.74,1.940181818181818,True,True
2022-08-29,1.94,241,0,8,-0.8452490573530634,-0.5343725582809785,1.94,1.94,1.9454545454545453,1.74,1.94,True,True
2022-08-30,1.94,242,1,8,-0.8543221697498269,-0.5197438121555157,1.94,1.94,1.94,1.74,1.94,True,True
2022-08-31,1.94,243,2,8,-0.8631421280499115,-0.5049610547215202,1.94,1.94,1.94,1.74,1.94,True,True
2022-09-01,1.94,244,3,9,-0.8717063187093217,-0.4900286664290594,1.94,1.94,1.94,1.748,1.94,True,True
2022-09-02,1.94,245,4,9,-0.8800122039735356,-0.4749510720670502,1.94,1.94,1.94,1.756,1.94,True,True
2022-09-03,1.94,246,5,9,-0.888057322629493,-0.4597327394521046,1.94,1.94,1.94,1.764,1.94,True,True
2022-09-04,1.94,247,6,9,-0.8958392907349089,-0.4443781781046134,1.94,1.94,1.94,1.772,1.94,True,True
2022-09-05,1.94,248,0,9,-0.9033558023246842,-0.4288919379124841,1.94,1.94,1.94,1.78,1.94,True,True
2022-09-06,1.94,249,1,9,-0.9106046300942162,-0.41327860778290443,1.94,1.94,1.94,1.788,1.94,True,True
2022-09-07,1.94,250,2,9,-0.9175836260593934,-0.3975428142825566,1.94,1.94,1.94,1.796,1.94,True,True
2022-09-08,1.94,251,3,9,-0.9242907221930934,-0.3816892202666586,1.94,1.94,1.94,1.804,1.94,True,True
2022-09-09,1.94,252,4,9,-0.9307239310379793,-0.3657225234972692,1.94,1.94,1.94,1.812,1.94,True,True
2022-09-10,1.94,253,5,9,-0.9368813462954315,-0.34964745525122826,1.94,1.94,1.94,1.82,1.94,True,True
2022-09-11,1.9409999999999998,254,6,9,-0.9427611433904206,-0.33346877891818705,1.94,1.94,1.94,1.82,1.9400333333333333,True,True
2022-09-12,1.942,255,0,9,-0.9483615800121716,-0.31719128858910595,1.9409999999999998,1.94,1.94,1.82,1.9401000000000002,True,True
2022-09-13,1.943,256,1,9,-0.9536809966304455,-0.300819807635668,1.942,1.94,1.94,1.82,1.9402,True,True
2022-09-14,1.944,257,2,9,-0.9587178169872964,-0.2843591872810036,1.943,1.94,1.94,1.82,1.9403333333333335,True,True
2022-09-15,1.9449999999999998,258,3,9,-0.9634705485641486,-0.26781430516217486,1.944,1.94,1.94,1.82,1.9405000000000001,True,True
2022-09-16,1.946,259,4,9,-0.9679377830240642,-0.25119006388481957,1.9449999999999998,1.94,1.94,1.82,1.9406999999999999,True,True
2022-09-17,1.947,260,5,9,-0.9721181966290612,-0.23449138957041052,1.946,1.94,1.94,1.82,1.9409333333333332,True,True
2022-09-18,1.948,261,6,9,-0.9760105506323682,-0.21772323039653224,1.947,1.9409999999999998,1.94,1.82,1.9411999999999998,True,True
2022-09-19,1.9489999999999998,262,0,9,-0.9796136916454901,-0.20089055513063528,1.948,1.942,1.94,1.82,1.9415,True,True
2022-09-20,1.95,263,1,9,-0.9829265519799822,-0.18399835165767986,1.9489999999999998,1.943,1.94,1.82,1.941833333333333,True,True
