pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_25kg,prodPcat_米面类
2022-07-20,2.37,201,2,7,-0.3131070409358267,-0.9497178427914317,2.37,2.37,2.37,2.32,2.37,True,True
2022-07-21,2.368181818181818,202,3,7,-0.3294084822245302,-0.9441875088341994,2.37,2.37,2.37,2.32,2.3699393939393945,True,True
2022-07-22,2.3663636363636367,203,4,7,-0.3456123126707333,-0.9383773917408642,2.368181818181818,2.37,2.37,2.32,2.369818181818182,True,True
2022-07-23,2.3645454545454547,204,5,7,-0.3617137307297674,-0.9322892131745134,2.3663636363636367,2.37,2.37,2.32,2.369636363636364,True,True
2022-07-24,2.362727272727273,205,6,7,-0.37770796520396466,-0.9259247771938499,2.3645454545454547,2.37,2.37,2.32,2.369393939393939,True,True
2022-07-25,2.360909090909091,206,0,7,-0.39359027665646645,-0.9192859697186105,2.362727272727273,2.37,2.37,2.32,2.369090909090909,True,True
2022-07-26,2.3590909090909093,207,1,7,-0.4093559588156211,-0.9123747579707274,2.360909090909091,2.37,2.37,2.32,2.3687272727272726,True,True
2022-07-27,2.3572727272727274,208,2,7,-0.42500033996955394,-0.9051931898913975,2.3590909090909093,2.37,2.37,2.32,2.3683030303030304,True,True
2022-07-28,2.3554545454545455,209,3,7,-0.4405187843504952,-0.8977433935342336,2.3572727272727274,2.368181818181818,2.37,2.32,2.367818181818182,True,True
2022-07-29,2.3536363636363635,210,4,7,-0.455906693508459,-0.8900275764346766,2.3554545454545455,2.3663636363636367,2.37,2.32,2.367272727272727,True,True
2022-07-30,2.351818181818182,211,5,7,-0.47115950767386394,-0.8820480249558535,2.3536363636363635,2.3645454545454547,2.37,2.32,2.3666666666666667,True,True
2022-07-31,2.35,212,6,7,-0.4862727071086902,-0.8738071036110807,2.351818181818182,2.362727272727273,2.37,2.32,2.366,True,True
2022-08-01,2.35,213,0,8,-0.5012418134457756,-0.8653072543632061,2.35,2.360909090909091,2.37,2.32,2.3653333333333335,True,True
2022-08-02,2.35,214,1,8,-0.5160623910158526,-0.8565509959010037,2.35,2.3590909090909093,2.37,2.32,2.3646666666666665,True,True
2022-08-03,2.35,215,2,8,-0.5307300481619331,-0.8475409228928312,2.35,2.3572727272727274,2.37,2.32,2.364,True,True
2022-08-04,2.35,216,3,8,-0.5452404385406507,-0.8382797052177745,2.35,2.3554545454545455,2.37,2.32,2.3633333333333337,True,True
2022-08-05,2.35,217,4,8,-0.5595892624101763,-0.828770087174504,2.35,2.3536363636363635,2.37,2.32,2.3626666666666667,True,True
2022-08-06,2.35,218,5,8,-0.5737722679043243,-0.8190148866680802,2.35,2.351818181818182,2.37,2.32,2.3620000000000005,True,True
