pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_猪肉类
2023-03-27,8.5,86,0,3,0.995918996147179,0.09025161003104117,8.5,8.5,9.5,7.5,8.825,True,True
2023-03-28,8.5,87,1,3,0.9973249731081555,0.07309512989807777,8.5,8.5,9.5,7.5,8.791666666666666,True,True
2023-03-29,8.25,88,2,3,0.9984354211555643,0.055916990100603484,8.5,8.5,9.5,7.5,8.75,True,True
2023-03-30,8.125,89,3,3,0.9992500112396835,0.03872228089217446,8.25,8.5,9.5,7.5,8.704166666666667,True,True
2023-03-31,8.0,90,4,3,0.9997685019798909,0.021516097436222254,8.125,8.5,9.5,7.75,8.654166666666667,True,True
2023-04-01,8.0,91,5,4,0.9999907397361901,0.004303538296244289,8.0,8.5,9.5,7.5,8.604166666666666,True,True
2023-04-02,8.0,92,6,4,0.9999166586547379,-0.01291029607500882,8.0,8.5,9.5,8.0,8.554166666666667,True,True
2023-04-03,8.0,93,0,4,0.9995462806873573,-0.030120304846908114,8.0,8.5,9.5,8.0,8.504166666666666,True,True
2023-04-04,8.0,94,1,4,0.9988797155850336,-0.04732138832243185,8.0,8.5,9.25,8.25,8.4625,True,True
2023-04-05,8.0,95,2,4,0.9979171608653922,-0.06450844944931623,8.0,8.25,9.0,8.25,8.429166666666667,True,True
2023-04-06,8.0,96,3,4,0.9966589017541702,-0.08167639533042241,8.0,8.125,9.0,8.0,8.395833333333334,True,True
2023-04-07,8.0,97,4,4,0.9951053111006976,-0.09882013873287143,8.0,8.0,9.0,8.0,8.3625,True,True
2023-04-08,8.0,98,5,4,0.9932568492674143,-0.11593459959550041,8.0,8.0,9.0,8.0,8.329166666666667,True,True
2023-04-09,8.0,99,6,4,0.9911140639934547,-0.1330147065341959,8.0,8.0,8.5,7.625,8.3125,True,True
2023-04-10,8.0,100,0,4,0.9886775902323405,-0.1500553983446526,8.0,8.0,8.5,7.25,8.295833333333333,True,True
2023-04-11,8.0,101,1,4,0.9859481499638304,-0.16705162550211924,8.0,8.0,8.5,7.25,8.279166666666667,True,True
2023-04-12,8.0,102,2,4,0.9829265519799822,-0.18399835165768005,8.0,8.0,8.5,7.25,8.2625,True,True
2023-04-13,8.0,103,3,4,0.9796136916454901,-0.20089055513063506,8.0,8.0,8.5,7.25,8.245833333333334,True,True
2023-04-14,7.75,104,4,4,0.9760105506323683,-0.21772323039653177,8.0,8.0,8.5,7.5,8.220833333333333,True,True
2023-04-15,8.25,105,5,4,0.9721181966290613,-0.23449138957040985,7.75,8.0,8.5,7.5,8.2125,True,True
2023-04-16,8.25,106,6,4,0.9679377830240642,-0.25119006388481935,8.25,8.0,8.5,7.5,8.204166666666667,True,True
2023-04-17,8.25,107,0,4,0.9634705485641488,-0.2678143051621742,8.25,8.0,8.5,7.5,8.195833333333333,True,True
2023-04-18,8.25,108,1,4,0.9587178169872964,-0.2843591872810034,8.25,8.0,8.5,7.5,8.1875,True,True
2023-04-19,8.25,109,2,4,0.9536809966304457,-0.30081980763566735,8.25,8.0,8.5,7.5,8.179166666666667,True,True
2023-04-20,8.25,110,3,4,0.9483615800121715,-0.3171912885891061,8.25,8.0,8.5,8.0,8.170833333333333,True,True
2023-04-21,8.0,111,4,4,0.9427611433904207,-0.3334687789181868,8.25,7.75,8.5,8.0,8.154166666666667,True,True
2023-04-22,8.0,112,5,4,0.9368813462954315,-0.3496474552512284,8.0,8.25,8.5,8.0,8.1375,True,True
2023-04-23,8.25,113,6,4,0.9307239310379795,-0.36572252349726897,8.0,8.25,8.5,8.0,8.129166666666666,True,True
2023-04-24,8.75,114,0,4,0.9242907221930933,-0.3816892202666588,8.25,8.25,8.5,8.0,8.1375,True,True
2023-04-25,8.75,115,1,4,0.9175836260593937,-0.39754281428255595,8.75,8.25,8.5,9.5,8.145833333333334,True,True
2023-04-26,9.0,116,2,4,0.9106046300942162,-0.4132786077829042,8.75,8.25,8.5,14.0,8.1625,True,True
2023-04-27,9.0,117,3,4,0.9033558023246845,-0.4288919379124835,9.0,8.25,8.5,12.0,8.179166666666667,True,True
2023-04-28,8.75,118,4,4,0.895839290734909,-0.4443781781046132,9.0,8.0,8.25,9.5,8.195833333333333,True,True
2023-04-29,8.75,119,5,4,0.8880573226294932,-0.45973273945210397,8.75,8.0,8.125,8.75,8.216666666666667,True,True
2023-04-30,8.25,120,6,4,0.8800122039735357,-0.47495107206704995,8.75,8.25,8.0,8.75,8.225,True,True
2023-05-01,8.0,121,0,5,0.8717063187093218,-0.4900286664290592,8.25,8.75,8.0,8.5,8.225,True,True
2023-05-02,8.0,122,1,5,0.8631421280499114,-0.5049610547215204,8.0,8.75,8.0,8.5,8.225,True,True
2023-05-03,7.75,123,2,5,0.854322169749827,-0.5197438121555155,8.0,9.0,8.0,8.5,8.216666666666667,True,True
2023-05-04,8.0,124,3,5,0.8452490573530633,-0.5343725582809786,7.75,9.0,8.0,8.25,8.216666666666667,True,True
2023-05-05,8.0,125,4,5,0.8359254794186372,-0.548842958284719,8.0,8.75,8.0,8.25,8.216666666666667,True,True
2023-05-06,8.0,126,5,5,0.8263541987239096,-0.5631507242749186,8.0,8.75,8.0,8.0,8.216666666666667,True,True
2023-05-07,7.75,127,6,5,0.8165380514459161,-0.5772916165517272,8.0,8.25,8.0,8.0,8.208333333333334,True,True
2023-05-08,8.0,128,0,5,0.8064799463209448,-0.5912614448635781,7.75,8.0,8.0,9.0,8.208333333333334,True,True
2023-05-09,7.75,129,1,5,0.7961828637826158,-0.6050560696488488,8.0,8.0,8.0,8.75,8.2,True,True
2023-05-10,7.75,130,2,5,0.7856498550787147,-0.6186714032625031,7.75,7.75,8.0,9.25,8.191666666666666,True,True
2023-05-11,7.75,131,3,5,0.7748840413670407,-0.6321034111873487,7.75,8.0,8.0,9.25,8.183333333333334,True,True
2023-05-12,7.75,132,4,5,0.7638886127905428,-0.6453481132295501,7.75,8.0,8.0,9.25,8.175,True,True
2023-05-13,7.75,133,5,5,0.7526668275320085,-0.6584015846980488,7.75,8.0,8.0,10.0,8.166666666666666,True,True
2023-05-14,8.0,134,6,5,0.7412220108485958,-0.6712599575675313,7.75,7.75,7.75,9.75,8.175,True,True
2023-05-15,8.0,135,0,5,0.7295575540864875,-0.6839194216246106,8.0,8.0,8.25,9.75,8.166666666666666,True,True
2023-05-16,8.0,136,1,5,0.717676913675962,-0.6963762255968722,8.0,7.75,8.25,9.5,8.158333333333333,True,True
2023-05-17,7.75,137,2,5,0.705583610107178,-0.7086266782644596,8.0,7.75,8.25,9.5,8.141666666666667,True,True
2023-05-18,8.0,138,3,5,0.6932812268869777,-0.7206671495538609,7.75,7.75,8.25,9.5,8.133333333333333,True,True
2023-05-19,7.5,139,4,5,0.6807734094770161,-0.7324940716135789,8.0,7.75,8.25,9.75,8.108333333333333,True,True
2023-05-20,7.5,140,5,5,0.6680638642135335,-0.7441039398713607,7.5,7.75,8.25,9.75,8.083333333333334,True,True
2023-05-21,7.75,141,6,5,0.6551563572090853,-0.7554933140726803,7.5,8.0,8.0,9.75,8.075,True,True
2023-05-22,8.0,142,0,5,0.6420547132365637,-0.766658819300159,7.75,8.0,8.0,10.25,8.075,True,True
2023-05-23,8.0,143,1,5,0.6287628145958344,-0.7775971469736269,8.0,8.0,8.25,11.0,8.066666666666666,True,True
2023-05-24,8.0,144,2,5,0.6152845999633276,-0.7883050558305255,8.0,7.75,8.75,10.5,8.041666666666666,True,True
2023-05-25,8.0,145,3,5,0.6016240632249226,-0.7987793728863649,8.0,8.0,8.75,10.5,8.016666666666667,True,True
2023-05-26,8.25,146,4,5,0.5877852522924732,-0.8090169943749473,8.0,7.5,9.0,10.5,7.991666666666666,True,True
2023-05-27,8.25,147,5,5,0.5737722679043246,-0.8190148866680801,8.25,7.5,9.0,10.5,7.966666666666667,True,True
2023-05-28,8.25,148,6,5,0.5595892624101765,-0.8287700871745038,8.25,7.75,8.75,10.5,7.95,True,True
2023-05-29,8.25,149,0,5,0.545240438540651,-0.8382797052177744,8.25,8.0,8.75,10.5,7.933333333333334,True,True
2023-05-30,8.25,150,1,5,0.5307300481619334,-0.8475409228928311,8.25,8.0,8.25,9.75,7.933333333333334,True,True
2023-05-31,8.25,151,2,5,0.5160623910158528,-0.8565509959010036,8.25,8.0,8.0,10.0,7.941666666666666,True,True
2023-06-01,8.25,152,3,6,0.5012418134457758,-0.865307254363206,8.25,8.0,8.0,10.0,7.95,True,True
2023-06-02,8.25,153,4,6,0.48627270710868997,-0.8738071036110808,8.25,8.25,7.75,10.0,7.966666666666667,True,True
2023-06-03,8.25,154,5,6,0.4711595076738638,-0.8820480249558537,8.25,8.25,8.0,9.5,7.975,True,True
2023-06-04,8.25,155,6,6,0.4559066935084588,-0.8900275764346767,8.25,8.25,8.0,9.5,7.983333333333333,True,True
2023-06-05,8.25,156,0,6,0.440518784350495,-0.8977433935342337,8.25,8.25,8.0,9.375,7.991666666666666,True,True
2023-06-06,8.25,157,1,6,0.42500033996955416,-0.9051931898913974,8.25,8.25,7.75,9.25,8.008333333333333,True,True
2023-06-07,8.25,158,2,6,0.4093559588156213,-0.9123747579707273,8.25,8.25,8.0,9.25,8.016666666666667,True,True
2023-06-08,8.25,159,3,6,0.39359027665646673,-0.9192859697186104,8.25,8.25,7.75,9.5,8.033333333333333,True,True
2023-06-09,8.25,160,4,6,0.3777079652039649,-0.9259247771938498,8.25,8.25,7.75,9.25,8.05,True,True
