pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_UNKNOWN
2022-08-10,1.25,222,2,8,-0.6287628145958345,-0.7775971469736268,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-11,1.25,223,3,8,-0.6420547132365636,-0.7666588193001592,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-12,1.25,224,4,8,-0.655156357209085,-0.7554933140726804,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-13,1.25,225,5,8,-0.6680638642135333,-0.7441039398713608,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-14,1.25,226,6,8,-0.6807734094770159,-0.7324940716135792,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-15,1.25,227,0,8,-0.6932812268869771,-0.7206671495538615,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-16,1.25,228,1,8,-0.7055836101071774,-0.70862667826446,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-17,1.25,229,2,8,-0.7176769136759615,-0.6963762255968726,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-18,1.25,230,3,8,-0.7295575540864876,-0.6839194216246105,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-19,1.25,231,4,8,-0.7412220108485957,-0.6712599575675315,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-20,1.25,232,5,8,-0.7526668275320083,-0.6584015846980489,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-21,1.25,233,6,8,-0.7638886127905429,-0.64534811322955,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-22,1.25,234,0,8,-0.7748840413670406,-0.6321034111873488,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-23,1.25,235,1,8,-0.7856498550787144,-0.6186714032625032,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-24,1.25,236,2,8,-0.7961828637826154,-0.6050560696488494,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-25,1.25,237,3,8,-0.8064799463209447,-0.5912614448635782,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-26,1.25,238,4,8,-0.8165380514459157,-0.5772916165517278,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-27,1.25,239,5,8,-0.8263541987239094,-0.5631507242749187,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-28,1.25,240,6,8,-0.8359254794186365,-0.5488429582847199,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-29,1.25,241,0,8,-0.8452490573530634,-0.5343725582809785,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-30,1.25,242,1,8,-0.8543221697498269,-0.5197438121555157,1.25,1.25,1.25,1.25,1.25,True,True
2022-08-31,1.25,243,2,8,-0.8631421280499115,-0.5049610547215202,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-01,1.25,244,3,9,-0.8717063187093217,-0.4900286664290594,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-02,1.25,245,4,9,-0.8800122039735356,-0.4749510720670502,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-03,1.25,246,5,9,-0.888057322629493,-0.4597327394521046,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-04,1.25,247,6,9,-0.8958392907349089,-0.4443781781046134,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-05,1.25,248,0,9,-0.9033558023246842,-0.4288919379124841,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-06,1.25,249,1,9,-0.9106046300942162,-0.41327860778290443,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-07,1.25,250,2,9,-0.9175836260593934,-0.3975428142825566,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-08,1.25,251,3,9,-0.9242907221930934,-0.3816892202666586,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-09,1.25,252,4,9,-0.9307239310379793,-0.3657225234972692,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-10,1.25,253,5,9,-0.9368813462954315,-0.34964745525122826,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-11,1.25,254,6,9,-0.9427611433904206,-0.33346877891818705,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-12,1.25,255,0,9,-0.9483615800121716,-0.31719128858910595,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-13,1.25,256,1,9,-0.9536809966304455,-0.300819807635668,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-14,1.25,257,2,9,-0.9587178169872964,-0.2843591872810036,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-15,1.25,258,3,9,-0.9634705485641486,-0.26781430516217486,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-16,1.25,259,4,9,-0.9679377830240642,-0.25119006388481957,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-17,1.25,260,5,9,-0.9721181966290612,-0.23449138957041052,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-18,1.25,261,6,9,-0.9760105506323682,-0.21772323039653224,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-19,1.25,262,0,9,-0.9796136916454901,-0.20089055513063528,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-20,1.25,263,1,9,-0.9829265519799822,-0.18399835165767986,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-21,1.25,264,2,9,-0.9859481499638303,-0.1670516255021195,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-22,1.25,265,3,9,-0.9886775902323404,-0.15005539834465262,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-23,1.25,266,4,9,-0.9911140639934546,-0.13301470653419636,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-24,1.25,267,5,9,-0.9932568492674143,-0.11593459959550066,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-25,1.25,268,6,9,-0.9951053111006974,-0.09882013873287211,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-26,1.25,269,0,9,-0.99665890175417,-0.08167639533042288,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-27,1.25,270,1,9,-0.9979171608653922,-0.06450844944931625,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-28,1.25,271,2,9,-0.9988797155850335,-0.04732138832243232,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-29,1.25,272,3,9,-0.9995462806873573,-0.03012030484690836,1.25,1.25,1.25,1.25,1.25,True,True
2022-09-30,1.25,273,4,9,-0.9999166586547379,-0.012910296075008843,1.25,1.25,1.25,1.25,1.25,True,True
2022-10-01,1.25,274,5,10,-0.9999907397361901,0.004303538296243821,1.25,1.25,1.25,1.25,1.25,True,True
2022-10-02,1.25,275,6,10,-0.9997685019798909,0.021516097436222233,1.25,1.25,1.25,1.25,1.25,True,True
2022-10-03,1.25,276,0,10,-0.9992500112396835,0.03872228089217399,1.25,1.25,1.25,1.25,1.25,True,True
2022-10-04,1.25,277,1,10,-0.9984354211555643,0.05591699010060302,1.25,1.25,1.25,1.25,1.25,True,True
2022-10-05,1.25,278,2,10,-0.9973249731081555,0.07309512989807776,1.25,1.25,1.25,1.25,1.25,True,True
