pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_10L/桶,prodPcat_食用油
2022-07-20,109.0,201,2,7,-0.3131070409358267,-0.9497178427914317,109.2,110.4,124.5,90.0,113.49166666666666,True,True
2022-07-21,109.20454545454545,202,3,7,-0.3294084822245302,-0.9441875088341994,109.0,110.2,123.4,90.0,113.01848484848485,True,True
2022-07-22,109.4090909090909,203,4,7,-0.3456123126707333,-0.9383773917408642,109.20454545454545,110.0,122.3,90.0,112.58878787878788,True,True
2022-07-23,109.61363636363636,204,5,7,-0.3617137307297674,-0.9322892131745134,109.4090909090909,109.8,121.2,90.0,112.20257575757574,True,True
2022-07-24,109.81818181818181,205,6,7,-0.37770796520396466,-0.9259247771938499,109.61363636363636,109.6,120.1,90.0,111.85984848484848,True,True
2022-07-25,110.02272727272727,206,0,7,-0.39359027665646645,-0.9192859697186105,109.81818181818181,109.4,119.0,90.0,111.56060606060606,True,True
2022-07-26,110.22727272727273,207,1,7,-0.4093559588156211,-0.9123747579707274,110.02272727272727,109.2,117.9,90.0,111.30484848484848,True,True
2022-07-27,110.43181818181819,208,2,7,-0.42500033996955394,-0.9051931898913975,110.22727272727273,109.0,116.8,90.0,111.09257575757576,True,True
2022-07-28,110.63636363636364,209,3,7,-0.4405187843504952,-0.8977433935342336,110.43181818181819,109.20454545454545,115.7,90.0,110.92378787878788,True,True
2022-07-29,110.8409090909091,210,4,7,-0.455906693508459,-0.8900275764346766,110.63636363636364,109.4090909090909,114.6,90.0,110.79848484848485,True,True
2022-07-30,111.04545454545455,211,5,7,-0.47115950767386394,-0.8820480249558535,110.8409090909091,109.61363636363636,113.5,90.0,110.71666666666667,True,True
2022-07-31,111.25,212,6,7,-0.4862727071086902,-0.8738071036110807,111.04545454545455,109.81818181818181,113.25,90.0,110.65,True,True
2022-08-01,111.25,213,0,8,-0.5012418134457756,-0.8653072543632061,111.25,110.02272727272727,113.0,90.0,110.59166666666667,True,True
2022-08-02,111.25,214,1,8,-0.5160623910158526,-0.8565509959010037,111.25,110.22727272727273,112.75,90.0,110.54166666666667,True,True
2022-08-03,111.25,215,2,8,-0.5307300481619331,-0.8475409228928312,111.25,110.43181818181819,112.5,90.0,110.5,True,True
2022-08-04,111.25,216,3,8,-0.5452404385406507,-0.8382797052177745,111.25,110.63636363636364,112.25,90.0,110.46666666666667,True,True
2022-08-05,111.25,217,4,8,-0.5595892624101763,-0.828770087174504,111.25,110.8409090909091,112.0,90.0,110.44166666666666,True,True
2022-08-06,111.25,218,5,8,-0.5737722679043243,-0.8190148866680802,111.25,111.04545454545455,111.75,90.0,110.425,True,True
2022-08-07,111.25,219,6,8,-0.5877852522924734,-0.8090169943749472,111.25,111.25,111.5,90.0,110.41666666666667,True,True
2022-08-08,111.25,220,0,8,-0.6016240632249227,-0.7987793728863648,111.25,111.25,111.25,90.0,110.41666666666667,True,True
2022-08-09,111.25,221,1,8,-0.6152845999633277,-0.7883050558305253,111.25,111.25,111.0,90.0,110.425,True,True
2022-08-10,111.25,222,2,8,-0.6287628145958345,-0.7775971469736268,111.25,111.25,110.8,90.0,110.44,True,True
2022-08-11,111.26190476190476,223,3,8,-0.6420547132365636,-0.7666588193001592,111.25,111.25,110.6,90.15,110.46206349206348,True,True
2022-08-12,111.27380952380952,224,4,8,-0.655156357209085,-0.7554933140726804,111.26190476190476,111.25,110.4,90.3,110.49119047619047,True,True
2022-08-13,111.28571428571429,225,5,8,-0.6680638642135333,-0.7441039398713608,111.27380952380952,111.25,110.2,90.45,110.52738095238095,True,True
2022-08-14,111.29761904761905,226,6,8,-0.6807734094770159,-0.7324940716135792,111.28571428571429,111.25,110.0,90.6,110.57063492063493,True,True
2022-08-15,111.30952380952381,227,0,8,-0.6932812268869771,-0.7206671495538615,111.29761904761905,111.25,109.8,90.75,110.62095238095237,True,True
2022-08-16,111.32142857142857,228,1,8,-0.7055836101071774,-0.70862667826446,111.30952380952381,111.25,109.6,90.9,110.67833333333333,True,True
2022-08-17,111.33333333333333,229,2,8,-0.7176769136759615,-0.6963762255968726,111.32142857142857,111.25,109.4,91.05,110.74277777777777,True,True
2022-08-18,111.3452380952381,230,3,8,-0.7295575540864876,-0.6839194216246105,111.33333333333333,111.26190476190476,109.2,91.2,110.81428571428572,True,True
2022-08-19,111.35714285714286,231,4,8,-0.7412220108485957,-0.6712599575675315,111.3452380952381,111.27380952380952,109.0,91.35,110.89285714285714,True,True
2022-08-20,111.36904761904762,232,5,8,-0.7526668275320083,-0.6584015846980489,111.35714285714286,111.28571428571429,109.20454545454545,91.5,110.96500721500722,True,True
2022-08-21,111.38095238095238,233,6,8,-0.7638886127905429,-0.64534811322955,111.36904761904762,111.29761904761905,109.4090909090909,91.77272727272727,111.03073593073593,True,True
2022-08-22,111.39285714285714,234,0,8,-0.7748840413670406,-0.6321034111873488,111.38095238095238,111.30952380952381,109.61363636363636,92.04545454545455,111.0900432900433,True,True
2022-08-23,111.4047619047619,235,1,8,-0.7856498550787144,-0.6186714032625032,111.39285714285714,111.32142857142857,109.81818181818181,92.31818181818181,111.1429292929293,True,True
2022-08-24,111.41666666666667,236,2,8,-0.7961828637826154,-0.6050560696488494,111.4047619047619,111.33333333333333,110.02272727272727,92.5909090909091,111.18939393939394,True,True
2022-08-25,111.42857142857143,237,3,8,-0.8064799463209447,-0.5912614448635782,111.41666666666667,111.3452380952381,110.22727272727273,92.86363636363636,111.22943722943724,True,True
2022-08-26,111.44047619047619,238,4,8,-0.8165380514459157,-0.5772916165517278,111.42857142857143,111.35714285714286,110.43181818181819,93.13636363636364,111.26305916305917,True,True
2022-08-27,111.45238095238095,239,5,8,-0.8263541987239094,-0.5631507242749187,111.44047619047619,111.36904761904762,110.63636363636364,93.4090909090909,111.29025974025973,True,True
2022-08-28,111.46428571428571,240,6,8,-0.8359254794186365,-0.5488429582847199,111.45238095238095,111.38095238095238,110.8409090909091,93.68181818181819,111.31103896103896,True,True
2022-08-29,111.47619047619048,241,0,8,-0.8452490573530634,-0.5343725582809785,111.46428571428571,111.39285714285714,111.04545454545455,93.95454545454545,111.32539682539682,True,True
2022-08-30,111.48809523809524,242,1,8,-0.8543221697498269,-0.5197438121555157,111.47619047619048,111.4047619047619,111.25,94.22727272727273,111.33333333333333,True,True
2022-08-31,111.5,243,2,8,-0.8631421280499115,-0.5049610547215202,111.48809523809524,111.41666666666667,111.25,94.5,111.34166666666667,True,True
2022-09-01,111.5,244,3,9,-0.8717063187093217,-0.4900286664290594,111.5,111.42857142857143,111.25,94.5,111.35,True,True
2022-09-02,111.5,245,4,9,-0.8800122039735356,-0.4749510720670502,111.5,111.44047619047619,111.25,94.5,111.35833333333333,True,True
2022-09-03,111.5,246,5,9,-0.888057322629493,-0.4597327394521046,111.5,111.45238095238095,111.25,94.5,111.36666666666666,True,True
2022-09-04,111.5,247,6,9,-0.8958392907349089,-0.4443781781046134,111.5,111.46428571428571,111.25,94.5,111.375,True,True
2022-09-05,111.5,248,0,9,-0.9033558023246842,-0.4288919379124841,111.5,111.47619047619048,111.25,94.5,111.38333333333334,True,True
2022-09-06,111.5,249,1,9,-0.9106046300942162,-0.41327860778290443,111.5,111.48809523809524,111.25,94.5,111.39166666666667,True,True
2022-09-07,111.5,250,2,9,-0.9175836260593934,-0.3975428142825566,111.5,111.5,111.25,94.5,111.4,True,True
2022-09-08,111.5,251,3,9,-0.9242907221930934,-0.3816892202666586,111.5,111.5,111.25,94.5,111.40833333333333,True,True
2022-09-09,111.5,252,4,9,-0.9307239310379793,-0.3657225234972692,111.5,111.5,111.25,94.5,111.41666666666667,True,True
2022-09-10,111.5,253,5,9,-0.9368813462954315,-0.34964745525122826,111.5,111.5,111.26190476190476,94.5,111.42460317460318,True,True
2022-09-11,111.5,254,6,9,-0.9427611433904206,-0.33346877891818705,111.5,111.5,111.27380952380952,94.5,111.43214285714286,True,True
2022-09-12,111.5,255,0,9,-0.9483615800121716,-0.31719128858910595,111.5,111.5,111.28571428571429,94.5,111.43928571428572,True,True
2022-09-13,111.5,256,1,9,-0.9536809966304455,-0.300819807635668,111.5,111.5,111.29761904761905,94.5,111.44603174603175,True,True
2022-09-14,111.5,257,2,9,-0.9587178169872964,-0.2843591872810036,111.5,111.5,111.30952380952381,94.5,111.45238095238095,True,True
2022-09-15,111.5,258,3,9,-0.9634705485641486,-0.26781430516217486,111.5,111.5,111.32142857142857,94.5,111.45833333333333,True,True
2022-09-16,111.5,259,4,9,-0.9679377830240642,-0.25119006388481957,111.5,111.5,111.33333333333333,94.5,111.46388888888889,True,True
2022-09-17,111.5,260,5,9,-0.9721181966290612,-0.23449138957041052,111.5,111.5,111.3452380952381,94.5,111.46904761904761,True,True
2022-09-18,111.5,261,6,9,-0.9760105506323682,-0.21772323039653224,111.5,111.5,111.35714285714286,94.5,111.47380952380952,True,True
2022-09-19,111.5,262,0,9,-0.9796136916454901,-0.20089055513063528,111.5,111.5,111.36904761904762,94.5,111.47817460317461,True,True
2022-09-20,111.5,263,1,9,-0.9829265519799822,-0.18399835165767986,111.5,111.5,111.38095238095238,94.5,111.48214285714286,True,True
2022-09-21,111.4,264,2,9,-0.9859481499638303,-0.1670516255021195,111.5,111.5,111.39285714285714,94.875,111.48238095238095,True,True
2022-09-22,111.3,265,3,9,-0.9886775902323404,-0.15005539834465262,111.4,111.5,111.4047619047619,95.25,111.47888888888887,True,True
2022-09-23,111.2,266,4,9,-0.9911140639934546,-0.13301470653419636,111.3,111.5,111.41666666666667,95.625,111.47166666666666,True,True
2022-09-24,111.1,267,5,9,-0.9932568492674143,-0.11593459959550066,111.2,111.5,111.42857142857143,96.0,111.46071428571427,True,True
2022-09-25,111.0,268,6,9,-0.9951053111006974,-0.09882013873287211,111.1,111.5,111.44047619047619,96.375,111.44603174603175,True,True
2022-09-26,110.9,269,0,9,-0.99665890175417,-0.08167639533042288,111.0,111.5,111.45238095238095,96.75,111.42761904761906,True,True
2022-09-27,110.8,270,1,9,-0.9979171608653922,-0.06450844944931625,110.9,111.5,111.46428571428571,97.125,111.4054761904762,True,True
2022-09-28,110.7,271,2,9,-0.9988797155850335,-0.04732138832243232,110.8,111.4,111.47619047619048,97.5,111.37960317460319,True,True
2022-09-29,110.6,272,3,9,-0.9995462806873573,-0.03012030484690836,110.7,111.3,111.48809523809524,97.875,111.35,True,True
2022-09-30,110.5,273,4,9,-0.9999166586547379,-0.012910296075008843,110.6,111.2,111.5,98.25,111.31666666666666,True,True
2022-10-01,110.5,274,5,10,-0.9999907397361901,0.004303538296243821,110.5,111.1,111.5,98.525,111.28333333333333,True,True
2022-10-02,110.5,275,6,10,-0.9997685019798909,0.021516097436222233,110.5,111.0,111.5,98.8,111.25,True,True
2022-10-03,110.5,276,0,10,-0.9992500112396835,0.03872228089217399,110.5,110.9,111.5,99.075,111.21666666666667,True,True
2022-10-04,110.5,277,1,10,-0.9984354211555643,0.05591699010060302,110.5,110.8,111.5,99.35,111.18333333333334,True,True
2022-10-05,110.5,278,2,10,-0.9973249731081555,0.07309512989807776,110.5,110.7,111.5,99.625,111.15,True,True
2022-10-06,110.5,279,3,10,-0.9959189961471792,0.0902516100310407,110.5,110.6,111.5,99.9,111.11666666666666,True,True
2022-10-07,110.5,280,4,10,-0.994217906893952,0.10738134666416306,110.5,110.5,111.5,100.175,111.08333333333333,True,True
2022-10-08,110.5,281,5,10,-0.9922222094179324,0.12447926388678869,110.5,110.5,111.5,100.45,111.05,True,True
2022-10-09,110.5,282,6,10,-0.989932495087353,0.141540295217043,110.5,110.5,111.5,100.725,111.01666666666667,True,True
2022-10-10,110.5,283,0,10,-0.9873494423939864,0.15855938510313475,110.5,110.5,111.5,101.0,110.98333333333333,True,True
