pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_250g左右,specInfo_250g,specInfo_150g,specInfo_300g-350g,specInfo_200g-250g,prodPcat_虾蟹类,prodPcat_其他类
2022-08-10,37.5,222,2,8,-0.6287628145958345,-0.7775971469736268,37.5,37.5,37.5,37.5,37.5,True,False,False,False,False,True,False
2022-08-10,40.0,222,2,8,-0.6287628145958345,-0.7775971469736268,40.0,40.0,40.0,40.0,40.0,False,False,False,False,True,False,True
2022-08-10,50.0,222,2,8,-0.6287628145958345,-0.7775971469736268,50.0,50.0,50.0,75.0,50.0,False,False,False,True,False,False,True
2022-08-10,40.0,222,2,8,-0.6287628145958345,-0.7775971469736268,40.0,40.0,40.0,35.0,40.0,False,False,True,False,False,False,True
2022-08-10,47.5,222,2,8,-0.6287628145958345,-0.7775971469736268,47.5,47.5,47.5,50.0,47.5,False,True,False,False,False,False,True
2022-08-11,50.0,223,3,8,-0.6420547132365636,-0.7666588193001592,50.0,50.0,50.0,75.0,50.0,False,False,False,True,False,False,True
2022-08-11,40.0,223,3,8,-0.6420547132365636,-0.7666588193001592,40.0,40.0,40.0,35.0,40.0,False,False,True,False,False,False,True
2022-08-11,40.0,223,3,8,-0.6420547132365636,-0.7666588193001592,40.0,40.0,40.0,40.0,40.0,False,False,False,False,True,False,True
2022-08-11,37.5,223,3,8,-0.6420547132365636,-0.7666588193001592,37.5,37.5,37.5,37.5,37.5,True,False,False,False,False,True,False
2022-08-11,47.5,223,3,8,-0.6420547132365636,-0.7666588193001592,47.5,47.5,47.5,50.0,47.5,False,True,False,False,False,False,True
2022-08-12,40.0,224,4,8,-0.655156357209085,-0.7554933140726804,40.0,40.0,40.0,34.5,40.0,False,False,True,False,False,False,True
2022-08-12,37.5,224,4,8,-0.655156357209085,-0.7554933140726804,37.5,37.5,37.5,37.5,37.5,True,False,False,False,False,True,False
2022-08-12,50.0,224,4,8,-0.655156357209085,-0.7554933140726804,50.0,50.0,50.0,75.0,50.0,False,False,False,True,False,False,True
2022-08-12,40.0,224,4,8,-0.655156357209085,-0.7554933140726804,40.0,40.0,40.0,40.0,40.0,False,False,False,False,True,False,True
2022-08-12,47.5,224,4,8,-0.655156357209085,-0.7554933140726804,47.5,47.5,47.5,50.0,47.5,False,True,False,False,False,False,True
2022-08-13,40.0,225,5,8,-0.6680638642135333,-0.7441039398713608,40.0,40.0,40.0,40.0,40.0,False,False,False,False,True,False,True
2022-08-13,40.0,225,5,8,-0.6680638642135333,-0.7441039398713608,40.0,40.0,40.0,34.0,40.0,False,False,True,False,False,False,True
2022-08-13,50.0,225,5,8,-0.6680638642135333,-0.7441039398713608,50.0,50.0,50.0,75.0,50.0,False,False,False,True,False,False,True
2022-08-13,37.5,225,5,8,-0.6680638642135333,-0.7441039398713608,37.5,37.5,37.5,37.5,37.5,True,False,False,False,False,True,False
2022-08-13,47.5,225,5,8,-0.6680638642135333,-0.7441039398713608,47.5,47.5,47.5,50.0,47.5,False,True,False,False,False,False,True
2022-08-14,40.0,226,6,8,-0.6807734094770159,-0.7324940716135792,40.0,40.0,40.0,34.0,40.0,False,False,True,False,False,False,True
2022-08-14,50.0,226,6,8,-0.6807734094770159,-0.7324940716135792,50.0,50.0,50.0,75.0,50.0,False,False,False,True,False,False,True
2022-08-14,47.5,226,6,8,-0.6807734094770159,-0.7324940716135792,47.5,47.5,47.5,50.0,47.5,False,True,False,False,False,False,True
2022-08-14,37.5,226,6,8,-0.6807734094770159,-0.7324940716135792,37.5,37.5,37.5,37.5,37.5,True,False,False,False,False,True,False
2022-08-14,40.0,226,6,8,-0.6807734094770159,-0.7324940716135792,40.0,40.0,40.0,40.0,40.0,False,False,False,False,True,False,True
2022-08-15,40.0,227,0,8,-0.6932812268869771,-0.7206671495538615,40.0,40.0,40.0,40.0,40.0,False,False,False,False,True,False,True
2022-08-15,40.0,227,0,8,-0.6932812268869771,-0.7206671495538615,40.0,40.0,40.0,42.5,40.0,False,False,True,False,False,False,True
