pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_屉,prodPcat_UNKNOWN
2022-09-20,1.7,263,1,9,-0.9829265519799822,-0.18399835165767986,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-21,1.7,264,2,9,-0.9859481499638303,-0.1670516255021195,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-22,1.7,265,3,9,-0.9886775902323404,-0.15005539834465262,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-23,1.7,266,4,9,-0.9911140639934546,-0.13301470653419636,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-24,1.7,267,5,9,-0.9932568492674143,-0.11593459959550066,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-25,1.7,268,6,9,-0.9951053111006974,-0.09882013873287211,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-26,1.7,269,0,9,-0.99665890175417,-0.08167639533042288,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-27,1.7,270,1,9,-0.9979171608653922,-0.06450844944931625,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-28,1.7,271,2,9,-0.9988797155850335,-0.04732138832243232,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-29,1.7,272,3,9,-0.9995462806873573,-0.03012030484690836,1.7,1.7,1.7,2.0,1.7,True,True
2022-09-30,1.7,273,4,9,-0.9999166586547379,-0.012910296075008843,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-01,1.7,274,5,10,-0.9999907397361901,0.004303538296243821,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-02,1.7,275,6,10,-0.9997685019798909,0.021516097436222233,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-03,1.7,276,0,10,-0.9992500112396835,0.03872228089217399,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-04,1.7,277,1,10,-0.9984354211555643,0.05591699010060302,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-05,1.7,278,2,10,-0.9973249731081555,0.07309512989807776,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-06,1.7,279,3,10,-0.9959189961471792,0.0902516100310407,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-07,1.7,280,4,10,-0.994217906893952,0.10738134666416306,1.7,1.7,1.7,2.0,1.7,True,True
2022-10-08,1.7,281,5,10,-0.9922222094179324,0.12447926388678869,1.7,1.7,1.7,1.85,1.7,True,True
2022-10-09,1.7,282,6,10,-0.989932495087353,0.141540295217043,1.7,1.7,1.7,1.8333333333333335,1.7,True,True
2022-10-10,1.7,283,0,10,-0.9873494423939864,0.15855938510313475,1.7,1.7,1.7,1.8166666666666667,1.7,True,True
2022-10-11,1.7,284,1,10,-0.9844738167520923,0.17553149042142777,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-12,1.7,285,2,10,-0.9813064702716093,0.19245158197082995,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-13,1.7,286,3,10,-0.9778483415056567,0.20931464596304888,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-14,1.7,287,4,10,-0.9741004551724206,0.22611568550828803,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-15,1.7,288,5,10,-0.970063921851507,0.2428497220959358,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-16,1.7,289,6,10,-0.965739937654855,0.25951179706979943,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-17,1.7,290,0,10,-0.9611297838723007,0.27609697309746883,1.7,1.7,1.7,1.8,1.7,True,True
2022-10-18,1.7,291,1,10,-0.9562348265919058,0.2926003356333479,1.7,1.7,1.7,1.8,1.7,True,True
