pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_25kg,prodPcat_米面类
2022-07-20,1.9,201,2,7,-0.3131070409358267,-0.9497178427914317,1.9,1.9,1.92,1.58,1.9096666666666666,True,True
2022-07-21,1.8972727272727272,202,3,7,-0.3294084822245302,-0.9441875088341994,1.9,1.9,1.92,1.58,1.9089090909090909,True,True
2022-07-22,1.8945454545454545,203,4,7,-0.3456123126707333,-0.9383773917408642,1.8972727272727272,1.9,1.92,1.58,1.9080606060606058,True,True
2022-07-23,1.8918181818181818,204,5,7,-0.3617137307297674,-0.9322892131745134,1.8945454545454545,1.9,1.92,1.58,1.907121212121212,True,True
2022-07-24,1.8890909090909092,205,6,7,-0.37770796520396466,-0.9259247771938499,1.8918181818181818,1.9,1.92,1.58,1.906090909090909,True,True
2022-07-25,1.8863636363636365,206,0,7,-0.39359027665646645,-0.9192859697186105,1.8890909090909092,1.9,1.92,1.58,1.904969696969697,True,True
2022-07-26,1.8836363636363636,207,1,7,-0.4093559588156211,-0.9123747579707274,1.8863636363636365,1.9,1.92,1.58,1.9037575757575758,True,True
2022-07-27,1.8809090909090909,208,2,7,-0.42500033996955394,-0.9051931898913975,1.8836363636363636,1.9,1.92,1.58,1.9024545454545454,True,True
2022-07-28,1.8781818181818182,209,3,7,-0.4405187843504952,-0.8977433935342336,1.8809090909090909,1.8972727272727272,1.92,1.58,1.9010606060606061,True,True
2022-07-29,1.8754545454545455,210,4,7,-0.455906693508459,-0.8900275764346766,1.8781818181818182,1.8945454545454545,1.92,1.58,1.8995757575757575,True,True
2022-07-30,1.8727272727272728,211,5,7,-0.47115950767386394,-0.8820480249558535,1.8754545454545455,1.8918181818181818,1.92,1.58,1.898,True,True
2022-07-31,1.87,212,6,7,-0.4862727071086902,-0.8738071036110807,1.8727272727272728,1.8890909090909092,1.918,1.58,1.8963999999999999,True,True
2022-08-01,1.87,213,0,8,-0.5012418134457756,-0.8653072543632061,1.87,1.8863636363636365,1.916,1.58,1.8948666666666667,True,True
2022-08-02,1.87,214,1,8,-0.5160623910158526,-0.8565509959010037,1.87,1.8836363636363636,1.914,1.58,1.8934,True,True
2022-08-03,1.87,215,2,8,-0.5307300481619331,-0.8475409228928312,1.87,1.8809090909090909,1.912,1.58,1.892,True,True
2022-08-04,1.87,216,3,8,-0.5452404385406507,-0.8382797052177745,1.87,1.8781818181818182,1.91,1.58,1.8906666666666667,True,True
2022-08-05,1.87,217,4,8,-0.5595892624101763,-0.828770087174504,1.87,1.8754545454545455,1.908,1.58,1.8893999999999997,True,True
2022-08-06,1.87,218,5,8,-0.5737722679043243,-0.8190148866680802,1.87,1.8727272727272728,1.906,1.58,1.8882,True,True
2022-08-07,1.87,219,6,8,-0.5877852522924734,-0.8090169943749472,1.87,1.87,1.904,1.58,1.8870666666666667,True,True
2022-08-08,1.87,220,0,8,-0.6016240632249227,-0.7987793728863648,1.87,1.87,1.902,1.58,1.886,True,True
2022-08-09,1.87,221,1,8,-0.6152845999633277,-0.7883050558305253,1.87,1.87,1.9,1.58,1.8850000000000002,True,True
2022-08-10,1.87,222,2,8,-0.6287628145958345,-0.7775971469736268,1.87,1.87,1.9,1.58,1.8840000000000001,True,True
2022-08-11,1.87,223,3,8,-0.6420547132365636,-0.7666588193001592,1.87,1.87,1.9,1.58,1.8829999999999998,True,True
2022-08-12,1.87,224,4,8,-0.655156357209085,-0.7554933140726804,1.87,1.87,1.9,1.58,1.8820000000000001,True,True
2022-08-13,1.87,225,5,8,-0.6680638642135333,-0.7441039398713608,1.87,1.87,1.9,1.58,1.881,True,True
2022-08-14,1.87,226,6,8,-0.6807734094770159,-0.7324940716135792,1.87,1.87,1.9,1.58,1.8800000000000001,True,True
2022-08-15,1.87,227,0,8,-0.6932812268869771,-0.7206671495538615,1.87,1.87,1.9,1.58,1.8790000000000002,True,True
2022-08-16,1.87,228,1,8,-0.7055836101071774,-0.70862667826446,1.87,1.87,1.9,1.58,1.878,True,True
2022-08-17,1.87,229,2,8,-0.7176769136759615,-0.6963762255968726,1.87,1.87,1.9,1.58,1.877,True,True
2022-08-18,1.87,230,3,8,-0.7295575540864876,-0.6839194216246105,1.87,1.87,1.9,1.58,1.8760000000000001,True,True
2022-08-19,1.87,231,4,8,-0.7412220108485957,-0.6712599575675315,1.87,1.87,1.9,1.58,1.875,True,True
2022-08-20,1.87,232,5,8,-0.7526668275320083,-0.6584015846980489,1.87,1.87,1.8972727272727272,1.58,1.8740909090909093,True,True
2022-08-21,1.87,233,6,8,-0.7638886127905429,-0.64534811322955,1.87,1.87,1.8945454545454545,1.58,1.8732727272727274,True,True
2022-08-22,1.87,234,0,8,-0.7748840413670406,-0.6321034111873488,1.87,1.87,1.8918181818181818,1.58,1.8725454545454547,True,True
2022-08-23,1.87,235,1,8,-0.7856498550787144,-0.6186714032625032,1.87,1.87,1.8890909090909092,1.58,1.8719090909090912,True,True
2022-08-24,1.87,236,2,8,-0.7961828637826154,-0.6050560696488494,1.87,1.87,1.8863636363636365,1.58,1.8713636363636363,True,True
