pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_瘦,specInfo_肥,prodPcat_猪肉类
2022-07-17,14.0,198,6,7,-0.2636654927280072,-0.9646141756912435,14.0,14.75,9.75,8.5,12.879166666666666,True,False,True
2022-07-17,13.0,198,6,7,-0.2636654927280072,-0.9646141756912435,13.0,14.0,9.0,7.5,12.054166666666667,False,True,True
2022-07-18,14.25,199,0,7,-0.2802306751992161,-0.9599326896597445,14.0,14.75,9.75,8.75,13.029166666666667,True,False,True
2022-07-18,13.5,199,0,7,-0.2802306751992161,-0.9599326896597445,13.0,13.875,9.0,7.8125,12.204166666666667,False,True,True
2022-07-19,13.5,200,1,7,-0.2967128192734901,-0.9549667548552553,14.25,14.75,9.75,9.0,13.154166666666667,True,False,True
2022-07-19,12.5,200,1,7,-0.2967128192734901,-0.9549667548552553,13.5,13.75,9.0,8.125,12.320833333333333,False,True,True
2022-07-20,13.5,201,2,7,-0.3131070409358267,-0.9497178427914317,13.5,14.5,10.0,9.25,13.270833333333334,True,False,True
2022-07-20,12.75,201,2,7,-0.3131070409358267,-0.9497178427914317,12.5,13.25,9.0,8.4375,12.445833333333333,False,True,True
2022-07-21,13.25,202,3,7,-0.3294084822245302,-0.9441875088341994,13.5,14.25,10.0,9.5,13.379166666666666,True,False,True
2022-07-21,12.5,202,3,7,-0.3294084822245302,-0.9441875088341994,12.75,13.5,9.25,8.75,12.554166666666667,False,True,True
2022-07-22,13.25,203,4,7,-0.3456123126707333,-0.9383773917408642,13.25,14.0,10.25,9.5,13.479166666666666,True,False,True
2022-07-22,12.5,203,4,7,-0.3456123126707333,-0.9383773917408642,12.5,13.0,9.75,8.5,12.645833333333334,False,True,True
2022-07-23,13.25,204,5,7,-0.3617137307297674,-0.9322892131745134,13.25,14.0,10.75,9.5,13.5625,True,False,True
2022-07-23,12.5,204,5,7,-0.3617137307297674,-0.9322892131745134,12.5,13.0,10.25,8.5,12.720833333333333,False,True,True
2022-07-24,12.5,205,6,7,-0.37770796520396466,-0.9259247771938499,12.5,13.0,10.25,8.5,12.795833333333333,False,True,True
2022-07-24,13.5,205,6,7,-0.37770796520396466,-0.9259247771938499,13.25,14.0,10.75,9.5,13.654166666666667,True,False,True
2022-07-25,12.5,206,0,7,-0.39359027665646645,-0.9192859697186105,12.5,13.5,10.25,8.5,12.870833333333334,False,True,True
2022-07-25,13.5,206,0,7,-0.39359027665646645,-0.9192859697186105,13.5,14.25,10.75,9.5,13.745833333333334,True,False,True
2022-07-26,12.5,207,1,7,-0.4093559588156211,-0.9123747579707274,12.5,12.5,10.25,8.5,12.945833333333333,False,True,True
2022-07-26,13.5,207,1,7,-0.4093559588156211,-0.9123747579707274,13.5,13.5,11.0,9.5,13.829166666666667,True,False,True
2022-07-27,12.25,208,2,7,-0.42500033996955394,-0.9051931898913975,12.5,12.75,11.5,8.25,12.970833333333333,False,True,True
2022-07-27,13.25,208,2,7,-0.42500033996955394,-0.9051931898913975,13.5,13.5,12.25,9.0,13.8625,True,False,True
2022-07-28,12.75,209,3,7,-0.4405187843504952,-0.8977433935342336,13.25,13.25,12.25,9.0,13.879166666666666,True,False,True
2022-07-28,12.0,209,3,7,-0.4405187843504952,-0.8977433935342336,12.25,12.5,11.75,8.0,12.979166666666666,False,True,True
2022-07-29,12.75,210,4,7,-0.455906693508459,-0.8900275764346766,12.75,13.25,12.875,9.0,13.875,True,False,True
2022-07-29,12.0,210,4,7,-0.455906693508459,-0.8900275764346766,12.0,12.5,12.25,8.0,12.970833333333333,False,True,True
2022-07-30,13.25,211,5,7,-0.47115950767386394,-0.8820480249558535,12.75,13.25,13.5,9.0,13.866666666666667,True,False,True
2022-07-30,12.5,211,5,7,-0.47115950767386394,-0.8820480249558535,12.0,12.5,12.75,8.25,12.9625,False,True,True
2022-07-31,13.0,212,6,7,-0.4862727071086902,-0.8738071036110807,12.5,12.5,12.0,8.375,12.995833333333334,False,True,True
2022-07-31,13.75,212,6,7,-0.4862727071086902,-0.8738071036110807,13.25,13.5,13.0,9.5,13.891666666666667,True,False,True
2022-08-01,12.5,213,0,8,-0.5012418134457756,-0.8653072543632061,13.0,12.5,12.0,8.5,13.0125,False,True,True
2022-08-01,13.25,213,0,8,-0.5012418134457756,-0.8653072543632061,13.75,13.5,12.75,9.5,13.908333333333333,True,False,True
2022-08-02,12.0,214,1,8,-0.5160623910158526,-0.8565509959010037,12.5,12.5,12.0,8.5,13.0125,False,True,True
2022-08-02,12.75,214,1,8,-0.5160623910158526,-0.8565509959010037,13.25,13.5,13.0,9.5,13.9,True,False,True
2022-08-03,12.0,215,2,8,-0.5307300481619331,-0.8475409228928312,12.0,12.25,13.0,8.5,12.979166666666666,False,True,True
2022-08-03,12.75,215,2,8,-0.5307300481619331,-0.8475409228928312,12.75,13.25,14.0,9.5,13.858333333333333,True,False,True
2022-08-04,12.5,216,3,8,-0.5452404385406507,-0.8382797052177745,12.75,12.75,15.0,9.5,13.775,True,False,True
2022-08-04,11.5,216,3,8,-0.5452404385406507,-0.8382797052177745,12.0,12.0,14.0,8.5,12.895833333333334,False,True,True
2022-08-05,12.5,217,4,8,-0.5595892624101763,-0.828770087174504,12.5,12.75,15.5,9.5,13.675,True,False,True
2022-08-05,11.5,217,4,8,-0.5595892624101763,-0.828770087174504,11.5,12.0,14.5,8.5,12.795833333333333,False,True,True
2022-08-06,11.5,218,5,8,-0.5737722679043243,-0.8190148866680802,11.5,12.5,14.0,8.75,12.7125,False,True,True
2022-08-06,12.5,218,5,8,-0.5737722679043243,-0.8190148866680802,12.5,13.25,15.0,9.5,13.591666666666667,True,False,True
2022-08-07,11.5,219,6,8,-0.5877852522924734,-0.8090169943749472,11.5,13.0,13.5,8.5,12.645833333333334,False,True,True
2022-08-07,12.875,219,6,8,-0.5877852522924734,-0.8090169943749472,12.5,13.75,14.5,9.5,13.5375,True,False,True
2022-08-08,13.25,220,0,8,-0.6016240632249227,-0.7987793728863648,12.875,13.25,14.75,9.5,13.4875,True,False,True
2022-08-08,12.5,220,0,8,-0.6016240632249227,-0.7987793728863648,11.5,12.5,14.0,8.5,12.595833333333333,False,True,True
2022-08-09,12.5,221,1,8,-0.6152845999633277,-0.7883050558305253,12.5,12.0,14.0,8.0,12.545833333333333,False,True,True
2022-08-09,13.25,221,1,8,-0.6152845999633277,-0.7883050558305253,13.25,12.75,14.75,9.0,13.4375,True,False,True
2022-08-10,12.25,222,2,8,-0.6287628145958345,-0.7775971469736268,12.5,12.0,13.875,8.0,12.491666666666667,False,True,True
2022-08-10,13.0,222,2,8,-0.6287628145958345,-0.7775971469736268,13.25,12.75,14.75,8.75,13.379166666666666,True,False,True
2022-08-11,12.75,223,3,8,-0.6420547132365636,-0.7666588193001592,13.0,12.5,14.75,8.75,13.3125,True,False,True
2022-08-11,12.0,223,3,8,-0.6420547132365636,-0.7666588193001592,12.25,11.5,13.75,8.0,12.433333333333334,False,True,True
2022-08-12,12.75,224,4,8,-0.655156357209085,-0.7554933140726804,12.75,12.5,14.5,8.75,13.254166666666666,True,False,True
2022-08-12,12.0,224,4,8,-0.655156357209085,-0.7554933140726804,12.0,11.5,13.25,8.0,12.391666666666667,False,True,True
2022-08-13,12.0,225,5,8,-0.6680638642135333,-0.7441039398713608,12.0,11.5,13.5,8.0,12.341666666666667,False,True,True
2022-08-13,12.75,225,5,8,-0.6680638642135333,-0.7441039398713608,12.75,12.5,14.25,8.75,13.204166666666667,True,False,True
2022-08-14,11.75,226,6,8,-0.6807734094770159,-0.7324940716135792,12.0,11.5,13.0,8.0,12.3,False,True,True
2022-08-14,12.25,226,6,8,-0.6807734094770159,-0.7324940716135792,12.75,12.875,14.0,9.0,13.145833333333334,True,False,True
2022-08-15,11.5,227,0,8,-0.6932812268869771,-0.7206671495538615,11.75,12.5,13.0,8.0,12.25,False,True,True
2022-08-15,12.25,227,0,8,-0.6932812268869771,-0.7206671495538615,12.25,13.25,14.0,8.75,13.0875,True,False,True
2022-08-16,12.0,228,1,8,-0.7055836101071774,-0.70862667826446,11.5,12.5,13.0,9.0,12.216666666666667,False,True,True
2022-08-16,12.75,228,1,8,-0.7055836101071774,-0.70862667826446,12.25,13.25,14.0,10.0,13.045833333333333,True,False,True
2022-08-17,11.5,229,2,8,-0.7176769136759615,-0.6963762255968726,12.0,12.25,13.5,8.5,12.15,False,True,True
