pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_>100g,specInfo_<100g,prodPcat_淡水鱼
2022-07-17,20.0,198,6,7,-0.2636654927280072,-0.9646141756912435,20.0,20.0,22.0,20.0,20.2,True,False,True
2022-07-17,19.0,198,6,7,-0.2636654927280072,-0.9646141756912435,19.0,21.0,23.0,19.0,20.866666666666667,False,True,True
2022-07-18,21.0,199,0,7,-0.2802306751992161,-0.9599326896597445,20.0,20.0,22.0,20.125,20.166666666666668,True,False,True
2022-07-18,20.0,199,0,7,-0.2802306751992161,-0.9599326896597445,19.0,21.0,23.0,19.0,20.766666666666666,False,True,True
2022-07-19,21.0,200,1,7,-0.2967128192734901,-0.9549667548552553,21.0,20.0,22.0,20.25,20.133333333333333,True,False,True
2022-07-19,20.0,200,1,7,-0.2967128192734901,-0.9549667548552553,20.0,21.0,23.0,19.0,20.666666666666668,False,True,True
2022-07-20,21.0,201,2,7,-0.3131070409358267,-0.9497178427914317,21.0,20.0,22.0,20.375,20.1,True,False,True
2022-07-20,20.0,201,2,7,-0.3131070409358267,-0.9497178427914317,20.0,19.0,23.0,19.0,20.566666666666666,False,True,True
2022-07-21,23.0,202,3,7,-0.3294084822245302,-0.9441875088341994,21.0,20.0,20.0,20.5,20.2,True,False,True
2022-07-21,20.25,202,3,7,-0.3294084822245302,-0.9441875088341994,20.0,19.0,21.0,19.0,20.541666666666668,False,True,True
2022-07-22,23.0,203,4,7,-0.3456123126707333,-0.9383773917408642,23.0,20.0,20.0,20.5,20.3,True,False,True
2022-07-22,20.5,203,4,7,-0.3456123126707333,-0.9383773917408642,20.25,19.0,21.0,19.0,20.525,False,True,True
2022-07-23,23.0,204,5,7,-0.3617137307297674,-0.9322892131745134,23.0,20.0,20.0,20.5,20.4,True,False,True
2022-07-23,20.5,204,5,7,-0.3617137307297674,-0.9322892131745134,20.5,19.0,21.0,19.0,20.508333333333333,False,True,True
2022-07-24,20.5,205,6,7,-0.37770796520396466,-0.9259247771938499,20.5,19.0,21.0,19.0,20.491666666666667,False,True,True
2022-07-24,23.0,205,6,7,-0.37770796520396466,-0.9259247771938499,23.0,20.0,20.0,20.5,20.5,True,False,True
2022-07-25,20.5,206,0,7,-0.39359027665646645,-0.9192859697186105,20.5,20.0,21.0,19.0,20.475,False,True,True
2022-07-25,23.0,206,0,7,-0.39359027665646645,-0.9192859697186105,23.0,21.0,20.0,20.5,20.6,True,False,True
2022-07-26,20.5,207,1,7,-0.4093559588156211,-0.9123747579707274,20.5,20.0,21.0,19.0,20.458333333333332,False,True,True
2022-07-26,23.0,207,1,7,-0.4093559588156211,-0.9123747579707274,23.0,21.0,20.0,20.5,20.7,True,False,True
2022-07-27,20.5,208,2,7,-0.42500033996955394,-0.9051931898913975,20.5,20.0,21.0,19.0,20.441666666666666,False,True,True
2022-07-27,23.0,208,2,7,-0.42500033996955394,-0.9051931898913975,23.0,21.0,20.0,20.5,20.8,True,False,True
2022-07-28,23.0,209,3,7,-0.4405187843504952,-0.8977433935342336,23.0,23.0,20.0,20.5,20.9,True,False,True
2022-07-28,20.5,209,3,7,-0.4405187843504952,-0.8977433935342336,20.5,20.25,21.0,18.5,20.425,False,True,True
2022-07-29,23.0,210,4,7,-0.455906693508459,-0.8900275764346766,23.0,23.0,20.0,20.5,21.0,True,False,True
2022-07-29,20.5,210,4,7,-0.455906693508459,-0.8900275764346766,20.5,20.5,21.0,18.5,20.408333333333335,False,True,True
2022-07-30,23.0,211,5,7,-0.47115950767386394,-0.8820480249558535,23.0,23.0,20.0,20.5,21.1,True,False,True
2022-07-30,20.5,211,5,7,-0.47115950767386394,-0.8820480249558535,20.5,20.5,21.0,18.5,20.391666666666666,False,True,True
2022-07-31,20.5,212,6,7,-0.4862727071086902,-0.8738071036110807,20.5,20.5,21.0,18.5,20.375,False,True,True
2022-07-31,23.0,212,6,7,-0.4862727071086902,-0.8738071036110807,23.0,23.0,20.0,20.5,21.2,True,False,True
2022-08-01,20.5,213,0,8,-0.5012418134457756,-0.8653072543632061,20.5,20.5,21.0,18.5,20.358333333333334,False,True,True
2022-08-01,23.0,213,0,8,-0.5012418134457756,-0.8653072543632061,23.0,23.0,20.0,20.5,21.3,True,False,True
2022-08-02,20.5,214,1,8,-0.5160623910158526,-0.8565509959010037,20.5,20.5,21.0,18.5,20.341666666666665,False,True,True
2022-08-02,22.5,214,1,8,-0.5160623910158526,-0.8565509959010037,23.0,23.0,20.0,20.5,21.383333333333333,True,False,True
2022-08-03,20.5,215,2,8,-0.5307300481619331,-0.8475409228928312,20.5,20.5,21.0,18.5,20.325,False,True,True
2022-08-03,22.5,215,2,8,-0.5307300481619331,-0.8475409228928312,22.5,23.0,20.0,20.5,21.466666666666665,True,False,True
2022-08-04,22.5,216,3,8,-0.5452404385406507,-0.8382797052177745,22.5,23.0,20.0,20.5,21.55,True,False,True
2022-08-04,20.0,216,3,8,-0.5452404385406507,-0.8382797052177745,20.5,20.5,21.0,18.5,20.291666666666668,False,True,True
2022-08-05,22.5,217,4,8,-0.5595892624101763,-0.828770087174504,22.5,23.0,20.0,20.5,21.633333333333333,True,False,True
2022-08-05,20.0,217,4,8,-0.5595892624101763,-0.828770087174504,20.0,20.5,21.0,18.5,20.258333333333333,False,True,True
2022-08-06,20.0,218,5,8,-0.5737722679043243,-0.8190148866680802,20.0,20.5,21.0,18.5,20.225,False,True,True
2022-08-06,22.5,218,5,8,-0.5737722679043243,-0.8190148866680802,22.5,23.0,20.0,20.5,21.716666666666665,True,False,True
2022-08-07,20.0,219,6,8,-0.5877852522924734,-0.8090169943749472,20.0,20.5,21.0,18.5,20.191666666666666,False,True,True
2022-08-07,22.5,219,6,8,-0.5877852522924734,-0.8090169943749472,22.5,23.0,20.0,20.5,21.8,True,False,True
2022-08-08,22.5,220,0,8,-0.6016240632249227,-0.7987793728863648,22.5,23.0,20.0,20.5,21.883333333333333,True,False,True
2022-08-08,20.0,220,0,8,-0.6016240632249227,-0.7987793728863648,20.0,20.5,21.0,18.5,20.158333333333335,False,True,True
2022-08-09,20.0,221,1,8,-0.6152845999633277,-0.7883050558305253,20.0,20.5,21.0,18.5,20.125,False,True,True
2022-08-09,22.5,221,1,8,-0.6152845999633277,-0.7883050558305253,22.5,22.5,20.0,20.5,21.966666666666665,True,False,True
2022-08-10,20.0,222,2,8,-0.6287628145958345,-0.7775971469736268,20.0,20.5,21.0,18.5,20.091666666666665,False,True,True
2022-08-10,22.5,222,2,8,-0.6287628145958345,-0.7775971469736268,22.5,22.5,20.0,20.5,22.05,True,False,True
2022-08-11,22.5,223,3,8,-0.6420547132365636,-0.7666588193001592,22.5,22.5,20.0,20.5,22.133333333333333,True,False,True
2022-08-11,20.0,223,3,8,-0.6420547132365636,-0.7666588193001592,20.0,20.0,21.0,18.5,20.058333333333334,False,True,True
2022-08-12,22.5,224,4,8,-0.655156357209085,-0.7554933140726804,22.5,22.5,20.0,20.5,22.216666666666665,True,False,True
2022-08-12,20.0,224,4,8,-0.655156357209085,-0.7554933140726804,20.0,20.0,19.0,18.5,20.091666666666665,False,True,True
2022-08-13,20.0,225,5,8,-0.6680638642135333,-0.7441039398713608,20.0,20.0,19.0,18.5,20.125,False,True,True
2022-08-13,22.25,225,5,8,-0.6680638642135333,-0.7441039398713608,22.5,22.5,20.0,20.5,22.291666666666668,True,False,True
2022-08-14,20.0,226,6,8,-0.6807734094770159,-0.7324940716135792,20.0,20.0,19.0,18.5,20.158333333333335,False,True,True
2022-08-14,22.0,226,6,8,-0.6807734094770159,-0.7324940716135792,22.25,22.5,20.0,20.5,22.358333333333334,True,False,True
2022-08-15,20.0,227,0,8,-0.6932812268869771,-0.7206671495538615,20.0,20.0,19.0,18.5,20.191666666666666,False,True,True
2022-08-15,22.0,227,0,8,-0.6932812268869771,-0.7206671495538615,22.0,22.5,20.0,20.5,22.425,True,False,True
2022-08-16,20.0,228,1,8,-0.7055836101071774,-0.70862667826446,20.0,20.0,19.0,18.5,20.225,False,True,True
2022-08-16,22.0,228,1,8,-0.7055836101071774,-0.70862667826446,22.0,22.5,20.0,20.5,22.491666666666667,True,False,True
2022-08-17,20.0,229,2,8,-0.7176769136759615,-0.6963762255968726,20.0,20.0,20.0,18.5,20.225,False,True,True
2022-08-17,22.0,229,2,8,-0.7176769136759615,-0.6963762255968726,22.0,22.5,21.0,20.5,22.525,True,False,True
2022-08-18,20.0,230,3,8,-0.7295575540864876,-0.6839194216246105,20.0,20.0,20.0,18.5,20.225,False,True,True
2022-08-18,22.0,230,3,8,-0.7295575540864876,-0.6839194216246105,22.0,22.5,21.0,20.5,22.558333333333334,True,False,True
2022-08-19,22.0,231,4,8,-0.7412220108485957,-0.6712599575675315,22.0,22.5,21.0,20.5,22.591666666666665,True,False,True
2022-08-19,20.0,231,4,8,-0.7412220108485957,-0.6712599575675315,20.0,20.0,20.0,18.5,20.225,False,True,True
2022-08-20,20.0,232,5,8,-0.7526668275320083,-0.6584015846980489,20.0,20.0,20.25,18.5,20.216666666666665,False,True,True
2022-08-20,22.0,232,5,8,-0.7526668275320083,-0.6584015846980489,22.0,22.25,23.0,20.5,22.558333333333334,True,False,True
2022-08-21,22.0,233,6,8,-0.7638886127905429,-0.64534811322955,22.0,22.0,23.0,20.5,22.525,True,False,True
2022-08-21,20.0,233,6,8,-0.7638886127905429,-0.64534811322955,20.0,20.0,20.5,18.5,20.2,False,True,True
2022-08-22,22.0,234,0,8,-0.7748840413670406,-0.6321034111873488,22.0,22.0,23.0,20.5,22.491666666666667,True,False,True
2022-08-22,20.0,234,0,8,-0.7748840413670406,-0.6321034111873488,20.0,20.0,20.5,18.5,20.183333333333334,False,True,True
2022-08-23,22.0,235,1,8,-0.7856498550787144,-0.6186714032625032,22.0,22.0,23.0,20.5,22.458333333333332,True,False,True
2022-08-23,20.0,235,1,8,-0.7856498550787144,-0.6186714032625032,20.0,20.0,20.5,18.5,20.166666666666668,False,True,True
2022-08-24,22.0,236,2,8,-0.7961828637826154,-0.6050560696488494,22.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-24,20.0,236,2,8,-0.7961828637826154,-0.6050560696488494,20.0,20.0,20.5,18.5,20.15,False,True,True
2022-08-25,20.0,237,3,8,-0.8064799463209447,-0.5912614448635782,20.0,20.0,20.5,18.5,20.133333333333333,False,True,True
2022-08-25,23.0,237,3,8,-0.8064799463209447,-0.5912614448635782,22.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-26,20.0,238,4,8,-0.8165380514459157,-0.5772916165517278,20.0,20.0,20.5,18.5,20.116666666666667,False,True,True
2022-08-26,23.0,238,4,8,-0.8165380514459157,-0.5772916165517278,23.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-27,20.0,239,5,8,-0.8263541987239094,-0.5631507242749187,20.0,20.0,20.5,18.5,20.1,False,True,True
2022-08-27,23.0,239,5,8,-0.8263541987239094,-0.5631507242749187,23.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-28,23.0,240,6,8,-0.8359254794186365,-0.5488429582847199,23.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-28,20.0,240,6,8,-0.8359254794186365,-0.5488429582847199,20.0,20.0,20.5,18.5,20.083333333333332,False,True,True
2022-08-29,20.0,241,0,8,-0.8452490573530634,-0.5343725582809785,20.0,20.0,20.5,18.5,20.066666666666666,False,True,True
2022-08-29,23.0,241,0,8,-0.8452490573530634,-0.5343725582809785,23.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-30,23.0,242,1,8,-0.8543221697498269,-0.5197438121555157,23.0,22.0,23.0,20.5,22.425,True,False,True
2022-08-30,20.0,242,1,8,-0.8543221697498269,-0.5197438121555157,20.0,20.0,20.5,18.5,20.05,False,True,True
2022-08-31,20.0,243,2,8,-0.8631421280499115,-0.5049610547215202,20.0,20.0,20.5,18.5,20.033333333333335,False,True,True
2022-08-31,23.0,243,2,8,-0.8631421280499115,-0.5049610547215202,23.0,22.0,23.0,20.5,22.425,True,False,True
2022-09-01,20.0,244,3,9,-0.8717063187093217,-0.4900286664290594,20.0,20.0,20.5,18.5,20.016666666666666,False,True,True
2022-09-01,23.0,244,3,9,-0.8717063187093217,-0.4900286664290594,23.0,23.0,22.5,20.5,22.441666666666666,True,False,True
2022-09-02,23.0,245,4,9,-0.8800122039735356,-0.4749510720670502,23.0,23.0,22.5,20.5,22.458333333333332,True,False,True
2022-09-02,20.0,245,4,9,-0.8800122039735356,-0.4749510720670502,20.0,20.0,20.5,18.5,20.0,False,True,True
2022-09-03,23.0,246,5,9,-0.888057322629493,-0.4597327394521046,23.0,23.0,22.5,20.5,22.475,True,False,True
2022-09-03,20.0,246,5,9,-0.888057322629493,-0.4597327394521046,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-04,20.0,247,6,9,-0.8958392907349089,-0.4443781781046134,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-04,23.0,247,6,9,-0.8958392907349089,-0.4443781781046134,23.0,23.0,22.5,20.5,22.491666666666667,True,False,True
2022-09-05,20.0,248,0,9,-0.9033558023246842,-0.4288919379124841,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-05,23.0,248,0,9,-0.9033558023246842,-0.4288919379124841,23.0,23.0,22.5,20.5,22.508333333333333,True,False,True
2022-09-06,20.0,249,1,9,-0.9106046300942162,-0.41327860778290443,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-06,23.0,249,1,9,-0.9106046300942162,-0.41327860778290443,23.0,23.0,22.5,20.5,22.525,True,False,True
2022-09-07,23.0,250,2,9,-0.9175836260593934,-0.3975428142825566,23.0,23.0,22.5,20.5,22.541666666666668,True,False,True
2022-09-07,20.0,250,2,9,-0.9175836260593934,-0.3975428142825566,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-08,20.0,251,3,9,-0.9242907221930934,-0.3816892202666586,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-08,23.0,251,3,9,-0.9242907221930934,-0.3816892202666586,23.0,23.0,22.5,20.5,22.558333333333334,True,False,True
2022-09-09,23.0,252,4,9,-0.9307239310379793,-0.3657225234972692,23.0,23.0,22.5,20.5,22.575,True,False,True
2022-09-09,20.0,252,4,9,-0.9307239310379793,-0.3657225234972692,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-10,23.0,253,5,9,-0.9368813462954315,-0.34964745525122826,23.0,23.0,22.5,20.5,22.591666666666665,True,False,True
2022-09-10,20.0,253,5,9,-0.9368813462954315,-0.34964745525122826,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-11,23.0,254,6,9,-0.9427611433904206,-0.33346877891818705,23.0,23.0,22.5,20.5,22.608333333333334,True,False,True
2022-09-11,20.0,254,6,9,-0.9427611433904206,-0.33346877891818705,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-12,20.0,255,0,9,-0.9483615800121716,-0.31719128858910595,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-12,23.0,255,0,9,-0.9483615800121716,-0.31719128858910595,23.0,23.0,22.25,20.5,22.633333333333333,True,False,True
2022-09-13,23.0,256,1,9,-0.9536809966304455,-0.300819807635668,23.0,23.0,22.0,20.5,22.666666666666668,True,False,True
2022-09-13,20.0,256,1,9,-0.9536809966304455,-0.300819807635668,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-14,23.0,257,2,9,-0.9587178169872964,-0.2843591872810036,23.0,23.0,22.0,20.5,22.7,True,False,True
2022-09-14,20.0,257,2,9,-0.9587178169872964,-0.2843591872810036,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-15,23.0,258,3,9,-0.9634705485641486,-0.26781430516217486,23.0,23.0,22.0,20.5,22.733333333333334,True,False,True
2022-09-15,20.0,258,3,9,-0.9634705485641486,-0.26781430516217486,20.0,20.0,20.0,18.5,20.0,False,True,True
2022-09-16,20.0,259,4,9,-0.9679377830240642,-0.25119006388481957,20.0,20.0,20.0,18.5,20.0,False,True,True
