pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_UNKNOWN
2022-08-10,30.0,222,2,8,-0.6287628145958345,-0.7775971469736268,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-11,30.0,223,3,8,-0.6420547132365636,-0.7666588193001592,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-12,30.0,224,4,8,-0.655156357209085,-0.7554933140726804,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-13,30.0,225,5,8,-0.6680638642135333,-0.7441039398713608,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-14,30.0,226,6,8,-0.6807734094770159,-0.7324940716135792,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-15,30.0,227,0,8,-0.6932812268869771,-0.7206671495538615,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-16,30.0,228,1,8,-0.7055836101071774,-0.70862667826446,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-17,30.0,229,2,8,-0.7176769136759615,-0.6963762255968726,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-18,30.0,230,3,8,-0.7295575540864876,-0.6839194216246105,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-19,30.0,231,4,8,-0.7412220108485957,-0.6712599575675315,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-20,30.0,232,5,8,-0.7526668275320083,-0.6584015846980489,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-21,30.0,233,6,8,-0.7638886127905429,-0.64534811322955,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-22,30.0,234,0,8,-0.7748840413670406,-0.6321034111873488,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-23,30.0,235,1,8,-0.7856498550787144,-0.6186714032625032,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-24,30.0,236,2,8,-0.7961828637826154,-0.6050560696488494,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-25,30.0,237,3,8,-0.8064799463209447,-0.5912614448635782,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-26,30.0,238,4,8,-0.8165380514459157,-0.5772916165517278,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-27,30.0,239,5,8,-0.8263541987239094,-0.5631507242749187,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-28,30.0,240,6,8,-0.8359254794186365,-0.5488429582847199,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-29,30.0,241,0,8,-0.8452490573530634,-0.5343725582809785,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-30,30.0,242,1,8,-0.8543221697498269,-0.5197438121555157,30.0,30.0,30.0,42.0,30.0,True,True
2022-08-31,30.0,243,2,8,-0.8631421280499115,-0.5049610547215202,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-01,30.0,244,3,9,-0.8717063187093217,-0.4900286664290594,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-02,30.0,245,4,9,-0.8800122039735356,-0.4749510720670502,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-03,30.0,246,5,9,-0.888057322629493,-0.4597327394521046,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-04,30.0,247,6,9,-0.8958392907349089,-0.4443781781046134,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-05,30.0,248,0,9,-0.9033558023246842,-0.4288919379124841,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-06,30.0,249,1,9,-0.9106046300942162,-0.41327860778290443,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-07,30.0,250,2,9,-0.9175836260593934,-0.3975428142825566,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-08,30.0,251,3,9,-0.9242907221930934,-0.3816892202666586,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-09,30.0,252,4,9,-0.9307239310379793,-0.3657225234972692,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-10,30.0,253,5,9,-0.9368813462954315,-0.34964745525122826,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-11,30.0,254,6,9,-0.9427611433904206,-0.33346877891818705,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-12,30.0,255,0,9,-0.9483615800121716,-0.31719128858910595,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-13,30.0,256,1,9,-0.9536809966304455,-0.300819807635668,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-14,30.0,257,2,9,-0.9587178169872964,-0.2843591872810036,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-15,30.0,258,3,9,-0.9634705485641486,-0.26781430516217486,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-16,30.0,259,4,9,-0.9679377830240642,-0.25119006388481957,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-17,30.0,260,5,9,-0.9721181966290612,-0.23449138957041052,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-18,30.0,261,6,9,-0.9760105506323682,-0.21772323039653224,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-19,30.0,262,0,9,-0.9796136916454901,-0.20089055513063528,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-20,30.0,263,1,9,-0.9829265519799822,-0.18399835165767986,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-21,30.0,264,2,9,-0.9859481499638303,-0.1670516255021195,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-22,30.0,265,3,9,-0.9886775902323404,-0.15005539834465262,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-23,30.0,266,4,9,-0.9911140639934546,-0.13301470653419636,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-24,30.0,267,5,9,-0.9932568492674143,-0.11593459959550066,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-25,30.0,268,6,9,-0.9951053111006974,-0.09882013873287211,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-26,30.0,269,0,9,-0.99665890175417,-0.08167639533042288,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-27,30.0,270,1,9,-0.9979171608653922,-0.06450844944931625,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-28,30.0,271,2,9,-0.9988797155850335,-0.04732138832243232,30.0,30.0,30.0,42.0,30.0,True,True
2022-09-29,30.0,272,3,9,-0.9995462806873573,-0.03012030484690836,30.0,30.0,30.0,42.0,30.0,True,True
