pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-23,1.75,204,5,7,-0.3617137307297674,-0.9322892131745134,1.75,3.25,3.0,3.5,3.4833333333333334,True,True
2022-07-24,1.75,205,6,7,-0.37770796520396466,-0.9259247771938499,1.75,3.25,3.0,3.5,3.441666666666667,True,True
2022-07-25,1.75,206,0,7,-0.39359027665646645,-0.9192859697186105,1.75,3.25,3.0,3.5,3.4,True,True
2022-07-26,1.25,207,1,7,-0.4093559588156211,-0.9123747579707274,1.75,3.25,3.0,3.5,3.341666666666667,True,True
2022-07-27,1.25,208,2,7,-0.42500033996955394,-0.9051931898913975,1.25,2.25,3.0,3.5,3.283333333333333,True,True
2022-07-28,1.0,209,3,7,-0.4405187843504952,-0.8977433935342336,1.25,1.75,3.0,3.5,3.216666666666667,True,True
2022-07-29,1.0,210,4,7,-0.455906693508459,-0.8900275764346766,1.0,1.75,3.0,3.25,3.15,True,True
2022-07-30,1.0,211,5,7,-0.47115950767386394,-0.8820480249558535,1.0,1.75,4.25,2.5,3.0416666666666665,True,True
2022-07-31,1.0,212,6,7,-0.4862727071086902,-0.8738071036110807,1.0,1.75,4.25,2.5,2.933333333333333,True,True
2022-08-01,1.0,213,0,8,-0.5012418134457756,-0.8653072543632061,1.0,1.75,4.25,2.5,2.825,True,True
2022-08-02,1.15,214,1,8,-0.5160623910158526,-0.8565509959010037,1.0,1.25,4.25,2.5,2.7216666666666667,True,True
2022-08-03,2.0,215,2,8,-0.5307300481619331,-0.8475409228928312,1.15,1.25,4.25,2.5,2.646666666666667,True,True
2022-08-04,2.0,216,3,8,-0.5452404385406507,-0.8382797052177745,2.0,1.0,4.25,2.5,2.5716666666666668,True,True
2022-08-05,2.0,217,4,8,-0.5595892624101763,-0.828770087174504,2.0,1.0,4.25,2.5,2.496666666666667,True,True
2022-08-06,2.0833333333333335,218,5,8,-0.5737722679043243,-0.8190148866680802,2.0,1.0,4.25,2.5,2.4244444444444446,True,True
2022-08-07,2.1666666666666665,219,6,8,-0.5877852522924734,-0.8090169943749472,2.0833333333333335,1.0,4.25,2.5,2.355,True,True
2022-08-08,2.25,220,0,8,-0.6016240632249227,-0.7987793728863648,2.1666666666666665,1.0,4.25,2.5,2.2883333333333336,True,True
2022-08-09,2.25,221,1,8,-0.6152845999633277,-0.7883050558305253,2.25,1.15,4.25,2.5,2.2216666666666667,True,True
2022-08-10,2.25,222,2,8,-0.6287628145958345,-0.7775971469736268,2.25,2.0,4.25,2.5,2.1550000000000002,True,True
2022-08-11,2.25,223,3,8,-0.6420547132365636,-0.7666588193001592,2.25,2.0,4.25,2.5,2.0883333333333334,True,True
2022-08-12,2.25,224,4,8,-0.655156357209085,-0.7554933140726804,2.25,2.0,4.25,2.5,2.0216666666666665,True,True
