pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,25.0,201,2,7,-0.3131070409358267,-0.9497178427914317,25.0,25.0,23.5,14.5,24.775,True,True
2022-07-21,25.0,202,3,7,-0.3294084822245302,-0.9441875088341994,25.0,25.0,23.65,14.590909090909092,24.82,True,True
2022-07-22,25.0,203,4,7,-0.3456123126707333,-0.9383773917408642,25.0,25.0,23.8,14.681818181818182,24.86,True,True
2022-07-23,25.0,204,5,7,-0.3617137307297674,-0.9322892131745134,25.0,25.0,23.95,14.772727272727273,24.895,True,True
2022-07-24,25.0,205,6,7,-0.37770796520396466,-0.9259247771938499,25.0,25.0,24.1,14.863636363636363,24.925,True,True
2022-07-25,25.0,206,0,7,-0.39359027665646645,-0.9192859697186105,25.0,25.0,24.25,14.954545454545455,24.95,True,True
2022-07-26,25.0,207,1,7,-0.4093559588156211,-0.9123747579707274,25.0,25.0,24.4,15.045454545454545,24.970000000000002,True,True
2022-07-27,25.0,208,2,7,-0.42500033996955394,-0.9051931898913975,25.0,25.0,24.55,15.136363636363637,24.985,True,True
2022-07-28,25.0,209,3,7,-0.4405187843504952,-0.8977433935342336,25.0,25.0,24.7,15.227272727272727,24.995,True,True
2022-07-29,25.0,210,4,7,-0.455906693508459,-0.8900275764346766,25.0,25.0,24.85,15.318181818181818,25.0,True,True
2022-07-30,25.0,211,5,7,-0.47115950767386394,-0.8820480249558535,25.0,25.0,25.0,15.40909090909091,25.0,True,True
2022-07-31,25.0,212,6,7,-0.4862727071086902,-0.8738071036110807,25.0,25.0,25.0,15.5,25.0,True,True
2022-08-01,25.05,213,0,8,-0.5012418134457756,-0.8653072543632061,25.0,25.0,25.0,15.85,25.00166666666667,True,True
2022-08-02,25.1,214,1,8,-0.5160623910158526,-0.8565509959010037,25.05,25.0,25.0,16.2,25.005,True,True
2022-08-03,25.15,215,2,8,-0.5307300481619331,-0.8475409228928312,25.1,25.0,25.0,16.55,25.01,True,True
2022-08-04,25.2,216,3,8,-0.5452404385406507,-0.8382797052177745,25.15,25.0,25.0,16.9,25.016666666666666,True,True
2022-08-05,25.25,217,4,8,-0.5595892624101763,-0.828770087174504,25.2,25.0,25.0,17.25,25.025,True,True
2022-08-06,25.3,218,5,8,-0.5737722679043243,-0.8190148866680802,25.25,25.0,25.0,17.6,25.035000000000004,True,True
2022-08-07,25.35,219,6,8,-0.5877852522924734,-0.8090169943749472,25.3,25.0,25.0,17.95,25.046666666666667,True,True
2022-08-08,25.4,220,0,8,-0.6016240632249227,-0.7987793728863648,25.35,25.05,25.0,18.3,25.060000000000002,True,True
2022-08-09,25.45,221,1,8,-0.6152845999633277,-0.7883050558305253,25.4,25.1,25.0,18.65,25.075,True,True
