pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,specInfo_中,specInfo_小,specInfo_35头-40头,prodPcat_虾蟹类,prodPcat_其他类
2022-09-02,24.5,245,4,9,-0.8800122039735356,-0.4749510720670502,24.5,24.5,24.5,24.5,24.5,True,False,False,False,True,False
2022-09-02,53.5,245,4,9,-0.8800122039735356,-0.4749510720670502,53.5,53.5,53.5,53.5,53.5,False,True,False,False,True,False
2022-09-02,18.0,245,4,9,-0.8800122039735356,-0.4749510720670502,18.0,18.0,18.0,17.0,18.0,False,False,False,True,False,True
2022-09-02,22.5,245,4,9,-0.8800122039735356,-0.4749510720670502,22.5,22.5,22.5,22.5,22.5,False,False,True,False,True,False
2022-09-02,21.0,245,4,9,-0.8800122039735356,-0.4749510720670502,21.0,21.0,21.0,21.5,21.0,True,False,False,False,False,True
2022-09-03,24.5,246,5,9,-0.888057322629493,-0.4597327394521046,24.5,24.5,24.5,24.5,24.5,True,False,False,False,True,False
2022-09-03,18.0,246,5,9,-0.888057322629493,-0.4597327394521046,18.0,18.0,18.0,17.0,18.0,False,False,False,True,False,True
2022-09-03,22.5,246,5,9,-0.888057322629493,-0.4597327394521046,22.5,22.5,22.5,22.5,22.5,False,False,True,False,True,False
2022-09-03,21.0,246,5,9,-0.888057322629493,-0.4597327394521046,21.0,21.0,21.0,21.5,21.0,True,False,False,False,False,True
2022-09-03,53.5,246,5,9,-0.888057322629493,-0.4597327394521046,53.5,53.5,53.5,53.5,53.5,False,True,False,False,True,False
2022-09-04,18.0,247,6,9,-0.8958392907349089,-0.4443781781046134,18.0,18.0,18.0,17.0,18.0,False,False,False,True,False,True
2022-09-04,21.0,247,6,9,-0.8958392907349089,-0.4443781781046134,21.0,21.0,21.0,21.5,21.0,True,False,False,False,False,True
2022-09-04,22.5,247,6,9,-0.8958392907349089,-0.4443781781046134,22.5,22.5,22.5,22.5,22.5,False,False,True,False,True,False
2022-09-04,24.5,247,6,9,-0.8958392907349089,-0.4443781781046134,24.5,24.5,24.5,24.5,24.5,True,False,False,False,True,False
2022-09-04,53.5,247,6,9,-0.8958392907349089,-0.4443781781046134,53.5,53.5,53.5,53.5,53.5,False,True,False,False,True,False
2022-09-05,53.5,248,0,9,-0.9033558023246842,-0.4288919379124841,53.5,53.5,53.5,53.5,53.5,False,True,False,False,True,False
2022-09-05,18.0,248,0,9,-0.9033558023246842,-0.4288919379124841,18.0,18.0,18.0,17.0,18.0,False,False,False,True,False,True
2022-09-05,22.5,248,0,9,-0.9033558023246842,-0.4288919379124841,22.5,22.5,22.5,22.5,22.5,False,False,True,False,True,False
2022-09-05,24.5,248,0,9,-0.9033558023246842,-0.4288919379124841,24.5,24.5,24.5,24.5,24.5,True,False,False,False,True,False
2022-09-05,21.0,248,0,9,-0.9033558023246842,-0.4288919379124841,21.0,21.0,21.0,21.5,21.0,True,False,False,False,False,True
2022-09-06,21.0,249,1,9,-0.9106046300942162,-0.41327860778290443,21.0,21.0,21.0,21.0,21.0,True,False,False,False,False,True
2022-09-06,22.5,249,1,9,-0.9106046300942162,-0.41327860778290443,22.5,22.5,22.5,22.5,22.5,False,False,True,False,True,False
2022-09-06,53.5,249,1,9,-0.9106046300942162,-0.41327860778290443,53.5,53.5,53.5,53.5,53.5,False,True,False,False,True,False
2022-09-06,24.5,249,1,9,-0.9106046300942162,-0.41327860778290443,24.5,24.5,24.5,24.5,24.5,True,False,False,False,True,False
2022-09-06,18.0,249,1,9,-0.9106046300942162,-0.41327860778290443,18.0,18.0,18.0,17.0,18.0,False,False,False,True,False,True
2022-09-07,18.0,250,2,9,-0.9175836260593934,-0.3975428142825566,18.0,18.0,18.0,17.0,18.0,False,False,False,True,False,True
2022-09-07,24.5,250,2,9,-0.9175836260593934,-0.3975428142825566,24.5,24.5,24.5,24.5,24.5,True,False,False,False,True,False
2022-09-07,21.0,250,2,9,-0.9175836260593934,-0.3975428142825566,21.0,21.0,21.0,21.0,21.0,True,False,False,False,False,True
