pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_羊肉类
2022-07-17,24.0,198,6,7,-0.2636654927280072,-0.9646141756912435,24.0,24.25,22.75,23.5,23.816666666666666,True,True
2022-07-18,24.0,199,0,7,-0.2802306751992161,-0.9599326896597445,24.0,24.25,22.75,23.6875,23.858333333333334,True,True
2022-07-19,23.75,200,1,7,-0.2967128192734901,-0.9549667548552553,24.0,24.25,22.75,23.875,23.891666666666666,True,True
2022-07-20,23.75,201,2,7,-0.3131070409358267,-0.9497178427914317,23.75,24.25,22.75,24.0625,23.925,True,True
2022-07-21,23.75,202,3,7,-0.3294084822245302,-0.9441875088341994,23.75,24.25,23.25,24.25,23.941666666666666,True,True
2022-07-22,23.75,203,4,7,-0.3456123126707333,-0.9383773917408642,23.75,24.25,23.25,23.5,23.958333333333332,True,True
2022-07-23,23.75,204,5,7,-0.3617137307297674,-0.9322892131745134,23.75,24.0,23.25,23.5,23.975,True,True
2022-07-24,23.75,205,6,7,-0.37770796520396466,-0.9259247771938499,23.75,24.0,23.25,23.5,23.991666666666667,True,True
2022-07-25,24.25,206,0,7,-0.39359027665646645,-0.9192859697186105,23.75,24.0,23.25,23.5,24.025,True,True
2022-07-26,25.0,207,1,7,-0.4093559588156211,-0.9123747579707274,24.25,23.75,23.5,23.5,24.075,True,True
2022-07-27,26.0,208,2,7,-0.42500033996955394,-0.9051931898913975,25.0,23.75,23.5,23.5,24.158333333333335,True,True
2022-07-28,26.0,209,3,7,-0.4405187843504952,-0.8977433935342336,26.0,23.75,23.5,23.5,24.241666666666667,True,True
2022-07-29,26.0,210,4,7,-0.455906693508459,-0.8900275764346766,26.0,23.75,23.75,21.75,24.316666666666666,True,True
2022-07-30,26.0,211,5,7,-0.47115950767386394,-0.8820480249558535,26.0,23.75,24.0,21.75,24.383333333333333,True,True
2022-07-31,26.0,212,6,7,-0.4862727071086902,-0.8738071036110807,26.0,23.75,24.25,21.75,24.441666666666666,True,True
2022-08-01,26.0,213,0,8,-0.5012418134457756,-0.8653072543632061,26.0,24.25,24.25,21.75,24.5,True,True
2022-08-02,26.25,214,1,8,-0.5160623910158526,-0.8565509959010037,26.0,25.0,24.25,21.75,24.566666666666666,True,True
2022-08-03,26.25,215,2,8,-0.5307300481619331,-0.8475409228928312,26.25,26.0,24.25,21.75,24.633333333333333,True,True
2022-08-04,26.25,216,3,8,-0.5452404385406507,-0.8382797052177745,26.25,26.0,24.25,21.75,24.7,True,True
2022-08-05,26.25,217,4,8,-0.5595892624101763,-0.828770087174504,26.25,26.0,24.25,21.75,24.766666666666666,True,True
2022-08-06,26.25,218,5,8,-0.5737722679043243,-0.8190148866680802,26.25,26.0,24.25,21.75,24.833333333333332,True,True
2022-08-07,26.25,219,6,8,-0.5877852522924734,-0.8090169943749472,26.25,26.0,24.25,21.75,24.9,True,True
2022-08-08,26.25,220,0,8,-0.6016240632249227,-0.7987793728863648,26.25,26.0,24.25,21.75,24.966666666666665,True,True
2022-08-09,26.25,221,1,8,-0.6152845999633277,-0.7883050558305253,26.25,26.25,24.25,22.0,25.033333333333335,True,True
2022-08-10,26.25,222,2,8,-0.6287628145958345,-0.7775971469736268,26.25,26.25,24.25,22.0,25.1,True,True
2022-08-11,26.25,223,3,8,-0.6420547132365636,-0.7666588193001592,26.25,26.25,24.25,22.0,25.166666666666668,True,True
2022-08-12,26.25,224,4,8,-0.655156357209085,-0.7554933140726804,26.25,26.25,24.25,22.0,25.233333333333334,True,True
2022-08-13,26.0,225,5,8,-0.6680638642135333,-0.7441039398713608,26.25,26.25,24.25,22.0,25.291666666666668,True,True
2022-08-14,26.0,226,6,8,-0.6807734094770159,-0.7324940716135792,26.0,26.25,24.25,22.0,25.35,True,True
2022-08-15,26.0,227,0,8,-0.6932812268869771,-0.7206671495538615,26.0,26.25,24.0,22.0,25.416666666666668,True,True
2022-08-16,26.0,228,1,8,-0.7055836101071774,-0.70862667826446,26.0,26.25,24.0,22.0,25.483333333333334,True,True
2022-08-17,26.0,229,2,8,-0.7176769136759615,-0.6963762255968726,26.0,26.25,24.0,22.5,25.55,True,True
2022-08-18,26.0,230,3,8,-0.7295575540864876,-0.6839194216246105,26.0,26.25,23.75,23.5,25.625,True,True
2022-08-19,26.0,231,4,8,-0.7412220108485957,-0.6712599575675315,26.0,26.25,23.75,23.5,25.7,True,True
2022-08-20,26.0,232,5,8,-0.7526668275320083,-0.6584015846980489,26.0,26.0,23.75,24.25,25.775,True,True
2022-08-21,26.0,233,6,8,-0.7638886127905429,-0.64534811322955,26.0,26.0,23.75,24.375,25.85,True,True
2022-08-22,26.0,234,0,8,-0.7748840413670406,-0.6321034111873488,26.0,26.0,23.75,24.5,25.925,True,True
2022-08-23,26.0,235,1,8,-0.7856498550787144,-0.6186714032625032,26.0,26.0,23.75,26.0,26.0,True,True
2022-08-24,25.5,236,2,8,-0.7961828637826154,-0.6050560696488494,26.0,26.0,24.25,26.0,26.041666666666668,True,True
2022-08-25,25.5,237,3,8,-0.8064799463209447,-0.5912614448635782,25.5,26.0,25.0,26.0,26.058333333333334,True,True
2022-08-26,25.5,238,4,8,-0.8165380514459157,-0.5772916165517278,25.5,26.0,26.0,25.25,26.041666666666668,True,True
2022-08-27,25.5,239,5,8,-0.8263541987239094,-0.5631507242749187,25.5,26.0,26.0,25.5,26.025,True,True
2022-08-28,25.5,240,6,8,-0.8359254794186365,-0.5488429582847199,25.5,26.0,26.0,25.5,26.008333333333333,True,True
2022-08-29,25.5,241,0,8,-0.8452490573530634,-0.5343725582809785,25.5,26.0,26.0,25.5,25.991666666666667,True,True
2022-08-30,25.5,242,1,8,-0.8543221697498269,-0.5197438121555157,25.5,26.0,26.0,25.5,25.975,True,True
2022-08-31,25.5,243,2,8,-0.8631421280499115,-0.5049610547215202,25.5,25.5,26.0,25.5,25.958333333333332,True,True
2022-09-01,25.5,244,3,9,-0.8717063187093217,-0.4900286664290594,25.5,25.5,26.25,25.5,25.933333333333334,True,True
2022-09-02,25.5,245,4,9,-0.8800122039735356,-0.4749510720670502,25.5,25.5,26.25,25.5,25.908333333333335,True,True
2022-09-03,25.5,246,5,9,-0.888057322629493,-0.4597327394521046,25.5,25.5,26.25,25.5,25.883333333333333,True,True
2022-09-04,25.5,247,6,9,-0.8958392907349089,-0.4443781781046134,25.5,25.5,26.25,25.5,25.858333333333334,True,True
2022-09-05,25.25,248,0,9,-0.9033558023246842,-0.4288919379124841,25.5,25.5,26.25,25.5,25.825,True,True
2022-09-06,25.0,249,1,9,-0.9106046300942162,-0.41327860778290443,25.25,25.5,26.25,26.0,25.783333333333335,True,True
2022-09-07,25.0,250,2,9,-0.9175836260593934,-0.3975428142825566,25.0,25.5,26.25,26.0,25.741666666666667,True,True
2022-09-08,25.0,251,3,9,-0.9242907221930934,-0.3816892202666586,25.0,25.5,26.25,26.0,25.7,True,True
2022-09-09,24.75,252,4,9,-0.9307239310379793,-0.3657225234972692,25.0,25.5,26.25,26.0,25.65,True,True
2022-09-10,24.75,253,5,9,-0.9368813462954315,-0.34964745525122826,24.75,25.5,26.25,26.0,25.6,True,True
2022-09-11,24.75,254,6,9,-0.9427611433904206,-0.33346877891818705,24.75,25.5,26.25,26.0,25.55,True,True
2022-09-12,24.75,255,0,9,-0.9483615800121716,-0.31719128858910595,24.75,25.25,26.0,26.0,25.508333333333333,True,True
2022-09-13,24.75,256,1,9,-0.9536809966304455,-0.300819807635668,24.75,25.0,26.0,26.0,25.466666666666665,True,True
2022-09-14,24.75,257,2,9,-0.9587178169872964,-0.2843591872810036,24.75,25.0,26.0,25.25,25.425,True,True
2022-09-15,23.75,258,3,9,-0.9634705485641486,-0.26781430516217486,24.75,25.0,26.0,25.25,25.35,True,True
2022-09-16,23.75,259,4,9,-0.9679377830240642,-0.25119006388481957,23.75,24.75,26.0,25.5,25.275,True,True
2022-09-17,23.75,260,5,9,-0.9721181966290612,-0.23449138957041052,23.75,24.75,26.0,25.5,25.2,True,True
2022-09-18,23.75,261,6,9,-0.9760105506323682,-0.21772323039653224,23.75,24.75,26.0,25.5,25.125,True,True
2022-09-19,23.75,262,0,9,-0.9796136916454901,-0.20089055513063528,23.75,24.75,26.0,25.5,25.05,True,True
2022-09-20,23.5,263,1,9,-0.9829265519799822,-0.18399835165767986,23.75,24.75,26.0,25.5,24.966666666666665,True,True
2022-09-21,23.5,264,2,9,-0.9859481499638303,-0.1670516255021195,23.5,24.75,26.0,25.5,24.883333333333333,True,True
2022-09-22,23.5,265,3,9,-0.9886775902323404,-0.15005539834465262,23.5,23.75,26.0,25.5,24.8,True,True
2022-09-23,23.5,266,4,9,-0.9911140639934546,-0.13301470653419636,23.5,23.75,25.5,25.5,24.733333333333334,True,True
2022-09-24,23.5,267,5,9,-0.9932568492674143,-0.11593459959550066,23.5,23.75,25.5,25.5,24.666666666666668,True,True
2022-09-25,24.5,268,6,9,-0.9951053111006974,-0.09882013873287211,23.5,23.75,25.5,25.5,24.633333333333333,True,True
2022-09-26,24.5,269,0,9,-0.99665890175417,-0.08167639533042288,24.5,23.75,25.5,25.0,24.6,True,True
2022-09-27,24.5,270,1,9,-0.9979171608653922,-0.06450844944931625,24.5,23.5,25.5,25.0,24.566666666666666,True,True
2022-09-28,24.5,271,2,9,-0.9988797155850335,-0.04732138832243232,24.5,23.5,25.5,24.25,24.533333333333335,True,True
2022-09-29,24.5,272,3,9,-0.9995462806873573,-0.03012030484690836,24.5,23.5,25.5,25.0,24.5,True,True
2022-09-30,24.5,273,4,9,-0.9999166586547379,-0.012910296075008843,24.5,23.5,25.5,25.0,24.466666666666665,True,True
2022-10-01,24.5,274,5,10,-0.9999907397361901,0.004303538296243821,24.5,23.5,25.5,25.0,24.433333333333334,True,True
2022-10-02,24.5,275,6,10,-0.9997685019798909,0.021516097436222233,24.5,24.5,25.5,25.0,24.4,True,True
