pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_贝壳类,prodPcat_其他类
2022-07-17,12.0,198,6,7,-0.2636654927280072,-0.9646141756912435,12.0,12.5,12.5,12.5,12.416666666666666,True,True,False
2022-07-17,12.5,198,6,7,-0.2636654927280072,-0.9646141756912435,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-18,12.0,199,0,7,-0.2802306751992161,-0.9599326896597445,12.0,12.5,12.5,12.5,12.4,True,True,False
2022-07-18,12.5,199,0,7,-0.2802306751992161,-0.9599326896597445,12.5,12.5,12.5,12.25,12.5,True,False,True
2022-07-19,12.0,200,1,7,-0.2967128192734901,-0.9549667548552553,12.0,12.5,12.5,12.5,12.383333333333333,True,True,False
2022-07-19,12.5,200,1,7,-0.2967128192734901,-0.9549667548552553,12.5,12.5,12.5,12.5,12.5,True,False,True
2022-07-20,12.0,201,2,7,-0.3131070409358267,-0.9497178427914317,12.0,12.0,12.5,12.5,12.366666666666667,True,True,False
2022-07-20,12.5,201,2,7,-0.3131070409358267,-0.9497178427914317,12.5,12.5,12.5,12.75,12.5,True,False,True
2022-07-21,12.0,202,3,7,-0.3294084822245302,-0.9441875088341994,12.0,12.0,12.5,12.5,12.35,True,True,False
2022-07-21,12.5,202,3,7,-0.3294084822245302,-0.9441875088341994,12.5,12.5,12.5,13.0,12.5,True,False,True
2022-07-22,12.0,203,4,7,-0.3456123126707333,-0.9383773917408642,12.0,12.0,12.5,12.5,12.333333333333334,True,True,False
2022-07-22,12.5,203,4,7,-0.3456123126707333,-0.9383773917408642,12.5,12.5,12.5,13.0,12.5,True,False,True
2022-07-23,12.0,204,5,7,-0.3617137307297674,-0.9322892131745134,12.0,12.0,12.5,12.5,12.316666666666666,True,True,False
2022-07-23,12.5,204,5,7,-0.3617137307297674,-0.9322892131745134,12.5,12.5,12.5,13.0,12.5,True,False,True
2022-07-24,12.5,205,6,7,-0.37770796520396466,-0.9259247771938499,12.5,12.5,12.5,13.0,12.5,True,False,True
2022-07-24,12.0,205,6,7,-0.37770796520396466,-0.9259247771938499,12.0,12.0,12.5,12.5,12.3,True,True,False
2022-07-25,12.5,206,0,7,-0.39359027665646645,-0.9192859697186105,12.5,12.5,12.5,13.0,12.5,True,False,True
2022-07-25,12.0,206,0,7,-0.39359027665646645,-0.9192859697186105,12.0,12.0,12.5,12.5,12.283333333333333,True,True,False
2022-07-26,12.5,207,1,7,-0.4093559588156211,-0.9123747579707274,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-26,12.0,207,1,7,-0.4093559588156211,-0.9123747579707274,12.0,12.0,12.5,12.5,12.266666666666667,True,True,False
2022-07-27,12.5,208,2,7,-0.42500033996955394,-0.9051931898913975,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-27,12.0,208,2,7,-0.42500033996955394,-0.9051931898913975,12.0,12.0,12.5,12.5,12.25,True,True,False
2022-07-28,12.0,209,3,7,-0.4405187843504952,-0.8977433935342336,12.0,12.0,12.5,12.5,12.233333333333333,True,True,False
2022-07-28,12.5,209,3,7,-0.4405187843504952,-0.8977433935342336,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-29,12.0,210,4,7,-0.455906693508459,-0.8900275764346766,12.0,12.0,12.5,12.5,12.216666666666667,True,True,False
2022-07-29,12.5,210,4,7,-0.455906693508459,-0.8900275764346766,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-30,12.0,211,5,7,-0.47115950767386394,-0.8820480249558535,12.0,12.0,12.5,12.5,12.2,True,True,False
2022-07-30,12.5,211,5,7,-0.47115950767386394,-0.8820480249558535,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-31,12.5,212,6,7,-0.4862727071086902,-0.8738071036110807,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-07-31,12.0,212,6,7,-0.4862727071086902,-0.8738071036110807,12.0,12.0,12.5,12.5,12.183333333333334,True,True,False
2022-08-01,12.5,213,0,8,-0.5012418134457756,-0.8653072543632061,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-01,12.0,213,0,8,-0.5012418134457756,-0.8653072543632061,12.0,12.0,12.5,12.5,12.166666666666666,True,True,False
2022-08-02,12.5,214,1,8,-0.5160623910158526,-0.8565509959010037,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-02,12.0,214,1,8,-0.5160623910158526,-0.8565509959010037,12.0,12.0,12.5,12.5,12.15,True,True,False
2022-08-03,12.5,215,2,8,-0.5307300481619331,-0.8475409228928312,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-03,12.0,215,2,8,-0.5307300481619331,-0.8475409228928312,12.0,12.0,12.5,12.5,12.133333333333333,True,True,False
2022-08-04,12.0,216,3,8,-0.5452404385406507,-0.8382797052177745,12.0,12.0,12.5,12.5,12.116666666666667,True,True,False
2022-08-04,12.5,216,3,8,-0.5452404385406507,-0.8382797052177745,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-05,12.0,217,4,8,-0.5595892624101763,-0.828770087174504,12.0,12.0,12.5,12.5,12.1,True,True,False
2022-08-05,12.5,217,4,8,-0.5595892624101763,-0.828770087174504,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-06,12.5,218,5,8,-0.5737722679043243,-0.8190148866680802,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-06,12.0,218,5,8,-0.5737722679043243,-0.8190148866680802,12.0,12.0,12.5,12.5,12.083333333333334,True,True,False
2022-08-07,12.5,219,6,8,-0.5877852522924734,-0.8090169943749472,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-07,12.0,219,6,8,-0.5877852522924734,-0.8090169943749472,12.0,12.0,12.5,12.5,12.066666666666666,True,True,False
2022-08-08,12.0,220,0,8,-0.6016240632249227,-0.7987793728863648,12.0,12.0,12.5,12.5,12.05,True,True,False
2022-08-08,12.5,220,0,8,-0.6016240632249227,-0.7987793728863648,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-09,12.5,221,1,8,-0.6152845999633277,-0.7883050558305253,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-09,12.0,221,1,8,-0.6152845999633277,-0.7883050558305253,12.0,12.0,12.5,12.5,12.033333333333333,True,True,False
2022-08-10,12.5,222,2,8,-0.6287628145958345,-0.7775971469736268,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-10,12.0,222,2,8,-0.6287628145958345,-0.7775971469736268,12.0,12.0,12.5,12.5,12.016666666666667,True,True,False
2022-08-11,12.0,223,3,8,-0.6420547132365636,-0.7666588193001592,12.0,12.0,12.5,12.5,12.0,True,True,False
2022-08-11,12.5,223,3,8,-0.6420547132365636,-0.7666588193001592,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-12,12.0,224,4,8,-0.655156357209085,-0.7554933140726804,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-12,12.5,224,4,8,-0.655156357209085,-0.7554933140726804,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-13,12.5,225,5,8,-0.6680638642135333,-0.7441039398713608,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-13,12.0,225,5,8,-0.6680638642135333,-0.7441039398713608,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-14,12.5,226,6,8,-0.6807734094770159,-0.7324940716135792,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-14,12.0,226,6,8,-0.6807734094770159,-0.7324940716135792,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-15,12.5,227,0,8,-0.6932812268869771,-0.7206671495538615,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-15,12.0,227,0,8,-0.6932812268869771,-0.7206671495538615,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-16,12.5,228,1,8,-0.7055836101071774,-0.70862667826446,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-16,12.0,228,1,8,-0.7055836101071774,-0.70862667826446,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-17,12.5,229,2,8,-0.7176769136759615,-0.6963762255968726,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-17,12.0,229,2,8,-0.7176769136759615,-0.6963762255968726,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-18,12.5,230,3,8,-0.7295575540864876,-0.6839194216246105,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-18,12.0,230,3,8,-0.7295575540864876,-0.6839194216246105,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-19,12.0,231,4,8,-0.7412220108485957,-0.6712599575675315,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-19,12.5,231,4,8,-0.7412220108485957,-0.6712599575675315,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-20,12.5,232,5,8,-0.7526668275320083,-0.6584015846980489,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-20,12.0,232,5,8,-0.7526668275320083,-0.6584015846980489,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-21,12.0,233,6,8,-0.7638886127905429,-0.64534811322955,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-21,12.5,233,6,8,-0.7638886127905429,-0.64534811322955,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-22,12.0,234,0,8,-0.7748840413670406,-0.6321034111873488,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-22,12.5,234,0,8,-0.7748840413670406,-0.6321034111873488,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-23,12.0,235,1,8,-0.7856498550787144,-0.6186714032625032,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-23,12.5,235,1,8,-0.7856498550787144,-0.6186714032625032,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-24,12.0,236,2,8,-0.7961828637826154,-0.6050560696488494,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-24,12.5,236,2,8,-0.7961828637826154,-0.6050560696488494,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-25,12.5,237,3,8,-0.8064799463209447,-0.5912614448635782,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-25,12.0,237,3,8,-0.8064799463209447,-0.5912614448635782,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-26,12.5,238,4,8,-0.8165380514459157,-0.5772916165517278,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-26,12.0,238,4,8,-0.8165380514459157,-0.5772916165517278,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-27,12.5,239,5,8,-0.8263541987239094,-0.5631507242749187,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-27,12.0,239,5,8,-0.8263541987239094,-0.5631507242749187,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-28,12.0,240,6,8,-0.8359254794186365,-0.5488429582847199,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-28,12.5,240,6,8,-0.8359254794186365,-0.5488429582847199,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-29,12.5,241,0,8,-0.8452490573530634,-0.5343725582809785,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-29,12.0,241,0,8,-0.8452490573530634,-0.5343725582809785,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-30,12.0,242,1,8,-0.8543221697498269,-0.5197438121555157,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-08-30,12.5,242,1,8,-0.8543221697498269,-0.5197438121555157,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-31,12.5,243,2,8,-0.8631421280499115,-0.5049610547215202,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-08-31,12.0,243,2,8,-0.8631421280499115,-0.5049610547215202,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-01,12.5,244,3,9,-0.8717063187093217,-0.4900286664290594,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-01,12.0,244,3,9,-0.8717063187093217,-0.4900286664290594,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-02,12.0,245,4,9,-0.8800122039735356,-0.4749510720670502,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-02,12.5,245,4,9,-0.8800122039735356,-0.4749510720670502,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-03,12.0,246,5,9,-0.888057322629493,-0.4597327394521046,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-03,12.5,246,5,9,-0.888057322629493,-0.4597327394521046,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-04,12.5,247,6,9,-0.8958392907349089,-0.4443781781046134,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-04,12.0,247,6,9,-0.8958392907349089,-0.4443781781046134,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-05,12.5,248,0,9,-0.9033558023246842,-0.4288919379124841,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-05,12.0,248,0,9,-0.9033558023246842,-0.4288919379124841,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-06,12.5,249,1,9,-0.9106046300942162,-0.41327860778290443,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-06,12.0,249,1,9,-0.9106046300942162,-0.41327860778290443,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-07,12.0,250,2,9,-0.9175836260593934,-0.3975428142825566,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-07,12.5,250,2,9,-0.9175836260593934,-0.3975428142825566,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-08,12.5,251,3,9,-0.9242907221930934,-0.3816892202666586,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-08,12.0,251,3,9,-0.9242907221930934,-0.3816892202666586,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-09,12.0,252,4,9,-0.9307239310379793,-0.3657225234972692,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-09,12.5,252,4,9,-0.9307239310379793,-0.3657225234972692,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-10,12.0,253,5,9,-0.9368813462954315,-0.34964745525122826,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-10,12.5,253,5,9,-0.9368813462954315,-0.34964745525122826,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-11,12.0,254,6,9,-0.9427611433904206,-0.33346877891818705,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-11,12.5,254,6,9,-0.9427611433904206,-0.33346877891818705,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-12,12.5,255,0,9,-0.9483615800121716,-0.31719128858910595,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-12,12.0,255,0,9,-0.9483615800121716,-0.31719128858910595,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-13,12.0,256,1,9,-0.9536809966304455,-0.300819807635668,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-13,12.5,256,1,9,-0.9536809966304455,-0.300819807635668,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-14,12.0,257,2,9,-0.9587178169872964,-0.2843591872810036,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-14,12.5,257,2,9,-0.9587178169872964,-0.2843591872810036,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-15,12.0,258,3,9,-0.9634705485641486,-0.26781430516217486,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-15,12.5,258,3,9,-0.9634705485641486,-0.26781430516217486,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-16,12.5,259,4,9,-0.9679377830240642,-0.25119006388481957,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-16,12.0,259,4,9,-0.9679377830240642,-0.25119006388481957,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-17,12.0,260,5,9,-0.9721181966290612,-0.23449138957041052,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-17,12.5,260,5,9,-0.9721181966290612,-0.23449138957041052,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-18,12.0,261,6,9,-0.9760105506323682,-0.21772323039653224,12.0,12.0,12.0,12.5,12.0,True,True,False
2022-09-18,12.5,261,6,9,-0.9760105506323682,-0.21772323039653224,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-19,12.5,262,0,9,-0.9796136916454901,-0.20089055513063528,12.5,12.5,12.5,12.0,12.5,True,False,True
2022-09-19,12.0,262,0,9,-0.9796136916454901,-0.20089055513063528,12.0,12.0,12.0,12.5,12.0,True,True,False
