pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_进口果
2022-07-20,55.0,201,2,7,-0.3131070409358267,-0.9497178427914317,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-21,55.0,202,3,7,-0.3294084822245302,-0.9441875088341994,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-22,55.0,203,4,7,-0.3456123126707333,-0.9383773917408642,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-23,55.0,204,5,7,-0.3617137307297674,-0.9322892131745134,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-24,55.0,205,6,7,-0.37770796520396466,-0.9259247771938499,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-25,55.0,206,0,7,-0.39359027665646645,-0.9192859697186105,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-26,55.0,207,1,7,-0.4093559588156211,-0.9123747579707274,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-27,55.0,208,2,7,-0.42500033996955394,-0.9051931898913975,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-28,55.0,209,3,7,-0.4405187843504952,-0.8977433935342336,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-29,55.0,210,4,7,-0.455906693508459,-0.8900275764346766,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-30,55.0,211,5,7,-0.47115950767386394,-0.8820480249558535,55.0,55.0,55.0,17.0,55.0,True,True
2022-07-31,55.0,212,6,7,-0.4862727071086902,-0.8738071036110807,55.0,55.0,55.0,17.0,55.0,True,True
2022-08-01,55.05,213,0,8,-0.5012418134457756,-0.8653072543632061,55.0,55.0,55.0,17.0,55.001666666666665,True,True
2022-08-02,55.1,214,1,8,-0.5160623910158526,-0.8565509959010037,55.05,55.0,55.0,17.0,55.005,True,True
2022-08-03,55.15,215,2,8,-0.5307300481619331,-0.8475409228928312,55.1,55.0,55.0,17.0,55.01,True,True
2022-08-04,55.2,216,3,8,-0.5452404385406507,-0.8382797052177745,55.15,55.0,55.0,17.0,55.016666666666666,True,True
2022-08-05,55.25,217,4,8,-0.5595892624101763,-0.828770087174504,55.2,55.0,55.0,17.0,55.025,True,True
2022-08-06,55.3,218,5,8,-0.5737722679043243,-0.8190148866680802,55.25,55.0,55.0,17.0,55.035,True,True
2022-08-07,55.35,219,6,8,-0.5877852522924734,-0.8090169943749472,55.3,55.0,55.0,17.0,55.04666666666667,True,True
2022-08-08,55.4,220,0,8,-0.6016240632249227,-0.7987793728863648,55.35,55.05,55.0,17.0,55.059999999999995,True,True
2022-08-09,55.45,221,1,8,-0.6152845999633277,-0.7883050558305253,55.4,55.1,55.0,17.0,55.075,True,True
2022-08-10,55.5,222,2,8,-0.6287628145958345,-0.7775971469736268,55.45,55.15,55.0,17.0,55.09166666666667,True,True
2022-08-11,55.5,223,3,8,-0.6420547132365636,-0.7666588193001592,55.5,55.2,55.0,17.0,55.108333333333334,True,True
2022-08-12,55.5,224,4,8,-0.655156357209085,-0.7554933140726804,55.5,55.25,55.0,17.0,55.125,True,True
2022-08-13,55.5,225,5,8,-0.6680638642135333,-0.7441039398713608,55.5,55.3,55.0,17.0,55.141666666666666,True,True
2022-08-14,55.5,226,6,8,-0.6807734094770159,-0.7324940716135792,55.5,55.35,55.0,17.0,55.15833333333333,True,True
2022-08-15,55.5,227,0,8,-0.6932812268869771,-0.7206671495538615,55.5,55.4,55.0,17.0,55.175,True,True
2022-08-16,55.5,228,1,8,-0.7055836101071774,-0.70862667826446,55.5,55.45,55.0,17.0,55.19166666666667,True,True
2022-08-17,55.5,229,2,8,-0.7176769136759615,-0.6963762255968726,55.5,55.5,55.0,17.0,55.208333333333336,True,True
