pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_猪肉类
2023-03-26,9.0,85,6,3,0.994217906893952,0.10738134666416309,9.0,8.5,9.75,9.5,8.966666666666667,True,True
2023-03-27,9.0,86,0,3,0.995918996147179,0.09025161003104117,9.0,9.0,9.75,9.5,8.941666666666666,True,True
2023-03-28,9.0,87,1,3,0.9973249731081555,0.07309512989807777,9.0,9.0,9.5,9.5,8.925,True,True
2023-03-29,9.0,88,2,3,0.9984354211555643,0.055916990100603484,9.0,9.0,9.5,9.5,8.908333333333333,True,True
2023-03-30,9.0,89,3,3,0.9992500112396835,0.03872228089217446,9.0,9.0,9.5,9.5,8.891666666666667,True,True
2023-03-31,9.0,90,4,3,0.9997685019798909,0.021516097436222254,9.0,9.0,9.5,9.75,8.875,True,True
2023-04-01,9.0,91,5,4,0.9999907397361901,0.004303538296244289,9.0,9.0,9.5,9.0,8.858333333333333,True,True
2023-04-02,9.0,92,6,4,0.9999166586547379,-0.01291029607500882,9.0,9.0,9.5,9.0,8.841666666666667,True,True
2023-04-03,9.0,93,0,4,0.9995462806873573,-0.030120304846908114,9.0,9.0,9.5,9.0,8.825,True,True
2023-04-04,9.0,94,1,4,0.9988797155850336,-0.04732138832243185,9.0,9.0,9.0,9.0,8.825,True,True
2023-04-05,9.0,95,2,4,0.9979171608653922,-0.06450844944931623,9.0,9.0,9.0,9.0,8.825,True,True
2023-04-06,9.0,96,3,4,0.9966589017541702,-0.08167639533042241,9.0,9.0,9.0,8.5,8.825,True,True
2023-04-07,9.0,97,4,4,0.9951053111006976,-0.09882013873287143,9.0,9.0,9.0,8.5,8.825,True,True
2023-04-08,9.0,98,5,4,0.9932568492674143,-0.11593459959550041,9.0,9.0,8.75,8.5,8.833333333333334,True,True
2023-04-09,9.0,99,6,4,0.9911140639934547,-0.1330147065341959,9.0,9.0,8.5,8.5,8.85,True,True
2023-04-10,9.0,100,0,4,0.9886775902323405,-0.1500553983446526,9.0,9.0,8.5,8.5,8.866666666666667,True,True
2023-04-11,9.0,101,1,4,0.9859481499638304,-0.16705162550211924,9.0,9.0,8.5,8.5,8.883333333333333,True,True
2023-04-12,8.75,102,2,4,0.9829265519799822,-0.18399835165768005,9.0,9.0,8.5,8.5,8.891666666666667,True,True
2023-04-13,8.75,103,3,4,0.9796136916454901,-0.20089055513063506,8.75,9.0,8.5,8.5,8.9,True,True
2023-04-14,8.75,104,4,4,0.9760105506323683,-0.21772323039653177,8.75,9.0,8.5,8.5,8.908333333333333,True,True
2023-04-15,8.75,105,5,4,0.9721181966290613,-0.23449138957040985,8.75,9.0,8.5,8.5,8.916666666666666,True,True
2023-04-16,8.75,106,6,4,0.9679377830240642,-0.25119006388481935,8.75,9.0,8.5,8.5,8.925,True,True
2023-04-17,8.75,107,0,4,0.9634705485641488,-0.2678143051621742,8.75,9.0,8.5,8.5,8.933333333333334,True,True
2023-04-18,9.0,108,1,4,0.9587178169872964,-0.2843591872810034,8.75,9.0,8.5,8.5,8.95,True,True
2023-04-19,9.0,109,2,4,0.9536809966304457,-0.30081980763566735,9.0,8.75,9.0,8.5,8.95,True,True
2023-04-20,9.0,110,3,4,0.9483615800121715,-0.3171912885891061,9.0,8.75,9.0,8.5,8.95,True,True
2023-04-21,9.0,111,4,4,0.9427611433904207,-0.3334687789181868,9.0,8.75,9.0,8.5,8.95,True,True
2023-04-22,9.0,112,5,4,0.9368813462954315,-0.3496474552512284,9.0,8.75,9.0,8.5,8.95,True,True
2023-04-23,9.0,113,6,4,0.9307239310379795,-0.36572252349726897,9.0,8.75,9.0,8.5,8.95,True,True
2023-04-24,9.0,114,0,4,0.9242907221930933,-0.3816892202666588,9.0,8.75,9.0,8.5,8.95,True,True
2023-04-25,9.5,115,1,4,0.9175836260593937,-0.39754281428255595,9.0,9.0,9.0,9.5,8.966666666666667,True,True
2023-04-26,9.5,116,2,4,0.9106046300942162,-0.4132786077829042,9.5,9.0,9.0,10.5,8.983333333333333,True,True
2023-04-27,9.5,117,3,4,0.9033558023246845,-0.4288919379124835,9.5,9.0,9.0,11.5,9.0,True,True
2023-04-28,9.5,118,4,4,0.895839290734909,-0.4443781781046132,9.5,9.0,9.0,9.5,9.016666666666667,True,True
2023-04-29,9.5,119,5,4,0.8880573226294932,-0.45973273945210397,9.5,9.0,9.0,9.5,9.033333333333333,True,True
2023-04-30,9.5,120,6,4,0.8800122039735357,-0.47495107206704995,9.5,9.0,9.0,9.5,9.05,True,True
2023-05-01,9.5,121,0,5,0.8717063187093218,-0.4900286664290592,9.5,9.0,9.0,9.5,9.066666666666666,True,True
2023-05-02,9.5,122,1,5,0.8631421280499114,-0.5049610547215204,9.5,9.5,9.0,9.5,9.083333333333334,True,True
2023-05-03,9.5,123,2,5,0.854322169749827,-0.5197438121555155,9.5,9.5,9.0,9.5,9.1,True,True
2023-05-04,9.5,124,3,5,0.8452490573530633,-0.5343725582809786,9.5,9.5,9.0,9.5,9.116666666666667,True,True
2023-05-05,9.25,125,4,5,0.8359254794186372,-0.548842958284719,9.5,9.5,9.0,9.5,9.125,True,True
2023-05-06,9.25,126,5,5,0.8263541987239096,-0.5631507242749186,9.25,9.5,9.0,8.5,9.133333333333333,True,True
2023-05-07,9.25,127,6,5,0.8165380514459161,-0.5772916165517272,9.25,9.5,9.0,8.5,9.141666666666667,True,True
2023-05-08,9.0,128,0,5,0.8064799463209448,-0.5912614448635781,9.25,9.5,9.0,9.5,9.141666666666667,True,True
2023-05-09,9.0,129,1,5,0.7961828637826158,-0.6050560696488488,9.0,9.5,9.0,9.5,9.141666666666667,True,True
2023-05-10,9.0,130,2,5,0.7856498550787147,-0.6186714032625031,9.0,9.5,9.0,10.0,9.141666666666667,True,True
