pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.65,202,3,7,-0.3294084822245302,-0.9441875088341994,2.7,3.25,2.75,3.75,3.0533333333333332,True,True
2022-07-22,2.65,203,4,7,-0.3456123126707333,-0.9383773917408642,2.65,3.25,2.75,3.25,3.05,True,True
2022-07-23,2.5166666666666666,204,5,7,-0.3617137307297674,-0.9322892131745134,2.65,3.0833333333333335,2.25,3.25,3.0588888888888888,True,True
2022-07-24,2.3833333333333333,205,6,7,-0.37770796520396466,-0.9259247771938499,2.5166666666666666,2.9166666666666665,2.25,3.3333333333333335,3.0633333333333335,True,True
2022-07-25,2.25,206,0,7,-0.39359027665646645,-0.9192859697186105,2.3833333333333333,2.75,2.6666666666666665,3.4166666666666665,3.0494444444444446,True,True
2022-07-26,2.25,207,1,7,-0.4093559588156211,-0.9123747579707274,2.25,2.75,3.0833333333333335,3.5,3.021666666666667,True,True
2022-07-27,2.25,208,2,7,-0.42500033996955394,-0.9051931898913975,2.25,2.7,3.5,3.5,2.98,True,True
2022-07-28,2.25,209,3,7,-0.4405187843504952,-0.8977433935342336,2.25,2.65,3.5,3.25,2.9383333333333335,True,True
2022-07-29,2.25,210,4,7,-0.455906693508459,-0.8900275764346766,2.25,2.65,3.5,3.375,2.896666666666667,True,True
2022-07-30,2.25,211,5,7,-0.47115950767386394,-0.8820480249558535,2.25,2.5166666666666666,3.75,3.5,2.8466666666666667,True,True
2022-07-31,2.25,212,6,7,-0.4862727071086902,-0.8738071036110807,2.25,2.3833333333333333,2.75,3.5,2.83,True,True
2022-08-01,2.25,213,0,8,-0.5012418134457756,-0.8653072543632061,2.25,2.25,2.75,3.5,2.8133333333333335,True,True
2022-08-02,2.25,214,1,8,-0.5160623910158526,-0.8565509959010037,2.25,2.25,2.75,3.5,2.796666666666667,True,True
2022-08-03,2.25,215,2,8,-0.5307300481619331,-0.8475409228928312,2.25,2.25,2.75,3.5,2.7800000000000002,True,True
2022-08-04,2.25,216,3,8,-0.5452404385406507,-0.8382797052177745,2.25,2.25,2.75,3.5,2.7633333333333336,True,True
2022-08-05,2.25,217,4,8,-0.5595892624101763,-0.828770087174504,2.25,2.25,3.25,3.5,2.73,True,True
2022-08-06,2.3333333333333335,218,5,8,-0.5737722679043243,-0.8190148866680802,2.25,2.25,3.25,3.5,2.6994444444444445,True,True
2022-08-07,2.4166666666666665,219,6,8,-0.5877852522924734,-0.8090169943749472,2.3333333333333335,2.25,3.25,3.5,2.6716666666666664,True,True
2022-08-08,2.5,220,0,8,-0.6016240632249227,-0.7987793728863648,2.4166666666666665,2.25,3.375,3.5,2.6425,True,True
2022-08-09,2.5,221,1,8,-0.6152845999633277,-0.7883050558305253,2.5,2.25,3.5,3.5,2.609166666666667,True,True
2022-08-10,2.5,222,2,8,-0.6287628145958345,-0.7775971469736268,2.5,2.25,3.625,3.5,2.5716666666666668,True,True
2022-08-11,2.5,223,3,8,-0.6420547132365636,-0.7666588193001592,2.5,2.25,3.75,3.5,2.5300000000000002,True,True
2022-08-12,2.5,224,4,8,-0.655156357209085,-0.7554933140726804,2.5,2.25,3.25,3.5,2.5050000000000003,True,True
2022-08-13,2.5833333333333335,225,5,8,-0.6680638642135333,-0.7441039398713608,2.5,2.3333333333333335,3.25,3.5,2.4827777777777778,True,True
2022-08-14,2.6666666666666665,226,6,8,-0.6807734094770159,-0.7324940716135792,2.5833333333333335,2.4166666666666665,3.25,3.5,2.463333333333333,True,True
2022-08-15,2.75,227,0,8,-0.6932812268869771,-0.7206671495538615,2.6666666666666665,2.5,3.0833333333333335,3.5,2.4522222222222223,True,True
