pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,specInfo_水磨,prodPcat_杂粮类
2022-07-20,3.2,201,2,7,-0.3131070409358267,-0.9497178427914317,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-20,3.55,201,2,7,-0.3131070409358267,-0.9497178427914317,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-21,3.2,202,3,7,-0.3294084822245302,-0.9441875088341994,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-21,3.55,202,3,7,-0.3294084822245302,-0.9441875088341994,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-22,3.2,203,4,7,-0.3456123126707333,-0.9383773917408642,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-22,3.55,203,4,7,-0.3456123126707333,-0.9383773917408642,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-23,3.2,204,5,7,-0.3617137307297674,-0.9322892131745134,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-23,3.55,204,5,7,-0.3617137307297674,-0.9322892131745134,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-24,3.2,205,6,7,-0.37770796520396466,-0.9259247771938499,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-24,3.55,205,6,7,-0.37770796520396466,-0.9259247771938499,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-25,3.55,206,0,7,-0.39359027665646645,-0.9192859697186105,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-25,3.2,206,0,7,-0.39359027665646645,-0.9192859697186105,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-26,3.2,207,1,7,-0.4093559588156211,-0.9123747579707274,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-26,3.55,207,1,7,-0.4093559588156211,-0.9123747579707274,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-27,3.55,208,2,7,-0.42500033996955394,-0.9051931898913975,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-27,3.2,208,2,7,-0.42500033996955394,-0.9051931898913975,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-28,3.55,209,3,7,-0.4405187843504952,-0.8977433935342336,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-28,3.2,209,3,7,-0.4405187843504952,-0.8977433935342336,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-29,3.55,210,4,7,-0.455906693508459,-0.8900275764346766,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-29,3.2,210,4,7,-0.455906693508459,-0.8900275764346766,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-30,3.55,211,5,7,-0.47115950767386394,-0.8820480249558535,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-30,3.2,211,5,7,-0.47115950767386394,-0.8820480249558535,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-07-31,3.55,212,6,7,-0.4862727071086902,-0.8738071036110807,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-07-31,3.2,212,6,7,-0.4862727071086902,-0.8738071036110807,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-01,3.55,213,0,8,-0.5012418134457756,-0.8653072543632061,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-01,3.2,213,0,8,-0.5012418134457756,-0.8653072543632061,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-02,3.55,214,1,8,-0.5160623910158526,-0.8565509959010037,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-02,3.2,214,1,8,-0.5160623910158526,-0.8565509959010037,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-03,3.2,215,2,8,-0.5307300481619331,-0.8475409228928312,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-03,3.55,215,2,8,-0.5307300481619331,-0.8475409228928312,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-04,3.2,216,3,8,-0.5452404385406507,-0.8382797052177745,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-04,3.55,216,3,8,-0.5452404385406507,-0.8382797052177745,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-05,3.2,217,4,8,-0.5595892624101763,-0.828770087174504,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-05,3.55,217,4,8,-0.5595892624101763,-0.828770087174504,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-06,3.2,218,5,8,-0.5737722679043243,-0.8190148866680802,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-06,3.55,218,5,8,-0.5737722679043243,-0.8190148866680802,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-07,3.2,219,6,8,-0.5877852522924734,-0.8090169943749472,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-07,3.55,219,6,8,-0.5877852522924734,-0.8090169943749472,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-08,3.55,220,0,8,-0.6016240632249227,-0.7987793728863648,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-08,3.2,220,0,8,-0.6016240632249227,-0.7987793728863648,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-09,3.2,221,1,8,-0.6152845999633277,-0.7883050558305253,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-09,3.55,221,1,8,-0.6152845999633277,-0.7883050558305253,3.55,3.55,3.55,3.55,3.55,False,True,True
2022-08-10,3.2,222,2,8,-0.6287628145958345,-0.7775971469736268,3.2,3.2,3.2,3.2,3.2,True,False,True
2022-08-10,3.55,222,2,8,-0.6287628145958345,-0.7775971469736268,3.55,3.55,3.55,3.55,3.55,False,True,True
