pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.15,202,3,7,-0.3294084822245302,-0.9441875088341994,2.2,2.6,1.75,2.5,2.628333333333333,True,True
2022-07-22,2.25,203,4,7,-0.3456123126707333,-0.9383773917408642,2.15,2.6,1.75,2.25,2.645,True,True
2022-07-23,2.0833333333333335,204,5,7,-0.3617137307297674,-0.9322892131745134,2.25,2.6,1.75,2.25,2.656111111111111,True,True
2022-07-24,1.9166666666666667,205,6,7,-0.37770796520396466,-0.9259247771938499,2.0833333333333335,2.6,1.75,2.25,2.6616666666666666,True,True
2022-07-25,1.75,206,0,7,-0.39359027665646645,-0.9192859697186105,1.9166666666666667,2.6,1.75,2.25,2.6616666666666666,True,True
2022-07-26,2.25,207,1,7,-0.4093559588156211,-0.9123747579707274,1.75,2.25,1.75,2.25,2.6783333333333332,True,True
2022-07-27,2.15,208,2,7,-0.42500033996955394,-0.9051931898913975,2.25,2.2,1.75,2.25,2.691666666666667,True,True
2022-07-28,1.5,209,3,7,-0.4405187843504952,-0.8977433935342336,2.15,2.15,3.0,2.25,2.6416666666666666,True,True
2022-07-29,1.75,210,4,7,-0.455906693508459,-0.8900275764346766,1.5,2.25,3.0,2.25,2.6,True,True
2022-07-30,1.75,211,5,7,-0.47115950767386394,-0.8820480249558535,1.75,2.0833333333333335,2.75,2.25,2.566666666666667,True,True
2022-07-31,1.75,212,6,7,-0.4862727071086902,-0.8738071036110807,1.75,1.9166666666666667,2.25,2.3333333333333335,2.55,True,True
2022-08-01,1.75,213,0,8,-0.5012418134457756,-0.8653072543632061,1.75,1.75,2.5,2.4166666666666665,2.525,True,True
2022-08-02,1.75,214,1,8,-0.5160623910158526,-0.8565509959010037,1.75,2.25,2.75,2.5,2.4916666666666667,True,True
2022-08-03,1.75,215,2,8,-0.5307300481619331,-0.8475409228928312,1.75,2.15,3.0,2.5,2.45,True,True
2022-08-04,1.75,216,3,8,-0.5452404385406507,-0.8382797052177745,1.75,1.5,3.0,2.75,2.408333333333333,True,True
2022-08-05,1.75,217,4,8,-0.5595892624101763,-0.828770087174504,1.75,1.75,3.25,3.0,2.3583333333333334,True,True
2022-08-06,1.75,218,5,8,-0.5737722679043243,-0.8190148866680802,1.75,1.75,3.25,3.25,2.308333333333333,True,True
2022-08-07,1.75,219,6,8,-0.5877852522924734,-0.8090169943749472,1.75,1.75,3.25,3.0833333333333335,2.2583333333333333,True,True
2022-08-08,1.75,220,0,8,-0.6016240632249227,-0.7987793728863648,1.75,1.75,3.25,2.9166666666666665,2.2083333333333335,True,True
2022-08-09,2.0,221,1,8,-0.6152845999633277,-0.7883050558305253,1.75,1.75,3.25,2.75,2.1666666666666665,True,True
2022-08-10,2.0,222,2,8,-0.6287628145958345,-0.7775971469736268,2.0,1.75,3.25,2.25,2.125,True,True
2022-08-11,2.25,223,3,8,-0.6420547132365636,-0.7666588193001592,2.0,1.75,3.75,2.25,2.075,True,True
2022-08-12,2.25,224,4,8,-0.655156357209085,-0.7554933140726804,2.25,1.75,3.25,2.25,2.0416666666666665,True,True
2022-08-13,2.4166666666666665,225,5,8,-0.6680638642135333,-0.7441039398713608,2.25,1.75,2.6,2.25,2.0355555555555553,True,True
2022-08-14,2.5833333333333335,226,6,8,-0.6807734094770159,-0.7324940716135792,2.4166666666666665,1.75,2.6,2.0833333333333335,2.0349999999999997,True,True
2022-08-15,2.75,227,0,8,-0.6932812268869771,-0.7206671495538615,2.5833333333333335,1.75,2.6,1.9166666666666667,2.04,True,True
2022-08-16,2.75,228,1,8,-0.7055836101071774,-0.70862667826446,2.75,2.0,2.6,1.75,2.045,True,True
2022-08-17,2.75,229,2,8,-0.7176769136759615,-0.6963762255968726,2.75,2.0,2.6,1.75,2.05,True,True
2022-08-18,2.75,230,3,8,-0.7295575540864876,-0.6839194216246105,2.75,2.25,2.25,1.75,2.066666666666667,True,True
2022-08-19,3.0,231,4,8,-0.7412220108485957,-0.6712599575675315,2.75,2.25,2.2,1.75,2.0933333333333333,True,True
2022-08-20,3.25,232,5,8,-0.7526668275320083,-0.6584015846980489,3.0,2.4166666666666665,2.15,2.0,2.13,True,True
2022-08-21,3.5,233,6,8,-0.7638886127905429,-0.64534811322955,3.25,2.5833333333333335,2.25,2.1666666666666665,2.171666666666667,True,True
2022-08-22,3.75,234,0,8,-0.7748840413670406,-0.6321034111873488,3.5,2.75,2.0833333333333335,2.3333333333333335,2.227222222222222,True,True
2022-08-23,3.25,235,1,8,-0.7856498550787144,-0.6186714032625032,3.75,2.75,1.9166666666666667,2.5,2.271666666666667,True,True
2022-08-24,3.25,236,2,8,-0.7961828637826154,-0.6050560696488494,3.25,2.75,1.75,2.5,2.3216666666666668,True,True
2022-08-25,3.25,237,3,8,-0.8064799463209447,-0.5912614448635782,3.25,2.75,2.25,2.5,2.355,True,True
2022-08-26,3.425,238,4,8,-0.8165380514459157,-0.5772916165517278,3.25,3.0,2.15,2.5,2.3975,True,True
2022-08-27,3.6,239,5,8,-0.8263541987239094,-0.5631507242749187,3.425,3.25,1.5,2.5,2.4675000000000002,True,True
2022-08-28,3.7750000000000004,240,6,8,-0.8359254794186365,-0.5488429582847199,3.6,3.5,1.75,2.4166666666666665,2.5349999999999997,True,True
2022-08-29,3.95,241,0,8,-0.8452490573530634,-0.5343725582809785,3.7750000000000004,3.75,1.75,2.3333333333333335,2.6083333333333334,True,True
2022-08-30,4.35,242,1,8,-0.8543221697498269,-0.5197438121555157,3.95,3.25,1.75,2.25,2.695,True,True
2022-08-31,4.75,243,2,8,-0.8631421280499115,-0.5049610547215202,4.35,3.25,1.75,2.25,2.795,True,True
2022-09-01,4.5,244,3,9,-0.8717063187093217,-0.4900286664290594,4.75,3.25,1.75,2.25,2.8866666666666663,True,True
2022-09-02,4.0,245,4,9,-0.8800122039735356,-0.4749510720670502,4.5,3.425,1.75,2.25,2.9616666666666664,True,True
2022-09-03,3.75,246,5,9,-0.888057322629493,-0.4597327394521046,4.0,3.6,1.75,2.25,3.0283333333333333,True,True
2022-09-04,3.5,247,6,9,-0.8958392907349089,-0.4443781781046134,3.75,3.7750000000000004,1.75,2.25,3.0866666666666664,True,True
2022-09-05,3.25,248,0,9,-0.9033558023246842,-0.4288919379124841,3.5,3.95,1.75,2.25,3.1366666666666663,True,True
2022-09-06,3.125,249,1,9,-0.9106046300942162,-0.41327860778290443,3.25,4.35,1.75,2.25,3.1824999999999997,True,True
2022-09-07,3.0,250,2,9,-0.9175836260593934,-0.3975428142825566,3.125,4.75,1.75,2.25,3.2241666666666666,True,True
2022-09-08,2.75,251,3,9,-0.9242907221930934,-0.3816892202666586,3.0,4.5,2.0,2.25,3.2491666666666665,True,True
2022-09-09,2.5,252,4,9,-0.9307239310379793,-0.3657225234972692,2.75,4.0,2.0,2.25,3.265833333333333,True,True
2022-09-10,2.25,253,5,9,-0.9368813462954315,-0.34964745525122826,2.5,3.75,2.25,2.25,3.265833333333333,True,True
2022-09-11,2.0,254,6,9,-0.9427611433904206,-0.33346877891818705,2.25,3.5,2.25,2.5833333333333335,3.2575,True,True
2022-09-12,1.75,255,0,9,-0.9483615800121716,-0.31719128858910595,2.0,3.25,2.4166666666666665,2.9166666666666665,3.2352777777777777,True,True
2022-09-13,1.75,256,1,9,-0.9536809966304455,-0.300819807635668,1.75,3.125,2.5833333333333335,3.25,3.2075,True,True
2022-09-14,1.35,257,2,9,-0.9587178169872964,-0.2843591872810036,1.75,3.0,2.75,2.5,3.1608333333333336,True,True
2022-09-15,1.15,258,3,9,-0.9634705485641486,-0.26781430516217486,1.35,2.75,2.75,2.75,3.1075,True,True
2022-09-16,1.25,259,4,9,-0.9679377830240642,-0.25119006388481957,1.15,2.5,2.75,2.75,3.0574999999999997,True,True
