pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,9.0,201,2,7,-0.3131070409358267,-0.9497178427914317,8.9,8.3,7.875,7.25,8.164583333333333,True,True
2022-07-21,9.272727272727273,202,3,7,-0.3294084822245302,-0.9441875088341994,9.0,8.4,7.8875,7.204545454545454,8.210757575757576,True,True
2022-07-22,9.545454545454545,203,4,7,-0.3456123126707333,-0.9383773917408642,9.272727272727273,8.5,7.9,7.159090909090909,8.26560606060606,True,True
2022-07-23,9.818181818181818,204,5,7,-0.3617137307297674,-0.9322892131745134,9.545454545454545,8.6,7.9125,7.113636363636363,8.329128787878789,True,True
2022-07-24,10.09090909090909,205,6,7,-0.37770796520396466,-0.9259247771938499,9.818181818181818,8.7,7.925,7.068181818181818,8.401325757575757,True,True
2022-07-25,10.363636363636363,206,0,7,-0.39359027665646645,-0.9192859697186105,10.09090909090909,8.8,7.9375,7.0227272727272725,8.48219696969697,True,True
2022-07-26,10.636363636363637,207,1,7,-0.4093559588156211,-0.9123747579707274,10.363636363636363,8.9,7.95,6.9772727272727275,8.571742424242425,True,True
2022-07-27,10.909090909090908,208,2,7,-0.42500033996955394,-0.9051931898913975,10.636363636363637,9.0,7.9625,6.931818181818182,8.669962121212121,True,True
2022-07-28,11.181818181818182,209,3,7,-0.4405187843504952,-0.8977433935342336,10.909090909090908,9.272727272727273,7.975,6.886363636363637,8.776856060606061,True,True
2022-07-29,11.454545454545453,210,4,7,-0.455906693508459,-0.8900275764346766,11.181818181818182,9.545454545454545,7.9875,6.840909090909091,8.892424242424243,True,True
2022-07-30,11.727272727272727,211,5,7,-0.47115950767386394,-0.8820480249558535,11.454545454545453,9.818181818181818,8.0,6.795454545454545,9.016666666666667,True,True
