pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活（大）,specInfo_活（中）,specInfo_活（小）,prodPcat_贝壳类,prodPcat_其他类
2022-08-11,40.0,223,3,8,-0.6420547132365636,-0.7666588193001592,40.0,36.0,35.0,35.0,36.4,True,False,False,True,False
2022-08-11,35.0,223,3,8,-0.6420547132365636,-0.7666588193001592,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-11,27.5,223,3,8,-0.6420547132365636,-0.7666588193001592,30.0,24.0,24.0,24.0,24.716666666666665,False,True,False,True,False
2022-08-11,24.0,223,3,8,-0.6420547132365636,-0.7666588193001592,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-11,20.0,223,3,8,-0.6420547132365636,-0.7666588193001592,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-11,20.0,223,3,8,-0.6420547132365636,-0.7666588193001592,22.5,21.0,20.0,20.0,20.983333333333334,False,False,True,True,False
2022-08-12,40.0,224,4,8,-0.655156357209085,-0.7554933140726804,40.0,36.0,35.0,35.0,36.56666666666667,True,False,False,True,False
2022-08-12,35.0,224,4,8,-0.655156357209085,-0.7554933140726804,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-12,20.0,224,4,8,-0.655156357209085,-0.7554933140726804,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-12,24.0,224,4,8,-0.655156357209085,-0.7554933140726804,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-12,20.0,224,4,8,-0.655156357209085,-0.7554933140726804,20.0,21.0,20.0,20.0,20.983333333333334,False,False,True,True,False
2022-08-12,27.5,224,4,8,-0.655156357209085,-0.7554933140726804,27.5,24.0,24.0,24.0,24.833333333333332,False,True,False,True,False
2022-08-13,20.0,225,5,8,-0.6680638642135333,-0.7441039398713608,20.0,21.0,20.0,20.0,20.983333333333334,False,False,True,True,False
2022-08-13,20.0,225,5,8,-0.6680638642135333,-0.7441039398713608,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-13,35.0,225,5,8,-0.6680638642135333,-0.7441039398713608,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-13,24.0,225,5,8,-0.6680638642135333,-0.7441039398713608,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-13,40.0,225,5,8,-0.6680638642135333,-0.7441039398713608,40.0,36.0,35.0,35.0,36.733333333333334,True,False,False,True,False
2022-08-13,27.5,225,5,8,-0.6680638642135333,-0.7441039398713608,27.5,24.0,24.0,24.0,24.95,False,True,False,True,False
2022-08-14,20.0,226,6,8,-0.6807734094770159,-0.7324940716135792,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-14,24.0,226,6,8,-0.6807734094770159,-0.7324940716135792,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-14,20.0,226,6,8,-0.6807734094770159,-0.7324940716135792,20.0,21.0,20.0,20.0,20.983333333333334,False,False,True,True,False
2022-08-14,27.5,226,6,8,-0.6807734094770159,-0.7324940716135792,27.5,24.0,24.0,24.0,25.066666666666666,False,True,False,True,False
2022-08-14,40.0,226,6,8,-0.6807734094770159,-0.7324940716135792,40.0,36.0,35.0,35.0,36.9,True,False,False,True,False
2022-08-14,35.0,226,6,8,-0.6807734094770159,-0.7324940716135792,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-15,27.5,227,0,8,-0.6932812268869771,-0.7206671495538615,27.5,30.0,24.0,24.0,25.183333333333334,False,True,False,True,False
2022-08-15,20.0,227,0,8,-0.6932812268869771,-0.7206671495538615,20.0,22.5,20.0,20.0,20.983333333333334,False,False,True,True,False
2022-08-15,20.0,227,0,8,-0.6932812268869771,-0.7206671495538615,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-15,35.0,227,0,8,-0.6932812268869771,-0.7206671495538615,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-15,24.0,227,0,8,-0.6932812268869771,-0.7206671495538615,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-15,40.0,227,0,8,-0.6932812268869771,-0.7206671495538615,40.0,40.0,35.0,35.0,37.06666666666667,True,False,False,True,False
2022-08-16,26.5,228,1,8,-0.7055836101071774,-0.70862667826446,27.5,30.0,24.0,24.0,25.266666666666666,False,True,False,True,False
2022-08-16,19.5,228,1,8,-0.7055836101071774,-0.70862667826446,20.0,22.5,21.0,20.0,20.933333333333334,False,False,True,True,False
2022-08-16,40.0,228,1,8,-0.7055836101071774,-0.70862667826446,40.0,40.0,36.0,35.0,37.2,True,False,False,True,False
2022-08-16,20.0,228,1,8,-0.7055836101071774,-0.70862667826446,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-16,35.0,228,1,8,-0.7055836101071774,-0.70862667826446,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-16,24.0,228,1,8,-0.7055836101071774,-0.70862667826446,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-17,19.5,229,2,8,-0.7176769136759615,-0.6963762255968726,19.5,22.5,21.0,20.0,20.883333333333333,False,False,True,True,False
2022-08-17,20.0,229,2,8,-0.7176769136759615,-0.6963762255968726,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-17,26.5,229,2,8,-0.7176769136759615,-0.6963762255968726,26.5,30.0,24.0,24.0,25.35,False,True,False,True,False
2022-08-17,40.0,229,2,8,-0.7176769136759615,-0.6963762255968726,40.0,40.0,36.0,35.0,37.333333333333336,True,False,False,True,False
2022-08-17,24.0,229,2,8,-0.7176769136759615,-0.6963762255968726,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-17,35.0,229,2,8,-0.7176769136759615,-0.6963762255968726,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-18,24.0,230,3,8,-0.7295575540864876,-0.6839194216246105,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
2022-08-18,26.5,230,3,8,-0.7295575540864876,-0.6839194216246105,26.5,27.5,24.0,24.0,25.433333333333334,False,True,False,True,False
2022-08-18,19.5,230,3,8,-0.7295575540864876,-0.6839194216246105,19.5,20.0,21.0,20.0,20.833333333333332,False,False,True,True,False
2022-08-18,20.0,230,3,8,-0.7295575540864876,-0.6839194216246105,20.0,20.0,20.0,17.0,20.0,False,False,True,False,True
2022-08-18,40.0,230,3,8,-0.7295575540864876,-0.6839194216246105,40.0,40.0,36.0,35.0,37.46666666666667,True,False,False,True,False
2022-08-18,35.0,230,3,8,-0.7295575540864876,-0.6839194216246105,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-19,35.0,231,4,8,-0.7412220108485957,-0.6712599575675315,35.0,35.0,35.0,32.5,35.0,True,False,False,False,True
2022-08-19,24.0,231,4,8,-0.7412220108485957,-0.6712599575675315,24.0,24.0,24.0,23.0,24.0,False,True,False,False,True
