pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_红心,specInfo_UNKNOWN,prodPcat_进口果
2022-07-20,5.0,201,2,7,-0.3131070409358267,-0.9497178427914317,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-20,4.75,201,2,7,-0.3131070409358267,-0.9497178427914317,4.775,4.925,7.0,3.75,5.920833333333333,False,True,True
2022-07-21,5.0,202,3,7,-0.3294084822245302,-0.9441875088341994,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-21,4.75,202,3,7,-0.3294084822245302,-0.9441875088341994,4.75,4.9,7.0,3.75,5.845833333333333,False,True,True
2022-07-22,5.0,203,4,7,-0.3456123126707333,-0.9383773917408642,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-22,4.75,203,4,7,-0.3456123126707333,-0.9383773917408642,4.75,4.875,7.0,3.75,5.770833333333333,False,True,True
2022-07-23,5.0,204,5,7,-0.3617137307297674,-0.9322892131745134,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-23,4.75,204,5,7,-0.3617137307297674,-0.9322892131745134,4.75,4.85,7.0,3.75,5.695833333333334,False,True,True
2022-07-24,5.0,205,6,7,-0.37770796520396466,-0.9259247771938499,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-24,4.75,205,6,7,-0.37770796520396466,-0.9259247771938499,4.75,4.825,7.0,3.75,5.620833333333334,False,True,True
2022-07-25,4.75,206,0,7,-0.39359027665646645,-0.9192859697186105,4.75,4.8,7.0,3.75,5.545833333333333,False,True,True
2022-07-25,5.0,206,0,7,-0.39359027665646645,-0.9192859697186105,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-26,5.0,207,1,7,-0.4093559588156211,-0.9123747579707274,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-26,4.75,207,1,7,-0.4093559588156211,-0.9123747579707274,4.75,4.775,7.0,3.75,5.470833333333333,False,True,True
2022-07-27,4.75,208,2,7,-0.42500033996955394,-0.9051931898913975,4.75,4.75,7.0,3.75,5.395833333333333,False,True,True
2022-07-27,5.0,208,2,7,-0.42500033996955394,-0.9051931898913975,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-28,4.75,209,3,7,-0.4405187843504952,-0.8977433935342336,4.75,4.75,7.0,3.75,5.320833333333334,False,True,True
2022-07-28,5.0,209,3,7,-0.4405187843504952,-0.8977433935342336,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-07-29,4.75,210,4,7,-0.455906693508459,-0.8900275764346766,4.75,4.75,7.0,3.75,5.245833333333334,False,True,True
2022-07-29,5.0,210,4,7,-0.455906693508459,-0.8900275764346766,5.0,5.0,5.0,4.5,5.0,True,False,True
