pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_进口果
2022-07-20,11.5,201,2,7,-0.3131070409358267,-0.9497178427914317,11.5,11.5,14.0,16.0,11.875,True,True
2022-07-21,11.5,202,3,7,-0.3294084822245302,-0.9441875088341994,11.5,11.5,13.75,16.045454545454547,11.8,True,True
2022-07-22,11.5,203,4,7,-0.3456123126707333,-0.9383773917408642,11.5,11.5,13.5,16.09090909090909,11.733333333333333,True,True
2022-07-23,11.5,204,5,7,-0.3617137307297674,-0.9322892131745134,11.5,11.5,13.25,16.136363636363637,11.675,True,True
2022-07-24,11.5,205,6,7,-0.37770796520396466,-0.9259247771938499,11.5,11.5,13.0,16.181818181818183,11.625,True,True
2022-07-25,11.5,206,0,7,-0.39359027665646645,-0.9192859697186105,11.5,11.5,12.75,16.227272727272727,11.583333333333334,True,True
2022-07-26,11.5,207,1,7,-0.4093559588156211,-0.9123747579707274,11.5,11.5,12.5,16.272727272727273,11.55,True,True
2022-07-27,11.5,208,2,7,-0.42500033996955394,-0.9051931898913975,11.5,11.5,12.25,16.318181818181817,11.525,True,True
2022-07-28,11.5,209,3,7,-0.4405187843504952,-0.8977433935342336,11.5,11.5,12.0,16.363636363636363,11.508333333333333,True,True
2022-07-29,11.5,210,4,7,-0.455906693508459,-0.8900275764346766,11.5,11.5,11.75,16.40909090909091,11.5,True,True
2022-07-30,11.5,211,5,7,-0.47115950767386394,-0.8820480249558535,11.5,11.5,11.5,16.454545454545453,11.5,True,True
2022-07-31,11.5,212,6,7,-0.4862727071086902,-0.8738071036110807,11.5,11.5,11.5,16.5,11.5,True,True
2022-08-01,11.49,213,0,8,-0.5012418134457756,-0.8653072543632061,11.5,11.5,11.5,16.5,11.499666666666666,True,True
2022-08-02,11.48,214,1,8,-0.5160623910158526,-0.8565509959010037,11.49,11.5,11.5,16.5,11.499,True,True
2022-08-03,11.47,215,2,8,-0.5307300481619331,-0.8475409228928312,11.48,11.5,11.5,16.5,11.498,True,True
2022-08-04,11.46,216,3,8,-0.5452404385406507,-0.8382797052177745,11.47,11.5,11.5,16.5,11.496666666666666,True,True
