pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_牛肉类
2022-09-17,34.5,260,5,9,-0.9721181966290612,-0.23449138957041052,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-18,34.5,261,6,9,-0.9760105506323682,-0.21772323039653224,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-19,34.5,262,0,9,-0.9796136916454901,-0.20089055513063528,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-20,34.5,263,1,9,-0.9829265519799822,-0.18399835165767986,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-21,34.5,264,2,9,-0.9859481499638303,-0.1670516255021195,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-22,34.5,265,3,9,-0.9886775902323404,-0.15005539834465262,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-23,34.5,266,4,9,-0.9911140639934546,-0.13301470653419636,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-24,34.5,267,5,9,-0.9932568492674143,-0.11593459959550066,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-25,34.5,268,6,9,-0.9951053111006974,-0.09882013873287211,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-26,34.5,269,0,9,-0.99665890175417,-0.08167639533042288,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-27,34.5,270,1,9,-0.9979171608653922,-0.06450844944931625,34.5,34.5,34.5,34.0,34.5,True,True
2022-09-28,34.75,271,2,9,-0.9988797155850335,-0.04732138832243232,34.5,34.5,34.5,34.0,34.50833333333333,True,True
2022-09-29,34.75,272,3,9,-0.9995462806873573,-0.03012030484690836,34.75,34.5,34.5,34.0,34.516666666666666,True,True
2022-09-30,34.75,273,4,9,-0.9999166586547379,-0.012910296075008843,34.75,34.5,34.5,34.0,34.525,True,True
2022-10-01,34.75,274,5,10,-0.9999907397361901,0.004303538296243821,34.75,34.5,34.5,34.0,34.53333333333333,True,True
2022-10-02,34.75,275,6,10,-0.9997685019798909,0.021516097436222233,34.75,34.5,34.5,34.0,34.541666666666664,True,True
2022-10-03,34.5,276,0,10,-0.9992500112396835,0.03872228089217399,34.75,34.5,34.5,34.0,34.541666666666664,True,True
2022-10-04,34.5,277,1,10,-0.9984354211555643,0.05591699010060302,34.5,34.5,34.5,34.0,34.541666666666664,True,True
2022-10-05,34.5,278,2,10,-0.9973249731081555,0.07309512989807776,34.5,34.75,34.5,34.0,34.541666666666664,True,True
2022-10-06,35.0,279,3,10,-0.9959189961471792,0.0902516100310407,34.5,34.75,34.5,34.0,34.55833333333333,True,True
2022-10-07,35.0,280,4,10,-0.994217906893952,0.10738134666416306,35.0,34.75,34.5,34.0,34.575,True,True
2022-10-08,35.0,281,5,10,-0.9922222094179324,0.12447926388678869,35.0,34.75,34.5,34.0,34.59166666666667,True,True
2022-10-09,35.0,282,6,10,-0.989932495087353,0.141540295217043,35.0,34.75,34.5,34.0,34.608333333333334,True,True
2022-10-10,34.5,283,0,10,-0.9873494423939864,0.15855938510313475,35.0,34.5,34.5,34.0,34.608333333333334,True,True
2022-10-11,34.5,284,1,10,-0.9844738167520923,0.17553149042142777,34.5,34.5,34.5,34.0,34.608333333333334,True,True
2022-10-12,34.5,285,2,10,-0.9813064702716093,0.19245158197082995,34.5,34.5,34.5,34.0,34.608333333333334,True,True
2022-10-13,34.0,286,3,10,-0.9778483415056567,0.20931464596304888,34.5,35.0,34.5,34.0,34.59166666666667,True,True
2022-10-14,34.0,287,4,10,-0.9741004551724206,0.22611568550828803,34.0,35.0,34.5,34.0,34.575,True,True
2022-10-15,34.0,288,5,10,-0.970063921851507,0.2428497220959358,34.0,35.0,34.5,34.0,34.55833333333333,True,True
2022-10-16,34.0,289,6,10,-0.965739937654855,0.25951179706979943,34.0,35.0,34.5,34.0,34.541666666666664,True,True
2022-10-17,34.0,290,0,10,-0.9611297838723007,0.27609697309746883,34.0,34.5,34.5,34.0,34.525,True,True
2022-10-18,34.0,291,1,10,-0.9562348265919058,0.2926003356333479,34.0,34.5,34.5,34.0,34.50833333333333,True,True
2022-10-19,34.0,292,2,10,-0.9510565162951536,0.30901699437494723,34.0,34.5,34.5,34.0,34.49166666666667,True,True
2022-10-20,34.0,293,3,10,-0.9455963874271428,0.3253420847119795,34.0,34.0,34.5,34.0,34.475,True,True
2022-10-21,34.0,294,4,10,-0.9398560579418953,0.341570769167856,34.0,34.0,34.5,34.0,34.458333333333336,True,True
2022-10-22,34.0,295,5,10,-0.9338372288229252,0.35769823883312546,34.0,34.0,34.5,34.0,34.44166666666667,True,True
2022-10-23,34.0,296,6,10,-0.9275416835791965,0.3737197147904692,34.0,34.0,34.5,34.0,34.425,True,True
2022-10-24,34.0,297,0,10,-0.9209712877166347,0.38963044953078774,34.0,34.0,34.5,34.0,34.40833333333333,True,True
2022-10-25,34.0,298,1,10,-0.9141279881853337,0.4054257283599973,34.0,34.0,34.5,34.0,34.391666666666666,True,True
2022-10-26,34.0,299,2,10,-0.9070138128026362,0.42110087079608916,34.0,34.0,34.5,34.0,34.375,True,True
2022-10-27,34.0,300,3,10,-0.8996308696522434,0.4366512319560638,34.0,34.0,34.5,34.0,34.358333333333334,True,True
