pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_猪肉类
2022-07-17,17.0,198,6,7,-0.2636654927280072,-0.9646141756912435,17.0,17.0,14.0,18.0,15.783333333333333,True,True
2022-07-18,17.0,199,0,7,-0.2802306751992161,-0.9599326896597445,17.0,17.0,14.0,17.25,15.883333333333333,True,True
2022-07-19,17.0,200,1,7,-0.2967128192734901,-0.9549667548552553,17.0,17.0,14.0,16.5,15.983333333333333,True,True
2022-07-20,17.0,201,2,7,-0.3131070409358267,-0.9497178427914317,17.0,17.0,14.0,15.75,16.083333333333332,True,True
2022-07-21,17.0,202,3,7,-0.3294084822245302,-0.9441875088341994,17.0,17.0,15.0,15.0,16.15,True,True
2022-07-22,17.0,203,4,7,-0.3456123126707333,-0.9383773917408642,17.0,17.0,15.0,15.0,16.216666666666665,True,True
2022-07-23,17.0,204,5,7,-0.3617137307297674,-0.9322892131745134,17.0,17.0,15.0,15.0,16.283333333333335,True,True
2022-07-24,17.0,205,6,7,-0.37770796520396466,-0.9259247771938499,17.0,17.0,15.0,15.0,16.35,True,True
2022-07-25,17.0,206,0,7,-0.39359027665646645,-0.9192859697186105,17.0,17.0,15.0,15.0,16.416666666666668,True,True
2022-07-26,17.0,207,1,7,-0.4093559588156211,-0.9123747579707274,17.0,17.0,15.0,15.0,16.483333333333334,True,True
2022-07-27,17.0,208,2,7,-0.42500033996955394,-0.9051931898913975,17.0,17.0,15.0,15.0,16.55,True,True
2022-07-28,17.0,209,3,7,-0.4405187843504952,-0.8977433935342336,17.0,17.0,15.0,15.0,16.616666666666667,True,True
2022-07-29,17.0,210,4,7,-0.455906693508459,-0.8900275764346766,17.0,17.0,15.0,15.0,16.683333333333334,True,True
2022-07-30,17.0,211,5,7,-0.47115950767386394,-0.8820480249558535,17.0,17.0,15.0,15.0,16.75,True,True
2022-07-31,17.5,212,6,7,-0.4862727071086902,-0.8738071036110807,17.0,17.0,15.0,15.0,16.833333333333332,True,True
2022-08-01,17.5,213,0,8,-0.5012418134457756,-0.8653072543632061,17.5,17.0,15.0,15.0,16.916666666666668,True,True
2022-08-02,17.5,214,1,8,-0.5160623910158526,-0.8565509959010037,17.5,17.0,15.5,15.0,16.983333333333334,True,True
2022-08-03,17.5,215,2,8,-0.5307300481619331,-0.8475409228928312,17.5,17.0,16.0,15.0,17.033333333333335,True,True
2022-08-04,17.5,216,3,8,-0.5452404385406507,-0.8382797052177745,17.5,17.0,16.0,15.0,17.083333333333332,True,True
2022-08-05,17.5,217,4,8,-0.5595892624101763,-0.828770087174504,17.5,17.0,17.0,15.0,17.1,True,True
2022-08-06,17.5,218,5,8,-0.5737722679043243,-0.8190148866680802,17.5,17.0,17.0,15.0,17.116666666666667,True,True
2022-08-07,17.5,219,6,8,-0.5877852522924734,-0.8090169943749472,17.5,17.5,17.0,15.0,17.133333333333333,True,True
2022-08-08,17.5,220,0,8,-0.6016240632249227,-0.7987793728863648,17.5,17.5,17.0,15.0,17.15,True,True
2022-08-09,17.5,221,1,8,-0.6152845999633277,-0.7883050558305253,17.5,17.5,17.0,15.0,17.166666666666668,True,True
2022-08-10,17.5,222,2,8,-0.6287628145958345,-0.7775971469736268,17.5,17.5,17.0,15.0,17.183333333333334,True,True
2022-08-11,17.5,223,3,8,-0.6420547132365636,-0.7666588193001592,17.5,17.5,17.0,15.0,17.2,True,True
2022-08-12,17.5,224,4,8,-0.655156357209085,-0.7554933140726804,17.5,17.5,17.0,15.0,17.216666666666665,True,True
2022-08-13,17.5,225,5,8,-0.6680638642135333,-0.7441039398713608,17.5,17.5,17.0,15.0,17.233333333333334,True,True
2022-08-14,17.5,226,6,8,-0.6807734094770159,-0.7324940716135792,17.5,17.5,17.0,15.0,17.25,True,True
