pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_猪肉类
2022-07-17,7.75,198,6,7,-0.2636654927280072,-0.9646141756912435,8.0,8.25,6.5,9.0,7.333333333333333,True,True
2022-07-18,7.75,199,0,7,-0.2802306751992161,-0.9599326896597445,7.75,8.25,6.5,8.875,7.375,True,True
2022-07-19,7.75,200,1,7,-0.2967128192734901,-0.9549667548552553,7.75,8.25,6.5,8.75,7.416666666666667,True,True
2022-07-20,7.75,201,2,7,-0.3131070409358267,-0.9497178427914317,7.75,8.25,6.5,8.625,7.458333333333333,True,True
2022-07-21,7.75,202,3,7,-0.3294084822245302,-0.9441875088341994,7.75,8.25,6.75,8.5,7.491666666666666,True,True
2022-07-22,7.75,203,4,7,-0.3456123126707333,-0.9383773917408642,7.75,8.25,6.75,8.5,7.525,True,True
2022-07-23,7.75,204,5,7,-0.3617137307297674,-0.9322892131745134,7.75,8.0,6.75,8.5,7.558333333333334,True,True
2022-07-24,7.75,205,6,7,-0.37770796520396466,-0.9259247771938499,7.75,7.75,6.75,8.5,7.591666666666667,True,True
2022-07-25,7.75,206,0,7,-0.39359027665646645,-0.9192859697186105,7.75,7.75,6.75,8.5,7.625,True,True
2022-07-26,7.75,207,1,7,-0.4093559588156211,-0.9123747579707274,7.75,7.75,6.75,8.5,7.658333333333333,True,True
2022-07-27,7.75,208,2,7,-0.42500033996955394,-0.9051931898913975,7.75,7.75,6.75,8.5,7.691666666666666,True,True
2022-07-28,7.75,209,3,7,-0.4405187843504952,-0.8977433935342336,7.75,7.75,6.75,8.5,7.725,True,True
2022-07-29,7.75,210,4,7,-0.455906693508459,-0.8900275764346766,7.75,7.75,6.75,8.5,7.758333333333334,True,True
2022-07-30,7.75,211,5,7,-0.47115950767386394,-0.8820480249558535,7.75,7.75,7.25,8.5,7.775,True,True
2022-07-31,7.75,212,6,7,-0.4862727071086902,-0.8738071036110807,7.75,7.75,7.25,8.5,7.791666666666667,True,True
2022-08-01,7.75,213,0,8,-0.5012418134457756,-0.8653072543632061,7.75,7.75,7.25,8.5,7.808333333333334,True,True
2022-08-02,7.75,214,1,8,-0.5160623910158526,-0.8565509959010037,7.75,7.75,7.25,8.5,7.825,True,True
2022-08-03,7.75,215,2,8,-0.5307300481619331,-0.8475409228928312,7.75,7.75,7.25,8.5,7.841666666666667,True,True
2022-08-04,7.75,216,3,8,-0.5452404385406507,-0.8382797052177745,7.75,7.75,7.25,8.5,7.858333333333333,True,True
2022-08-05,7.75,217,4,8,-0.5595892624101763,-0.828770087174504,7.75,7.75,7.25,8.5,7.875,True,True
2022-08-06,7.75,218,5,8,-0.5737722679043243,-0.8190148866680802,7.75,7.75,7.25,8.5,7.891666666666667,True,True
2022-08-07,7.5,219,6,8,-0.5877852522924734,-0.8090169943749472,7.75,7.75,8.25,8.5,7.866666666666666,True,True
2022-08-08,7.5,220,0,8,-0.6016240632249227,-0.7987793728863648,7.5,7.75,8.25,8.5,7.841666666666667,True,True
2022-08-09,7.5,221,1,8,-0.6152845999633277,-0.7883050558305253,7.5,7.75,8.25,8.5,7.816666666666666,True,True
2022-08-10,7.5,222,2,8,-0.6287628145958345,-0.7775971469736268,7.5,7.75,8.25,8.5,7.791666666666667,True,True
2022-08-11,7.5,223,3,8,-0.6420547132365636,-0.7666588193001592,7.5,7.75,8.25,8.5,7.766666666666667,True,True
2022-08-12,7.5,224,4,8,-0.655156357209085,-0.7554933140726804,7.5,7.75,8.25,8.5,7.741666666666666,True,True
2022-08-13,7.5,225,5,8,-0.6680638642135333,-0.7441039398713608,7.5,7.75,8.25,8.5,7.716666666666667,True,True
2022-08-14,7.5,226,6,8,-0.6807734094770159,-0.7324940716135792,7.5,7.5,8.25,8.5,7.691666666666666,True,True
2022-08-15,7.5,227,0,8,-0.6932812268869771,-0.7206671495538615,7.5,7.5,8.0,8.5,7.675,True,True
2022-08-16,7.5,228,1,8,-0.7055836101071774,-0.70862667826446,7.5,7.5,7.75,8.5,7.666666666666667,True,True
2022-08-17,7.5,229,2,8,-0.7176769136759615,-0.6963762255968726,7.5,7.5,7.75,8.5,7.658333333333333,True,True
2022-08-18,7.5,230,3,8,-0.7295575540864876,-0.6839194216246105,7.5,7.5,7.75,8.5,7.65,True,True
2022-08-19,7.5,231,4,8,-0.7412220108485957,-0.6712599575675315,7.5,7.5,7.75,8.5,7.641666666666667,True,True
2022-08-20,7.5,232,5,8,-0.7526668275320083,-0.6584015846980489,7.5,7.5,7.75,8.5,7.633333333333334,True,True
2022-08-21,7.5,233,6,8,-0.7638886127905429,-0.64534811322955,7.5,7.5,7.75,8.0,7.625,True,True
2022-08-22,7.5,234,0,8,-0.7748840413670406,-0.6321034111873488,7.5,7.5,7.75,8.0,7.616666666666666,True,True
2022-08-23,7.5,235,1,8,-0.7856498550787144,-0.6186714032625032,7.5,7.5,7.75,8.0,7.608333333333333,True,True
2022-08-24,7.5,236,2,8,-0.7961828637826154,-0.6050560696488494,7.5,7.5,7.75,8.0,7.6,True,True
2022-08-25,7.5,237,3,8,-0.8064799463209447,-0.5912614448635782,7.5,7.5,7.75,8.0,7.591666666666667,True,True
2022-08-26,7.5,238,4,8,-0.8165380514459157,-0.5772916165517278,7.5,7.5,7.75,8.0,7.583333333333333,True,True
2022-08-27,7.5,239,5,8,-0.8263541987239094,-0.5631507242749187,7.5,7.5,7.75,8.0,7.575,True,True
2022-08-28,7.5,240,6,8,-0.8359254794186365,-0.5488429582847199,7.5,7.5,7.75,8.0,7.566666666666666,True,True
2022-08-29,7.5,241,0,8,-0.8452490573530634,-0.5343725582809785,7.5,7.5,7.75,8.0,7.558333333333334,True,True
2022-08-30,7.5,242,1,8,-0.8543221697498269,-0.5197438121555157,7.5,7.5,7.75,8.0,7.55,True,True
2022-08-31,7.5,243,2,8,-0.8631421280499115,-0.5049610547215202,7.5,7.5,7.75,8.0,7.541666666666667,True,True
2022-09-01,7.5,244,3,9,-0.8717063187093217,-0.4900286664290594,7.5,7.5,7.75,8.0,7.533333333333333,True,True
2022-09-02,7.5,245,4,9,-0.8800122039735356,-0.4749510720670502,7.5,7.5,7.75,8.0,7.525,True,True
2022-09-03,7.5,246,5,9,-0.888057322629493,-0.4597327394521046,7.5,7.5,7.75,8.0,7.516666666666667,True,True
2022-09-04,7.5,247,6,9,-0.8958392907349089,-0.4443781781046134,7.5,7.5,7.75,8.0,7.508333333333334,True,True
2022-09-05,7.5,248,0,9,-0.9033558023246842,-0.4288919379124841,7.5,7.5,7.75,8.0,7.5,True,True
2022-09-06,7.5,249,1,9,-0.9106046300942162,-0.41327860778290443,7.5,7.5,7.5,8.0,7.5,True,True
2022-09-07,7.5,250,2,9,-0.9175836260593934,-0.3975428142825566,7.5,7.5,7.5,8.0,7.5,True,True
2022-09-08,7.5,251,3,9,-0.9242907221930934,-0.3816892202666586,7.5,7.5,7.5,8.0,7.5,True,True
