pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_猪肉类
2022-07-17,23.0,198,6,7,-0.2636654927280072,-0.9646141756912435,24.0,23.0,20.5,18.0,22.3,True,True
2022-07-18,23.0,199,0,7,-0.2802306751992161,-0.9599326896597445,23.0,24.0,20.5,17.75,22.383333333333333,True,True
2022-07-19,23.0,200,1,7,-0.2967128192734901,-0.9549667548552553,23.0,24.0,20.5,17.5,22.466666666666665,True,True
2022-07-20,23.0,201,2,7,-0.3131070409358267,-0.9497178427914317,23.0,24.0,20.5,17.25,22.55,True,True
2022-07-21,23.0,202,3,7,-0.3294084822245302,-0.9441875088341994,23.0,24.0,21.5,17.0,22.6,True,True
2022-07-22,23.0,203,4,7,-0.3456123126707333,-0.9383773917408642,23.0,24.0,21.5,17.0,22.65,True,True
2022-07-23,23.0,204,5,7,-0.3617137307297674,-0.9322892131745134,23.0,24.0,21.5,17.0,22.7,True,True
2022-07-24,23.0,205,6,7,-0.37770796520396466,-0.9259247771938499,23.0,23.0,21.5,17.0,22.75,True,True
2022-07-25,23.0,206,0,7,-0.39359027665646645,-0.9192859697186105,23.0,23.0,21.5,17.0,22.8,True,True
2022-07-26,23.0,207,1,7,-0.4093559588156211,-0.9123747579707274,23.0,23.0,21.5,17.0,22.85,True,True
2022-07-27,23.5,208,2,7,-0.42500033996955394,-0.9051931898913975,23.0,23.0,21.5,17.0,22.916666666666668,True,True
2022-07-28,23.5,209,3,7,-0.4405187843504952,-0.8977433935342336,23.5,23.0,21.5,17.0,22.983333333333334,True,True
2022-07-29,23.5,210,4,7,-0.455906693508459,-0.8900275764346766,23.5,23.0,21.5,17.0,23.05,True,True
2022-07-30,23.5,211,5,7,-0.47115950767386394,-0.8820480249558535,23.5,23.0,22.0,17.0,23.1,True,True
2022-07-31,23.5,212,6,7,-0.4862727071086902,-0.8738071036110807,23.5,23.0,22.0,17.0,23.15,True,True
2022-08-01,23.5,213,0,8,-0.5012418134457756,-0.8653072543632061,23.5,23.0,22.0,17.0,23.2,True,True
2022-08-02,23.5,214,1,8,-0.5160623910158526,-0.8565509959010037,23.5,23.0,22.0,17.0,23.25,True,True
2022-08-03,22.5,215,2,8,-0.5307300481619331,-0.8475409228928312,23.5,23.5,22.0,17.0,23.266666666666666,True,True
2022-08-04,22.5,216,3,8,-0.5452404385406507,-0.8382797052177745,22.5,23.5,22.0,17.0,23.283333333333335,True,True
2022-08-05,22.5,217,4,8,-0.5595892624101763,-0.828770087174504,22.5,23.5,23.0,17.0,23.266666666666666,True,True
2022-08-06,22.5,218,5,8,-0.5737722679043243,-0.8190148866680802,22.5,23.5,23.0,17.0,23.25,True,True
2022-08-07,22.5,219,6,8,-0.5877852522924734,-0.8090169943749472,22.5,23.5,23.0,17.0,23.233333333333334,True,True
2022-08-08,22.5,220,0,8,-0.6016240632249227,-0.7987793728863648,22.5,23.5,23.0,17.0,23.216666666666665,True,True
2022-08-09,22.5,221,1,8,-0.6152845999633277,-0.7883050558305253,22.5,23.5,23.0,17.0,23.2,True,True
2022-08-10,22.5,222,2,8,-0.6287628145958345,-0.7775971469736268,22.5,22.5,24.0,17.0,23.15,True,True
2022-08-11,22.5,223,3,8,-0.6420547132365636,-0.7666588193001592,22.5,22.5,24.0,17.0,23.1,True,True
2022-08-12,22.5,224,4,8,-0.655156357209085,-0.7554933140726804,22.5,22.5,24.0,17.0,23.05,True,True
2022-08-13,22.5,225,5,8,-0.6680638642135333,-0.7441039398713608,22.5,22.5,24.0,17.0,23.0,True,True
2022-08-14,22.5,226,6,8,-0.6807734094770159,-0.7324940716135792,22.5,22.5,24.0,17.0,22.95,True,True
2022-08-15,22.5,227,0,8,-0.6932812268869771,-0.7206671495538615,22.5,22.5,24.0,17.0,22.9,True,True
2022-08-16,22.5,228,1,8,-0.7055836101071774,-0.70862667826446,22.5,22.5,23.0,17.0,22.883333333333333,True,True
2022-08-17,22.5,229,2,8,-0.7176769136759615,-0.6963762255968726,22.5,22.5,23.0,17.0,22.866666666666667,True,True
2022-08-18,22.5,230,3,8,-0.7295575540864876,-0.6839194216246105,22.5,22.5,23.0,17.0,22.85,True,True
2022-08-19,22.5,231,4,8,-0.7412220108485957,-0.6712599575675315,22.5,22.5,23.0,17.0,22.833333333333332,True,True
