pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_虾蟹类,prodPcat_其他类
2022-07-21,46.5,202,3,7,-0.3294084822245302,-0.9441875088341994,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-21,52.5,202,3,7,-0.3294084822245302,-0.9441875088341994,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-22,52.5,203,4,7,-0.3456123126707333,-0.9383773917408642,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-22,46.5,203,4,7,-0.3456123126707333,-0.9383773917408642,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-23,46.5,204,5,7,-0.3617137307297674,-0.9322892131745134,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-23,52.5,204,5,7,-0.3617137307297674,-0.9322892131745134,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-24,46.5,205,6,7,-0.37770796520396466,-0.9259247771938499,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-24,52.5,205,6,7,-0.37770796520396466,-0.9259247771938499,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-25,46.5,206,0,7,-0.39359027665646645,-0.9192859697186105,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-25,52.5,206,0,7,-0.39359027665646645,-0.9192859697186105,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-26,52.5,207,1,7,-0.4093559588156211,-0.9123747579707274,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-26,46.5,207,1,7,-0.4093559588156211,-0.9123747579707274,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-27,52.5,208,2,7,-0.42500033996955394,-0.9051931898913975,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-27,46.5,208,2,7,-0.42500033996955394,-0.9051931898913975,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-28,52.5,209,3,7,-0.4405187843504952,-0.8977433935342336,52.5,52.5,52.5,55.0,52.5,True,False,True
2022-07-28,46.5,209,3,7,-0.4405187843504952,-0.8977433935342336,46.5,46.5,46.5,46.5,46.5,True,True,False
2022-07-29,52.5,210,4,7,-0.455906693508459,-0.8900275764346766,52.5,52.5,52.5,55.0,52.5,True,False,True
