pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,11.0,201,2,7,-0.3131070409358267,-0.9497178427914317,10.95,10.65,10.5,8.5,10.591666666666667,True,True
2022-07-21,10.954545454545455,202,3,7,-0.3294084822245302,-0.9441875088341994,11.0,10.7,10.5,8.5,10.60681818181818,True,True
2022-07-22,10.909090909090908,203,4,7,-0.3456123126707333,-0.9383773917408642,10.954545454545455,10.75,10.5,8.5,10.620454545454546,True,True
2022-07-23,10.863636363636363,204,5,7,-0.3617137307297674,-0.9322892131745134,10.909090909090908,10.8,10.5,8.5,10.632575757575756,True,True
2022-07-24,10.818181818181818,205,6,7,-0.37770796520396466,-0.9259247771938499,10.863636363636363,10.85,10.5,8.5,10.643181818181818,True,True
2022-07-25,10.772727272727273,206,0,7,-0.39359027665646645,-0.9192859697186105,10.818181818181818,10.9,10.5,8.5,10.652272727272727,True,True
2022-07-26,10.727272727272727,207,1,7,-0.4093559588156211,-0.9123747579707274,10.772727272727273,10.95,10.5,8.5,10.659848484848483,True,True
2022-07-27,10.681818181818182,208,2,7,-0.42500033996955394,-0.9051931898913975,10.727272727272727,11.0,10.5,8.5,10.66590909090909,True,True
2022-07-28,10.636363636363637,209,3,7,-0.4405187843504952,-0.8977433935342336,10.681818181818182,10.954545454545455,10.5,8.5,10.670454545454545,True,True
2022-07-29,10.590909090909092,210,4,7,-0.455906693508459,-0.8900275764346766,10.636363636363637,10.909090909090908,10.5,8.5,10.673484848484849,True,True
2022-07-30,10.545454545454545,211,5,7,-0.47115950767386394,-0.8820480249558535,10.590909090909092,10.863636363636363,10.5,8.5,10.675,True,True
2022-07-31,10.5,212,6,7,-0.4862727071086902,-0.8738071036110807,10.545454545454545,10.818181818181818,10.5,8.5,10.675,True,True
2022-08-01,10.6,213,0,8,-0.5012418134457756,-0.8653072543632061,10.5,10.772727272727273,10.5,8.6,10.678333333333333,True,True
2022-08-02,10.7,214,1,8,-0.5160623910158526,-0.8565509959010037,10.6,10.727272727272727,10.5,8.7,10.684999999999999,True,True
2022-08-03,10.8,215,2,8,-0.5307300481619331,-0.8475409228928312,10.7,10.681818181818182,10.5,8.8,10.694999999999999,True,True
2022-08-04,10.9,216,3,8,-0.5452404385406507,-0.8382797052177745,10.8,10.636363636363637,10.5,8.9,10.708333333333334,True,True
2022-08-05,11.0,217,4,8,-0.5595892624101763,-0.828770087174504,10.9,10.590909090909092,10.5,9.0,10.725,True,True
2022-08-06,11.1,218,5,8,-0.5737722679043243,-0.8190148866680802,11.0,10.545454545454545,10.5,9.1,10.745,True,True
2022-08-07,11.2,219,6,8,-0.5877852522924734,-0.8090169943749472,11.1,10.5,10.5,9.2,10.768333333333333,True,True
2022-08-08,11.3,220,0,8,-0.6016240632249227,-0.7987793728863648,11.2,10.6,10.5,9.3,10.794999999999998,True,True
2022-08-09,11.4,221,1,8,-0.6152845999633277,-0.7883050558305253,11.3,10.7,10.5,9.4,10.825,True,True
2022-08-10,11.5,222,2,8,-0.6287628145958345,-0.7775971469736268,11.4,10.8,10.55,9.5,10.856666666666666,True,True
2022-08-11,11.6,223,3,8,-0.6420547132365636,-0.7666588193001592,11.5,10.9,10.6,9.5,10.889999999999999,True,True
2022-08-12,11.7,224,4,8,-0.655156357209085,-0.7554933140726804,11.6,11.0,10.65,9.5,10.925,True,True
2022-08-13,11.8,225,5,8,-0.6680638642135333,-0.7441039398713608,11.7,11.1,10.7,9.5,10.961666666666666,True,True
2022-08-14,11.9,226,6,8,-0.6807734094770159,-0.7324940716135792,11.8,11.2,10.75,9.5,11.0,True,True
2022-08-15,12.0,227,0,8,-0.6932812268869771,-0.7206671495538615,11.9,11.3,10.8,9.5,11.04,True,True
2022-08-16,12.1,228,1,8,-0.7055836101071774,-0.70862667826446,12.0,11.4,10.85,9.5,11.081666666666667,True,True
2022-08-17,12.2,229,2,8,-0.7176769136759615,-0.6963762255968726,12.1,11.5,10.9,9.5,11.125,True,True
2022-08-18,12.3,230,3,8,-0.7295575540864876,-0.6839194216246105,12.2,11.6,10.95,9.5,11.169999999999998,True,True
2022-08-19,12.4,231,4,8,-0.7412220108485957,-0.6712599575675315,12.3,11.7,11.0,9.5,11.216666666666667,True,True
2022-08-20,12.5,232,5,8,-0.7526668275320083,-0.6584015846980489,12.4,11.8,10.954545454545455,9.5,11.26818181818182,True,True
2022-08-21,12.5,233,6,8,-0.7638886127905429,-0.64534811322955,12.5,11.9,10.909090909090908,9.5,11.32121212121212,True,True
2022-08-22,12.5,234,0,8,-0.7748840413670406,-0.6321034111873488,12.5,12.0,10.863636363636363,9.5,11.375757575757577,True,True
2022-08-23,12.5,235,1,8,-0.7856498550787144,-0.6186714032625032,12.5,12.1,10.818181818181818,9.5,11.431818181818183,True,True
2022-08-24,12.5,236,2,8,-0.7961828637826154,-0.6050560696488494,12.5,12.2,10.772727272727273,9.5,11.48939393939394,True,True
2022-08-25,12.5,237,3,8,-0.8064799463209447,-0.5912614448635782,12.5,12.3,10.727272727272727,9.5,11.54848484848485,True,True
2022-08-26,12.5,238,4,8,-0.8165380514459157,-0.5772916165517278,12.5,12.4,10.681818181818182,9.5,11.609090909090911,True,True
2022-08-27,12.5,239,5,8,-0.8263541987239094,-0.5631507242749187,12.5,12.5,10.636363636363637,9.5,11.67121212121212,True,True
2022-08-28,12.5,240,6,8,-0.8359254794186365,-0.5488429582847199,12.5,12.5,10.590909090909092,9.5,11.734848484848486,True,True
2022-08-29,12.5,241,0,8,-0.8452490573530634,-0.5343725582809785,12.5,12.5,10.545454545454545,9.5,11.8,True,True
2022-08-30,12.5,242,1,8,-0.8543221697498269,-0.5197438121555157,12.5,12.5,10.5,9.5,11.866666666666667,True,True
2022-08-31,12.5,243,2,8,-0.8631421280499115,-0.5049610547215202,12.5,12.5,10.6,9.5,11.930000000000001,True,True
2022-09-01,12.5,244,3,9,-0.8717063187093217,-0.4900286664290594,12.5,12.5,10.7,9.5,11.990000000000002,True,True
2022-09-02,12.5,245,4,9,-0.8800122039735356,-0.4749510720670502,12.5,12.5,10.8,9.5,12.046666666666669,True,True
2022-09-03,12.5,246,5,9,-0.888057322629493,-0.4597327394521046,12.5,12.5,10.9,9.5,12.1,True,True
2022-09-04,12.5,247,6,9,-0.8958392907349089,-0.4443781781046134,12.5,12.5,11.0,9.5,12.15,True,True
2022-09-05,12.5,248,0,9,-0.9033558023246842,-0.4288919379124841,12.5,12.5,11.1,9.5,12.196666666666667,True,True
2022-09-06,12.5,249,1,9,-0.9106046300942162,-0.41327860778290443,12.5,12.5,11.2,9.5,12.240000000000002,True,True
2022-09-07,12.5,250,2,9,-0.9175836260593934,-0.3975428142825566,12.5,12.5,11.3,9.5,12.280000000000001,True,True
2022-09-08,12.5,251,3,9,-0.9242907221930934,-0.3816892202666586,12.5,12.5,11.4,9.5,12.316666666666666,True,True
2022-09-09,12.5,252,4,9,-0.9307239310379793,-0.3657225234972692,12.5,12.5,11.5,9.5,12.35,True,True
2022-09-10,12.5,253,5,9,-0.9368813462954315,-0.34964745525122826,12.5,12.5,11.6,9.5,12.38,True,True
2022-09-11,12.7,254,6,9,-0.9427611433904206,-0.33346877891818705,12.5,12.5,11.7,9.5,12.413333333333334,True,True
2022-09-12,12.9,255,0,9,-0.9483615800121716,-0.31719128858910595,12.7,12.5,11.8,9.5,12.45,True,True
2022-09-13,13.1,256,1,9,-0.9536809966304455,-0.300819807635668,12.9,12.5,11.9,9.5,12.49,True,True
2022-09-14,13.3,257,2,9,-0.9587178169872964,-0.2843591872810036,13.1,12.5,12.0,9.5,12.533333333333333,True,True
2022-09-15,13.5,258,3,9,-0.9634705485641486,-0.26781430516217486,13.3,12.5,12.1,9.5,12.580000000000002,True,True
2022-09-16,13.7,259,4,9,-0.9679377830240642,-0.25119006388481957,13.5,12.5,12.2,9.5,12.63,True,True
2022-09-17,13.9,260,5,9,-0.9721181966290612,-0.23449138957041052,13.7,12.5,12.3,9.5,12.683333333333334,True,True
2022-09-18,14.1,261,6,9,-0.9760105506323682,-0.21772323039653224,13.9,12.7,12.4,9.5,12.74,True,True
2022-09-19,14.3,262,0,9,-0.9796136916454901,-0.20089055513063528,14.1,12.9,12.5,9.5,12.8,True,True
2022-09-20,14.5,263,1,9,-0.9829265519799822,-0.18399835165767986,14.3,13.1,12.5,9.5,12.866666666666667,True,True
2022-09-21,14.5,264,2,9,-0.9859481499638303,-0.1670516255021195,14.5,13.3,12.5,9.6,12.933333333333334,True,True
2022-09-22,14.5,265,3,9,-0.9886775902323404,-0.15005539834465262,14.5,13.5,12.5,9.7,13.0,True,True
2022-09-23,14.5,266,4,9,-0.9911140639934546,-0.13301470653419636,14.5,13.7,12.5,9.8,13.066666666666666,True,True
2022-09-24,14.5,267,5,9,-0.9932568492674143,-0.11593459959550066,14.5,13.9,12.5,9.9,13.133333333333333,True,True
2022-09-25,14.5,268,6,9,-0.9951053111006974,-0.09882013873287211,14.5,14.1,12.5,10.0,13.2,True,True
2022-09-26,14.5,269,0,9,-0.99665890175417,-0.08167639533042288,14.5,14.3,12.5,10.1,13.266666666666667,True,True
2022-09-27,14.5,270,1,9,-0.9979171608653922,-0.06450844944931625,14.5,14.5,12.5,10.2,13.333333333333334,True,True
2022-09-28,14.5,271,2,9,-0.9988797155850335,-0.04732138832243232,14.5,14.5,12.5,10.3,13.4,True,True
2022-09-29,14.5,272,3,9,-0.9995462806873573,-0.03012030484690836,14.5,14.5,12.5,10.4,13.466666666666667,True,True
2022-09-30,14.5,273,4,9,-0.9999166586547379,-0.012910296075008843,14.5,14.5,12.5,10.5,13.533333333333333,True,True
2022-10-01,14.5,274,5,10,-0.9999907397361901,0.004303538296243821,14.5,14.5,12.5,11.7,13.6,True,True
2022-10-02,14.5,275,6,10,-0.9997685019798909,0.021516097436222233,14.5,14.5,12.5,12.9,13.666666666666666,True,True
2022-10-03,14.5,276,0,10,-0.9992500112396835,0.03872228089217399,14.5,14.5,12.5,14.1,13.733333333333333,True,True
2022-10-04,14.5,277,1,10,-0.9984354211555643,0.05591699010060302,14.5,14.5,12.5,15.3,13.8,True,True
2022-10-05,14.5,278,2,10,-0.9973249731081555,0.07309512989807776,14.5,14.5,12.5,16.5,13.866666666666667,True,True
2022-10-06,14.5,279,3,10,-0.9959189961471792,0.0902516100310407,14.5,14.5,12.5,17.7,13.933333333333334,True,True
2022-10-07,14.5,280,4,10,-0.994217906893952,0.10738134666416306,14.5,14.5,12.5,18.9,14.0,True,True
2022-10-08,14.5,281,5,10,-0.9922222094179324,0.12447926388678869,14.5,14.5,12.5,20.1,14.066666666666666,True,True
2022-10-09,14.5,282,6,10,-0.989932495087353,0.141540295217043,14.5,14.5,12.5,21.299999999999997,14.133333333333333,True,True
2022-10-10,14.5,283,0,10,-0.9873494423939864,0.15855938510313475,14.5,14.5,12.5,22.5,14.2,True,True
2022-10-11,14.3,284,1,10,-0.9844738167520923,0.17553149042142777,14.5,14.5,12.7,23.7,14.253333333333334,True,True
2022-10-12,14.1,285,2,10,-0.9813064702716093,0.19245158197082995,14.3,14.5,12.9,24.9,14.293333333333333,True,True
2022-10-13,13.9,286,3,10,-0.9778483415056567,0.20931464596304888,14.1,14.5,13.1,26.1,14.32,True,True
2022-10-14,13.7,287,4,10,-0.9741004551724206,0.22611568550828803,13.9,14.5,13.3,27.3,14.333333333333334,True,True
2022-10-15,13.5,288,5,10,-0.970063921851507,0.2428497220959358,13.7,14.5,13.5,28.5,14.333333333333334,True,True
2022-10-16,13.3,289,6,10,-0.965739937654855,0.25951179706979943,13.5,14.5,13.7,29.7,14.32,True,True
