pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_200g,specInfo_150g,prodPcat_贝壳类,prodPcat_其他类
2022-07-21,12.0,202,3,7,-0.3294084822245302,-0.9441875088341994,12.0,12.0,12.0,12.0,12.0,True,False,True,False
2022-07-21,11.0,202,3,7,-0.3294084822245302,-0.9441875088341994,11.0,11.0,11.0,11.0,11.0,False,True,False,True
2022-07-21,12.0,202,3,7,-0.3294084822245302,-0.9441875088341994,12.0,12.0,12.0,14.0,12.0,True,False,False,True
2022-07-21,11.0,202,3,7,-0.3294084822245302,-0.9441875088341994,11.0,11.0,11.0,11.0,11.0,False,True,True,False
2022-07-22,12.0,203,4,7,-0.3456123126707333,-0.9383773917408642,12.0,12.0,12.0,12.0,12.0,True,False,True,False
2022-07-22,11.0,203,4,7,-0.3456123126707333,-0.9383773917408642,11.0,11.0,11.0,11.0,11.0,False,True,False,True
2022-07-22,11.0,203,4,7,-0.3456123126707333,-0.9383773917408642,11.0,11.0,11.0,11.0,11.0,False,True,True,False
2022-07-22,12.0,203,4,7,-0.3456123126707333,-0.9383773917408642,12.0,12.0,12.0,14.0,12.0,True,False,False,True
2022-07-23,11.0,204,5,7,-0.3617137307297674,-0.9322892131745134,11.0,11.0,11.0,11.0,11.0,False,True,False,True
2022-07-23,12.0,204,5,7,-0.3617137307297674,-0.9322892131745134,12.0,12.0,12.0,12.0,12.0,True,False,True,False
2022-07-23,12.0,204,5,7,-0.3617137307297674,-0.9322892131745134,12.0,12.0,12.0,14.0,12.0,True,False,False,True
2022-07-23,11.0,204,5,7,-0.3617137307297674,-0.9322892131745134,11.0,11.0,11.0,11.0,11.0,False,True,True,False
2022-07-24,12.0,205,6,7,-0.37770796520396466,-0.9259247771938499,12.0,12.0,12.0,14.0,12.0,True,False,False,True
2022-07-24,11.0,205,6,7,-0.37770796520396466,-0.9259247771938499,11.0,11.0,11.0,11.0,11.0,False,True,False,True
2022-07-24,12.0,205,6,7,-0.37770796520396466,-0.9259247771938499,12.0,12.0,12.0,12.0,12.0,True,False,True,False
