pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_米面类
2022-08-10,2.95,222,2,8,-0.6287628145958345,-0.7775971469736268,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-11,2.95,223,3,8,-0.6420547132365636,-0.7666588193001592,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-12,2.95,224,4,8,-0.655156357209085,-0.7554933140726804,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-13,2.95,225,5,8,-0.6680638642135333,-0.7441039398713608,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-14,2.95,226,6,8,-0.6807734094770159,-0.7324940716135792,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-15,2.95,227,0,8,-0.6932812268869771,-0.7206671495538615,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-16,2.95,228,1,8,-0.7055836101071774,-0.70862667826446,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-17,2.95,229,2,8,-0.7176769136759615,-0.6963762255968726,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-18,2.95,230,3,8,-0.7295575540864876,-0.6839194216246105,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-19,2.95,231,4,8,-0.7412220108485957,-0.6712599575675315,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-20,2.95,232,5,8,-0.7526668275320083,-0.6584015846980489,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-21,2.95,233,6,8,-0.7638886127905429,-0.64534811322955,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-22,2.95,234,0,8,-0.7748840413670406,-0.6321034111873488,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-23,2.95,235,1,8,-0.7856498550787144,-0.6186714032625032,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-24,2.95,236,2,8,-0.7961828637826154,-0.6050560696488494,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-25,2.95,237,3,8,-0.8064799463209447,-0.5912614448635782,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-26,2.95,238,4,8,-0.8165380514459157,-0.5772916165517278,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-27,2.95,239,5,8,-0.8263541987239094,-0.5631507242749187,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-28,2.95,240,6,8,-0.8359254794186365,-0.5488429582847199,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-29,2.95,241,0,8,-0.8452490573530634,-0.5343725582809785,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-30,2.95,242,1,8,-0.8543221697498269,-0.5197438121555157,2.95,2.95,2.95,2.95,2.95,True,True
2022-08-31,2.95,243,2,8,-0.8631421280499115,-0.5049610547215202,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-01,2.95,244,3,9,-0.8717063187093217,-0.4900286664290594,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-02,2.95,245,4,9,-0.8800122039735356,-0.4749510720670502,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-03,2.95,246,5,9,-0.888057322629493,-0.4597327394521046,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-04,2.95,247,6,9,-0.8958392907349089,-0.4443781781046134,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-05,2.95,248,0,9,-0.9033558023246842,-0.4288919379124841,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-06,2.95,249,1,9,-0.9106046300942162,-0.41327860778290443,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-07,2.95,250,2,9,-0.9175836260593934,-0.3975428142825566,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-08,2.95,251,3,9,-0.9242907221930934,-0.3816892202666586,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-09,2.95,252,4,9,-0.9307239310379793,-0.3657225234972692,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-10,2.95,253,5,9,-0.9368813462954315,-0.34964745525122826,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-11,2.95,254,6,9,-0.9427611433904206,-0.33346877891818705,2.95,2.95,2.95,2.95,2.95,True,True
2022-09-12,2.95,255,0,9,-0.9483615800121716,-0.31719128858910595,2.95,2.95,2.95,2.95,2.95,True,True
