pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_去尾,prodPcat_贝壳类,prodPcat_其他类
2022-07-22,3.75,203,4,7,-0.3456123126707333,-0.9383773917408642,3.75,3.75,3.75,3.75,3.75,True,True,False
2022-07-22,3.75,203,4,7,-0.3456123126707333,-0.9383773917408642,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-23,3.75,204,5,7,-0.3617137307297674,-0.9322892131745134,3.75,3.75,3.75,3.75,3.75,True,True,False
2022-07-23,3.75,204,5,7,-0.3617137307297674,-0.9322892131745134,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-24,3.75,205,6,7,-0.37770796520396466,-0.9259247771938499,3.75,3.75,3.75,3.75,3.75,True,True,False
2022-07-24,3.75,205,6,7,-0.37770796520396466,-0.9259247771938499,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-25,3.65,206,0,7,-0.39359027665646645,-0.9192859697186105,3.75,3.75,3.75,3.75,3.746666666666667,True,True,False
2022-07-25,3.75,206,0,7,-0.39359027665646645,-0.9192859697186105,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-26,3.75,207,1,7,-0.4093559588156211,-0.9123747579707274,3.65,3.75,3.75,3.75,3.746666666666667,True,True,False
2022-07-26,3.75,207,1,7,-0.4093559588156211,-0.9123747579707274,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-27,3.65,208,2,7,-0.42500033996955394,-0.9051931898913975,3.75,3.75,3.75,3.75,3.743333333333333,True,True,False
2022-07-27,3.75,208,2,7,-0.42500033996955394,-0.9051931898913975,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-28,3.65,209,3,7,-0.4405187843504952,-0.8977433935342336,3.65,3.75,3.75,3.75,3.74,True,True,False
2022-07-28,3.75,209,3,7,-0.4405187843504952,-0.8977433935342336,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-29,3.75,210,4,7,-0.455906693508459,-0.8900275764346766,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-29,3.65,210,4,7,-0.455906693508459,-0.8900275764346766,3.65,3.75,3.75,3.75,3.7366666666666664,True,True,False
2022-07-30,3.75,211,5,7,-0.47115950767386394,-0.8820480249558535,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-30,3.65,211,5,7,-0.47115950767386394,-0.8820480249558535,3.65,3.75,3.75,3.75,3.7333333333333334,True,True,False
2022-07-31,3.75,212,6,7,-0.4862727071086902,-0.8738071036110807,3.75,3.75,3.75,3.2,3.75,True,False,True
2022-07-31,3.65,212,6,7,-0.4862727071086902,-0.8738071036110807,3.65,3.75,3.75,3.75,3.73,True,True,False
2022-08-01,3.75,213,0,8,-0.5012418134457756,-0.8653072543632061,3.75,3.75,3.75,3.2,3.75,True,False,True
