pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_瘦,specInfo_肥,prodPcat_猪肉类
2022-07-17,14.45,198,6,7,-0.2636654927280072,-0.9646141756912435,14.5,15.5,10.483333333333334,8.9,13.538333333333332,True,False,True
2022-07-17,12.5,198,6,7,-0.2636654927280072,-0.9646141756912435,12.9,13.5,9.1,7.25,11.884166666666665,False,True,True
2022-07-18,14.4,199,0,7,-0.2802306751992161,-0.9599326896597445,14.45,15.4,10.4,9.3,13.671666666666669,True,False,True
2022-07-18,13.25,199,0,7,-0.2802306751992161,-0.9599326896597445,12.5,13.25,9.1,7.625,12.0225,False,True,True
2022-07-19,14.35,200,1,7,-0.2967128192734901,-0.9549667548552553,14.4,15.25,10.4,9.7,13.803333333333333,True,False,True
2022-07-19,12.25,200,1,7,-0.2967128192734901,-0.9549667548552553,13.25,12.5,9.2,8.0,12.124166666666667,False,True,True
2022-07-20,14.3,201,2,7,-0.3131070409358267,-0.9497178427914317,14.35,15.25,10.75,10.1,13.921666666666665,True,False,True
2022-07-20,12.6,201,2,7,-0.3131070409358267,-0.9497178427914317,12.25,13.0,9.25,8.375,12.235833333333336,False,True,True
2022-07-21,14.25,202,3,7,-0.3294084822245302,-0.9441875088341994,14.3,15.25,10.9,10.5,14.033333333333333,True,False,True
2022-07-21,12.25,202,3,7,-0.3294084822245302,-0.9441875088341994,12.6,13.5,9.75,8.75,12.319166666666668,False,True,True
2022-07-22,14.0,203,4,7,-0.3456123126707333,-0.9383773917408642,14.25,14.25,11.0,10.5,14.133333333333333,True,False,True
2022-07-22,12.25,203,4,7,-0.3456123126707333,-0.9383773917408642,12.25,13.25,9.65,8.5,12.405833333333334,False,True,True
2022-07-23,14.0,204,5,7,-0.3617137307297674,-0.9322892131745134,14.0,14.5,11.25,10.5,14.225,True,False,True
2022-07-23,12.25,204,5,7,-0.3617137307297674,-0.9322892131745134,12.25,12.9,10.2,8.5,12.474166666666667,False,True,True
2022-07-24,12.5,205,6,7,-0.37770796520396466,-0.9259247771938499,12.25,12.5,10.25,8.75,12.549166666666668,False,True,True
2022-07-24,14.0,205,6,7,-0.37770796520396466,-0.9259247771938499,14.0,14.45,11.3,10.75,14.315,True,False,True
2022-07-25,12.5,206,0,7,-0.39359027665646645,-0.9192859697186105,12.5,13.25,10.25,8.25,12.624166666666667,False,True,True
2022-07-25,14.0,206,0,7,-0.39359027665646645,-0.9192859697186105,14.0,14.4,11.5,10.625,14.398333333333333,True,False,True
2022-07-26,12.125,207,1,7,-0.4093559588156211,-0.9123747579707274,12.5,12.25,10.5,8.5,12.678333333333335,False,True,True
2022-07-26,13.75,207,1,7,-0.4093559588156211,-0.9123747579707274,14.0,14.35,11.5,10.5,14.473333333333333,True,False,True
2022-07-27,11.75,208,2,7,-0.42500033996955394,-0.9051931898913975,12.125,12.6,11.5,8.25,12.686666666666667,False,True,True
2022-07-27,13.75,208,2,7,-0.42500033996955394,-0.9051931898913975,13.75,14.3,12.25,10.25,14.523333333333333,True,False,True
2022-07-28,13.35,209,3,7,-0.4405187843504952,-0.8977433935342336,13.75,14.25,12.75,10.0,14.543333333333333,True,False,True
2022-07-28,11.5,209,3,7,-0.4405187843504952,-0.8977433935342336,11.75,12.25,11.6,8.0,12.683333333333334,False,True,True
2022-07-29,13.0,210,4,7,-0.455906693508459,-0.8900275764346766,13.35,14.0,13.5,10.0,14.526666666666667,True,False,True
2022-07-29,11.4,210,4,7,-0.455906693508459,-0.8900275764346766,11.5,12.25,12.35,8.0,12.651666666666667,False,True,True
2022-07-30,14.0,211,5,7,-0.47115950767386394,-0.8820480249558535,13.0,14.0,13.75,10.0,14.535,True,False,True
2022-07-30,12.5,211,5,7,-0.47115950767386394,-0.8820480249558535,11.4,12.25,12.4,8.25,12.655,False,True,True
2022-07-31,12.75,212,6,7,-0.4862727071086902,-0.8738071036110807,12.5,12.5,11.75,9.0,12.688333333333333,False,True,True
2022-07-31,13.75,212,6,7,-0.4862727071086902,-0.8738071036110807,14.0,14.0,13.75,10.75,14.535,True,False,True
2022-08-01,12.125,213,0,8,-0.5012418134457756,-0.8653072543632061,12.75,12.5,11.65,8.5,12.704166666666667,False,True,True
2022-08-01,13.9,213,0,8,-0.5012418134457756,-0.8653072543632061,13.75,14.0,13.75,10.5,14.54,True,False,True
2022-08-02,11.5,214,1,8,-0.5160623910158526,-0.8565509959010037,12.125,12.125,11.6,8.75,12.700833333333332,False,True,True
