pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,54.5,201,2,7,-0.3131070409358267,-0.9497178427914317,54.4,53.8,49.5,31.0,53.083333333333336,True,True
2022-07-21,54.5,202,3,7,-0.3294084822245302,-0.9441875088341994,54.5,53.9,49.9,31.09090909090909,53.236666666666665,True,True
2022-07-22,54.5,203,4,7,-0.3456123126707333,-0.9383773917408642,54.5,54.0,50.3,31.181818181818183,53.376666666666665,True,True
2022-07-23,54.5,204,5,7,-0.3617137307297674,-0.9322892131745134,54.5,54.1,50.7,31.272727272727273,53.50333333333333,True,True
2022-07-24,54.5,205,6,7,-0.37770796520396466,-0.9259247771938499,54.5,54.2,51.1,31.363636363636363,53.61666666666667,True,True
2022-07-25,54.5,206,0,7,-0.39359027665646645,-0.9192859697186105,54.5,54.3,51.5,31.454545454545453,53.71666666666667,True,True
2022-07-26,54.5,207,1,7,-0.4093559588156211,-0.9123747579707274,54.5,54.4,51.9,31.545454545454547,53.80333333333333,True,True
2022-07-27,54.5,208,2,7,-0.42500033996955394,-0.9051931898913975,54.5,54.5,52.3,31.636363636363637,53.876666666666665,True,True
2022-07-28,54.5,209,3,7,-0.4405187843504952,-0.8977433935342336,54.5,54.5,52.7,31.727272727272727,53.93666666666666,True,True
2022-07-29,54.5,210,4,7,-0.455906693508459,-0.8900275764346766,54.5,54.5,53.1,31.818181818181817,53.983333333333334,True,True
2022-07-30,54.5,211,5,7,-0.47115950767386394,-0.8820480249558535,54.5,54.5,53.5,31.90909090909091,54.016666666666666,True,True
2022-07-31,54.5,212,6,7,-0.4862727071086902,-0.8738071036110807,54.5,54.5,53.5,32.0,54.05,True,True
2022-08-01,54.5,213,0,8,-0.5012418134457756,-0.8653072543632061,54.5,54.5,53.5,32.0,54.083333333333336,True,True
2022-08-02,54.5,214,1,8,-0.5160623910158526,-0.8565509959010037,54.5,54.5,53.5,32.0,54.11666666666667,True,True
2022-08-03,54.5,215,2,8,-0.5307300481619331,-0.8475409228928312,54.5,54.5,53.5,32.0,54.15,True,True
2022-08-04,54.5,216,3,8,-0.5452404385406507,-0.8382797052177745,54.5,54.5,53.5,32.0,54.18333333333333,True,True
2022-08-05,54.5,217,4,8,-0.5595892624101763,-0.828770087174504,54.5,54.5,53.5,32.0,54.21666666666667,True,True
2022-08-06,54.5,218,5,8,-0.5737722679043243,-0.8190148866680802,54.5,54.5,53.5,32.0,54.25,True,True
2022-08-07,54.5,219,6,8,-0.5877852522924734,-0.8090169943749472,54.5,54.5,53.5,32.0,54.28333333333333,True,True
2022-08-08,54.5,220,0,8,-0.6016240632249227,-0.7987793728863648,54.5,54.5,53.5,32.0,54.31666666666667,True,True
2022-08-09,54.5,221,1,8,-0.6152845999633277,-0.7883050558305253,54.5,54.5,53.5,32.0,54.35,True,True
2022-08-10,54.5,222,2,8,-0.6287628145958345,-0.7775971469736268,54.5,54.5,53.6,32.0,54.38,True,True
2022-08-11,54.5,223,3,8,-0.6420547132365636,-0.7666588193001592,54.5,54.5,53.7,32.0,54.406666666666666,True,True
2022-08-12,54.5,224,4,8,-0.655156357209085,-0.7554933140726804,54.5,54.5,53.8,32.0,54.43,True,True
2022-08-13,54.5,225,5,8,-0.6680638642135333,-0.7441039398713608,54.5,54.5,53.9,32.0,54.45,True,True
2022-08-14,54.5,226,6,8,-0.6807734094770159,-0.7324940716135792,54.5,54.5,54.0,32.0,54.46666666666667,True,True
2022-08-15,54.5,227,0,8,-0.6932812268869771,-0.7206671495538615,54.5,54.5,54.1,32.0,54.480000000000004,True,True
2022-08-16,54.5,228,1,8,-0.7055836101071774,-0.70862667826446,54.5,54.5,54.2,32.0,54.49,True,True
2022-08-17,54.5,229,2,8,-0.7176769136759615,-0.6963762255968726,54.5,54.5,54.3,32.0,54.49666666666667,True,True
2022-08-18,54.5,230,3,8,-0.7295575540864876,-0.6839194216246105,54.5,54.5,54.4,32.0,54.5,True,True
2022-08-19,54.5,231,4,8,-0.7412220108485957,-0.6712599575675315,54.5,54.5,54.5,32.0,54.5,True,True
2022-08-20,54.5,232,5,8,-0.7526668275320083,-0.6584015846980489,54.5,54.5,54.5,32.0,54.5,True,True
2022-08-21,53.95454545454545,233,6,8,-0.7638886127905429,-0.64534811322955,54.5,54.5,54.5,30.90909090909091,54.481818181818184,True,True
2022-08-22,53.40909090909091,234,0,8,-0.7748840413670406,-0.6321034111873488,53.95454545454545,54.5,54.5,29.81818181818182,54.445454545454545,True,True
2022-08-23,52.86363636363637,235,1,8,-0.7856498550787144,-0.6186714032625032,53.40909090909091,54.5,54.5,28.727272727272727,54.39090909090909,True,True
2022-08-24,52.31818181818182,236,2,8,-0.7961828637826154,-0.6050560696488494,52.86363636363637,54.5,54.5,27.636363636363637,54.31818181818182,True,True
2022-08-25,51.77272727272727,237,3,8,-0.8064799463209447,-0.5912614448635782,52.31818181818182,54.5,54.5,26.545454545454547,54.22727272727273,True,True
2022-08-26,51.22727272727273,238,4,8,-0.8165380514459157,-0.5772916165517278,51.77272727272727,54.5,54.5,25.454545454545453,54.11818181818182,True,True
2022-08-27,50.68181818181818,239,5,8,-0.8263541987239094,-0.5631507242749187,51.22727272727273,54.5,54.5,24.363636363636363,53.99090909090909,True,True
2022-08-28,50.13636363636364,240,6,8,-0.8359254794186365,-0.5488429582847199,50.68181818181818,53.95454545454545,54.5,23.272727272727273,53.84545454545455,True,True
2022-08-29,49.59090909090909,241,0,8,-0.8452490573530634,-0.5343725582809785,50.13636363636364,53.40909090909091,54.5,22.181818181818183,53.68181818181818,True,True
2022-08-30,49.04545454545455,242,1,8,-0.8543221697498269,-0.5197438121555157,49.59090909090909,52.86363636363637,54.5,21.090909090909093,53.5,True,True
2022-08-31,48.5,243,2,8,-0.8631421280499115,-0.5049610547215202,49.04545454545455,52.31818181818182,54.5,20.0,53.3,True,True
2022-09-01,47.2,244,3,9,-0.8717063187093217,-0.4900286664290594,48.5,51.77272727272727,54.5,20.35,53.056666666666665,True,True
2022-09-02,45.9,245,4,9,-0.8800122039735356,-0.4749510720670502,47.2,51.22727272727273,54.5,20.7,52.769999999999996,True,True
2022-09-03,44.6,246,5,9,-0.888057322629493,-0.4597327394521046,45.9,50.68181818181818,54.5,21.05,52.440000000000005,True,True
2022-09-04,43.3,247,6,9,-0.8958392907349089,-0.4443781781046134,44.6,50.13636363636364,54.5,21.4,52.06666666666667,True,True
2022-09-05,42.0,248,0,9,-0.9033558023246842,-0.4288919379124841,43.3,49.59090909090909,54.5,21.75,51.65,True,True
2022-09-06,40.7,249,1,9,-0.9106046300942162,-0.41327860778290443,42.0,49.04545454545455,54.5,22.1,51.190000000000005,True,True
