pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_虾蟹类,prodPcat_其他类
2022-07-22,265.0,203,4,7,-0.3456123126707333,-0.9383773917408642,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-22,270.0,203,4,7,-0.3456123126707333,-0.9383773917408642,270.0,270.0,270.0,240.0,270.0,True,False,True
2022-07-23,265.0,204,5,7,-0.3617137307297674,-0.9322892131745134,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-23,270.0,204,5,7,-0.3617137307297674,-0.9322892131745134,270.0,270.0,270.0,240.0,270.0,True,False,True
2022-07-24,265.0,205,6,7,-0.37770796520396466,-0.9259247771938499,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-24,270.0,205,6,7,-0.37770796520396466,-0.9259247771938499,270.0,270.0,270.0,240.0,270.0,True,False,True
2022-07-25,265.0,206,0,7,-0.39359027665646645,-0.9192859697186105,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-25,270.0,206,0,7,-0.39359027665646645,-0.9192859697186105,270.0,270.0,270.0,240.0,270.0,True,False,True
2022-07-26,265.0,207,1,7,-0.4093559588156211,-0.9123747579707274,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-26,270.0,207,1,7,-0.4093559588156211,-0.9123747579707274,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-07-27,265.0,208,2,7,-0.42500033996955394,-0.9051931898913975,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-27,270.0,208,2,7,-0.42500033996955394,-0.9051931898913975,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-07-28,265.0,209,3,7,-0.4405187843504952,-0.8977433935342336,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-28,270.0,209,3,7,-0.4405187843504952,-0.8977433935342336,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-07-29,270.0,210,4,7,-0.455906693508459,-0.8900275764346766,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-07-29,265.0,210,4,7,-0.455906693508459,-0.8900275764346766,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-30,270.0,211,5,7,-0.47115950767386394,-0.8820480249558535,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-07-30,265.0,211,5,7,-0.47115950767386394,-0.8820480249558535,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-07-31,270.0,212,6,7,-0.4862727071086902,-0.8738071036110807,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-07-31,265.0,212,6,7,-0.4862727071086902,-0.8738071036110807,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-01,270.0,213,0,8,-0.5012418134457756,-0.8653072543632061,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-01,265.0,213,0,8,-0.5012418134457756,-0.8653072543632061,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-02,265.0,214,1,8,-0.5160623910158526,-0.8565509959010037,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-02,270.0,214,1,8,-0.5160623910158526,-0.8565509959010037,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-03,265.0,215,2,8,-0.5307300481619331,-0.8475409228928312,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-03,270.0,215,2,8,-0.5307300481619331,-0.8475409228928312,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-04,265.0,216,3,8,-0.5452404385406507,-0.8382797052177745,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-04,270.0,216,3,8,-0.5452404385406507,-0.8382797052177745,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-05,265.0,217,4,8,-0.5595892624101763,-0.828770087174504,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-05,270.0,217,4,8,-0.5595892624101763,-0.828770087174504,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-06,270.0,218,5,8,-0.5737722679043243,-0.8190148866680802,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-06,265.0,218,5,8,-0.5737722679043243,-0.8190148866680802,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-07,270.0,219,6,8,-0.5877852522924734,-0.8090169943749472,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-07,265.0,219,6,8,-0.5877852522924734,-0.8090169943749472,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-08,270.0,220,0,8,-0.6016240632249227,-0.7987793728863648,270.0,270.0,270.0,260.0,270.0,True,False,True
2022-08-08,265.0,220,0,8,-0.6016240632249227,-0.7987793728863648,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-09,265.0,221,1,8,-0.6152845999633277,-0.7883050558305253,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-09,270.0,221,1,8,-0.6152845999633277,-0.7883050558305253,270.0,270.0,270.0,265.0,270.0,True,False,True
2022-08-10,270.0,222,2,8,-0.6287628145958345,-0.7775971469736268,270.0,270.0,270.0,270.0,270.0,True,False,True
2022-08-10,265.0,222,2,8,-0.6287628145958345,-0.7775971469736268,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-11,265.0,223,3,8,-0.6420547132365636,-0.7666588193001592,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-11,270.0,223,3,8,-0.6420547132365636,-0.7666588193001592,270.0,270.0,270.0,270.0,270.0,True,False,True
2022-08-12,265.0,224,4,8,-0.655156357209085,-0.7554933140726804,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-12,270.0,224,4,8,-0.655156357209085,-0.7554933140726804,270.0,270.0,270.0,270.0,270.0,True,False,True
2022-08-13,270.0,225,5,8,-0.6680638642135333,-0.7441039398713608,270.0,270.0,270.0,270.0,270.0,True,False,True
2022-08-13,265.0,225,5,8,-0.6680638642135333,-0.7441039398713608,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-14,265.0,226,6,8,-0.6807734094770159,-0.7324940716135792,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-14,270.0,226,6,8,-0.6807734094770159,-0.7324940716135792,270.0,270.0,270.0,270.0,270.0,True,False,True
2022-08-15,270.0,227,0,8,-0.6932812268869771,-0.7206671495538615,270.0,270.0,270.0,270.0,270.0,True,False,True
2022-08-15,265.0,227,0,8,-0.6932812268869771,-0.7206671495538615,265.0,265.0,265.0,265.0,265.0,True,True,False
2022-08-16,270.0,228,1,8,-0.7055836101071774,-0.70862667826446,270.0,270.0,270.0,270.0,270.0,True,False,True
