pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_5L/桶,prodPcat_食用油
2022-07-20,65.0,201,2,7,-0.3131070409358267,-0.9497178427914317,65.0,65.0,65.5,56.5,64.90833333333333,True,True
2022-07-21,65.0,202,3,7,-0.3294084822245302,-0.9441875088341994,65.0,65.0,65.4,56.31818181818182,64.895,True,True
2022-07-22,65.0,203,4,7,-0.3456123126707333,-0.9383773917408642,65.0,65.0,65.3,56.13636363636363,64.885,True,True
2022-07-23,65.0,204,5,7,-0.3617137307297674,-0.9322892131745134,65.0,65.0,65.2,55.95454545454545,64.87833333333333,True,True
2022-07-24,65.0,205,6,7,-0.37770796520396466,-0.9259247771938499,65.0,65.0,65.1,55.77272727272727,64.875,True,True
2022-07-25,65.0,206,0,7,-0.39359027665646645,-0.9192859697186105,65.0,65.0,65.0,55.59090909090909,64.875,True,True
2022-07-26,65.0,207,1,7,-0.4093559588156211,-0.9123747579707274,65.0,65.0,64.9,55.40909090909091,64.87833333333333,True,True
2022-07-27,65.0,208,2,7,-0.42500033996955394,-0.9051931898913975,65.0,65.0,64.8,55.22727272727273,64.885,True,True
2022-07-28,65.0,209,3,7,-0.4405187843504952,-0.8977433935342336,65.0,65.0,64.7,55.04545454545455,64.895,True,True
2022-07-29,65.0,210,4,7,-0.455906693508459,-0.8900275764346766,65.0,65.0,64.6,54.86363636363637,64.90833333333333,True,True
2022-07-30,65.0,211,5,7,-0.47115950767386394,-0.8820480249558535,65.0,65.0,64.5,54.68181818181818,64.925,True,True
2022-07-31,65.0,212,6,7,-0.4862727071086902,-0.8738071036110807,65.0,65.0,64.55,54.5,64.94,True,True
2022-08-01,65.0,213,0,8,-0.5012418134457756,-0.8653072543632061,65.0,65.0,64.6,54.5,64.95333333333333,True,True
2022-08-02,65.0,214,1,8,-0.5160623910158526,-0.8565509959010037,65.0,65.0,64.65,54.5,64.965,True,True
2022-08-03,65.0,215,2,8,-0.5307300481619331,-0.8475409228928312,65.0,65.0,64.7,54.5,64.975,True,True
2022-08-04,65.0,216,3,8,-0.5452404385406507,-0.8382797052177745,65.0,65.0,64.75,54.5,64.98333333333333,True,True
2022-08-05,65.0,217,4,8,-0.5595892624101763,-0.828770087174504,65.0,65.0,64.8,54.5,64.99,True,True
2022-08-06,65.0,218,5,8,-0.5737722679043243,-0.8190148866680802,65.0,65.0,64.85,54.5,64.99499999999999,True,True
2022-08-07,65.0,219,6,8,-0.5877852522924734,-0.8090169943749472,65.0,65.0,64.9,54.5,64.99833333333333,True,True
2022-08-08,65.0,220,0,8,-0.6016240632249227,-0.7987793728863648,65.0,65.0,64.95,54.5,65.0,True,True
2022-08-09,65.0,221,1,8,-0.6152845999633277,-0.7883050558305253,65.0,65.0,65.0,54.5,65.0,True,True
2022-08-10,65.0,222,2,8,-0.6287628145958345,-0.7775971469736268,65.0,65.0,65.0,54.5,65.0,True,True
2022-08-11,65.0,223,3,8,-0.6420547132365636,-0.7666588193001592,65.0,65.0,65.0,54.75,65.0,True,True
2022-08-12,65.0,224,4,8,-0.655156357209085,-0.7554933140726804,65.0,65.0,65.0,55.0,65.0,True,True
2022-08-13,65.0,225,5,8,-0.6680638642135333,-0.7441039398713608,65.0,65.0,65.0,55.25,65.0,True,True
2022-08-14,65.0,226,6,8,-0.6807734094770159,-0.7324940716135792,65.0,65.0,65.0,55.5,65.0,True,True
2022-08-15,65.0,227,0,8,-0.6932812268869771,-0.7206671495538615,65.0,65.0,65.0,55.75,65.0,True,True
2022-08-16,65.0,228,1,8,-0.7055836101071774,-0.70862667826446,65.0,65.0,65.0,56.0,65.0,True,True
2022-08-17,65.0,229,2,8,-0.7176769136759615,-0.6963762255968726,65.0,65.0,65.0,56.25,65.0,True,True
2022-08-18,65.0,230,3,8,-0.7295575540864876,-0.6839194216246105,65.0,65.0,65.0,56.5,65.0,True,True
2022-08-19,65.0,231,4,8,-0.7412220108485957,-0.6712599575675315,65.0,65.0,65.0,56.75,65.0,True,True
2022-08-20,65.0,232,5,8,-0.7526668275320083,-0.6584015846980489,65.0,65.0,65.0,57.0,65.0,True,True
2022-08-21,65.0,233,6,8,-0.7638886127905429,-0.64534811322955,65.0,65.0,65.0,57.13636363636363,65.0,True,True
2022-08-22,65.0,234,0,8,-0.7748840413670406,-0.6321034111873488,65.0,65.0,65.0,57.27272727272727,65.0,True,True
2022-08-23,65.0,235,1,8,-0.7856498550787144,-0.6186714032625032,65.0,65.0,65.0,57.40909090909091,65.0,True,True
2022-08-24,65.0,236,2,8,-0.7961828637826154,-0.6050560696488494,65.0,65.0,65.0,57.54545454545455,65.0,True,True
2022-08-25,65.0,237,3,8,-0.8064799463209447,-0.5912614448635782,65.0,65.0,65.0,57.68181818181818,65.0,True,True
2022-08-26,65.0,238,4,8,-0.8165380514459157,-0.5772916165517278,65.0,65.0,65.0,57.81818181818182,65.0,True,True
2022-08-27,65.0,239,5,8,-0.8263541987239094,-0.5631507242749187,65.0,65.0,65.0,57.95454545454545,65.0,True,True
2022-08-28,65.0,240,6,8,-0.8359254794186365,-0.5488429582847199,65.0,65.0,65.0,58.09090909090909,65.0,True,True
2022-08-29,65.0,241,0,8,-0.8452490573530634,-0.5343725582809785,65.0,65.0,65.0,58.22727272727273,65.0,True,True
2022-08-30,65.0,242,1,8,-0.8543221697498269,-0.5197438121555157,65.0,65.0,65.0,58.36363636363637,65.0,True,True
2022-08-31,65.0,243,2,8,-0.8631421280499115,-0.5049610547215202,65.0,65.0,65.0,58.5,65.0,True,True
2022-09-01,65.0,244,3,9,-0.8717063187093217,-0.4900286664290594,65.0,65.0,65.0,58.5,65.0,True,True
2022-09-02,65.0,245,4,9,-0.8800122039735356,-0.4749510720670502,65.0,65.0,65.0,58.5,65.0,True,True
