pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.75,202,3,7,-0.3294084822245302,-0.9441875088341994,2.75,2.75,2.25,4.25,2.5166666666666666,True,True
2022-07-22,2.75,203,4,7,-0.3456123126707333,-0.9383773917408642,2.75,2.75,2.25,4.25,2.533333333333333,True,True
2022-07-23,2.5833333333333335,204,5,7,-0.3617137307297674,-0.9322892131745134,2.75,2.75,2.25,3.75,2.5444444444444447,True,True
2022-07-24,2.4166666666666665,205,6,7,-0.37770796520396466,-0.9259247771938499,2.5833333333333335,2.75,2.25,4.0,2.55,True,True
2022-07-25,2.25,206,0,7,-0.39359027665646645,-0.9192859697186105,2.4166666666666665,2.75,2.25,4.25,2.55,True,True
2022-07-26,1.75,207,1,7,-0.4093559588156211,-0.9123747579707274,2.25,2.75,2.25,4.5,2.533333333333333,True,True
2022-07-27,1.75,208,2,7,-0.42500033996955394,-0.9051931898913975,1.75,2.75,2.25,4.5,2.5166666666666666,True,True
2022-07-28,1.75,209,3,7,-0.4405187843504952,-0.8977433935342336,1.75,2.75,2.25,4.5,2.5,True,True
2022-07-29,2.25,210,4,7,-0.455906693508459,-0.8900275764346766,1.75,2.75,2.25,2.5,2.5,True,True
2022-07-30,2.25,211,5,7,-0.47115950767386394,-0.8820480249558535,2.25,2.5833333333333335,2.25,2.5,2.5,True,True
2022-07-31,2.25,212,6,7,-0.4862727071086902,-0.8738071036110807,2.25,2.4166666666666665,2.25,3.1666666666666665,2.5,True,True
2022-08-01,2.25,213,0,8,-0.5012418134457756,-0.8653072543632061,2.25,2.25,2.25,3.833333333333333,2.5,True,True
2022-08-02,2.25,214,1,8,-0.5160623910158526,-0.8565509959010037,2.25,1.75,2.25,4.5,2.5,True,True
2022-08-03,2.15,215,2,8,-0.5307300481619331,-0.8475409228928312,2.25,1.75,2.25,3.75,2.496666666666667,True,True
2022-08-04,1.75,216,3,8,-0.5452404385406507,-0.8382797052177745,2.15,1.75,2.25,4.5,2.48,True,True
2022-08-05,1.75,217,4,8,-0.5595892624101763,-0.828770087174504,1.75,2.25,2.25,4.5,2.4633333333333334,True,True
2022-08-06,1.75,218,5,8,-0.5737722679043243,-0.8190148866680802,1.75,2.25,2.75,4.5,2.43,True,True
2022-08-07,1.75,219,6,8,-0.5877852522924734,-0.8090169943749472,1.75,2.25,2.75,3.8333333333333335,2.396666666666667,True,True
2022-08-08,1.75,220,0,8,-0.6016240632249227,-0.7987793728863648,1.75,2.25,2.75,3.166666666666667,2.3633333333333337,True,True
2022-08-09,1.75,221,1,8,-0.6152845999633277,-0.7883050558305253,1.75,2.25,2.75,2.5,2.33,True,True
2022-08-10,2.75,222,2,8,-0.6287628145958345,-0.7775971469736268,1.75,2.15,2.75,2.5,2.33,True,True
2022-08-11,2.75,223,3,8,-0.6420547132365636,-0.7666588193001592,2.75,1.75,3.25,2.25,2.3133333333333335,True,True
2022-08-12,2.75,224,4,8,-0.655156357209085,-0.7554933140726804,2.75,1.75,2.75,2.25,2.3133333333333335,True,True
2022-08-13,2.9166666666666665,225,5,8,-0.6680638642135333,-0.7441039398713608,2.75,1.75,2.75,2.25,2.3188888888888886,True,True
2022-08-14,3.0833333333333335,226,6,8,-0.6807734094770159,-0.7324940716135792,2.9166666666666665,1.75,2.75,2.25,2.33,True,True
2022-08-15,3.25,227,0,8,-0.6932812268869771,-0.7206671495538615,3.0833333333333335,1.75,2.75,2.25,2.3466666666666667,True,True
2022-08-16,3.5,228,1,8,-0.7055836101071774,-0.70862667826446,3.25,1.75,2.75,2.25,2.371666666666667,True,True
2022-08-17,3.5,229,2,8,-0.7176769136759615,-0.6963762255968726,3.5,2.75,2.75,2.25,2.396666666666667,True,True
2022-08-18,4.0,230,3,8,-0.7295575540864876,-0.6839194216246105,3.5,2.75,2.75,2.25,2.4383333333333335,True,True
2022-08-19,4.25,231,4,8,-0.7412220108485957,-0.6712599575675315,4.0,2.75,2.75,2.25,2.4883333333333337,True,True
2022-08-20,4.666666666666667,232,5,8,-0.7526668275320083,-0.6584015846980489,4.25,2.9166666666666665,2.75,2.25,2.5522222222222224,True,True
2022-08-21,5.083333333333333,233,6,8,-0.7638886127905429,-0.64534811322955,4.666666666666667,3.0833333333333335,2.75,2.75,2.6300000000000003,True,True
2022-08-22,5.5,234,0,8,-0.7748840413670406,-0.6321034111873488,5.083333333333333,3.25,2.5833333333333335,3.25,2.727222222222222,True,True
2022-08-23,5.25,235,1,8,-0.7856498550787144,-0.6186714032625032,5.5,3.5,2.4166666666666665,3.75,2.8216666666666668,True,True
2022-08-24,5.25,236,2,8,-0.7961828637826154,-0.6050560696488494,5.25,3.5,2.25,3.25,2.921666666666667,True,True
2022-08-25,3.5,237,3,8,-0.8064799463209447,-0.5912614448635782,5.25,4.0,1.75,3.25,2.98,True,True
2022-08-26,4.75,238,4,8,-0.8165380514459157,-0.5772916165517278,3.5,4.25,1.75,3.25,3.08,True,True
2022-08-27,4.375,239,5,8,-0.8263541987239094,-0.5631507242749187,4.75,4.666666666666667,1.75,3.25,3.1675,True,True
2022-08-28,4.0,240,6,8,-0.8359254794186365,-0.5488429582847199,4.375,5.083333333333333,2.25,3.25,3.2258333333333336,True,True
2022-08-29,3.625,241,0,8,-0.8452490573530634,-0.5343725582809785,4.0,5.5,2.25,3.25,3.271666666666667,True,True
2022-08-30,3.25,242,1,8,-0.8543221697498269,-0.5197438121555157,3.625,5.25,2.25,3.25,3.305,True,True
2022-08-31,4.75,243,2,8,-0.8631421280499115,-0.5049610547215202,3.25,5.25,2.25,2.5,3.3883333333333336,True,True
2022-09-01,3.5,244,3,9,-0.8717063187093217,-0.4900286664290594,4.75,3.5,2.25,2.0,3.43,True,True
2022-09-02,3.5,245,4,9,-0.8800122039735356,-0.4749510720670502,3.5,4.75,2.15,2.25,3.475,True,True
2022-09-03,3.1666666666666665,246,5,9,-0.888057322629493,-0.4597327394521046,3.5,4.375,1.75,2.25,3.5222222222222226,True,True
2022-09-04,2.8333333333333335,247,6,9,-0.8958392907349089,-0.4443781781046134,3.1666666666666665,4.0,1.75,2.25,3.558333333333333,True,True
2022-09-05,2.5,248,0,9,-0.9033558023246842,-0.4288919379124841,2.8333333333333335,3.625,1.75,2.25,3.5833333333333335,True,True
2022-09-06,5.5,249,1,9,-0.9106046300942162,-0.41327860778290443,2.5,3.25,1.75,2.25,3.7083333333333335,True,True
2022-09-07,6.5,250,2,9,-0.9175836260593934,-0.3975428142825566,5.5,4.75,1.75,2.25,3.8666666666666667,True,True
2022-09-08,2.5,251,3,9,-0.9242907221930934,-0.3816892202666586,6.5,3.5,1.75,2.75,3.8916666666666666,True,True
2022-09-09,2.5,252,4,9,-0.9307239310379793,-0.3657225234972692,2.5,3.5,2.75,3.25,3.8833333333333333,True,True
2022-09-10,2.5,253,5,9,-0.9368813462954315,-0.34964745525122826,2.5,3.1666666666666665,2.75,2.25,3.875,True,True
2022-09-11,2.5,254,6,9,-0.9427611433904206,-0.33346877891818705,2.5,2.8333333333333335,2.75,2.75,3.8666666666666667,True,True
2022-09-12,2.5,255,0,9,-0.9483615800121716,-0.31719128858910595,2.5,2.5,2.9166666666666665,3.25,3.8527777777777783,True,True
2022-09-13,2.25,256,1,9,-0.9536809966304455,-0.300819807635668,2.5,5.5,3.0833333333333335,3.75,3.825,True,True
2022-09-14,1.75,257,2,9,-0.9587178169872964,-0.2843591872810036,2.25,6.5,3.25,2.5,3.775,True,True
2022-09-15,1.25,258,3,9,-0.9634705485641486,-0.26781430516217486,1.75,2.5,3.5,2.5,3.7,True,True
2022-09-16,1.75,259,4,9,-0.9679377830240642,-0.25119006388481957,1.25,2.5,3.5,2.25,3.6416666666666666,True,True
2022-09-17,1.75,260,5,9,-0.9721181966290612,-0.23449138957041052,1.75,2.5,4.0,2.65,3.566666666666667,True,True
2022-09-18,1.75,261,6,9,-0.9760105506323682,-0.21772323039653224,1.75,2.5,4.25,3.1,3.4833333333333334,True,True
2022-09-19,1.75,262,0,9,-0.9796136916454901,-0.20089055513063528,1.75,2.5,4.666666666666667,3.55,3.386111111111111,True,True
2022-09-20,1.75,263,1,9,-0.9829265519799822,-0.18399835165767986,1.75,2.25,5.083333333333333,4.0,3.275,True,True
2022-09-21,1.75,264,2,9,-0.9859481499638303,-0.1670516255021195,1.75,1.75,5.5,4.25,3.15,True,True
2022-09-22,1.75,265,3,9,-0.9886775902323404,-0.15005539834465262,1.75,1.25,5.25,4.25,3.033333333333333,True,True
2022-09-23,1.75,266,4,9,-0.9911140639934546,-0.13301470653419636,1.75,1.75,5.25,4.25,2.9166666666666665,True,True
2022-09-24,1.75,267,5,9,-0.9932568492674143,-0.11593459959550066,1.75,1.75,3.5,4.25,2.8583333333333334,True,True
2022-09-25,1.75,268,6,9,-0.9951053111006974,-0.09882013873287211,1.75,1.75,4.75,4.25,2.7583333333333333,True,True
2022-09-26,1.75,269,0,9,-0.99665890175417,-0.08167639533042288,1.75,1.75,4.375,4.25,2.6708333333333334,True,True
2022-09-27,1.75,270,1,9,-0.9979171608653922,-0.06450844944931625,1.75,1.75,4.0,4.25,2.595833333333333,True,True
2022-09-28,1.25,271,2,9,-0.9988797155850335,-0.04732138832243232,1.75,1.75,3.625,4.25,2.5166666666666666,True,True
2022-09-29,1.25,272,3,9,-0.9995462806873573,-0.03012030484690836,1.25,1.75,3.25,4.25,2.45,True,True
2022-09-30,1.75,273,4,9,-0.9999166586547379,-0.012910296075008843,1.25,1.75,4.75,5.5,2.35,True,True
2022-10-01,1.9375,274,5,10,-0.9999907397361901,0.004303538296243821,1.75,1.75,3.5,6.25,2.2979166666666666,True,True
2022-10-02,2.125,275,6,10,-0.9997685019798909,0.021516097436222233,1.9375,1.75,3.5,6.0,2.252083333333333,True,True
2022-10-03,2.3125,276,0,10,-0.9992500112396835,0.03872228089217399,2.125,1.75,3.1666666666666665,5.75,2.223611111111111,True,True
2022-10-04,2.5,277,1,10,-0.9984354211555643,0.05591699010060302,2.3125,1.75,2.8333333333333335,5.5,2.2125,True,True
2022-10-05,2.0,278,2,10,-0.9973249731081555,0.07309512989807776,2.5,1.25,2.5,5.125,2.1958333333333333,True,True
2022-10-06,4.0,279,3,10,-0.9959189961471792,0.0902516100310407,2.0,1.25,5.5,4.75,2.1458333333333335,True,True
2022-10-07,4.0,280,4,10,-0.994217906893952,0.10738134666416306,4.0,1.75,6.5,6.5,2.0625,True,True
