pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,3.25,202,3,7,-0.3294084822245302,-0.9441875088341994,3.25,2.45,1.75,2.5,2.1033333333333335,True,True
2022-07-22,3.25,203,4,7,-0.3456123126707333,-0.9383773917408642,3.25,2.45,1.75,2.5,2.1533333333333333,True,True
2022-07-23,3.25,204,5,7,-0.3617137307297674,-0.9322892131745134,3.25,2.45,1.75,2.25,2.203333333333333,True,True
2022-07-24,3.25,205,6,7,-0.37770796520396466,-0.9259247771938499,3.25,2.45,1.75,2.25,2.253333333333333,True,True
2022-07-25,3.25,206,0,7,-0.39359027665646645,-0.9192859697186105,3.25,2.45,1.75,2.25,2.3033333333333332,True,True
2022-07-26,3.25,207,1,7,-0.4093559588156211,-0.9123747579707274,3.25,2.45,1.75,2.25,2.353333333333333,True,True
2022-07-27,3.25,208,2,7,-0.42500033996955394,-0.9051931898913975,3.25,3.25,1.75,2.25,2.4033333333333333,True,True
2022-07-28,3.25,209,3,7,-0.4405187843504952,-0.8977433935342336,3.25,3.25,1.75,2.25,2.453333333333333,True,True
2022-07-29,3.25,210,4,7,-0.455906693508459,-0.8900275764346766,3.25,3.25,1.75,2.25,2.503333333333333,True,True
2022-07-30,3.25,211,5,7,-0.47115950767386394,-0.8820480249558535,3.25,3.25,1.75,2.25,2.5533333333333332,True,True
2022-07-31,3.25,212,6,7,-0.4862727071086902,-0.8738071036110807,3.25,3.25,1.75,2.25,2.603333333333333,True,True
2022-08-01,3.25,213,0,8,-0.5012418134457756,-0.8653072543632061,3.25,3.25,1.75,2.25,2.6533333333333333,True,True
2022-08-02,3.25,214,1,8,-0.5160623910158526,-0.8565509959010037,3.25,3.25,1.75,2.25,2.703333333333333,True,True
2022-08-03,3.25,215,2,8,-0.5307300481619331,-0.8475409228928312,3.25,3.25,1.75,2.25,2.753333333333333,True,True
2022-08-04,3.625,216,3,8,-0.5452404385406507,-0.8382797052177745,3.25,3.25,1.75,2.25,2.815833333333333,True,True
2022-08-05,4.0,217,4,8,-0.5595892624101763,-0.828770087174504,3.625,3.25,1.75,2.25,2.890833333333333,True,True
2022-08-06,4.0,218,5,8,-0.5737722679043243,-0.8190148866680802,4.0,3.25,1.75,2.25,2.9658333333333333,True,True
2022-08-07,4.0,219,6,8,-0.5877852522924734,-0.8090169943749472,4.0,3.25,2.25,2.25,3.0241666666666664,True,True
2022-08-08,4.0,220,0,8,-0.6016240632249227,-0.7987793728863648,4.0,3.25,2.25,2.25,3.0825,True,True
2022-08-09,6.0,221,1,8,-0.6152845999633277,-0.7883050558305253,4.0,3.25,2.25,2.25,3.2075,True,True
2022-08-10,6.0,222,2,8,-0.6287628145958345,-0.7775971469736268,6.0,3.25,2.25,2.25,3.3325,True,True
2022-08-11,6.0,223,3,8,-0.6420547132365636,-0.7666588193001592,6.0,3.625,2.45,2.25,3.450833333333333,True,True
2022-08-12,7.0,224,4,8,-0.655156357209085,-0.7554933140726804,6.0,4.0,2.45,2.25,3.6024999999999996,True,True
2022-08-13,7.0,225,5,8,-0.6680638642135333,-0.7441039398713608,7.0,4.0,2.45,2.25,3.754166666666667,True,True
2022-08-14,7.0,226,6,8,-0.6807734094770159,-0.7324940716135792,7.0,4.0,2.45,2.25,3.9058333333333333,True,True
2022-08-15,7.0,227,0,8,-0.6932812268869771,-0.7206671495538615,7.0,4.0,2.45,2.25,4.0575,True,True
2022-08-16,7.0,228,1,8,-0.7055836101071774,-0.70862667826446,7.0,6.0,2.45,2.25,4.2091666666666665,True,True
2022-08-17,7.0,229,2,8,-0.7176769136759615,-0.6963762255968726,7.0,6.0,2.45,2.25,4.360833333333333,True,True
2022-08-18,7.0,230,3,8,-0.7295575540864876,-0.6839194216246105,7.0,6.0,2.45,2.25,4.5125,True,True
2022-08-19,9.5,231,4,8,-0.7412220108485957,-0.6712599575675315,7.0,7.0,3.25,2.25,4.720833333333333,True,True
2022-08-20,10.166666666666666,232,5,8,-0.7526668275320083,-0.6584015846980489,9.5,7.0,3.25,2.25,4.951388888888889,True,True
2022-08-21,10.833333333333334,233,6,8,-0.7638886127905429,-0.64534811322955,10.166666666666666,7.0,3.25,2.25,5.204166666666667,True,True
2022-08-22,11.5,234,0,8,-0.7748840413670406,-0.6321034111873488,10.833333333333334,7.0,3.25,2.25,5.479166666666667,True,True
2022-08-23,10.0,235,1,8,-0.7856498550787144,-0.6186714032625032,11.5,7.0,3.25,2.25,5.704166666666667,True,True
2022-08-24,8.5,236,2,8,-0.7961828637826154,-0.6050560696488494,10.0,7.0,3.25,2.25,5.879166666666666,True,True
2022-08-25,8.5,237,3,8,-0.8064799463209447,-0.5912614448635782,8.5,7.0,3.25,2.25,6.054166666666666,True,True
2022-08-26,8.5,238,4,8,-0.8165380514459157,-0.5772916165517278,8.5,9.5,3.25,2.25,6.229166666666667,True,True
2022-08-27,8.5,239,5,8,-0.8263541987239094,-0.5631507242749187,8.5,10.166666666666666,3.25,2.25,6.404166666666667,True,True
2022-08-28,8.5,240,6,8,-0.8359254794186365,-0.5488429582847199,8.5,10.833333333333334,3.25,2.25,6.579166666666667,True,True
2022-08-29,8.5,241,0,8,-0.8452490573530634,-0.5343725582809785,8.5,11.5,3.25,2.25,6.754166666666666,True,True
2022-08-30,8.5,242,1,8,-0.8543221697498269,-0.5197438121555157,8.5,10.0,3.25,2.25,6.929166666666666,True,True
2022-08-31,8.5,243,2,8,-0.8631421280499115,-0.5049610547215202,8.5,8.5,3.25,2.25,7.104166666666667,True,True
2022-09-01,8.5,244,3,9,-0.8717063187093217,-0.4900286664290594,8.5,8.5,3.25,2.25,7.279166666666667,True,True
2022-09-02,8.5,245,4,9,-0.8800122039735356,-0.4749510720670502,8.5,8.5,3.25,2.25,7.454166666666667,True,True
2022-09-03,8.5,246,5,9,-0.888057322629493,-0.4597327394521046,8.5,8.5,3.625,2.75,7.616666666666666,True,True
2022-09-04,8.5,247,6,9,-0.8958392907349089,-0.4443781781046134,8.5,8.5,4.0,2.75,7.766666666666667,True,True
2022-09-05,8.5,248,0,9,-0.9033558023246842,-0.4288919379124841,8.5,8.5,4.0,2.75,7.916666666666667,True,True
2022-09-06,8.5,249,1,9,-0.9106046300942162,-0.41327860778290443,8.5,8.5,4.0,2.75,8.066666666666666,True,True
2022-09-07,8.5,250,2,9,-0.9175836260593934,-0.3975428142825566,8.5,8.5,4.0,2.5,8.216666666666667,True,True
2022-09-08,8.5,251,3,9,-0.9242907221930934,-0.3816892202666586,8.5,8.5,6.0,2.5,8.3,True,True
2022-09-09,7.5,252,4,9,-0.9307239310379793,-0.3657225234972692,8.5,8.5,6.0,2.575,8.35,True,True
2022-09-10,7.5,253,5,9,-0.9368813462954315,-0.34964745525122826,7.5,8.5,6.0,2.65,8.4,True,True
2022-09-11,7.5,254,6,9,-0.9427611433904206,-0.33346877891818705,7.5,8.5,7.0,2.683333333333333,8.416666666666666,True,True
2022-09-12,7.5,255,0,9,-0.9483615800121716,-0.31719128858910595,7.5,8.5,7.0,2.716666666666667,8.433333333333334,True,True
2022-09-13,7.5,256,1,9,-0.9536809966304455,-0.300819807635668,7.5,8.5,7.0,2.75,8.45,True,True
2022-09-14,7.25,257,2,9,-0.9587178169872964,-0.2843591872810036,7.5,8.5,7.0,2.75,8.458333333333334,True,True
2022-09-15,6.75,258,3,9,-0.9634705485641486,-0.26781430516217486,7.25,8.5,7.0,2.75,8.45,True,True
2022-09-16,6.25,259,4,9,-0.9679377830240642,-0.25119006388481957,6.75,7.5,7.0,4.0,8.425,True,True
