pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-22,3.25,203,4,7,-0.3456123126707333,-0.9383773917408642,3.25,3.75,4.75,3.75,4.1875,True,True
2022-07-23,3.25,204,5,7,-0.3617137307297674,-0.9322892131745134,3.25,3.5833333333333335,4.75,3.75,4.1375,True,True
2022-07-24,3.25,205,6,7,-0.37770796520396466,-0.9259247771938499,3.25,3.4166666666666665,4.75,3.75,4.0875,True,True
2022-07-25,3.25,206,0,7,-0.39359027665646645,-0.9192859697186105,3.25,3.25,4.833333333333333,3.75,4.034722222222222,True,True
2022-07-26,3.5,207,1,7,-0.4093559588156211,-0.9123747579707274,3.25,3.25,4.916666666666667,3.75,3.9875,True,True
2022-07-27,3.25,208,2,7,-0.42500033996955394,-0.9051931898913975,3.5,3.25,5.0,3.75,3.9291666666666667,True,True
2022-07-28,3.25,209,3,7,-0.4405187843504952,-0.8977433935342336,3.25,3.25,5.0,3.75,3.870833333333333,True,True
2022-07-29,3.25,210,4,7,-0.455906693508459,-0.8900275764346766,3.25,3.25,4.75,3.75,3.8208333333333333,True,True
2022-07-30,3.25,211,5,7,-0.47115950767386394,-0.8820480249558535,3.25,3.25,4.75,3.75,3.7708333333333335,True,True
2022-07-31,3.25,212,6,7,-0.4862727071086902,-0.8738071036110807,3.25,3.25,4.6875,3.75,3.722916666666667,True,True
2022-08-01,3.25,213,0,8,-0.5012418134457756,-0.8653072543632061,3.25,3.25,4.625,3.75,3.6770833333333335,True,True
2022-08-02,3.25,214,1,8,-0.5160623910158526,-0.8565509959010037,3.25,3.5,4.5625,3.75,3.6333333333333333,True,True
2022-08-03,3.25,215,2,8,-0.5307300481619331,-0.8475409228928312,3.25,3.25,4.5,3.75,3.591666666666667,True,True
2022-08-04,3.25,216,3,8,-0.5452404385406507,-0.8382797052177745,3.25,3.25,4.5,3.75,3.55,True,True
2022-08-05,3.25,217,4,8,-0.5595892624101763,-0.828770087174504,3.25,3.25,4.5,3.75,3.5083333333333333,True,True
2022-08-06,3.25,218,5,8,-0.5737722679043243,-0.8190148866680802,3.25,3.25,4.25,3.75,3.475,True,True
2022-08-07,3.25,219,6,8,-0.5877852522924734,-0.8090169943749472,3.25,3.25,4.25,3.75,3.441666666666667,True,True
2022-08-08,3.25,220,0,8,-0.6016240632249227,-0.7987793728863648,3.25,3.25,4.25,3.75,3.408333333333333,True,True
2022-08-09,3.25,221,1,8,-0.6152845999633277,-0.7883050558305253,3.25,3.25,4.25,3.75,3.375,True,True
2022-08-10,3.25,222,2,8,-0.6287628145958345,-0.7775971469736268,3.25,3.25,4.25,3.75,3.341666666666667,True,True
