pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-31,10.5,212,6,7,-0.4862727071086902,-0.8738071036110807,10.454545454545455,10.181818181818182,9.5,6.5,9.875,True,True
2022-08-01,10.5,213,0,8,-0.5012418134457756,-0.8653072543632061,10.5,10.227272727272727,9.5,6.6,9.908333333333333,True,True
2022-08-02,10.5,214,1,8,-0.5160623910158526,-0.8565509959010037,10.5,10.272727272727273,9.5,6.7,9.941666666666666,True,True
2022-08-03,10.5,215,2,8,-0.5307300481619331,-0.8475409228928312,10.5,10.318181818181818,9.5,6.8,9.975,True,True
2022-08-04,10.5,216,3,8,-0.5452404385406507,-0.8382797052177745,10.5,10.363636363636363,9.5,6.9,10.008333333333333,True,True
2022-08-05,10.5,217,4,8,-0.5595892624101763,-0.828770087174504,10.5,10.409090909090908,9.5,7.0,10.041666666666666,True,True
2022-08-06,10.5,218,5,8,-0.5737722679043243,-0.8190148866680802,10.5,10.454545454545455,9.5,7.1,10.075,True,True
2022-08-07,10.5,219,6,8,-0.5877852522924734,-0.8090169943749472,10.5,10.5,9.5,7.2,10.108333333333333,True,True
2022-08-08,10.5,220,0,8,-0.6016240632249227,-0.7987793728863648,10.5,10.5,9.5,7.3,10.141666666666667,True,True
2022-08-09,10.5,221,1,8,-0.6152845999633277,-0.7883050558305253,10.5,10.5,9.5,7.4,10.175,True,True
2022-08-10,10.5,222,2,8,-0.6287628145958345,-0.7775971469736268,10.5,10.5,9.55,7.5,10.206666666666667,True,True
2022-08-11,10.55,223,3,8,-0.6420547132365636,-0.7666588193001592,10.5,10.5,9.6,7.5,10.238333333333335,True,True
2022-08-12,10.6,224,4,8,-0.655156357209085,-0.7554933140726804,10.55,10.5,9.65,7.5,10.27,True,True
2022-08-13,10.65,225,5,8,-0.6680638642135333,-0.7441039398713608,10.6,10.5,9.7,7.5,10.301666666666668,True,True
2022-08-14,10.7,226,6,8,-0.6807734094770159,-0.7324940716135792,10.65,10.5,9.75,7.5,10.333333333333334,True,True
2022-08-15,10.75,227,0,8,-0.6932812268869771,-0.7206671495538615,10.7,10.5,9.8,7.5,10.365,True,True
2022-08-16,10.8,228,1,8,-0.7055836101071774,-0.70862667826446,10.75,10.5,9.85,7.5,10.396666666666668,True,True
2022-08-17,10.85,229,2,8,-0.7176769136759615,-0.6963762255968726,10.8,10.5,9.9,7.5,10.428333333333333,True,True
2022-08-18,10.9,230,3,8,-0.7295575540864876,-0.6839194216246105,10.85,10.55,9.95,7.5,10.46,True,True
2022-08-19,10.95,231,4,8,-0.7412220108485957,-0.6712599575675315,10.9,10.6,10.0,7.5,10.491666666666667,True,True
2022-08-20,11.0,232,5,8,-0.7526668275320083,-0.6584015846980489,10.95,10.65,10.045454545454545,7.5,10.523484848484848,True,True
2022-08-21,11.0,233,6,8,-0.7638886127905429,-0.64534811322955,11.0,10.7,10.090909090909092,7.386363636363637,10.55378787878788,True,True
2022-08-22,11.0,234,0,8,-0.7748840413670406,-0.6321034111873488,11.0,10.75,10.136363636363637,7.2727272727272725,10.582575757575759,True,True
2022-08-23,11.0,235,1,8,-0.7856498550787144,-0.6186714032625032,11.0,10.8,10.181818181818182,7.159090909090909,10.609848484848486,True,True
2022-08-24,11.0,236,2,8,-0.7961828637826154,-0.6050560696488494,11.0,10.85,10.227272727272727,7.045454545454546,10.63560606060606,True,True
2022-08-25,11.0,237,3,8,-0.8064799463209447,-0.5912614448635782,11.0,10.9,10.272727272727273,6.931818181818182,10.659848484848485,True,True
2022-08-26,11.0,238,4,8,-0.8165380514459157,-0.5772916165517278,11.0,10.95,10.318181818181818,6.818181818181818,10.682575757575759,True,True
2022-08-27,11.0,239,5,8,-0.8263541987239094,-0.5631507242749187,11.0,11.0,10.363636363636363,6.704545454545455,10.70378787878788,True,True
2022-08-28,11.0,240,6,8,-0.8359254794186365,-0.5488429582847199,11.0,11.0,10.409090909090908,6.590909090909091,10.723484848484848,True,True
2022-08-29,11.0,241,0,8,-0.8452490573530634,-0.5343725582809785,11.0,11.0,10.454545454545455,6.4772727272727275,10.741666666666667,True,True
2022-08-30,11.0,242,1,8,-0.8543221697498269,-0.5197438121555157,11.0,11.0,10.5,6.363636363636363,10.758333333333333,True,True
2022-08-31,11.0,243,2,8,-0.8631421280499115,-0.5049610547215202,11.0,11.0,10.5,6.25,10.775,True,True
2022-09-01,10.925,244,3,9,-0.8717063187093217,-0.4900286664290594,11.0,11.0,10.5,6.275,10.789166666666667,True,True
2022-09-02,10.85,245,4,9,-0.8800122039735356,-0.4749510720670502,10.925,11.0,10.5,6.3,10.800833333333333,True,True
2022-09-03,10.775,246,5,9,-0.888057322629493,-0.4597327394521046,10.85,11.0,10.5,6.325,10.81,True,True
