pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_羊肉类
2022-07-21,36.5,202,3,7,-0.3294084822245302,-0.9441875088341994,36.5,36.5,34.5,45.0,35.483333333333334,True,True
2022-07-22,36.5,203,4,7,-0.3456123126707333,-0.9383773917408642,36.5,36.5,34.5,45.0,35.55,True,True
2022-07-23,36.5,204,5,7,-0.3617137307297674,-0.9322892131745134,36.5,36.5,34.5,45.0,35.61666666666667,True,True
2022-07-24,36.5,205,6,7,-0.37770796520396466,-0.9259247771938499,36.5,36.5,34.5,45.0,35.68333333333333,True,True
2022-07-25,36.5,206,0,7,-0.39359027665646645,-0.9192859697186105,36.5,36.5,34.5,45.0,35.75,True,True
2022-07-26,36.5,207,1,7,-0.4093559588156211,-0.9123747579707274,36.5,36.5,34.5,45.0,35.81666666666667,True,True
2022-07-27,36.5,208,2,7,-0.42500033996955394,-0.9051931898913975,36.5,36.5,35.0,45.0,35.86666666666667,True,True
2022-07-28,36.5,209,3,7,-0.4405187843504952,-0.8977433935342336,36.5,36.5,35.0,42.0,35.916666666666664,True,True
2022-07-29,36.5,210,4,7,-0.455906693508459,-0.8900275764346766,36.5,36.5,35.0,42.0,35.96666666666667,True,True
2022-07-30,36.5,211,5,7,-0.47115950767386394,-0.8820480249558535,36.5,36.5,35.0,42.0,36.016666666666666,True,True
2022-07-31,36.5,212,6,7,-0.4862727071086902,-0.8738071036110807,36.5,36.5,35.0,42.0,36.06666666666667,True,True
2022-08-01,36.5,213,0,8,-0.5012418134457756,-0.8653072543632061,36.5,36.5,35.0,42.0,36.11666666666667,True,True
2022-08-02,36.5,214,1,8,-0.5160623910158526,-0.8565509959010037,36.5,36.5,35.0,42.0,36.166666666666664,True,True
2022-08-03,36.5,215,2,8,-0.5307300481619331,-0.8475409228928312,36.5,36.5,35.0,42.0,36.21666666666667,True,True
2022-08-04,36.5,216,3,8,-0.5452404385406507,-0.8382797052177745,36.5,36.5,35.0,42.0,36.266666666666666,True,True
2022-08-05,36.5,217,4,8,-0.5595892624101763,-0.828770087174504,36.5,36.5,35.0,42.0,36.31666666666667,True,True
2022-08-06,36.5,218,5,8,-0.5737722679043243,-0.8190148866680802,36.5,36.5,35.0,42.0,36.36666666666667,True,True
2022-08-07,36.5,219,6,8,-0.5877852522924734,-0.8090169943749472,36.5,36.5,35.0,42.0,36.416666666666664,True,True
2022-08-08,36.5,220,0,8,-0.6016240632249227,-0.7987793728863648,36.5,36.5,35.0,42.0,36.46666666666667,True,True
2022-08-09,36.5,221,1,8,-0.6152845999633277,-0.7883050558305253,36.5,36.5,35.5,42.0,36.5,True,True
2022-08-10,36.5,222,2,8,-0.6287628145958345,-0.7775971469736268,36.5,36.5,36.5,42.0,36.5,True,True
2022-08-11,36.5,223,3,8,-0.6420547132365636,-0.7666588193001592,36.5,36.5,36.5,42.0,36.5,True,True
2022-08-12,36.5,224,4,8,-0.655156357209085,-0.7554933140726804,36.5,36.5,36.5,42.0,36.5,True,True
2022-08-13,36.5,225,5,8,-0.6680638642135333,-0.7441039398713608,36.5,36.5,36.5,42.0,36.5,True,True
2022-08-14,36.5,226,6,8,-0.6807734094770159,-0.7324940716135792,36.5,36.5,36.5,42.0,36.5,True,True
2022-08-15,36.0,227,0,8,-0.6932812268869771,-0.7206671495538615,36.5,36.5,36.5,42.0,36.483333333333334,True,True
2022-08-16,36.0,228,1,8,-0.7055836101071774,-0.70862667826446,36.0,36.5,36.5,42.0,36.46666666666667,True,True
2022-08-17,36.0,229,2,8,-0.7176769136759615,-0.6963762255968726,36.0,36.5,36.5,42.0,36.45,True,True
2022-08-18,36.0,230,3,8,-0.7295575540864876,-0.6839194216246105,36.0,36.5,36.5,42.0,36.43333333333333,True,True
2022-08-19,36.0,231,4,8,-0.7412220108485957,-0.6712599575675315,36.0,36.5,36.5,42.0,36.416666666666664,True,True
2022-08-20,36.0,232,5,8,-0.7526668275320083,-0.6584015846980489,36.0,36.5,36.5,42.0,36.4,True,True
2022-08-21,36.0,233,6,8,-0.7638886127905429,-0.64534811322955,36.0,36.5,36.5,42.0,36.38333333333333,True,True
2022-08-22,36.0,234,0,8,-0.7748840413670406,-0.6321034111873488,36.0,36.0,36.5,42.0,36.36666666666667,True,True
2022-08-23,36.0,235,1,8,-0.7856498550787144,-0.6186714032625032,36.0,36.0,36.5,42.0,36.35,True,True
2022-08-24,36.0,236,2,8,-0.7961828637826154,-0.6050560696488494,36.0,36.0,36.5,42.0,36.333333333333336,True,True
2022-08-25,36.0,237,3,8,-0.8064799463209447,-0.5912614448635782,36.0,36.0,36.5,42.0,36.31666666666667,True,True
2022-08-26,36.0,238,4,8,-0.8165380514459157,-0.5772916165517278,36.0,36.0,36.5,42.0,36.3,True,True
2022-08-27,36.0,239,5,8,-0.8263541987239094,-0.5631507242749187,36.0,36.0,36.5,43.0,36.28333333333333,True,True
2022-08-28,36.0,240,6,8,-0.8359254794186365,-0.5488429582847199,36.0,36.0,36.5,43.0,36.266666666666666,True,True
2022-08-29,36.0,241,0,8,-0.8452490573530634,-0.5343725582809785,36.0,36.0,36.5,43.5,36.25,True,True
2022-08-30,36.0,242,1,8,-0.8543221697498269,-0.5197438121555157,36.0,36.0,36.5,43.5,36.233333333333334,True,True
2022-08-31,36.0,243,2,8,-0.8631421280499115,-0.5049610547215202,36.0,36.0,36.5,43.5,36.21666666666667,True,True
2022-09-01,36.0,244,3,9,-0.8717063187093217,-0.4900286664290594,36.0,36.0,36.5,44.0,36.2,True,True
2022-09-02,36.0,245,4,9,-0.8800122039735356,-0.4749510720670502,36.0,36.0,36.5,44.0,36.18333333333333,True,True
2022-09-03,36.0,246,5,9,-0.888057322629493,-0.4597327394521046,36.0,36.0,36.5,44.0,36.166666666666664,True,True
2022-09-04,36.0,247,6,9,-0.8958392907349089,-0.4443781781046134,36.0,36.0,36.5,44.0,36.15,True,True
2022-09-05,36.0,248,0,9,-0.9033558023246842,-0.4288919379124841,36.0,36.0,36.5,44.0,36.13333333333333,True,True
2022-09-06,36.0,249,1,9,-0.9106046300942162,-0.41327860778290443,36.0,36.0,36.5,44.0,36.11666666666667,True,True
2022-09-07,36.0,250,2,9,-0.9175836260593934,-0.3975428142825566,36.0,36.0,36.5,44.0,36.1,True,True
2022-09-08,36.0,251,3,9,-0.9242907221930934,-0.3816892202666586,36.0,36.0,36.5,44.0,36.083333333333336,True,True
2022-09-09,36.0,252,4,9,-0.9307239310379793,-0.3657225234972692,36.0,36.0,36.5,44.0,36.06666666666667,True,True
2022-09-10,36.0,253,5,9,-0.9368813462954315,-0.34964745525122826,36.0,36.0,36.5,44.0,36.05,True,True
2022-09-11,36.0,254,6,9,-0.9427611433904206,-0.33346877891818705,36.0,36.0,36.5,44.0,36.03333333333333,True,True
2022-09-12,36.0,255,0,9,-0.9483615800121716,-0.31719128858910595,36.0,36.0,36.5,44.0,36.016666666666666,True,True
2022-09-13,36.0,256,1,9,-0.9536809966304455,-0.300819807635668,36.0,36.0,36.5,44.0,36.0,True,True
2022-09-14,36.0,257,2,9,-0.9587178169872964,-0.2843591872810036,36.0,36.0,36.0,44.0,36.0,True,True
2022-09-15,35.0,258,3,9,-0.9634705485641486,-0.26781430516217486,36.0,36.0,36.0,44.0,35.96666666666667,True,True
2022-09-16,35.0,259,4,9,-0.9679377830240642,-0.25119006388481957,35.0,36.0,36.0,44.0,35.93333333333333,True,True
2022-09-17,35.0,260,5,9,-0.9721181966290612,-0.23449138957041052,35.0,36.0,36.0,44.0,35.9,True,True
2022-09-18,35.0,261,6,9,-0.9760105506323682,-0.21772323039653224,35.0,36.0,36.0,44.0,35.86666666666667,True,True
2022-09-19,35.0,262,0,9,-0.9796136916454901,-0.20089055513063528,35.0,36.0,36.0,44.0,35.833333333333336,True,True
2022-09-20,35.0,263,1,9,-0.9829265519799822,-0.18399835165767986,35.0,36.0,36.0,44.0,35.8,True,True
2022-09-21,34.833333333333336,264,2,9,-0.9859481499638303,-0.1670516255021195,35.0,36.0,36.0,40.0,35.761111111111106,True,True
2022-09-22,34.666666666666664,265,3,9,-0.9886775902323404,-0.15005539834465262,34.833333333333336,35.0,36.0,39.0,35.71666666666667,True,True
2022-09-23,34.5,266,4,9,-0.9911140639934546,-0.13301470653419636,34.666666666666664,35.0,36.0,39.0,35.666666666666664,True,True
2022-09-24,34.5,267,5,9,-0.9932568492674143,-0.11593459959550066,34.5,35.0,36.0,39.0,35.61666666666667,True,True
2022-09-25,34.5,268,6,9,-0.9951053111006974,-0.09882013873287211,34.5,35.0,36.0,35.5,35.56666666666667,True,True
2022-09-26,34.5,269,0,9,-0.99665890175417,-0.08167639533042288,34.5,35.0,36.0,35.0,35.516666666666666,True,True
2022-09-27,35.0,270,1,9,-0.9979171608653922,-0.06450844944931625,34.5,35.0,36.0,35.0,35.483333333333334,True,True
2022-09-28,35.5,271,2,9,-0.9988797155850335,-0.04732138832243232,35.0,34.833333333333336,36.0,35.0,35.46666666666667,True,True
2022-09-29,35.5,272,3,9,-0.9995462806873573,-0.03012030484690836,35.5,34.666666666666664,36.0,35.5,35.45,True,True
2022-09-30,35.5,273,4,9,-0.9999166586547379,-0.012910296075008843,35.5,34.5,36.0,36.0,35.43333333333333,True,True
2022-10-01,35.5,274,5,10,-0.9999907397361901,0.004303538296243821,35.5,34.5,36.0,36.0,35.416666666666664,True,True
2022-10-02,35.5,275,6,10,-0.9997685019798909,0.021516097436222233,35.5,34.5,36.0,36.0,35.4,True,True
2022-10-03,35.5,276,0,10,-0.9992500112396835,0.03872228089217399,35.5,34.5,36.0,36.0,35.38333333333333,True,True
2022-10-04,35.0,277,1,10,-0.9984354211555643,0.05591699010060302,35.5,35.0,36.0,36.0,35.35,True,True
2022-10-05,35.0,278,2,10,-0.9973249731081555,0.07309512989807776,35.0,35.5,36.0,36.0,35.31666666666667,True,True
2022-10-06,35.0,279,3,10,-0.9959189961471792,0.0902516100310407,35.0,35.5,36.0,36.0,35.28333333333333,True,True
2022-10-07,35.0,280,4,10,-0.994217906893952,0.10738134666416306,35.0,35.5,36.0,36.0,35.25,True,True
2022-10-08,35.0,281,5,10,-0.9922222094179324,0.12447926388678869,35.0,35.5,36.0,36.0,35.21666666666667,True,True
2022-10-09,35.0,282,6,10,-0.989932495087353,0.141540295217043,35.0,35.5,36.0,35.5,35.18333333333333,True,True
2022-10-10,35.0,283,0,10,-0.9873494423939864,0.15855938510313475,35.0,35.5,36.0,35.5,35.15,True,True
2022-10-11,35.0,284,1,10,-0.9844738167520923,0.17553149042142777,35.0,35.0,36.0,35.5,35.11666666666667,True,True
2022-10-12,35.0,285,2,10,-0.9813064702716093,0.19245158197082995,35.0,35.0,36.0,35.5,35.083333333333336,True,True
2022-10-13,35.0,286,3,10,-0.9778483415056567,0.20931464596304888,35.0,35.0,36.0,35.5,35.05,True,True
