pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,specInfo_精品,specInfo_普通,prodPcat_羊肉类
2022-07-17,15.5,198,6,7,-0.2636654927280072,-0.9646141756912435,15.5,15.5,15.5,16.5,15.5,True,False,False,True
2022-07-17,14.0,198,6,7,-0.2636654927280072,-0.9646141756912435,14.0,14.0,12.5,15.5,13.9,False,False,True,True
2022-07-17,23.5,198,6,7,-0.2636654927280072,-0.9646141756912435,23.5,23.5,22.5,27.5,23.325,False,True,False,True
2022-07-18,15.5,199,0,7,-0.2802306751992161,-0.9599326896597445,15.5,15.5,15.5,16.25,15.5,True,False,False,True
2022-07-18,14.0,199,0,7,-0.2802306751992161,-0.9599326896597445,14.0,14.0,12.5,15.5,13.95,False,False,True,True
2022-07-18,23.5,199,0,7,-0.2802306751992161,-0.9599326896597445,23.5,23.5,22.5,27.125,23.358333333333334,False,True,False,True
2022-07-19,15.5,200,1,7,-0.2967128192734901,-0.9549667548552553,15.5,15.5,15.5,16.0,15.5,True,False,False,True
2022-07-19,14.0,200,1,7,-0.2967128192734901,-0.9549667548552553,14.0,14.0,12.5,15.5,14.0,False,False,True,True
2022-07-19,23.5,200,1,7,-0.2967128192734901,-0.9549667548552553,23.5,23.5,22.5,26.75,23.391666666666666,False,True,False,True
2022-07-20,15.5,201,2,7,-0.3131070409358267,-0.9497178427914317,15.5,15.5,15.5,15.75,15.5,True,False,False,True
2022-07-20,14.0,201,2,7,-0.3131070409358267,-0.9497178427914317,14.0,14.0,12.5,15.5,14.05,False,False,True,True
2022-07-20,23.5,201,2,7,-0.3131070409358267,-0.9497178427914317,23.5,23.5,22.5,26.375,23.425,False,True,False,True
2022-07-21,14.0,202,3,7,-0.3294084822245302,-0.9441875088341994,14.0,14.0,13.5,15.5,14.066666666666666,False,False,True,True
