pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.75,202,3,7,-0.3294084822245302,-0.9441875088341994,2.75,2.75,2.25,4.5,2.5,True,True
2022-07-22,2.75,203,4,7,-0.3456123126707333,-0.9383773917408642,2.75,2.75,2.25,4.5,2.5166666666666666,True,True
2022-07-23,2.75,204,5,7,-0.3617137307297674,-0.9322892131745134,2.75,2.75,2.25,4.25,2.533333333333333,True,True
2022-07-24,2.75,205,6,7,-0.37770796520396466,-0.9259247771938499,2.75,2.75,2.25,4.25,2.55,True,True
2022-07-25,2.75,206,0,7,-0.39359027665646645,-0.9192859697186105,2.75,2.75,2.25,4.25,2.566666666666667,True,True
2022-07-26,2.5,207,1,7,-0.4093559588156211,-0.9123747579707274,2.75,2.75,2.25,4.25,2.575,True,True
2022-07-27,2.5,208,2,7,-0.42500033996955394,-0.9051931898913975,2.5,2.75,2.25,4.25,2.5833333333333335,True,True
2022-07-28,2.25,209,3,7,-0.4405187843504952,-0.8977433935342336,2.5,2.75,2.25,4.75,2.5833333333333335,True,True
2022-07-29,2.25,210,4,7,-0.455906693508459,-0.8900275764346766,2.25,2.75,2.25,4.75,2.5833333333333335,True,True
2022-07-30,2.25,211,5,7,-0.47115950767386394,-0.8820480249558535,2.25,2.75,2.25,4.6875,2.5833333333333335,True,True
2022-07-31,2.25,212,6,7,-0.4862727071086902,-0.8738071036110807,2.25,2.75,2.25,4.625,2.5833333333333335,True,True
2022-08-01,2.25,213,0,8,-0.5012418134457756,-0.8653072543632061,2.25,2.75,2.25,4.5625,2.5833333333333335,True,True
2022-08-02,2.25,214,1,8,-0.5160623910158526,-0.8565509959010037,2.25,2.5,2.25,4.5,2.5833333333333335,True,True
2022-08-03,2.5,215,2,8,-0.5307300481619331,-0.8475409228928312,2.25,2.5,2.25,3.5,2.591666666666667,True,True
2022-08-04,2.5,216,3,8,-0.5452404385406507,-0.8382797052177745,2.5,2.25,2.25,3.25,2.6,True,True
2022-08-05,2.5,217,4,8,-0.5595892624101763,-0.828770087174504,2.5,2.25,2.25,3.25,2.6083333333333334,True,True
2022-08-06,2.5833333333333335,218,5,8,-0.5737722679043243,-0.8190148866680802,2.5,2.25,2.75,3.0,2.6027777777777774,True,True
2022-08-07,2.6666666666666665,219,6,8,-0.5877852522924734,-0.8090169943749472,2.5833333333333335,2.25,2.75,2.9166666666666665,2.6,True,True
2022-08-08,2.75,220,0,8,-0.6016240632249227,-0.7987793728863648,2.6666666666666665,2.25,2.75,2.8333333333333335,2.6,True,True
2022-08-09,2.75,221,1,8,-0.6152845999633277,-0.7883050558305253,2.75,2.25,2.75,2.75,2.6,True,True
2022-08-10,2.5,222,2,8,-0.6287628145958345,-0.7775971469736268,2.75,2.5,2.75,2.75,2.591666666666667,True,True
2022-08-11,2.5,223,3,8,-0.6420547132365636,-0.7666588193001592,2.5,2.5,2.75,2.25,2.5833333333333335,True,True
2022-08-12,2.5,224,4,8,-0.655156357209085,-0.7554933140726804,2.5,2.5,2.75,2.25,2.575,True,True
