pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-31,6.1,212,6,7,-0.4862727071086902,-0.8738071036110807,6.045454545454545,5.718181818181818,4.75,3.5,5.2825,True,True
2022-08-01,6.1,213,0,8,-0.5012418134457756,-0.8653072543632061,6.1,5.7727272727272725,4.75,3.575,5.3275,True,True
2022-08-02,6.1,214,1,8,-0.5160623910158526,-0.8565509959010037,6.1,5.827272727272727,4.75,3.65,5.3725000000000005,True,True
2022-08-03,6.1,215,2,8,-0.5307300481619331,-0.8475409228928312,6.1,5.881818181818182,4.75,3.725,5.4175,True,True
2022-08-04,6.1,216,3,8,-0.5452404385406507,-0.8382797052177745,6.1,5.9363636363636365,4.75,3.8,5.4625,True,True
2022-08-05,6.1,217,4,8,-0.5595892624101763,-0.828770087174504,6.1,5.99090909090909,4.75,3.875,5.507499999999999,True,True
2022-08-06,6.1,218,5,8,-0.5737722679043243,-0.8190148866680802,6.1,6.045454545454545,4.75,3.95,5.552499999999999,True,True
2022-08-07,6.1,219,6,8,-0.5877852522924734,-0.8090169943749472,6.1,6.1,4.75,4.025,5.5975,True,True
2022-08-08,6.1,220,0,8,-0.6016240632249227,-0.7987793728863648,6.1,6.1,4.75,4.1,5.6425,True,True
2022-08-09,6.1,221,1,8,-0.6152845999633277,-0.7883050558305253,6.1,6.1,4.75,4.175,5.6875,True,True
2022-08-10,6.1,222,2,8,-0.6287628145958345,-0.7775971469736268,6.1,6.1,4.825,4.25,5.7299999999999995,True,True
2022-08-11,6.1,223,3,8,-0.6420547132365636,-0.7666588193001592,6.1,6.1,4.9,4.25,5.77,True,True
2022-08-12,6.1,224,4,8,-0.655156357209085,-0.7554933140726804,6.1,6.1,4.975,4.25,5.8075,True,True
2022-08-13,6.1,225,5,8,-0.6680638642135333,-0.7441039398713608,6.1,6.1,5.05,4.25,5.8425,True,True
2022-08-14,6.1,226,6,8,-0.6807734094770159,-0.7324940716135792,6.1,6.1,5.125,4.25,5.875,True,True
2022-08-15,6.1,227,0,8,-0.6932812268869771,-0.7206671495538615,6.1,6.1,5.2,4.25,5.904999999999999,True,True
2022-08-16,6.1,228,1,8,-0.7055836101071774,-0.70862667826446,6.1,6.1,5.275,4.25,5.9325,True,True
2022-08-17,6.1,229,2,8,-0.7176769136759615,-0.6963762255968726,6.1,6.1,5.35,4.25,5.957499999999999,True,True
2022-08-18,6.1,230,3,8,-0.7295575540864876,-0.6839194216246105,6.1,6.1,5.425,4.25,5.98,True,True
2022-08-19,6.1,231,4,8,-0.7412220108485957,-0.6712599575675315,6.1,6.1,5.5,4.25,6.0,True,True
2022-08-20,6.1,232,5,8,-0.7526668275320083,-0.6584015846980489,6.1,6.1,5.554545454545455,4.25,6.018181818181818,True,True
2022-08-21,6.1,233,6,8,-0.7638886127905429,-0.64534811322955,6.1,6.1,5.609090909090909,4.136363636363637,6.034545454545454,True,True
2022-08-22,6.1,234,0,8,-0.7748840413670406,-0.6321034111873488,6.1,6.1,5.663636363636363,4.0227272727272725,6.049090909090908,True,True
2022-08-23,6.1,235,1,8,-0.7856498550787144,-0.6186714032625032,6.1,6.1,5.718181818181818,3.909090909090909,6.0618181818181816,True,True
2022-08-24,6.1,236,2,8,-0.7961828637826154,-0.6050560696488494,6.1,6.1,5.7727272727272725,3.7954545454545454,6.072727272727273,True,True
2022-08-25,6.1,237,3,8,-0.8064799463209447,-0.5912614448635782,6.1,6.1,5.827272727272727,3.6818181818181817,6.081818181818181,True,True
2022-08-26,6.1,238,4,8,-0.8165380514459157,-0.5772916165517278,6.1,6.1,5.881818181818182,3.5681818181818183,6.089090909090909,True,True
2022-08-27,6.1,239,5,8,-0.8263541987239094,-0.5631507242749187,6.1,6.1,5.9363636363636365,3.4545454545454546,6.094545454545454,True,True
2022-08-28,6.1,240,6,8,-0.8359254794186365,-0.5488429582847199,6.1,6.1,5.99090909090909,3.340909090909091,6.098181818181818,True,True
2022-08-29,6.1,241,0,8,-0.8452490573530634,-0.5343725582809785,6.1,6.1,6.045454545454545,3.2272727272727275,6.1,True,True
2022-08-30,6.1,242,1,8,-0.8543221697498269,-0.5197438121555157,6.1,6.1,6.1,3.1136363636363638,6.1,True,True
2022-08-31,6.1,243,2,8,-0.8631421280499115,-0.5049610547215202,6.1,6.1,6.1,3.0,6.1,True,True
2022-09-01,6.1,244,3,9,-0.8717063187093217,-0.4900286664290594,6.1,6.1,6.1,3.05,6.1,True,True
2022-09-02,6.1,245,4,9,-0.8800122039735356,-0.4749510720670502,6.1,6.1,6.1,3.1,6.1,True,True
2022-09-03,6.1,246,5,9,-0.888057322629493,-0.4597327394521046,6.1,6.1,6.1,3.15,6.1,True,True
2022-09-04,6.1,247,6,9,-0.8958392907349089,-0.4443781781046134,6.1,6.1,6.1,3.2,6.1,True,True
2022-09-05,6.1,248,0,9,-0.9033558023246842,-0.4288919379124841,6.1,6.1,6.1,3.25,6.1,True,True
