pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.75,202,3,7,-0.3294084822245302,-0.9441875088341994,2.75,3.75,4.25,3.5,4.025,True,True
2022-07-22,2.75,203,4,7,-0.3456123126707333,-0.9383773917408642,2.75,3.75,4.25,2.5,3.975,True,True
2022-07-23,2.75,204,5,7,-0.3617137307297674,-0.9322892131745134,2.75,3.5833333333333335,4.25,2.5,3.925,True,True
2022-07-24,2.75,205,6,7,-0.37770796520396466,-0.9259247771938499,2.75,3.4166666666666665,4.25,2.5,3.875,True,True
2022-07-25,2.75,206,0,7,-0.39359027665646645,-0.9192859697186105,2.75,3.25,4.25,2.5,3.825,True,True
2022-07-26,2.625,207,1,7,-0.4093559588156211,-0.9123747579707274,2.75,3.25,4.25,2.5,3.7708333333333335,True,True
2022-07-27,2.5,208,2,7,-0.42500033996955394,-0.9051931898913975,2.625,2.75,4.25,3.25,3.7125,True,True
2022-07-28,2.75,209,3,7,-0.4405187843504952,-0.8977433935342336,2.5,2.75,4.25,3.25,3.6625,True,True
2022-07-29,2.75,210,4,7,-0.455906693508459,-0.8900275764346766,2.75,2.75,4.25,3.5,3.6125,True,True
2022-07-30,2.75,211,5,7,-0.47115950767386394,-0.8820480249558535,2.75,2.75,4.25,3.5,3.5625,True,True
2022-07-31,2.75,212,6,7,-0.4862727071086902,-0.8738071036110807,2.75,2.75,4.75,3.5,3.495833333333333,True,True
2022-08-01,2.75,213,0,8,-0.5012418134457756,-0.8653072543632061,2.75,2.75,4.583333333333333,3.5,3.434722222222222,True,True
2022-08-02,2.75,214,1,8,-0.5160623910158526,-0.8565509959010037,2.75,2.625,4.416666666666667,3.5,3.379166666666667,True,True
2022-08-03,2.75,215,2,8,-0.5307300481619331,-0.8475409228928312,2.75,2.5,4.25,4.5,3.3291666666666666,True,True
2022-08-04,2.75,216,3,8,-0.5452404385406507,-0.8382797052177745,2.75,2.75,4.25,5.0,3.279166666666667,True,True
2022-08-05,2.75,217,4,8,-0.5595892624101763,-0.828770087174504,2.75,2.75,4.25,5.25,3.2291666666666665,True,True
2022-08-06,2.4166666666666665,218,5,8,-0.5737722679043243,-0.8190148866680802,2.75,2.75,4.25,5.25,3.1680555555555556,True,True
2022-08-07,2.0833333333333335,219,6,8,-0.5877852522924734,-0.8090169943749472,2.4166666666666665,2.75,4.25,5.25,3.095833333333333,True,True
2022-08-08,1.75,220,0,8,-0.6016240632249227,-0.7987793728863648,2.0833333333333335,2.75,4.25,5.25,3.0125,True,True
2022-08-09,1.75,221,1,8,-0.6152845999633277,-0.7883050558305253,1.75,2.75,4.25,5.25,2.9291666666666667,True,True
2022-08-10,1.75,222,2,8,-0.6287628145958345,-0.7775971469736268,1.75,2.75,4.25,5.25,2.845833333333333,True,True
2022-08-11,1.75,223,3,8,-0.6420547132365636,-0.7666588193001592,1.75,2.75,4.25,5.25,2.7625,True,True
2022-08-12,1.75,224,4,8,-0.655156357209085,-0.7554933140726804,1.75,2.75,4.0,5.25,2.6875,True,True
2022-08-13,1.75,225,5,8,-0.6680638642135333,-0.7441039398713608,1.75,2.4166666666666665,3.75,4.5,2.620833333333333,True,True
2022-08-14,1.75,226,6,8,-0.6807734094770159,-0.7324940716135792,1.75,2.0833333333333335,3.75,4.416666666666667,2.5541666666666667,True,True
2022-08-15,1.75,227,0,8,-0.6932812268869771,-0.7206671495538615,1.75,1.75,3.5833333333333335,4.333333333333333,2.4930555555555554,True,True
2022-08-16,1.75,228,1,8,-0.7055836101071774,-0.70862667826446,1.75,1.75,3.4166666666666665,4.25,2.4375,True,True
2022-08-17,1.75,229,2,8,-0.7176769136759615,-0.6963762255968726,1.75,1.75,3.25,4.25,2.3875,True,True
2022-08-18,3.0,230,3,8,-0.7295575540864876,-0.6839194216246105,1.75,1.75,3.25,4.0,2.379166666666667,True,True
2022-08-19,4.25,231,4,8,-0.7412220108485957,-0.6712599575675315,3.0,1.75,2.75,3.0,2.4291666666666667,True,True
2022-08-20,4.333333333333333,232,5,8,-0.7526668275320083,-0.6584015846980489,4.25,1.75,2.75,3.0,2.4819444444444447,True,True
2022-08-21,4.416666666666667,233,6,8,-0.7638886127905429,-0.64534811322955,4.333333333333333,1.75,2.75,2.8333333333333335,2.5375,True,True
2022-08-22,4.5,234,0,8,-0.7748840413670406,-0.6321034111873488,4.416666666666667,1.75,2.75,2.6666666666666665,2.595833333333333,True,True
2022-08-23,4.25,235,1,8,-0.7856498550787144,-0.6186714032625032,4.5,1.75,2.75,2.5,2.6458333333333335,True,True
2022-08-24,4.75,236,2,8,-0.7961828637826154,-0.6050560696488494,4.25,1.75,2.75,2.5,2.7125,True,True
