pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,8.25,201,2,7,-0.3131070409358267,-0.9497178427914317,8.225,8.075,7.25,7.25,7.933333333333334,True,True
2022-07-21,8.227272727272727,202,3,7,-0.3294084822245302,-0.9441875088341994,8.25,8.1,7.325,7.181818181818182,7.963409090909091,True,True
2022-07-22,8.204545454545455,203,4,7,-0.3456123126707333,-0.9383773917408642,8.227272727272727,8.125,7.4,7.113636363636363,7.990227272727273,True,True
2022-07-23,8.181818181818182,204,5,7,-0.3617137307297674,-0.9322892131745134,8.204545454545455,8.15,7.475,7.045454545454546,8.013787878787879,True,True
2022-07-24,8.159090909090908,205,6,7,-0.37770796520396466,-0.9259247771938499,8.181818181818182,8.175,7.55,6.9772727272727275,8.03409090909091,True,True
2022-07-25,8.136363636363637,206,0,7,-0.39359027665646645,-0.9192859697186105,8.159090909090908,8.2,7.625,6.909090909090909,8.051136363636363,True,True
2022-07-26,8.113636363636363,207,1,7,-0.4093559588156211,-0.9123747579707274,8.136363636363637,8.225,7.7,6.840909090909091,8.064924242424244,True,True
2022-07-27,8.090909090909092,208,2,7,-0.42500033996955394,-0.9051931898913975,8.113636363636363,8.25,7.775,6.7727272727272725,8.075454545454546,True,True
2022-07-28,8.068181818181818,209,3,7,-0.4405187843504952,-0.8977433935342336,8.090909090909092,8.227272727272727,7.85,6.704545454545455,8.082727272727274,True,True
2022-07-29,8.045454545454545,210,4,7,-0.455906693508459,-0.8900275764346766,8.068181818181818,8.204545454545455,7.925,6.636363636363637,8.086742424242424,True,True
2022-07-30,8.022727272727273,211,5,7,-0.47115950767386394,-0.8820480249558535,8.045454545454545,8.181818181818182,8.0,6.568181818181818,8.0875,True,True
2022-07-31,8.0,212,6,7,-0.4862727071086902,-0.8738071036110807,8.022727272727273,8.159090909090908,8.0,6.5,8.0875,True,True
2022-08-01,8.0,213,0,8,-0.5012418134457756,-0.8653072543632061,8.0,8.136363636363637,8.0,6.6,8.0875,True,True
2022-08-02,8.0,214,1,8,-0.5160623910158526,-0.8565509959010037,8.0,8.113636363636363,8.0,6.7,8.0875,True,True
2022-08-03,8.0,215,2,8,-0.5307300481619331,-0.8475409228928312,8.0,8.090909090909092,8.0,6.8,8.0875,True,True
2022-08-04,8.0,216,3,8,-0.5452404385406507,-0.8382797052177745,8.0,8.068181818181818,8.0,6.9,8.0875,True,True
2022-08-05,8.0,217,4,8,-0.5595892624101763,-0.828770087174504,8.0,8.045454545454545,8.0,7.0,8.0875,True,True
2022-08-06,8.0,218,5,8,-0.5737722679043243,-0.8190148866680802,8.0,8.022727272727273,8.0,7.1,8.0875,True,True
2022-08-07,8.0,219,6,8,-0.5877852522924734,-0.8090169943749472,8.0,8.0,8.0,7.2,8.0875,True,True
2022-08-08,8.0,220,0,8,-0.6016240632249227,-0.7987793728863648,8.0,8.0,8.0,7.3,8.0875,True,True
2022-08-09,8.0,221,1,8,-0.6152845999633277,-0.7883050558305253,8.0,8.0,8.0,7.4,8.0875,True,True
2022-08-10,8.0,222,2,8,-0.6287628145958345,-0.7775971469736268,8.0,8.0,8.025,7.5,8.086666666666666,True,True
2022-08-11,8.0,223,3,8,-0.6420547132365636,-0.7666588193001592,8.0,8.0,8.05,7.5,8.085,True,True
2022-08-12,8.0,224,4,8,-0.655156357209085,-0.7554933140726804,8.0,8.0,8.075,7.5,8.0825,True,True
2022-08-13,8.0,225,5,8,-0.6680638642135333,-0.7441039398713608,8.0,8.0,8.1,7.5,8.079166666666667,True,True
2022-08-14,8.0,226,6,8,-0.6807734094770159,-0.7324940716135792,8.0,8.0,8.125,7.5,8.075,True,True
2022-08-15,8.0,227,0,8,-0.6932812268869771,-0.7206671495538615,8.0,8.0,8.15,7.5,8.07,True,True
2022-08-16,8.0,228,1,8,-0.7055836101071774,-0.70862667826446,8.0,8.0,8.175,7.5,8.064166666666667,True,True
2022-08-17,8.0,229,2,8,-0.7176769136759615,-0.6963762255968726,8.0,8.0,8.2,7.5,8.0575,True,True
2022-08-18,8.0,230,3,8,-0.7295575540864876,-0.6839194216246105,8.0,8.0,8.225,7.5,8.05,True,True
2022-08-19,8.0,231,4,8,-0.7412220108485957,-0.6712599575675315,8.0,8.0,8.25,7.5,8.041666666666666,True,True
2022-08-20,8.0,232,5,8,-0.7526668275320083,-0.6584015846980489,8.0,8.0,8.227272727272727,7.5,8.03409090909091,True,True
2022-08-21,8.0,233,6,8,-0.7638886127905429,-0.64534811322955,8.0,8.0,8.204545454545455,7.181818181818182,8.027272727272727,True,True
2022-08-22,8.0,234,0,8,-0.7748840413670406,-0.6321034111873488,8.0,8.0,8.181818181818182,6.863636363636363,8.021212121212121,True,True
2022-08-23,8.0,235,1,8,-0.7856498550787144,-0.6186714032625032,8.0,8.0,8.159090909090908,6.545454545454545,8.01590909090909,True,True
2022-08-24,8.0,236,2,8,-0.7961828637826154,-0.6050560696488494,8.0,8.0,8.136363636363637,6.2272727272727275,8.011363636363637,True,True
2022-08-25,8.0,237,3,8,-0.8064799463209447,-0.5912614448635782,8.0,8.0,8.113636363636363,5.909090909090909,8.007575757575758,True,True
2022-08-26,8.0,238,4,8,-0.8165380514459157,-0.5772916165517278,8.0,8.0,8.090909090909092,5.590909090909091,8.004545454545454,True,True
2022-08-27,8.0,239,5,8,-0.8263541987239094,-0.5631507242749187,8.0,8.0,8.068181818181818,5.272727272727273,8.002272727272727,True,True
2022-08-28,8.0,240,6,8,-0.8359254794186365,-0.5488429582847199,8.0,8.0,8.045454545454545,4.954545454545455,8.000757575757577,True,True
2022-08-29,8.0,241,0,8,-0.8452490573530634,-0.5343725582809785,8.0,8.0,8.022727272727273,4.636363636363637,8.0,True,True
2022-08-30,8.0,242,1,8,-0.8543221697498269,-0.5197438121555157,8.0,8.0,8.0,4.318181818181818,8.0,True,True
2022-08-31,8.0,243,2,8,-0.8631421280499115,-0.5049610547215202,8.0,8.0,8.0,4.0,8.0,True,True
2022-09-01,8.0,244,3,9,-0.8717063187093217,-0.4900286664290594,8.0,8.0,8.0,4.1,8.0,True,True
2022-09-02,8.0,245,4,9,-0.8800122039735356,-0.4749510720670502,8.0,8.0,8.0,4.2,8.0,True,True
2022-09-03,8.0,246,5,9,-0.888057322629493,-0.4597327394521046,8.0,8.0,8.0,4.3,8.0,True,True
2022-09-04,8.0,247,6,9,-0.8958392907349089,-0.4443781781046134,8.0,8.0,8.0,4.4,8.0,True,True
2022-09-05,8.0,248,0,9,-0.9033558023246842,-0.4288919379124841,8.0,8.0,8.0,4.5,8.0,True,True
2022-09-06,8.0,249,1,9,-0.9106046300942162,-0.41327860778290443,8.0,8.0,8.0,4.6,8.0,True,True
