pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2023-02-15,5.5,46,2,2,0.7116566222817746,0.7025274741691571,5.5,5.5,5.5,6.5,5.5,True,True
2023-02-16,5.5,47,3,2,0.7236440382959124,0.6901733882429719,5.5,5.5,5.5,6.5,5.5,True,True
2023-02-17,5.5,48,4,2,0.7354170229639855,0.6776147890466889,5.5,5.5,5.5,6.5,5.5,True,True
2023-02-18,5.5,49,5,2,0.7469720876965552,0.6648553979642865,5.5,5.5,5.5,6.5,5.5,True,True
2023-02-19,5.5,50,6,2,0.7583058084785624,0.6518989958787126,5.5,5.5,5.5,6.5,5.5,True,True
2023-02-20,5.5,51,0,2,0.7694148268839378,0.6387494220515272,5.5,5.5,5.5,6.5,5.5,True,True
2023-02-21,6.0,52,1,2,0.7802958510707755,0.6254105729852463,5.5,5.5,5.5,6.5,5.516666666666667,True,True
2023-02-22,5.0,53,2,2,0.7909456567567772,0.6118864012687243,6.0,5.5,5.5,6.5,5.5,True,True
2023-02-23,5.0,54,3,2,0.8013610881746766,0.5981809144059165,5.0,5.5,5.5,6.5,5.483333333333333,True,True
2023-02-24,5.0,55,4,2,0.8115390590073611,0.5842981736283684,5.0,5.5,5.5,6.5,5.466666666666667,True,True
2023-02-25,4.833333333333333,56,5,2,0.8214765533024142,0.5702422926917871,5.0,5.5,5.5,6.5,5.444444444444444,True,True
2023-02-26,4.666666666666667,57,6,2,0.8311706263658079,0.5560174366570446,4.833333333333333,5.5,5.5,6.5,5.416666666666667,True,True
2023-02-27,4.5,58,0,2,0.8406184056344782,0.5416278206559814,4.666666666666667,5.5,5.5,6.5,5.383333333333334,True,True
2023-02-28,4.5,59,1,2,0.8498170915275278,0.5270777086423722,4.5,6.0,5.5,6.5,5.35,True,True
2023-03-01,4.25,60,2,3,0.8587639582758029,0.5123714121284237,4.5,5.0,5.5,6.5,5.308333333333334,True,True
2023-03-02,5.0,61,3,3,0.8674563547295969,0.49751328890718066,4.25,5.0,5.5,6.5,5.291666666666667,True,True
2023-03-03,4.75,62,4,3,0.8758917051442429,0.48250774176121847,5.0,5.0,5.5,6.5,5.266666666666667,True,True
2023-03-04,4.583333333333333,63,5,3,0.8840675099433636,0.4673592171580022,4.75,4.833333333333333,5.5,6.5,5.236111111111111,True,True
2023-03-05,4.416666666666667,64,6,3,0.8919813464595485,0.45207220393230435,4.583333333333333,4.666666666666667,5.5,6.833333333333333,5.2,True,True
2023-03-06,4.25,65,0,3,0.8996308696522433,0.43665123195606403,4.416666666666667,4.5,5.5,7.166666666666667,5.158333333333333,True,True
2023-03-07,5.5,66,1,3,0.9070138128026359,0.4211008707960896,4.25,4.5,5.5,7.5,5.158333333333333,True,True
2023-03-08,5.0,67,2,3,0.9141279881853337,0.40542572835999735,5.5,4.25,5.5,8.5,5.141666666666667,True,True
2023-03-09,5.0,68,3,3,0.9209712877166346,0.38963044953078796,5.0,5.0,5.5,7.5,5.125,True,True
2023-03-10,4.75,69,4,3,0.9275416835791966,0.37371971479046906,5.0,4.75,5.5,7.5,5.1,True,True
2023-03-11,4.5,70,5,3,0.9338372288229252,0.35769823883312546,4.75,4.583333333333333,5.5,7.5,5.066666666666666,True,True
2023-03-12,4.25,71,6,3,0.9398560579418954,0.3415707691678556,4.5,4.416666666666667,5.5,7.5,5.025,True,True
2023-03-13,4.0,72,0,3,0.9455963874271426,0.3253420847119801,4.25,4.25,5.5,7.5,4.975,True,True
2023-03-14,4.0,73,1,3,0.9510565162951535,0.30901699437494745,4.0,5.5,5.5,7.5,4.925,True,True
2023-03-15,4.0,74,2,3,0.9562348265919056,0.29260033563334836,4.0,5.0,5.5,7.5,4.875,True,True
2023-03-16,4.75,75,3,3,0.9611297838723007,0.27609697309746883,4.0,5.0,5.5,7.5,4.85,True,True
2023-03-17,4.75,76,4,3,0.9657399376548549,0.2595117970697999,4.75,4.75,5.5,7.5,4.825,True,True
2023-03-18,4.833333333333333,77,5,3,0.9700639218515071,0.2428497220959356,4.75,4.5,5.5,7.5,4.802777777777777,True,True
2023-03-19,4.916666666666667,78,6,3,0.9741004551724205,0.22611568550828828,4.833333333333333,4.25,5.5,8.0,4.783333333333333,True,True
2023-03-20,5.0,79,0,3,0.9778483415056568,0.20931464596304847,4.916666666666667,4.0,5.5,8.5,4.766666666666667,True,True
2023-03-21,5.0,80,1,3,0.9813064702716093,0.19245158197082998,5.0,4.0,5.5,9.0,4.75,True,True
2023-03-22,5.0,81,2,3,0.9844738167520922,0.1755314904214282,5.0,4.0,5.5,9.5,4.733333333333333,True,True
2023-03-23,5.0,82,3,3,0.9873494423939864,0.15855938510313475,5.0,4.75,6.0,9.5,4.7,True,True
2023-03-24,5.0,83,4,3,0.989932495087353,0.141540295217043,5.0,4.75,5.0,8.5,4.7,True,True
2023-03-25,5.0,84,5,3,0.9922222094179323,0.12447926388678915,5.0,4.833333333333333,5.0,8.5,4.7,True,True
2023-03-26,5.0,85,6,3,0.994217906893952,0.10738134666416309,5.0,4.916666666666667,5.0,8.5,4.7,True,True
2023-03-27,5.0,86,0,3,0.995918996147179,0.09025161003104117,5.0,5.0,4.833333333333333,8.5,4.705555555555557,True,True
2023-03-28,5.4,87,1,3,0.9973249731081555,0.07309512989807777,5.0,5.0,4.666666666666667,8.5,4.73,True,True
2023-03-29,5.0,88,2,3,0.9984354211555643,0.055916990100603484,5.4,5.0,4.5,8.5,4.746666666666667,True,True
2023-03-30,3.75,89,3,3,0.9992500112396835,0.03872228089217446,5.0,5.0,4.5,8.5,4.721666666666667,True,True
2023-03-31,3.75,90,4,3,0.9997685019798909,0.021516097436222254,3.75,5.0,4.25,7.0,4.705,True,True
2023-04-01,4.166666666666667,91,5,4,0.9999907397361901,0.004303538296244289,3.75,5.0,5.0,7.0,4.677222222222222,True,True
2023-04-02,4.583333333333333,92,6,4,0.9999166586547379,-0.01291029607500882,4.166666666666667,5.0,4.75,7.0,4.671666666666667,True,True
2023-04-03,5.0,93,0,4,0.9995462806873573,-0.030120304846908114,4.583333333333333,5.0,4.583333333333333,7.0,4.685555555555556,True,True
2023-04-04,5.25,94,1,4,0.9988797155850336,-0.04732138832243185,5.0,5.4,4.416666666666667,7.0,4.713333333333334,True,True
2023-04-05,5.5,95,2,4,0.9979171608653922,-0.06450844944931623,5.25,5.0,4.25,7.0,4.755,True,True
2023-04-06,5.5,96,3,4,0.9966589017541702,-0.08167639533042241,5.5,3.75,5.5,7.0,4.755,True,True
2023-04-07,5.5,97,4,4,0.9951053111006976,-0.09882013873287143,5.5,3.75,5.0,7.0,4.7716666666666665,True,True
2023-04-08,5.25,98,5,4,0.9932568492674143,-0.11593459959550041,5.5,4.166666666666667,5.0,7.0,4.78,True,True
2023-04-09,5.0,99,6,4,0.9911140639934547,-0.1330147065341959,5.25,4.583333333333333,4.75,6.333333333333333,4.788333333333333,True,True
2023-04-10,4.75,100,0,4,0.9886775902323405,-0.1500553983446526,5.0,5.0,4.5,5.666666666666667,4.796666666666667,True,True
2023-04-11,4.75,101,1,4,0.9859481499638304,-0.16705162550211924,4.75,5.25,4.25,5.0,4.8133333333333335,True,True
2023-04-12,4.75,102,2,4,0.9829265519799822,-0.18399835165768005,4.75,5.5,4.0,5.0,4.838333333333334,True,True
2023-04-13,4.75,103,3,4,0.9796136916454901,-0.20089055513063506,4.75,5.5,4.0,5.0,4.863333333333333,True,True
2023-04-14,4.75,104,4,4,0.9760105506323683,-0.21772323039653177,4.75,5.5,4.0,5.5,4.888333333333334,True,True
2023-04-15,4.75,105,5,4,0.9721181966290613,-0.23449138957040985,4.75,5.25,4.75,5.25,4.888333333333334,True,True
2023-04-16,4.75,106,6,4,0.9679377830240642,-0.25119006388481935,4.75,5.0,4.75,5.25,4.888333333333334,True,True
2023-04-17,4.75,107,0,4,0.9634705485641488,-0.2678143051621742,4.75,4.75,4.833333333333333,5.25,4.885555555555556,True,True
2023-04-18,6.0,108,1,4,0.9587178169872964,-0.2843591872810034,4.75,4.75,4.916666666666667,5.25,4.921666666666667,True,True
2023-04-19,6.0,109,2,4,0.9536809966304457,-0.30081980763566735,6.0,4.75,5.0,5.25,4.955,True,True
2023-04-20,6.5,110,3,4,0.9483615800121715,-0.3171912885891061,6.0,4.75,5.0,5.25,5.005,True,True
2023-04-21,6.5,111,4,4,0.9427611433904207,-0.3334687789181868,6.5,4.75,5.0,4.5,5.055000000000001,True,True
2023-04-22,6.25,112,5,4,0.9368813462954315,-0.3496474552512284,6.5,4.75,5.0,4.5,5.096666666666667,True,True
2023-04-23,6.0,113,6,4,0.9307239310379795,-0.36572252349726897,6.25,4.75,5.0,4.5,5.13,True,True
2023-04-24,5.75,114,0,4,0.9242907221930933,-0.3816892202666588,6.0,4.75,5.0,4.5,5.155,True,True
2023-04-25,5.75,115,1,4,0.9175836260593937,-0.39754281428255595,5.75,6.0,5.0,4.5,5.180000000000001,True,True
