pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,5.5,202,3,7,-0.3294084822245302,-0.9441875088341994,5.5,6.25,2.75,3.5,4.5,True,True
2022-07-22,5.5,203,4,7,-0.3456123126707333,-0.9383773917408642,5.5,6.25,2.75,3.5,4.591666666666667,True,True
2022-07-23,5.5,204,5,7,-0.3617137307297674,-0.9322892131745134,5.5,5.416666666666667,2.75,3.5,4.683333333333334,True,True
2022-07-24,5.5,205,6,7,-0.37770796520396466,-0.9259247771938499,5.5,4.583333333333333,2.75,3.6666666666666665,4.775,True,True
2022-07-25,5.5,206,0,7,-0.39359027665646645,-0.9192859697186105,5.5,3.75,2.75,3.8333333333333335,4.866666666666666,True,True
2022-07-26,3.25,207,1,7,-0.4093559588156211,-0.9123747579707274,5.5,5.5,2.75,4.0,4.883333333333334,True,True
2022-07-27,3.25,208,2,7,-0.42500033996955394,-0.9051931898913975,3.25,5.5,2.75,4.5,4.9,True,True
2022-07-28,3.25,209,3,7,-0.4405187843504952,-0.8977433935342336,3.25,5.5,2.75,4.5,4.916666666666667,True,True
2022-07-29,3.25,210,4,7,-0.455906693508459,-0.8900275764346766,3.25,5.5,2.75,4.5,4.933333333333334,True,True
2022-07-30,3.25,211,5,7,-0.47115950767386394,-0.8820480249558535,3.25,5.5,2.75,3.5,4.95,True,True
2022-07-31,3.25,212,6,7,-0.4862727071086902,-0.8738071036110807,3.25,5.5,4.5,3.6666666666666665,4.908333333333333,True,True
2022-08-01,3.25,213,0,8,-0.5012418134457756,-0.8653072543632061,3.25,5.5,4.416666666666667,3.8333333333333335,4.8694444444444445,True,True
2022-08-02,3.25,214,1,8,-0.5160623910158526,-0.8565509959010037,3.25,3.25,4.333333333333333,4.0,4.833333333333333,True,True
2022-08-03,3.25,215,2,8,-0.5307300481619331,-0.8475409228928312,3.25,3.25,4.25,4.5,4.8,True,True
2022-08-04,3.5,216,3,8,-0.5452404385406507,-0.8382797052177745,3.25,3.25,4.25,4.5,4.775,True,True
2022-08-05,3.5,217,4,8,-0.5595892624101763,-0.828770087174504,3.5,3.25,4.25,4.5,4.75,True,True
2022-08-06,3.0833333333333335,218,5,8,-0.5737722679043243,-0.8190148866680802,3.5,3.25,5.5,4.5,4.669444444444445,True,True
2022-08-07,2.6666666666666665,219,6,8,-0.5877852522924734,-0.8090169943749472,3.0833333333333335,3.25,6.0,4.5,4.558333333333334,True,True
2022-08-08,2.25,220,0,8,-0.6016240632249227,-0.7987793728863648,2.6666666666666665,3.25,6.0,4.5,4.433333333333334,True,True
2022-08-09,2.25,221,1,8,-0.6152845999633277,-0.7883050558305253,2.25,3.25,6.0,4.5,4.308333333333334,True,True
2022-08-10,2.25,222,2,8,-0.6287628145958345,-0.7775971469736268,2.25,3.25,6.0,4.5,4.183333333333334,True,True
2022-08-11,2.25,223,3,8,-0.6420547132365636,-0.7666588193001592,2.25,3.5,5.5,4.5,4.075,True,True
2022-08-12,2.25,224,4,8,-0.655156357209085,-0.7554933140726804,2.25,3.5,6.5,4.5,3.933333333333333,True,True
2022-08-13,2.25,225,5,8,-0.6680638642135333,-0.7441039398713608,2.25,3.0833333333333335,6.25,4.5,3.8,True,True
2022-08-14,2.25,226,6,8,-0.6807734094770159,-0.7324940716135792,2.25,2.6666666666666665,6.25,4.5,3.6666666666666665,True,True
2022-08-15,2.25,227,0,8,-0.6932812268869771,-0.7206671495538615,2.25,2.25,5.416666666666667,4.5,3.561111111111111,True,True
2022-08-16,2.25,228,1,8,-0.7055836101071774,-0.70862667826446,2.25,2.25,4.583333333333333,4.5,3.4833333333333334,True,True
2022-08-17,2.25,229,2,8,-0.7176769136759615,-0.6963762255968726,2.25,2.25,3.75,4.5,3.433333333333333,True,True
2022-08-18,2.25,230,3,8,-0.7295575540864876,-0.6839194216246105,2.25,2.25,5.5,4.5,3.325,True,True
2022-08-19,4.25,231,4,8,-0.7412220108485957,-0.6712599575675315,2.25,2.25,5.5,4.5,3.283333333333333,True,True
2022-08-20,4.25,232,5,8,-0.7526668275320083,-0.6584015846980489,4.25,2.25,5.5,4.5,3.2416666666666667,True,True
2022-08-21,4.25,233,6,8,-0.7638886127905429,-0.64534811322955,4.25,2.25,5.5,4.5,3.2,True,True
2022-08-22,4.25,234,0,8,-0.7748840413670406,-0.6321034111873488,4.25,2.25,5.5,4.5,3.158333333333333,True,True
2022-08-23,4.25,235,1,8,-0.7856498550787144,-0.6186714032625032,4.25,2.25,5.5,4.5,3.1166666666666667,True,True
2022-08-24,4.25,236,2,8,-0.7961828637826154,-0.6050560696488494,4.25,2.25,5.5,4.5,3.075,True,True
2022-08-25,4.25,237,3,8,-0.8064799463209447,-0.5912614448635782,4.25,2.25,3.25,4.5,3.1083333333333334,True,True
2022-08-26,4.25,238,4,8,-0.8165380514459157,-0.5772916165517278,4.25,4.25,3.25,4.5,3.1416666666666666,True,True
2022-08-27,4.25,239,5,8,-0.8263541987239094,-0.5631507242749187,4.25,4.25,3.25,4.5,3.175,True,True
2022-08-28,4.25,240,6,8,-0.8359254794186365,-0.5488429582847199,4.25,4.25,3.25,4.5,3.2083333333333335,True,True
2022-08-29,4.25,241,0,8,-0.8452490573530634,-0.5343725582809785,4.25,4.25,3.25,4.5,3.2416666666666667,True,True
2022-08-30,4.25,242,1,8,-0.8543221697498269,-0.5197438121555157,4.25,4.25,3.25,4.5,3.275,True,True
2022-08-31,4.25,243,2,8,-0.8631421280499115,-0.5049610547215202,4.25,4.25,3.25,3.8333333333333335,3.308333333333333,True,True
2022-09-01,3.75,244,3,9,-0.8717063187093217,-0.4900286664290594,4.25,4.25,3.25,3.166666666666667,3.325,True,True
2022-09-02,2.75,245,4,9,-0.8800122039735356,-0.4749510720670502,3.75,4.25,3.25,2.5,3.308333333333333,True,True
2022-09-03,2.75,246,5,9,-0.888057322629493,-0.4597327394521046,2.75,4.25,3.5,2.25,3.283333333333333,True,True
2022-09-04,2.75,247,6,9,-0.8958392907349089,-0.4443781781046134,2.75,4.25,3.5,2.25,3.2583333333333333,True,True
2022-09-05,2.75,248,0,9,-0.9033558023246842,-0.4288919379124841,2.75,4.25,3.0833333333333335,2.25,3.247222222222222,True,True
2022-09-06,2.75,249,1,9,-0.9106046300942162,-0.41327860778290443,2.75,4.25,2.6666666666666665,2.25,3.25,True,True
2022-09-07,3.25,250,2,9,-0.9175836260593934,-0.3975428142825566,2.75,4.25,2.25,2.25,3.283333333333333,True,True
2022-09-08,3.25,251,3,9,-0.9242907221930934,-0.3816892202666586,3.25,3.75,2.25,2.25,3.316666666666667,True,True
2022-09-09,2.25,252,4,9,-0.9307239310379793,-0.3657225234972692,3.25,2.75,2.25,2.25,3.316666666666667,True,True
2022-09-10,2.3333333333333335,253,5,9,-0.9368813462954315,-0.34964745525122826,2.25,2.75,2.25,2.25,3.3194444444444446,True,True
2022-09-11,2.4166666666666665,254,6,9,-0.9427611433904206,-0.33346877891818705,2.3333333333333335,2.75,2.25,2.25,3.325,True,True
2022-09-12,2.5,255,0,9,-0.9483615800121716,-0.31719128858910595,2.4166666666666665,2.75,2.25,2.25,3.3333333333333335,True,True
2022-09-13,2.5,256,1,9,-0.9536809966304455,-0.300819807635668,2.5,2.75,2.25,2.25,3.341666666666667,True,True
2022-09-14,2.5,257,2,9,-0.9587178169872964,-0.2843591872810036,2.5,3.25,2.25,2.25,3.35,True,True
2022-09-15,1.25,258,3,9,-0.9634705485641486,-0.26781430516217486,2.5,3.25,2.25,2.25,3.316666666666667,True,True
2022-09-16,1.25,259,4,9,-0.9679377830240642,-0.25119006388481957,1.25,2.25,2.25,2.75,3.283333333333333,True,True
2022-09-17,1.25,260,5,9,-0.9721181966290612,-0.23449138957041052,1.25,2.3333333333333335,2.25,2.875,3.25,True,True
2022-09-18,1.25,261,6,9,-0.9760105506323682,-0.21772323039653224,1.25,2.4166666666666665,4.25,3.0,3.15,True,True
2022-09-19,1.25,262,0,9,-0.9796136916454901,-0.20089055513063528,1.25,2.5,4.25,3.125,3.05,True,True
2022-09-20,1.25,263,1,9,-0.9829265519799822,-0.18399835165767986,1.25,2.5,4.25,3.25,2.95,True,True
2022-09-21,1.25,264,2,9,-0.9859481499638303,-0.1670516255021195,1.25,2.5,4.25,4.25,2.85,True,True
2022-09-22,1.25,265,3,9,-0.9886775902323404,-0.15005539834465262,1.25,1.25,4.25,5.25,2.75,True,True
2022-09-23,1.25,266,4,9,-0.9911140639934546,-0.13301470653419636,1.25,1.25,4.25,4.75,2.65,True,True
2022-09-24,1.25,267,5,9,-0.9932568492674143,-0.11593459959550066,1.25,1.25,4.25,4.75,2.55,True,True
2022-09-25,1.25,268,6,9,-0.9951053111006974,-0.09882013873287211,1.25,1.25,4.25,5.083333333333333,2.45,True,True
2022-09-26,1.25,269,0,9,-0.99665890175417,-0.08167639533042288,1.25,1.25,4.25,5.416666666666667,2.35,True,True
2022-09-27,0.9,270,1,9,-0.9979171608653922,-0.06450844944931625,1.25,1.25,4.25,5.75,2.2383333333333337,True,True
2022-09-28,0.9,271,2,9,-0.9988797155850335,-0.04732138832243232,0.9,1.25,4.25,5.75,2.126666666666667,True,True
2022-09-29,0.9,272,3,9,-0.9995462806873573,-0.03012030484690836,0.9,1.25,4.25,6.25,2.015,True,True
