pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.75,202,3,7,-0.3294084822245302,-0.9441875088341994,2.75,4.75,2.5,5.5,3.966666666666667,True,True
2022-07-22,2.25,203,4,7,-0.3456123126707333,-0.9383773917408642,2.75,4.75,2.25,5.5,3.966666666666667,True,True
2022-07-23,2.3333333333333335,204,5,7,-0.3617137307297674,-0.9322892131745134,2.25,4.083333333333333,2.25,5.5,3.969444444444444,True,True
2022-07-24,2.4166666666666665,205,6,7,-0.37770796520396466,-0.9259247771938499,2.3333333333333335,3.416666666666667,2.25,5.5,3.975,True,True
2022-07-25,2.5,206,0,7,-0.39359027665646645,-0.9192859697186105,2.4166666666666665,2.75,3.0,5.5,3.9583333333333335,True,True
2022-07-26,2.5,207,1,7,-0.4093559588156211,-0.9123747579707274,2.5,2.75,3.75,5.5,3.9166666666666665,True,True
2022-07-27,2.5,208,2,7,-0.42500033996955394,-0.9051931898913975,2.5,2.75,4.5,4.5,3.85,True,True
2022-07-28,2.75,209,3,7,-0.4405187843504952,-0.8977433935342336,2.5,2.75,4.5,4.5,3.7916666666666665,True,True
2022-07-29,2.75,210,4,7,-0.455906693508459,-0.8900275764346766,2.75,2.25,3.5,4.0,3.7666666666666666,True,True
2022-07-30,3.3333333333333335,211,5,7,-0.47115950767386394,-0.8820480249558535,2.75,2.3333333333333335,3.5,4.0,3.761111111111111,True,True
2022-07-31,3.916666666666667,212,6,7,-0.4862727071086902,-0.8738071036110807,3.3333333333333335,2.4166666666666665,4.5,4.0,3.7416666666666667,True,True
2022-08-01,4.5,213,0,8,-0.5012418134457756,-0.8653072543632061,3.916666666666667,2.5,3.9166666666666665,4.0,3.761111111111111,True,True
2022-08-02,4.5,214,1,8,-0.5160623910158526,-0.8565509959010037,4.5,2.5,3.333333333333333,4.0,3.8,True,True
2022-08-03,4.5,215,2,8,-0.5307300481619331,-0.8475409228928312,4.5,2.5,2.75,5.0,3.8583333333333334,True,True
2022-08-04,4.5,216,3,8,-0.5452404385406507,-0.8382797052177745,4.5,2.75,2.5,5.0,3.925,True,True
2022-08-05,4.5,217,4,8,-0.5595892624101763,-0.828770087174504,4.5,2.75,4.0,5.0,3.941666666666667,True,True
2022-08-06,4.5,218,5,8,-0.5737722679043243,-0.8190148866680802,4.5,3.3333333333333335,5.5,4.0,3.908333333333333,True,True
2022-08-07,4.5,219,6,8,-0.5877852522924734,-0.8090169943749472,4.5,3.916666666666667,6.25,3.5,3.85,True,True
2022-08-08,4.5,220,0,8,-0.6016240632249227,-0.7987793728863648,4.5,4.5,6.25,3.0,3.7916666666666665,True,True
2022-08-09,5.75,221,1,8,-0.6152845999633277,-0.7883050558305253,4.5,4.5,6.25,2.5,3.775,True,True
