pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,11.5,201,2,7,-0.3131070409358267,-0.9497178427914317,11.4,10.8,9.5,6.5,10.533333333333333,True,True
2022-07-21,11.5,202,3,7,-0.3294084822245302,-0.9441875088341994,11.5,10.9,9.6,6.5227272727272725,10.596666666666666,True,True
2022-07-22,11.5,203,4,7,-0.3456123126707333,-0.9383773917408642,11.5,11.0,9.7,6.545454545454546,10.656666666666666,True,True
2022-07-23,11.5,204,5,7,-0.3617137307297674,-0.9322892131745134,11.5,11.1,9.8,6.568181818181818,10.713333333333333,True,True
2022-07-24,11.5,205,6,7,-0.37770796520396466,-0.9259247771938499,11.5,11.2,9.9,6.590909090909091,10.766666666666667,True,True
2022-07-25,11.5,206,0,7,-0.39359027665646645,-0.9192859697186105,11.5,11.3,10.0,6.613636363636363,10.816666666666666,True,True
2022-07-26,11.5,207,1,7,-0.4093559588156211,-0.9123747579707274,11.5,11.4,10.1,6.636363636363637,10.863333333333333,True,True
2022-07-27,11.5,208,2,7,-0.42500033996955394,-0.9051931898913975,11.5,11.5,10.2,6.659090909090909,10.906666666666666,True,True
2022-07-28,11.5,209,3,7,-0.4405187843504952,-0.8977433935342336,11.5,11.5,10.3,6.681818181818182,10.946666666666665,True,True
2022-07-29,11.5,210,4,7,-0.455906693508459,-0.8900275764346766,11.5,11.5,10.4,6.704545454545454,10.983333333333333,True,True
2022-07-30,11.5,211,5,7,-0.47115950767386394,-0.8820480249558535,11.5,11.5,10.5,6.7272727272727275,11.016666666666667,True,True
2022-07-31,11.5,212,6,7,-0.4862727071086902,-0.8738071036110807,11.5,11.5,10.5,6.75,11.05,True,True
2022-08-01,11.6,213,0,8,-0.5012418134457756,-0.8653072543632061,11.5,11.5,10.5,6.8,11.086666666666668,True,True
2022-08-02,11.7,214,1,8,-0.5160623910158526,-0.8565509959010037,11.6,11.5,10.5,6.85,11.126666666666667,True,True
