pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,15.5,201,2,7,-0.3131070409358267,-0.9497178427914317,15.25,13.75,9.5,9.5,12.933333333333334,True,True
2022-07-21,15.454545454545455,202,3,7,-0.3294084822245302,-0.9441875088341994,15.5,14.0,9.85,9.5,13.120151515151514,True,True
2022-07-22,15.409090909090908,203,4,7,-0.3456123126707333,-0.9383773917408642,15.454545454545455,14.25,10.2,9.5,13.293787878787878,True,True
2022-07-23,15.363636363636363,204,5,7,-0.3617137307297674,-0.9322892131745134,15.409090909090908,14.5,10.55,9.5,13.454242424242425,True,True
2022-07-24,15.318181818181818,205,6,7,-0.37770796520396466,-0.9259247771938499,15.363636363636363,14.75,10.9,9.5,13.601515151515152,True,True
2022-07-25,15.272727272727273,206,0,7,-0.39359027665646645,-0.9192859697186105,15.318181818181818,15.0,11.25,9.5,13.735606060606061,True,True
2022-07-26,15.227272727272727,207,1,7,-0.4093559588156211,-0.9123747579707274,15.272727272727273,15.25,11.6,9.5,13.85651515151515,True,True
2022-07-27,15.181818181818182,208,2,7,-0.42500033996955394,-0.9051931898913975,15.227272727272727,15.5,11.95,9.5,13.964242424242425,True,True
2022-07-28,15.136363636363637,209,3,7,-0.4405187843504952,-0.8977433935342336,15.181818181818182,15.454545454545455,12.3,9.5,14.058787878787879,True,True
2022-07-29,15.090909090909092,210,4,7,-0.455906693508459,-0.8900275764346766,15.136363636363637,15.409090909090908,12.65,9.5,14.140151515151514,True,True
2022-07-30,15.045454545454545,211,5,7,-0.47115950767386394,-0.8820480249558535,15.090909090909092,15.363636363636363,13.0,9.5,14.208333333333334,True,True
2022-07-31,15.0,212,6,7,-0.4862727071086902,-0.8738071036110807,15.045454545454545,15.318181818181818,13.0,9.5,14.275,True,True
2022-08-01,15.0,213,0,8,-0.5012418134457756,-0.8653072543632061,15.0,15.272727272727273,13.0,9.475,14.341666666666667,True,True
2022-08-02,15.0,214,1,8,-0.5160623910158526,-0.8565509959010037,15.0,15.227272727272727,13.0,9.45,14.408333333333333,True,True
2022-08-03,15.0,215,2,8,-0.5307300481619331,-0.8475409228928312,15.0,15.181818181818182,13.0,9.425,14.475,True,True
2022-08-04,15.0,216,3,8,-0.5452404385406507,-0.8382797052177745,15.0,15.136363636363637,13.0,9.4,14.541666666666666,True,True
2022-08-05,15.0,217,4,8,-0.5595892624101763,-0.828770087174504,15.0,15.090909090909092,13.0,9.375,14.608333333333333,True,True
2022-08-06,15.0,218,5,8,-0.5737722679043243,-0.8190148866680802,15.0,15.045454545454545,13.0,9.35,14.675,True,True
2022-08-07,15.0,219,6,8,-0.5877852522924734,-0.8090169943749472,15.0,15.0,13.0,9.325,14.741666666666667,True,True
2022-08-08,15.0,220,0,8,-0.6016240632249227,-0.7987793728863648,15.0,15.0,13.0,9.3,14.808333333333334,True,True
2022-08-09,15.0,221,1,8,-0.6152845999633277,-0.7883050558305253,15.0,15.0,13.0,9.275,14.875,True,True
2022-08-10,15.0,222,2,8,-0.6287628145958345,-0.7775971469736268,15.0,15.0,13.25,9.25,14.933333333333334,True,True
2022-08-11,15.05,223,3,8,-0.6420547132365636,-0.7666588193001592,15.0,15.0,13.5,9.25,14.985000000000001,True,True
2022-08-12,15.1,224,4,8,-0.655156357209085,-0.7554933140726804,15.05,15.0,13.75,9.25,15.030000000000001,True,True
2022-08-13,15.15,225,5,8,-0.6680638642135333,-0.7441039398713608,15.1,15.0,14.0,9.25,15.068333333333333,True,True
2022-08-14,15.2,226,6,8,-0.6807734094770159,-0.7324940716135792,15.15,15.0,14.25,9.25,15.1,True,True
2022-08-15,15.25,227,0,8,-0.6932812268869771,-0.7206671495538615,15.2,15.0,14.5,9.25,15.125,True,True
2022-08-16,15.3,228,1,8,-0.7055836101071774,-0.70862667826446,15.25,15.0,14.75,9.25,15.143333333333334,True,True
2022-08-17,15.35,229,2,8,-0.7176769136759615,-0.6963762255968726,15.3,15.0,15.0,9.25,15.155000000000001,True,True
2022-08-18,15.4,230,3,8,-0.7295575540864876,-0.6839194216246105,15.35,15.05,15.25,9.25,15.16,True,True
2022-08-19,15.45,231,4,8,-0.7412220108485957,-0.6712599575675315,15.4,15.1,15.5,9.25,15.158333333333333,True,True
2022-08-20,15.5,232,5,8,-0.7526668275320083,-0.6584015846980489,15.45,15.15,15.454545454545455,9.25,15.159848484848485,True,True
2022-08-21,15.5,233,6,8,-0.7638886127905429,-0.64534811322955,15.5,15.2,15.409090909090908,8.909090909090908,15.162878787878787,True,True
2022-08-22,15.5,234,0,8,-0.7748840413670406,-0.6321034111873488,15.5,15.25,15.363636363636363,8.568181818181818,15.167424242424241,True,True
2022-08-23,15.5,235,1,8,-0.7856498550787144,-0.6186714032625032,15.5,15.3,15.318181818181818,8.227272727272727,15.173484848484849,True,True
2022-08-24,15.5,236,2,8,-0.7961828637826154,-0.6050560696488494,15.5,15.35,15.272727272727273,7.886363636363637,15.181060606060607,True,True
2022-08-25,15.5,237,3,8,-0.8064799463209447,-0.5912614448635782,15.5,15.4,15.227272727272727,7.545454545454546,15.190151515151515,True,True
2022-08-26,15.5,238,4,8,-0.8165380514459157,-0.5772916165517278,15.5,15.45,15.181818181818182,7.204545454545455,15.200757575757574,True,True
2022-08-27,15.5,239,5,8,-0.8263541987239094,-0.5631507242749187,15.5,15.5,15.136363636363637,6.863636363636363,15.212878787878788,True,True
2022-08-28,15.5,240,6,8,-0.8359254794186365,-0.5488429582847199,15.5,15.5,15.090909090909092,6.522727272727273,15.226515151515152,True,True
2022-08-29,15.5,241,0,8,-0.8452490573530634,-0.5343725582809785,15.5,15.5,15.045454545454545,6.181818181818182,15.241666666666667,True,True
2022-08-30,15.5,242,1,8,-0.8543221697498269,-0.5197438121555157,15.5,15.5,15.0,5.840909090909092,15.258333333333333,True,True
2022-08-31,15.5,243,2,8,-0.8631421280499115,-0.5049610547215202,15.5,15.5,15.0,5.5,15.275,True,True
