pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散,prodPcat_UNKNOWN
2022-07-23,4.2,204,5,7,-0.3617137307297674,-0.9322892131745134,4.2,5.0,5.0,5.0,4.946666666666667,True,True
2022-07-24,4.2,205,6,7,-0.37770796520396466,-0.9259247771938499,4.2,5.0,5.0,5.0,4.92,True,True
2022-07-25,4.2,206,0,7,-0.39359027665646645,-0.9192859697186105,4.2,5.0,5.0,5.0,4.8933333333333335,True,True
2022-07-26,4.2,207,1,7,-0.4093559588156211,-0.9123747579707274,4.2,5.0,5.0,5.0,4.866666666666666,True,True
2022-07-27,4.2,208,2,7,-0.42500033996955394,-0.9051931898913975,4.2,5.0,5.0,5.0,4.84,True,True
2022-07-28,4.2,209,3,7,-0.4405187843504952,-0.8977433935342336,4.2,5.0,5.0,4.5,4.8133333333333335,True,True
2022-07-29,4.2,210,4,7,-0.455906693508459,-0.8900275764346766,4.2,4.2,5.0,4.5,4.786666666666666,True,True
2022-07-30,4.2,211,5,7,-0.47115950767386394,-0.8820480249558535,4.2,4.2,5.0,4.5,4.760000000000001,True,True
2022-07-31,4.2,212,6,7,-0.4862727071086902,-0.8738071036110807,4.2,4.2,5.0,4.5,4.733333333333333,True,True
2022-08-01,4.2,213,0,8,-0.5012418134457756,-0.8653072543632061,4.2,4.2,5.0,4.5,4.706666666666666,True,True
2022-08-02,4.2,214,1,8,-0.5160623910158526,-0.8565509959010037,4.2,4.2,5.0,4.5,4.680000000000001,True,True
2022-08-03,4.2,215,2,8,-0.5307300481619331,-0.8475409228928312,4.2,4.2,5.0,4.5,4.653333333333333,True,True
2022-08-04,4.2,216,3,8,-0.5452404385406507,-0.8382797052177745,4.2,4.2,5.0,4.5,4.626666666666667,True,True
2022-08-05,4.2,217,4,8,-0.5595892624101763,-0.828770087174504,4.2,4.2,5.0,4.5,4.6,True,True
2022-08-06,4.2,218,5,8,-0.5737722679043243,-0.8190148866680802,4.2,4.2,5.0,4.5,4.573333333333333,True,True
2022-08-07,4.2,219,6,8,-0.5877852522924734,-0.8090169943749472,4.2,4.2,5.0,4.5,4.546666666666667,True,True
2022-08-08,4.2,220,0,8,-0.6016240632249227,-0.7987793728863648,4.2,4.2,5.0,4.5,4.52,True,True
2022-08-09,4.2,221,1,8,-0.6152845999633277,-0.7883050558305253,4.2,4.2,5.0,4.5,4.493333333333334,True,True
2022-08-10,4.2,222,2,8,-0.6287628145958345,-0.7775971469736268,4.2,4.2,5.0,4.5,4.466666666666667,True,True
2022-08-11,4.2,223,3,8,-0.6420547132365636,-0.7666588193001592,4.2,4.2,5.0,4.5,4.44,True,True
2022-08-12,4.3,224,4,8,-0.655156357209085,-0.7554933140726804,4.2,4.2,5.0,4.5,4.416666666666667,True,True
2022-08-13,4.3,225,5,8,-0.6680638642135333,-0.7441039398713608,4.3,4.2,5.0,4.5,4.3933333333333335,True,True
2022-08-14,4.3,226,6,8,-0.6807734094770159,-0.7324940716135792,4.3,4.2,5.0,4.5,4.37,True,True
2022-08-15,4.3,227,0,8,-0.6932812268869771,-0.7206671495538615,4.3,4.2,5.0,4.5,4.346666666666667,True,True
2022-08-16,4.3,228,1,8,-0.7055836101071774,-0.70862667826446,4.3,4.2,5.0,4.5,4.323333333333333,True,True
2022-08-17,4.3,229,2,8,-0.7176769136759615,-0.6963762255968726,4.3,4.2,5.0,4.5,4.3,True,True
2022-08-18,4.3,230,3,8,-0.7295575540864876,-0.6839194216246105,4.3,4.2,5.0,4.5,4.276666666666667,True,True
2022-08-19,4.3,231,4,8,-0.7412220108485957,-0.6712599575675315,4.3,4.3,5.0,4.5,4.253333333333334,True,True
