pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_500g-600g/鲜,specInfo_400g-500g/鲜,specInfo_500g-600g,specInfo_400g-500g,specInfo_500g-650g,prodPcat_海水鱼
2022-07-22,13.0,203,4,7,-0.3456123126707333,-0.9383773917408642,13.0,13.0,13.0,13.0,13.0,True,False,False,False,False,True
2022-07-22,12.0,203,4,7,-0.3456123126707333,-0.9383773917408642,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
2022-07-22,18.0,203,4,7,-0.3456123126707333,-0.9383773917408642,18.0,18.0,18.0,17.0,18.0,False,False,False,False,True,True
2022-07-22,18.0,203,4,7,-0.3456123126707333,-0.9383773917408642,18.0,18.0,18.0,13.0,18.0,False,False,True,False,False,True
2022-07-22,17.0,203,4,7,-0.3456123126707333,-0.9383773917408642,17.0,17.0,17.0,12.0,17.0,False,False,False,True,False,True
2022-07-23,13.0,204,5,7,-0.3617137307297674,-0.9322892131745134,13.0,13.0,13.0,13.0,13.0,True,False,False,False,False,True
2022-07-23,12.0,204,5,7,-0.3617137307297674,-0.9322892131745134,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
2022-07-23,18.0,204,5,7,-0.3617137307297674,-0.9322892131745134,18.0,18.0,18.0,17.0,18.0,False,False,False,False,True,True
2022-07-23,17.0,204,5,7,-0.3617137307297674,-0.9322892131745134,17.0,17.0,17.0,12.0,17.0,False,False,False,True,False,True
2022-07-23,18.0,204,5,7,-0.3617137307297674,-0.9322892131745134,18.0,18.0,18.0,13.0,18.0,False,False,True,False,False,True
2022-07-24,18.0,205,6,7,-0.37770796520396466,-0.9259247771938499,18.0,18.0,18.0,17.0,18.0,False,False,False,False,True,True
2022-07-24,12.0,205,6,7,-0.37770796520396466,-0.9259247771938499,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
2022-07-24,17.0,205,6,7,-0.37770796520396466,-0.9259247771938499,17.0,17.0,17.0,12.0,17.0,False,False,False,True,False,True
2022-07-24,13.0,205,6,7,-0.37770796520396466,-0.9259247771938499,13.0,13.0,13.0,13.0,13.0,True,False,False,False,False,True
2022-07-24,18.0,205,6,7,-0.37770796520396466,-0.9259247771938499,18.0,18.0,18.0,13.0,18.0,False,False,True,False,False,True
2022-07-25,18.0,206,0,7,-0.39359027665646645,-0.9192859697186105,18.0,18.0,18.0,13.0,18.0,False,False,True,False,False,True
2022-07-25,17.0,206,0,7,-0.39359027665646645,-0.9192859697186105,17.0,17.0,17.0,12.0,17.0,False,False,False,True,False,True
2022-07-25,18.0,206,0,7,-0.39359027665646645,-0.9192859697186105,18.0,18.0,18.0,17.0,18.0,False,False,False,False,True,True
2022-07-25,13.0,206,0,7,-0.39359027665646645,-0.9192859697186105,13.0,13.0,13.0,13.0,13.0,True,False,False,False,False,True
2022-07-25,12.0,206,0,7,-0.39359027665646645,-0.9192859697186105,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
2022-07-26,17.0,207,1,7,-0.4093559588156211,-0.9123747579707274,17.0,17.0,17.0,12.0,17.0,False,False,False,True,False,True
2022-07-26,12.0,207,1,7,-0.4093559588156211,-0.9123747579707274,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
2022-07-26,18.0,207,1,7,-0.4093559588156211,-0.9123747579707274,18.0,18.0,18.0,17.0,18.0,False,False,False,False,True,True
2022-07-26,18.0,207,1,7,-0.4093559588156211,-0.9123747579707274,18.0,18.0,18.0,13.0,18.0,False,False,True,False,False,True
2022-07-26,13.0,207,1,7,-0.4093559588156211,-0.9123747579707274,13.0,13.0,13.0,13.0,13.0,True,False,False,False,False,True
2022-07-27,17.0,208,2,7,-0.42500033996955394,-0.9051931898913975,17.0,17.0,17.0,12.0,17.0,False,False,False,True,False,True
2022-07-27,18.0,208,2,7,-0.42500033996955394,-0.9051931898913975,18.0,18.0,18.0,13.0,18.0,False,False,True,False,False,True
2022-07-27,12.0,208,2,7,-0.42500033996955394,-0.9051931898913975,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
2022-07-27,13.0,208,2,7,-0.42500033996955394,-0.9051931898913975,13.0,13.0,13.0,13.0,13.0,True,False,False,False,False,True
2022-07-27,18.0,208,2,7,-0.42500033996955394,-0.9051931898913975,18.0,18.0,18.0,17.0,18.0,False,False,False,False,True,True
2022-07-28,12.0,209,3,7,-0.4405187843504952,-0.8977433935342336,12.0,12.0,12.0,12.0,12.0,False,True,False,False,False,True
