pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_5L/桶,prodPcat_食用油
2022-07-20,60.25,201,2,7,-0.3131070409358267,-0.9497178427914317,60.275,60.425,62.75,47.5,60.875,True,True
2022-07-21,60.14818181818182,202,3,7,-0.3294084822245302,-0.9441875088341994,60.25,60.4,62.55,47.5,60.7949393939394,True,True
2022-07-22,60.04636363636364,203,4,7,-0.3456123126707333,-0.9383773917408642,60.14818181818182,60.375,62.35,47.5,60.71815151515151,True,True
2022-07-23,59.944545454545455,204,5,7,-0.3617137307297674,-0.9322892131745134,60.04636363636364,60.35,62.15,47.5,60.644636363636366,True,True
2022-07-24,59.842727272727274,205,6,7,-0.37770796520396466,-0.9259247771938499,59.944545454545455,60.325,61.95,47.5,60.57439393939394,True,True
2022-07-25,59.74090909090909,206,0,7,-0.39359027665646645,-0.9192859697186105,59.842727272727274,60.3,61.75,47.5,60.50742424242424,True,True
2022-07-26,59.63909090909091,207,1,7,-0.4093559588156211,-0.9123747579707274,59.74090909090909,60.275,61.55,47.5,60.44372727272727,True,True
2022-07-27,59.53727272727273,208,2,7,-0.42500033996955394,-0.9051931898913975,59.63909090909091,60.25,61.35,47.5,60.38330303030303,True,True
2022-07-28,59.43545454545455,209,3,7,-0.4405187843504952,-0.8977433935342336,59.53727272727273,60.14818181818182,61.15,47.5,60.326151515151516,True,True
2022-07-29,59.333636363636366,210,4,7,-0.455906693508459,-0.8900275764346766,59.43545454545455,60.04636363636364,60.95,47.5,60.27227272727273,True,True
2022-07-30,59.231818181818184,211,5,7,-0.47115950767386394,-0.8820480249558535,59.333636363636366,59.944545454545455,60.75,47.5,60.22166666666667,True,True
2022-07-31,59.13,212,6,7,-0.4862727071086902,-0.8738071036110807,59.231818181818184,59.842727272727274,60.725,47.5,60.1685,True,True
2022-08-01,59.167,213,0,8,-0.5012418134457756,-0.8653072543632061,59.13,59.74090909090909,60.7,47.5,60.1174,True,True
2022-08-02,59.204,214,1,8,-0.5160623910158526,-0.8565509959010037,59.167,59.63909090909091,60.675,47.5,60.06836666666667,True,True
2022-08-03,59.241,215,2,8,-0.5307300481619331,-0.8475409228928312,59.204,59.53727272727273,60.65,47.5,60.0214,True,True
2022-08-04,59.278,216,3,8,-0.5452404385406507,-0.8382797052177745,59.241,59.43545454545455,60.625,47.5,59.9765,True,True
2022-08-05,59.315,217,4,8,-0.5595892624101763,-0.828770087174504,59.278,59.333636363636366,60.6,47.5,59.933666666666674,True,True
2022-08-06,59.352000000000004,218,5,8,-0.5737722679043243,-0.8190148866680802,59.315,59.231818181818184,60.575,47.5,59.892900000000004,True,True
2022-08-07,59.389,219,6,8,-0.5877852522924734,-0.8090169943749472,59.352000000000004,59.13,60.55,47.5,59.854200000000006,True,True
2022-08-08,59.426,220,0,8,-0.6016240632249227,-0.7987793728863648,59.389,59.167,60.525,47.5,59.81756666666667,True,True
2022-08-09,59.463,221,1,8,-0.6152845999633277,-0.7883050558305253,59.426,59.204,60.5,47.5,59.783,True,True
2022-08-10,59.5,222,2,8,-0.6287628145958345,-0.7775971469736268,59.463,59.241,60.475,47.5,59.7505,True,True
2022-08-11,59.42857142857143,223,3,8,-0.6420547132365636,-0.7666588193001592,59.5,59.278,60.45,47.5,59.71645238095239,True,True
2022-08-12,59.357142857142854,224,4,8,-0.655156357209085,-0.7554933140726804,59.42857142857143,59.315,60.425,47.5,59.68085714285714,True,True
2022-08-13,59.285714285714285,225,5,8,-0.6680638642135333,-0.7441039398713608,59.357142857142854,59.352000000000004,60.4,47.5,59.64371428571429,True,True
2022-08-14,59.214285714285715,226,6,8,-0.6807734094770159,-0.7324940716135792,59.285714285714285,59.389,60.375,47.5,59.60502380952381,True,True
2022-08-15,59.142857142857146,227,0,8,-0.6932812268869771,-0.7206671495538615,59.214285714285715,59.426,60.35,47.5,59.56478571428571,True,True
2022-08-16,59.07142857142857,228,1,8,-0.7055836101071774,-0.70862667826446,59.142857142857146,59.463,60.325,47.5,59.523,True,True
2022-08-17,59.0,229,2,8,-0.7176769136759615,-0.6963762255968726,59.07142857142857,59.5,60.3,47.5,59.47966666666667,True,True
2022-08-18,58.92857142857143,230,3,8,-0.7295575540864876,-0.6839194216246105,59.0,59.42857142857143,60.275,47.5,59.43478571428571,True,True
2022-08-19,58.857142857142854,231,4,8,-0.7412220108485957,-0.6712599575675315,58.92857142857143,59.357142857142854,60.25,47.5,59.38835714285714,True,True
2022-08-20,58.785714285714285,232,5,8,-0.7526668275320083,-0.6584015846980489,58.857142857142854,59.285714285714285,60.14818181818182,47.5,59.34294155844156,True,True
2022-08-21,58.714285714285715,233,6,8,-0.7638886127905429,-0.64534811322955,58.785714285714285,59.214285714285715,60.04636363636364,47.59090909090909,59.29853896103896,True,True
2022-08-22,58.642857142857146,234,0,8,-0.7748840413670406,-0.6321034111873488,58.714285714285715,59.142857142857146,59.944545454545455,47.68181818181818,59.25514935064935,True,True
2022-08-23,58.57142857142857,235,1,8,-0.7856498550787144,-0.6186714032625032,58.642857142857146,59.07142857142857,59.842727272727274,47.77272727272727,59.21277272727273,True,True
2022-08-24,58.5,236,2,8,-0.7961828637826154,-0.6050560696488494,58.57142857142857,59.0,59.74090909090909,47.86363636363637,59.17140909090909,True,True
2022-08-25,58.42857142857143,237,3,8,-0.8064799463209447,-0.5912614448635782,58.5,58.92857142857143,59.63909090909091,47.95454545454545,59.13105844155845,True,True
2022-08-26,58.357142857142854,238,4,8,-0.8165380514459157,-0.5772916165517278,58.42857142857143,58.857142857142854,59.53727272727273,48.04545454545455,59.09172077922077,True,True
2022-08-27,58.285714285714285,239,5,8,-0.8263541987239094,-0.5631507242749187,58.357142857142854,58.785714285714285,59.43545454545455,48.13636363636363,59.05339610389611,True,True
