pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_5L/桶,prodPcat_食用油
2022-07-31,74.5,212,6,7,-0.4862727071086902,-0.8738071036110807,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-01,74.5,213,0,8,-0.5012418134457756,-0.8653072543632061,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-02,74.5,214,1,8,-0.5160623910158526,-0.8565509959010037,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-03,74.5,215,2,8,-0.5307300481619331,-0.8475409228928312,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-04,74.5,216,3,8,-0.5452404385406507,-0.8382797052177745,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-05,74.5,217,4,8,-0.5595892624101763,-0.828770087174504,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-06,74.5,218,5,8,-0.5737722679043243,-0.8190148866680802,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-07,74.5,219,6,8,-0.5877852522924734,-0.8090169943749472,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-08,74.5,220,0,8,-0.6016240632249227,-0.7987793728863648,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-09,74.5,221,1,8,-0.6152845999633277,-0.7883050558305253,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-10,74.5,222,2,8,-0.6287628145958345,-0.7775971469736268,74.5,74.5,74.5,66.5,74.5,True,True
2022-08-11,74.5,223,3,8,-0.6420547132365636,-0.7666588193001592,74.5,74.5,74.5,66.54761904761905,74.5,True,True
2022-08-12,74.5,224,4,8,-0.655156357209085,-0.7554933140726804,74.5,74.5,74.5,66.5952380952381,74.5,True,True
2022-08-13,74.5,225,5,8,-0.6680638642135333,-0.7441039398713608,74.5,74.5,74.5,66.64285714285714,74.5,True,True
2022-08-14,74.5,226,6,8,-0.6807734094770159,-0.7324940716135792,74.5,74.5,74.5,66.69047619047619,74.5,True,True
2022-08-15,74.5,227,0,8,-0.6932812268869771,-0.7206671495538615,74.5,74.5,74.5,66.73809523809524,74.5,True,True
2022-08-16,74.5,228,1,8,-0.7055836101071774,-0.70862667826446,74.5,74.5,74.5,66.78571428571429,74.5,True,True
2022-08-17,74.5,229,2,8,-0.7176769136759615,-0.6963762255968726,74.5,74.5,74.5,66.83333333333333,74.5,True,True
2022-08-18,74.5,230,3,8,-0.7295575540864876,-0.6839194216246105,74.5,74.5,74.5,66.88095238095238,74.5,True,True
2022-08-19,74.5,231,4,8,-0.7412220108485957,-0.6712599575675315,74.5,74.5,74.5,66.92857142857143,74.5,True,True
2022-08-20,74.5,232,5,8,-0.7526668275320083,-0.6584015846980489,74.5,74.5,74.5,66.97619047619048,74.5,True,True
2022-08-21,74.5,233,6,8,-0.7638886127905429,-0.64534811322955,74.5,74.5,74.5,67.02380952380952,74.5,True,True
2022-08-22,74.5,234,0,8,-0.7748840413670406,-0.6321034111873488,74.5,74.5,74.5,67.07142857142857,74.5,True,True
2022-08-23,74.5,235,1,8,-0.7856498550787144,-0.6186714032625032,74.5,74.5,74.5,67.11904761904762,74.5,True,True
2022-08-24,74.5,236,2,8,-0.7961828637826154,-0.6050560696488494,74.5,74.5,74.5,67.16666666666667,74.5,True,True
2022-08-25,74.5,237,3,8,-0.8064799463209447,-0.5912614448635782,74.5,74.5,74.5,67.21428571428571,74.5,True,True
2022-08-26,74.5,238,4,8,-0.8165380514459157,-0.5772916165517278,74.5,74.5,74.5,67.26190476190476,74.5,True,True
2022-08-27,74.5,239,5,8,-0.8263541987239094,-0.5631507242749187,74.5,74.5,74.5,67.30952380952381,74.5,True,True
2022-08-28,74.5,240,6,8,-0.8359254794186365,-0.5488429582847199,74.5,74.5,74.5,67.35714285714286,74.5,True,True
