pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,2.75,202,3,7,-0.3294084822245302,-0.9441875088341994,2.75,2.75,1.75,1.75,2.375,True,True
2022-07-22,2.75,203,4,7,-0.3456123126707333,-0.9383773917408642,2.75,2.625,1.75,1.75,2.408333333333333,True,True
2022-07-23,2.75,204,5,7,-0.3617137307297674,-0.9322892131745134,2.75,2.5,1.75,1.75,2.441666666666667,True,True
2022-07-24,2.75,205,6,7,-0.37770796520396466,-0.9259247771938499,2.75,2.375,1.75,1.75,2.475,True,True
2022-07-25,2.75,206,0,7,-0.39359027665646645,-0.9192859697186105,2.75,2.25,1.75,1.75,2.5083333333333333,True,True
2022-07-26,2.75,207,1,7,-0.4093559588156211,-0.9123747579707274,2.75,2.75,1.75,1.75,2.5416666666666665,True,True
2022-07-27,3.125,208,2,7,-0.42500033996955394,-0.9051931898913975,2.75,2.75,1.75,1.75,2.5875,True,True
2022-07-28,3.5,209,3,7,-0.4405187843504952,-0.8977433935342336,3.125,2.75,1.75,1.75,2.6458333333333335,True,True
2022-07-29,3.25,210,4,7,-0.455906693508459,-0.8900275764346766,3.5,2.75,1.75,2.0,2.6958333333333333,True,True
2022-07-30,3.25,211,5,7,-0.47115950767386394,-0.8820480249558535,3.25,2.75,1.75,2.0,2.745833333333333,True,True
2022-07-31,3.25,212,6,7,-0.4862727071086902,-0.8738071036110807,3.25,2.75,1.75,2.0,2.7958333333333334,True,True
2022-08-01,3.25,213,0,8,-0.5012418134457756,-0.8653072543632061,3.25,2.75,2.0833333333333335,2.0,2.8347222222222226,True,True
2022-08-02,3.25,214,1,8,-0.5160623910158526,-0.8565509959010037,3.25,2.75,2.4166666666666665,2.0,2.8625,True,True
2022-08-03,3.25,215,2,8,-0.5307300481619331,-0.8475409228928312,3.25,3.125,2.75,2.0,2.879166666666667,True,True
2022-08-04,3.25,216,3,8,-0.5452404385406507,-0.8382797052177745,3.25,3.5,2.75,2.0,2.8958333333333335,True,True
2022-08-05,3.25,217,4,8,-0.5595892624101763,-0.828770087174504,3.25,3.25,2.75,2.0,2.9125,True,True
2022-08-06,3.3333333333333335,218,5,8,-0.5737722679043243,-0.8190148866680802,3.25,3.25,2.75,2.0,2.9319444444444445,True,True
2022-08-07,3.4166666666666665,219,6,8,-0.5877852522924734,-0.8090169943749472,3.3333333333333335,3.25,2.75,2.0,2.9541666666666666,True,True
2022-08-08,3.5,220,0,8,-0.6016240632249227,-0.7987793728863648,3.4166666666666665,3.25,2.75,2.0,2.9791666666666665,True,True
2022-08-09,3.5,221,1,8,-0.6152845999633277,-0.7883050558305253,3.5,3.25,2.75,2.0,3.004166666666667,True,True
2022-08-10,3.5,222,2,8,-0.6287628145958345,-0.7775971469736268,3.5,3.25,2.75,2.125,3.029166666666667,True,True
2022-08-11,3.5,223,3,8,-0.6420547132365636,-0.7666588193001592,3.5,3.25,3.25,2.25,3.0375,True,True
2022-08-12,3.5,224,4,8,-0.655156357209085,-0.7554933140726804,3.5,3.25,3.25,2.25,3.0458333333333334,True,True
2022-08-13,3.5,225,5,8,-0.6680638642135333,-0.7441039398713608,3.5,3.3333333333333335,2.75,1.75,3.0708333333333333,True,True
2022-08-14,3.5,226,6,8,-0.6807734094770159,-0.7324940716135792,3.5,3.4166666666666665,2.625,1.75,3.1,True,True
2022-08-15,3.5,227,0,8,-0.6932812268869771,-0.7206671495538615,3.5,3.5,2.5,1.75,3.1333333333333333,True,True
2022-08-16,3.5,228,1,8,-0.7055836101071774,-0.70862667826446,3.5,3.5,2.375,1.75,3.1708333333333334,True,True
2022-08-17,3.5,229,2,8,-0.7176769136759615,-0.6963762255968726,3.5,3.5,2.25,1.75,3.2125,True,True
2022-08-18,3.5,230,3,8,-0.7295575540864876,-0.6839194216246105,3.5,3.5,2.75,1.75,3.2375,True,True
2022-08-19,4.25,231,4,8,-0.7412220108485957,-0.6712599575675315,3.5,3.5,2.75,1.75,3.2875,True,True
2022-08-20,4.25,232,5,8,-0.7526668275320083,-0.6584015846980489,4.25,3.5,2.75,1.75,3.3375,True,True
2022-08-21,4.25,233,6,8,-0.7638886127905429,-0.64534811322955,4.25,3.5,2.75,1.75,3.3875,True,True
2022-08-22,4.25,234,0,8,-0.7748840413670406,-0.6321034111873488,4.25,3.5,2.75,1.75,3.4375,True,True
2022-08-23,4.25,235,1,8,-0.7856498550787144,-0.6186714032625032,4.25,3.5,2.75,1.75,3.4875,True,True
2022-08-24,3.25,236,2,8,-0.7961828637826154,-0.6050560696488494,4.25,3.5,2.75,1.75,3.504166666666667,True,True
2022-08-25,3.25,237,3,8,-0.8064799463209447,-0.5912614448635782,3.25,3.5,2.75,2.0,3.5208333333333335,True,True
2022-08-26,3.25,238,4,8,-0.8165380514459157,-0.5772916165517278,3.25,4.25,3.125,2.0,3.525,True,True
2022-08-27,3.3125,239,5,8,-0.8263541987239094,-0.5631507242749187,3.25,4.25,3.5,2.0,3.51875,True,True
2022-08-28,3.375,240,6,8,-0.8359254794186365,-0.5488429582847199,3.3125,4.25,3.25,2.0,3.5229166666666667,True,True
2022-08-29,3.4375,241,0,8,-0.8452490573530634,-0.5343725582809785,3.375,4.25,3.25,2.0,3.529166666666667,True,True
2022-08-30,3.5,242,1,8,-0.8543221697498269,-0.5197438121555157,3.4375,4.25,3.25,2.0,3.5375,True,True
2022-08-31,4.0,243,2,8,-0.8631421280499115,-0.5049610547215202,3.5,3.25,3.25,2.0,3.5625,True,True
2022-09-01,4.0,244,3,9,-0.8717063187093217,-0.4900286664290594,4.0,3.25,3.25,1.75,3.5875,True,True
2022-09-02,4.0,245,4,9,-0.8800122039735356,-0.4749510720670502,4.0,3.25,3.25,1.75,3.6125,True,True
2022-09-03,4.0,246,5,9,-0.888057322629493,-0.4597327394521046,4.0,3.3125,3.25,1.75,3.6375,True,True
2022-09-04,4.0,247,6,9,-0.8958392907349089,-0.4443781781046134,4.0,3.375,3.25,2.25,3.6625,True,True
2022-09-05,4.0,248,0,9,-0.9033558023246842,-0.4288919379124841,4.0,3.4375,3.3333333333333335,2.75,3.6847222222222222,True,True
2022-09-06,4.0,249,1,9,-0.9106046300942162,-0.41327860778290443,4.0,3.5,3.4166666666666665,3.25,3.7041666666666666,True,True
2022-09-07,4.0,250,2,9,-0.9175836260593934,-0.3975428142825566,4.0,4.0,3.5,2.75,3.720833333333333,True,True
2022-09-08,4.0,251,3,9,-0.9242907221930934,-0.3816892202666586,4.0,4.0,3.5,2.75,3.7375,True,True
2022-09-09,4.0,252,4,9,-0.9307239310379793,-0.3657225234972692,4.0,4.0,3.5,2.75,3.754166666666667,True,True
2022-09-10,4.0,253,5,9,-0.9368813462954315,-0.34964745525122826,4.0,4.0,3.5,2.25,3.7708333333333335,True,True
