pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_干果,prodPcat_杂粮类
2022-07-20,5.75,201,2,7,-0.3131070409358267,-0.9497178427914317,5.75,5.75,5.75,5.5,5.75,True,True,False
2022-07-20,4.75,201,2,7,-0.3131070409358267,-0.9497178427914317,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-21,5.818181818181818,202,3,7,-0.3294084822245302,-0.9441875088341994,5.75,5.75,5.75,5.5,5.752272727272727,True,True,False
2022-07-21,4.75,202,3,7,-0.3294084822245302,-0.9441875088341994,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-22,5.886363636363637,203,4,7,-0.3456123126707333,-0.9383773917408642,5.818181818181818,5.75,5.75,5.5,5.756818181818182,True,True,False
2022-07-22,4.75,203,4,7,-0.3456123126707333,-0.9383773917408642,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-23,5.954545454545454,204,5,7,-0.3617137307297674,-0.9322892131745134,5.886363636363637,5.75,5.75,5.5,5.763636363636364,True,True,False
2022-07-23,4.75,204,5,7,-0.3617137307297674,-0.9322892131745134,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-24,6.0227272727272725,205,6,7,-0.37770796520396466,-0.9259247771938499,5.954545454545454,5.75,5.75,5.5,5.7727272727272725,True,True,False
2022-07-24,4.75,205,6,7,-0.37770796520396466,-0.9259247771938499,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-25,4.75,206,0,7,-0.39359027665646645,-0.9192859697186105,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-25,6.090909090909091,206,0,7,-0.39359027665646645,-0.9192859697186105,6.0227272727272725,5.75,5.75,5.5,5.784090909090909,True,True,False
2022-07-26,6.159090909090909,207,1,7,-0.4093559588156211,-0.9123747579707274,6.090909090909091,5.75,5.75,5.5,5.797727272727273,True,True,False
2022-07-26,4.75,207,1,7,-0.4093559588156211,-0.9123747579707274,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-27,4.75,208,2,7,-0.42500033996955394,-0.9051931898913975,4.75,4.75,4.75,4.75,4.75,True,False,True
2022-07-27,6.2272727272727275,208,2,7,-0.42500033996955394,-0.9051931898913975,6.159090909090909,5.75,5.75,5.5,5.8136363636363635,True,True,False
2022-07-28,4.75,209,3,7,-0.4405187843504952,-0.8977433935342336,4.75,4.75,4.75,4.75,4.75,True,False,True
