pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-31,11.5,212,6,7,-0.4862727071086902,-0.8738071036110807,11.545454545454545,11.818181818181818,11.5,8.5,11.675,True,True
2022-08-01,11.75,213,0,8,-0.5012418134457756,-0.8653072543632061,11.5,11.772727272727273,11.5,8.6,11.683333333333334,True,True
2022-08-02,12.0,214,1,8,-0.5160623910158526,-0.8565509959010037,11.75,11.727272727272727,11.5,8.7,11.7,True,True
2022-08-03,12.25,215,2,8,-0.5307300481619331,-0.8475409228928312,12.0,11.681818181818182,11.5,8.8,11.725,True,True
2022-08-04,12.5,216,3,8,-0.5452404385406507,-0.8382797052177745,12.25,11.636363636363637,11.5,8.9,11.758333333333333,True,True
2022-08-05,12.75,217,4,8,-0.5595892624101763,-0.828770087174504,12.5,11.590909090909092,11.5,9.0,11.8,True,True
2022-08-06,13.0,218,5,8,-0.5737722679043243,-0.8190148866680802,12.75,11.545454545454545,11.5,9.1,11.85,True,True
2022-08-07,13.25,219,6,8,-0.5877852522924734,-0.8090169943749472,13.0,11.5,11.5,9.2,11.908333333333333,True,True
2022-08-08,13.5,220,0,8,-0.6016240632249227,-0.7987793728863648,13.25,11.75,11.5,9.3,11.975,True,True
2022-08-09,13.75,221,1,8,-0.6152845999633277,-0.7883050558305253,13.5,12.0,11.5,9.4,12.05,True,True
2022-08-10,14.0,222,2,8,-0.6287628145958345,-0.7775971469736268,13.75,12.25,11.55,9.5,12.131666666666666,True,True
2022-08-11,14.05,223,3,8,-0.6420547132365636,-0.7666588193001592,14.0,12.5,11.6,9.5,12.213333333333335,True,True
2022-08-12,14.1,224,4,8,-0.655156357209085,-0.7554933140726804,14.05,12.75,11.65,9.5,12.294999999999998,True,True
2022-08-13,14.15,225,5,8,-0.6680638642135333,-0.7441039398713608,14.1,13.0,11.7,9.5,12.376666666666667,True,True
2022-08-14,14.2,226,6,8,-0.6807734094770159,-0.7324940716135792,14.15,13.25,11.75,9.5,12.458333333333334,True,True
2022-08-15,14.25,227,0,8,-0.6932812268869771,-0.7206671495538615,14.2,13.5,11.8,9.5,12.54,True,True
2022-08-16,14.3,228,1,8,-0.7055836101071774,-0.70862667826446,14.25,13.75,11.85,9.5,12.621666666666668,True,True
2022-08-17,14.35,229,2,8,-0.7176769136759615,-0.6963762255968726,14.3,14.0,11.9,9.5,12.703333333333331,True,True
2022-08-18,14.4,230,3,8,-0.7295575540864876,-0.6839194216246105,14.35,14.05,11.95,9.5,12.785,True,True
2022-08-19,14.45,231,4,8,-0.7412220108485957,-0.6712599575675315,14.4,14.1,12.0,9.5,12.866666666666667,True,True
2022-08-20,14.5,232,5,8,-0.7526668275320083,-0.6584015846980489,14.45,14.15,11.954545454545455,9.5,12.951515151515151,True,True
2022-08-21,14.5,233,6,8,-0.7638886127905429,-0.64534811322955,14.5,14.2,11.909090909090908,9.5,13.037878787878787,True,True
