pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,42.5,201,2,7,-0.3131070409358267,-0.9497178427914317,42.15,40.05,25.5,16.5,33.11666666666667,True,True
2022-07-21,44.13636363636363,202,3,7,-0.3294084822245302,-0.9441875088341994,42.5,40.4,25.5,16.5,33.737878787878785,True,True
2022-07-22,45.77272727272727,203,4,7,-0.3456123126707333,-0.9383773917408642,44.13636363636363,40.75,25.5,16.5,34.413636363636364,True,True
2022-07-23,47.40909090909091,204,5,7,-0.3617137307297674,-0.9322892131745134,45.77272727272727,41.1,25.5,16.5,35.14393939393939,True,True
2022-07-24,49.04545454545455,205,6,7,-0.37770796520396466,-0.9259247771938499,47.40909090909091,41.45,25.5,16.5,35.92878787878788,True,True
2022-07-25,50.68181818181818,206,0,7,-0.39359027665646645,-0.9192859697186105,49.04545454545455,41.8,25.5,16.5,36.768181818181816,True,True
2022-07-26,52.31818181818182,207,1,7,-0.4093559588156211,-0.9123747579707274,50.68181818181818,42.15,25.5,16.5,37.662121212121214,True,True
2022-07-27,53.95454545454545,208,2,7,-0.42500033996955394,-0.9051931898913975,52.31818181818182,42.5,25.5,16.5,38.61060606060606,True,True
2022-07-28,55.59090909090909,209,3,7,-0.4405187843504952,-0.8977433935342336,53.95454545454545,44.13636363636363,25.5,16.5,39.61363636363637,True,True
2022-07-29,57.22727272727273,210,4,7,-0.455906693508459,-0.8900275764346766,55.59090909090909,45.77272727272727,25.5,16.5,40.67121212121212,True,True
2022-07-30,58.86363636363636,211,5,7,-0.47115950767386394,-0.8820480249558535,57.22727272727273,47.40909090909091,25.5,16.5,41.78333333333333,True,True
2022-07-31,60.5,212,6,7,-0.4862727071086902,-0.8738071036110807,58.86363636363636,49.04545454545455,26.85,16.5,42.905,True,True
2022-08-01,61.5,213,0,8,-0.5012418134457756,-0.8653072543632061,60.5,50.68181818181818,28.2,16.5,44.015,True,True
2022-08-02,62.5,214,1,8,-0.5160623910158526,-0.8565509959010037,61.5,52.31818181818182,29.55,16.5,45.11333333333334,True,True
2022-08-03,63.5,215,2,8,-0.5307300481619331,-0.8475409228928312,62.5,53.95454545454545,30.9,16.5,46.2,True,True
2022-08-04,64.5,216,3,8,-0.5452404385406507,-0.8382797052177745,63.5,55.59090909090909,32.25,16.5,47.275,True,True
2022-08-05,65.5,217,4,8,-0.5595892624101763,-0.828770087174504,64.5,57.22727272727273,33.6,16.5,48.33833333333334,True,True
2022-08-06,66.5,218,5,8,-0.5737722679043243,-0.8190148866680802,65.5,58.86363636363636,34.95,16.5,49.39,True,True
2022-08-07,67.5,219,6,8,-0.5877852522924734,-0.8090169943749472,66.5,60.5,36.3,16.5,50.43,True,True
2022-08-08,68.5,220,0,8,-0.6016240632249227,-0.7987793728863648,67.5,61.5,37.65,16.5,51.458333333333336,True,True
2022-08-09,69.5,221,1,8,-0.6152845999633277,-0.7883050558305253,68.5,62.5,39.0,16.5,52.475,True,True
2022-08-10,70.5,222,2,8,-0.6287628145958345,-0.7775971469736268,69.5,63.5,39.35,16.5,53.513333333333335,True,True
2022-08-11,71.5,223,3,8,-0.6420547132365636,-0.7666588193001592,70.5,64.5,39.7,16.5,54.57333333333334,True,True
2022-08-12,72.5,224,4,8,-0.655156357209085,-0.7554933140726804,71.5,65.5,40.05,16.5,55.655,True,True
2022-08-13,73.5,225,5,8,-0.6680638642135333,-0.7441039398713608,72.5,66.5,40.4,16.5,56.75833333333333,True,True
2022-08-14,74.5,226,6,8,-0.6807734094770159,-0.7324940716135792,73.5,67.5,40.75,16.5,57.88333333333333,True,True
2022-08-15,75.5,227,0,8,-0.6932812268869771,-0.7206671495538615,74.5,68.5,41.1,16.5,59.03,True,True
2022-08-16,76.5,228,1,8,-0.7055836101071774,-0.70862667826446,75.5,69.5,41.45,16.5,60.19833333333334,True,True
2022-08-17,77.5,229,2,8,-0.7176769136759615,-0.6963762255968726,76.5,70.5,41.8,16.5,61.388333333333335,True,True
2022-08-18,78.5,230,3,8,-0.7295575540864876,-0.6839194216246105,77.5,71.5,42.15,16.5,62.6,True,True
2022-08-19,79.5,231,4,8,-0.7412220108485957,-0.6712599575675315,78.5,72.5,42.5,16.5,63.833333333333336,True,True
2022-08-20,80.5,232,5,8,-0.7526668275320083,-0.6584015846980489,79.5,73.5,44.13636363636363,16.5,65.04545454545455,True,True
2022-08-21,80.5,233,6,8,-0.7638886127905429,-0.64534811322955,80.5,74.5,45.77272727272727,16.59090909090909,66.2030303030303,True,True
2022-08-22,80.5,234,0,8,-0.7748840413670406,-0.6321034111873488,80.5,75.5,47.40909090909091,16.681818181818183,67.30606060606061,True,True
2022-08-23,80.5,235,1,8,-0.7856498550787144,-0.6186714032625032,80.5,76.5,49.04545454545455,16.772727272727273,68.35454545454544,True,True
2022-08-24,80.5,236,2,8,-0.7961828637826154,-0.6050560696488494,80.5,77.5,50.68181818181818,16.863636363636363,69.34848484848484,True,True
2022-08-25,80.5,237,3,8,-0.8064799463209447,-0.5912614448635782,80.5,78.5,52.31818181818182,16.954545454545453,70.28787878787878,True,True
2022-08-26,80.5,238,4,8,-0.8165380514459157,-0.5772916165517278,80.5,79.5,53.95454545454545,17.045454545454547,71.17272727272727,True,True
2022-08-27,80.5,239,5,8,-0.8263541987239094,-0.5631507242749187,80.5,80.5,55.59090909090909,17.136363636363637,72.0030303030303,True,True
2022-08-28,80.5,240,6,8,-0.8359254794186365,-0.5488429582847199,80.5,80.5,57.22727272727273,17.227272727272727,72.77878787878788,True,True
2022-08-29,80.5,241,0,8,-0.8452490573530634,-0.5343725582809785,80.5,80.5,58.86363636363636,17.318181818181817,73.5,True,True
2022-08-30,80.5,242,1,8,-0.8543221697498269,-0.5197438121555157,80.5,80.5,60.5,17.40909090909091,74.16666666666667,True,True
2022-08-31,80.5,243,2,8,-0.8631421280499115,-0.5049610547215202,80.5,80.5,61.5,17.5,74.8,True,True
2022-09-01,80.5,244,3,9,-0.8717063187093217,-0.4900286664290594,80.5,80.5,62.5,17.75,75.4,True,True
2022-09-02,80.5,245,4,9,-0.8800122039735356,-0.4749510720670502,80.5,80.5,63.5,18.0,75.96666666666667,True,True
2022-09-03,80.5,246,5,9,-0.888057322629493,-0.4597327394521046,80.5,80.5,64.5,18.25,76.5,True,True
2022-09-04,80.5,247,6,9,-0.8958392907349089,-0.4443781781046134,80.5,80.5,65.5,18.5,77.0,True,True
2022-09-05,80.5,248,0,9,-0.9033558023246842,-0.4288919379124841,80.5,80.5,66.5,18.75,77.46666666666667,True,True
2022-09-06,80.5,249,1,9,-0.9106046300942162,-0.41327860778290443,80.5,80.5,67.5,19.0,77.9,True,True
2022-09-07,80.5,250,2,9,-0.9175836260593934,-0.3975428142825566,80.5,80.5,68.5,19.25,78.3,True,True
2022-09-08,80.5,251,3,9,-0.9242907221930934,-0.3816892202666586,80.5,80.5,69.5,19.5,78.66666666666667,True,True
2022-09-09,80.5,252,4,9,-0.9307239310379793,-0.3657225234972692,80.5,80.5,70.5,19.75,79.0,True,True
2022-09-10,80.5,253,5,9,-0.9368813462954315,-0.34964745525122826,80.5,80.5,71.5,20.0,79.3,True,True
2022-09-11,79.5,254,6,9,-0.9427611433904206,-0.33346877891818705,80.5,80.5,72.5,20.25,79.53333333333333,True,True
2022-09-12,78.5,255,0,9,-0.9483615800121716,-0.31719128858910595,79.5,80.5,73.5,20.5,79.7,True,True
2022-09-13,77.5,256,1,9,-0.9536809966304455,-0.300819807635668,78.5,80.5,74.5,20.75,79.8,True,True
