pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,3.5,202,3,7,-0.3294084822245302,-0.9441875088341994,3.5,4.25,1.75,2.75,3.283333333333333,True,True
2022-07-22,3.5,203,4,7,-0.3456123126707333,-0.9383773917408642,3.5,4.25,1.75,2.75,3.341666666666667,True,True
2022-07-23,3.4375,204,5,7,-0.3617137307297674,-0.9322892131745134,3.5,3.9166666666666665,2.25,2.5,3.38125,True,True
2022-07-24,3.375,205,6,7,-0.37770796520396466,-0.9259247771938499,3.4375,3.5833333333333335,2.25,3.0,3.41875,True,True
2022-07-25,3.3125,206,0,7,-0.39359027665646645,-0.9192859697186105,3.375,3.25,2.3333333333333335,3.5,3.451388888888889,True,True
2022-07-26,3.25,207,1,7,-0.4093559588156211,-0.9123747579707274,3.3125,3.5,2.4166666666666665,4.0,3.4791666666666665,True,True
2022-07-27,3.25,208,2,7,-0.42500033996955394,-0.9051931898913975,3.25,3.5,2.5,3.5,3.504166666666667,True,True
2022-07-28,2.25,209,3,7,-0.4405187843504952,-0.8977433935342336,3.25,3.5,3.0,3.5,3.4791666666666665,True,True
2022-07-29,2.25,210,4,7,-0.455906693508459,-0.8900275764346766,2.25,3.5,3.0,4.0,3.4541666666666666,True,True
2022-07-30,2.25,211,5,7,-0.47115950767386394,-0.8820480249558535,2.25,3.4375,2.5,4.25,3.4458333333333333,True,True
2022-07-31,2.25,212,6,7,-0.4862727071086902,-0.8738071036110807,2.25,3.375,2.75,4.25,3.4291666666666667,True,True
2022-08-01,2.25,213,0,8,-0.5012418134457756,-0.8653072543632061,2.25,3.3125,3.0,4.25,3.404166666666667,True,True
2022-08-02,2.25,214,1,8,-0.5160623910158526,-0.8565509959010037,2.25,3.25,3.25,4.25,3.370833333333333,True,True
2022-08-03,2.25,215,2,8,-0.5307300481619331,-0.8475409228928312,2.25,3.25,3.5,5.0,3.3291666666666666,True,True
2022-08-04,2.25,216,3,8,-0.5452404385406507,-0.8382797052177745,2.25,2.25,3.5,4.25,3.2875,True,True
2022-08-05,2.25,217,4,8,-0.5595892624101763,-0.828770087174504,2.25,2.25,3.5,4.25,3.245833333333333,True,True
2022-08-06,2.25,218,5,8,-0.5737722679043243,-0.8190148866680802,2.25,2.25,3.5,4.0,3.2041666666666666,True,True
2022-08-07,2.25,219,6,8,-0.5877852522924734,-0.8090169943749472,2.25,2.25,3.75,3.875,3.154166666666667,True,True
2022-08-08,2.25,220,0,8,-0.6016240632249227,-0.7987793728863648,2.25,2.25,3.75,3.75,3.1041666666666665,True,True
2022-08-09,2.25,221,1,8,-0.6152845999633277,-0.7883050558305253,2.25,2.25,3.75,3.625,3.0541666666666667,True,True
2022-08-10,2.25,222,2,8,-0.6287628145958345,-0.7775971469736268,2.25,2.25,3.75,3.5,3.004166666666667,True,True
2022-08-11,2.25,223,3,8,-0.6420547132365636,-0.7666588193001592,2.25,2.25,4.5,3.5,2.9291666666666667,True,True
2022-08-12,2.25,224,4,8,-0.655156357209085,-0.7554933140726804,2.25,2.25,4.25,3.5,2.8625,True,True
2022-08-13,2.8333333333333335,225,5,8,-0.6680638642135333,-0.7441039398713608,2.25,2.25,4.25,3.5,2.8152777777777778,True,True
2022-08-14,3.416666666666667,226,6,8,-0.6807734094770159,-0.7324940716135792,2.8333333333333335,2.25,4.25,3.3333333333333335,2.7875,True,True
2022-08-15,4.0,227,0,8,-0.6932812268869771,-0.7206671495538615,3.416666666666667,2.25,3.9166666666666665,3.1666666666666665,2.7902777777777783,True,True
2022-08-16,4.0,228,1,8,-0.7055836101071774,-0.70862667826446,4.0,2.25,3.5833333333333335,3.0,2.8041666666666667,True,True
2022-08-17,4.0,229,2,8,-0.7176769136759615,-0.6963762255968726,4.0,2.25,3.25,3.0,2.8291666666666666,True,True
2022-08-18,4.0,230,3,8,-0.7295575540864876,-0.6839194216246105,4.0,2.25,3.5,2.75,2.845833333333333,True,True
2022-08-19,3.25,231,4,8,-0.7412220108485957,-0.6712599575675315,4.0,2.25,3.5,2.5,2.8375,True,True
2022-08-20,3.9166666666666665,232,5,8,-0.7526668275320083,-0.6584015846980489,3.25,2.8333333333333335,3.5,2.25,2.8513888888888888,True,True
2022-08-21,4.583333333333333,233,6,8,-0.7638886127905429,-0.64534811322955,3.9166666666666665,3.416666666666667,3.5,2.25,2.8875,True,True
2022-08-22,5.25,234,0,8,-0.7748840413670406,-0.6321034111873488,4.583333333333333,4.0,3.4375,2.25,2.9479166666666665,True,True
2022-08-23,5.25,235,1,8,-0.7856498550787144,-0.6186714032625032,5.25,4.0,3.375,2.25,3.0104166666666665,True,True
2022-08-24,4.25,236,2,8,-0.7961828637826154,-0.6050560696488494,5.25,4.0,3.3125,2.25,3.0416666666666665,True,True
2022-08-25,5.5,237,3,8,-0.8064799463209447,-0.5912614448635782,4.25,4.0,3.25,2.25,3.1166666666666667,True,True
2022-08-26,5.5,238,4,8,-0.8165380514459157,-0.5772916165517278,5.5,3.25,3.25,2.25,3.191666666666667,True,True
2022-08-27,5.5,239,5,8,-0.8263541987239094,-0.5631507242749187,5.5,3.9166666666666665,2.25,2.25,3.3,True,True
2022-08-28,5.5,240,6,8,-0.8359254794186365,-0.5488429582847199,5.5,4.583333333333333,2.25,2.5,3.408333333333333,True,True
2022-08-29,5.5,241,0,8,-0.8452490573530634,-0.5343725582809785,5.5,5.25,2.25,2.75,3.5166666666666666,True,True
2022-08-30,5.0,242,1,8,-0.8543221697498269,-0.5197438121555157,5.5,5.25,2.25,3.0,3.6083333333333334,True,True
2022-08-31,5.0,243,2,8,-0.8631421280499115,-0.5049610547215202,5.0,4.25,2.25,3.0,3.7,True,True
2022-09-01,3.5,244,3,9,-0.8717063187093217,-0.4900286664290594,5.0,5.5,2.25,3.5,3.7416666666666667,True,True
2022-09-02,3.5,245,4,9,-0.8800122039735356,-0.4749510720670502,3.5,5.5,2.25,3.5,3.783333333333333,True,True
2022-09-03,3.5,246,5,9,-0.888057322629493,-0.4597327394521046,3.5,5.5,2.25,3.25,3.825,True,True
2022-09-04,3.5,247,6,9,-0.8958392907349089,-0.4443781781046134,3.5,5.5,2.25,3.3333333333333335,3.8666666666666667,True,True
2022-09-05,3.5,248,0,9,-0.9033558023246842,-0.4288919379124841,3.5,5.5,2.25,3.4166666666666665,3.908333333333333,True,True
