pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,14.5,201,2,7,-0.3131070409358267,-0.9497178427914317,14.3,13.1,11.833333333333334,8.5,12.766666666666667,True,True
2022-07-21,14.568181818181818,202,3,7,-0.3294084822245302,-0.9441875088341994,14.5,13.3,11.9,8.5,12.85560606060606,True,True
2022-07-22,14.636363636363637,203,4,7,-0.3456123126707333,-0.9383773917408642,14.568181818181818,13.5,11.966666666666667,8.5,12.94459595959596,True,True
2022-07-23,14.704545454545455,204,5,7,-0.3617137307297674,-0.9322892131745134,14.636363636363637,13.7,12.033333333333333,8.5,13.033636363636365,True,True
2022-07-24,14.772727272727273,205,6,7,-0.37770796520396466,-0.9259247771938499,14.704545454545455,13.9,12.1,8.5,13.122727272727273,True,True
2022-07-25,14.840909090909092,206,0,7,-0.39359027665646645,-0.9192859697186105,14.772727272727273,14.1,12.166666666666666,8.5,13.211868686868685,True,True
2022-07-26,14.909090909090908,207,1,7,-0.4093559588156211,-0.9123747579707274,14.840909090909092,14.3,12.233333333333334,8.5,13.301060606060608,True,True
2022-07-27,14.977272727272727,208,2,7,-0.42500033996955394,-0.9051931898913975,14.909090909090908,14.5,12.3,8.5,13.390303030303032,True,True
2022-07-28,15.045454545454545,209,3,7,-0.4405187843504952,-0.8977433935342336,14.977272727272727,14.568181818181818,12.366666666666667,8.5,13.47959595959596,True,True
2022-07-29,15.113636363636363,210,4,7,-0.455906693508459,-0.8900275764346766,15.045454545454545,14.636363636363637,12.433333333333334,8.5,13.568939393939393,True,True
2022-07-30,15.181818181818182,211,5,7,-0.47115950767386394,-0.8820480249558535,15.113636363636363,14.704545454545455,12.5,8.5,13.658333333333333,True,True
2022-07-31,15.25,212,6,7,-0.4862727071086902,-0.8738071036110807,15.181818181818182,14.772727272727273,12.5,8.5,13.75,True,True
2022-08-01,15.25,213,0,8,-0.5012418134457756,-0.8653072543632061,15.25,14.840909090909092,12.5,8.6,13.841666666666667,True,True
2022-08-02,15.25,214,1,8,-0.5160623910158526,-0.8565509959010037,15.25,14.909090909090908,12.5,8.7,13.933333333333334,True,True
2022-08-03,15.25,215,2,8,-0.5307300481619331,-0.8475409228928312,15.25,14.977272727272727,12.5,8.8,14.025,True,True
2022-08-04,15.25,216,3,8,-0.5452404385406507,-0.8382797052177745,15.25,15.045454545454545,12.5,8.9,14.116666666666667,True,True
2022-08-05,15.25,217,4,8,-0.5595892624101763,-0.828770087174504,15.25,15.113636363636363,12.5,9.0,14.208333333333334,True,True
2022-08-06,15.25,218,5,8,-0.5737722679043243,-0.8190148866680802,15.25,15.181818181818182,12.5,9.1,14.3,True,True
2022-08-07,15.25,219,6,8,-0.5877852522924734,-0.8090169943749472,15.25,15.25,12.5,9.2,14.391666666666667,True,True
2022-08-08,15.25,220,0,8,-0.6016240632249227,-0.7987793728863648,15.25,15.25,12.5,9.3,14.483333333333333,True,True
2022-08-09,15.25,221,1,8,-0.6152845999633277,-0.7883050558305253,15.25,15.25,12.5,9.4,14.575,True,True
2022-08-10,15.25,222,2,8,-0.6287628145958345,-0.7775971469736268,15.25,15.25,12.7,9.5,14.66,True,True
2022-08-11,15.25,223,3,8,-0.6420547132365636,-0.7666588193001592,15.25,15.25,12.9,9.5,14.738333333333333,True,True
2022-08-12,15.25,224,4,8,-0.655156357209085,-0.7554933140726804,15.25,15.25,13.1,9.5,14.81,True,True
2022-08-13,15.25,225,5,8,-0.6680638642135333,-0.7441039398713608,15.25,15.25,13.3,9.5,14.875,True,True
2022-08-14,15.25,226,6,8,-0.6807734094770159,-0.7324940716135792,15.25,15.25,13.5,9.5,14.933333333333334,True,True
2022-08-15,15.25,227,0,8,-0.6932812268869771,-0.7206671495538615,15.25,15.25,13.7,9.5,14.985000000000001,True,True
2022-08-16,15.25,228,1,8,-0.7055836101071774,-0.70862667826446,15.25,15.25,13.9,9.5,15.03,True,True
2022-08-17,15.25,229,2,8,-0.7176769136759615,-0.6963762255968726,15.25,15.25,14.1,9.5,15.068333333333333,True,True
2022-08-18,15.25,230,3,8,-0.7295575540864876,-0.6839194216246105,15.25,15.25,14.3,9.5,15.1,True,True
2022-08-19,15.25,231,4,8,-0.7412220108485957,-0.6712599575675315,15.25,15.25,14.5,9.5,15.125,True,True
2022-08-20,15.25,232,5,8,-0.7526668275320083,-0.6584015846980489,15.25,15.25,14.568181818181818,9.5,15.147727272727273,True,True
2022-08-21,15.272727272727273,233,6,8,-0.7638886127905429,-0.64534811322955,15.25,15.25,14.636363636363637,9.318181818181818,15.168939393939393,True,True
2022-08-22,15.295454545454545,234,0,8,-0.7748840413670406,-0.6321034111873488,15.272727272727273,15.25,14.704545454545455,9.136363636363637,15.188636363636363,True,True
2022-08-23,15.318181818181818,235,1,8,-0.7856498550787144,-0.6186714032625032,15.295454545454545,15.25,14.772727272727273,8.954545454545455,15.206818181818182,True,True
2022-08-24,15.340909090909092,236,2,8,-0.7961828637826154,-0.6050560696488494,15.318181818181818,15.25,14.840909090909092,8.772727272727273,15.22348484848485,True,True
2022-08-25,15.363636363636363,237,3,8,-0.8064799463209447,-0.5912614448635782,15.340909090909092,15.25,14.909090909090908,8.59090909090909,15.238636363636363,True,True
2022-08-26,15.386363636363637,238,4,8,-0.8165380514459157,-0.5772916165517278,15.363636363636363,15.25,14.977272727272727,8.40909090909091,15.252272727272727,True,True
2022-08-27,15.409090909090908,239,5,8,-0.8263541987239094,-0.5631507242749187,15.386363636363637,15.25,15.045454545454545,8.227272727272727,15.264393939393939,True,True
2022-08-28,15.431818181818182,240,6,8,-0.8359254794186365,-0.5488429582847199,15.409090909090908,15.272727272727273,15.113636363636363,8.045454545454545,15.275,True,True
2022-08-29,15.454545454545455,241,0,8,-0.8452490573530634,-0.5343725582809785,15.431818181818182,15.295454545454545,15.181818181818182,7.863636363636363,15.284090909090908,True,True
2022-08-30,15.477272727272727,242,1,8,-0.8543221697498269,-0.5197438121555157,15.454545454545455,15.318181818181818,15.25,7.681818181818182,15.291666666666666,True,True
2022-08-31,15.5,243,2,8,-0.8631421280499115,-0.5049610547215202,15.477272727272727,15.340909090909092,15.25,7.5,15.3,True,True
2022-09-01,15.2,244,3,9,-0.8717063187093217,-0.4900286664290594,15.5,15.363636363636363,15.25,7.5,15.298333333333334,True,True
2022-09-02,14.9,245,4,9,-0.8800122039735356,-0.4749510720670502,15.2,15.386363636363637,15.25,7.5,15.286666666666667,True,True
2022-09-03,14.6,246,5,9,-0.888057322629493,-0.4597327394521046,14.9,15.409090909090908,15.25,7.5,15.264999999999999,True,True
2022-09-04,14.3,247,6,9,-0.8958392907349089,-0.4443781781046134,14.6,15.431818181818182,15.25,7.5,15.233333333333333,True,True
2022-09-05,14.0,248,0,9,-0.9033558023246842,-0.4288919379124841,14.3,15.454545454545455,15.25,7.5,15.191666666666666,True,True
2022-09-06,13.7,249,1,9,-0.9106046300942162,-0.41327860778290443,14.0,15.477272727272727,15.25,7.5,15.139999999999999,True,True
2022-09-07,13.4,250,2,9,-0.9175836260593934,-0.3975428142825566,13.7,15.5,15.25,7.5,15.078333333333335,True,True
2022-09-08,13.1,251,3,9,-0.9242907221930934,-0.3816892202666586,13.4,15.2,15.25,7.5,15.006666666666666,True,True
2022-09-09,12.8,252,4,9,-0.9307239310379793,-0.3657225234972692,13.1,14.9,15.25,7.5,14.925,True,True
2022-09-10,12.5,253,5,9,-0.9368813462954315,-0.34964745525122826,12.8,14.6,15.25,7.5,14.833333333333334,True,True
2022-09-11,12.5,254,6,9,-0.9427611433904206,-0.33346877891818705,12.5,14.3,15.25,7.6,14.741666666666667,True,True
2022-09-12,12.5,255,0,9,-0.9483615800121716,-0.31719128858910595,12.5,14.0,15.25,7.7,14.65,True,True
2022-09-13,12.5,256,1,9,-0.9536809966304455,-0.300819807635668,12.5,13.7,15.25,7.8,14.558333333333334,True,True
2022-09-14,12.5,257,2,9,-0.9587178169872964,-0.2843591872810036,12.5,13.4,15.25,7.9,14.466666666666667,True,True
2022-09-15,12.5,258,3,9,-0.9634705485641486,-0.26781430516217486,12.5,13.1,15.25,8.0,14.375,True,True
2022-09-16,12.5,259,4,9,-0.9679377830240642,-0.25119006388481957,12.5,12.8,15.25,8.1,14.283333333333333,True,True
2022-09-17,12.5,260,5,9,-0.9721181966290612,-0.23449138957041052,12.5,12.5,15.25,8.2,14.191666666666666,True,True
2022-09-18,12.5,261,6,9,-0.9760105506323682,-0.21772323039653224,12.5,12.5,15.25,8.3,14.1,True,True
2022-09-19,12.5,262,0,9,-0.9796136916454901,-0.20089055513063528,12.5,12.5,15.25,8.4,14.008333333333333,True,True
2022-09-20,12.5,263,1,9,-0.9829265519799822,-0.18399835165767986,12.5,12.5,15.272727272727273,8.5,13.915909090909091,True,True
2022-09-21,12.5,264,2,9,-0.9859481499638303,-0.1670516255021195,12.5,12.5,15.295454545454545,8.5,13.822727272727272,True,True
2022-09-22,12.5,265,3,9,-0.9886775902323404,-0.15005539834465262,12.5,12.5,15.318181818181818,8.5,13.728787878787879,True,True
2022-09-23,12.5,266,4,9,-0.9911140639934546,-0.13301470653419636,12.5,12.5,15.340909090909092,8.5,13.634090909090908,True,True
2022-09-24,12.5,267,5,9,-0.9932568492674143,-0.11593459959550066,12.5,12.5,15.363636363636363,8.5,13.538636363636362,True,True
2022-09-25,12.5,268,6,9,-0.9951053111006974,-0.09882013873287211,12.5,12.5,15.386363636363637,8.5,13.442424242424241,True,True
2022-09-26,12.5,269,0,9,-0.99665890175417,-0.08167639533042288,12.5,12.5,15.409090909090908,8.5,13.345454545454546,True,True
2022-09-27,12.5,270,1,9,-0.9979171608653922,-0.06450844944931625,12.5,12.5,15.431818181818182,8.5,13.247727272727273,True,True
2022-09-28,12.5,271,2,9,-0.9988797155850335,-0.04732138832243232,12.5,12.5,15.454545454545455,8.5,13.149242424242425,True,True
2022-09-29,12.5,272,3,9,-0.9995462806873573,-0.03012030484690836,12.5,12.5,15.477272727272727,8.5,13.05,True,True
2022-09-30,12.5,273,4,9,-0.9999166586547379,-0.012910296075008843,12.5,12.5,15.5,8.5,12.95,True,True
2022-10-01,12.5,274,5,10,-0.9999907397361901,0.004303538296243821,12.5,12.5,15.2,8.65,12.860000000000001,True,True
2022-10-02,12.5,275,6,10,-0.9997685019798909,0.021516097436222233,12.5,12.5,14.9,8.8,12.78,True,True
2022-10-03,12.5,276,0,10,-0.9992500112396835,0.03872228089217399,12.5,12.5,14.6,8.95,12.71,True,True
2022-10-04,12.5,277,1,10,-0.9984354211555643,0.05591699010060302,12.5,12.5,14.3,9.1,12.65,True,True
2022-10-05,12.5,278,2,10,-0.9973249731081555,0.07309512989807776,12.5,12.5,14.0,9.25,12.6,True,True
2022-10-06,12.5,279,3,10,-0.9959189961471792,0.0902516100310407,12.5,12.5,13.7,9.4,12.56,True,True
2022-10-07,12.5,280,4,10,-0.994217906893952,0.10738134666416306,12.5,12.5,13.4,9.55,12.53,True,True
2022-10-08,12.5,281,5,10,-0.9922222094179324,0.12447926388678869,12.5,12.5,13.1,9.7,12.51,True,True
2022-10-09,12.5,282,6,10,-0.989932495087353,0.141540295217043,12.5,12.5,12.8,9.85,12.5,True,True
