pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_5L/桶,prodPcat_食用油
2022-07-20,151.0,201,2,7,-0.3131070409358267,-0.9497178427914317,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-21,151.0,202,3,7,-0.3294084822245302,-0.9441875088341994,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-22,151.0,203,4,7,-0.3456123126707333,-0.9383773917408642,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-23,151.0,204,5,7,-0.3617137307297674,-0.9322892131745134,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-24,151.0,205,6,7,-0.37770796520396466,-0.9259247771938499,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-25,151.0,206,0,7,-0.39359027665646645,-0.9192859697186105,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-26,151.0,207,1,7,-0.4093559588156211,-0.9123747579707274,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-27,151.0,208,2,7,-0.42500033996955394,-0.9051931898913975,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-28,151.0,209,3,7,-0.4405187843504952,-0.8977433935342336,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-29,151.0,210,4,7,-0.455906693508459,-0.8900275764346766,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-30,151.0,211,5,7,-0.47115950767386394,-0.8820480249558535,151.0,151.0,151.0,148.5,151.0,True,True
2022-07-31,151.0,212,6,7,-0.4862727071086902,-0.8738071036110807,151.0,151.0,151.0,148.5,151.0,True,True
2022-08-01,151.0,213,0,8,-0.5012418134457756,-0.8653072543632061,151.0,151.0,151.0,148.3,151.0,True,True
2022-08-02,151.0,214,1,8,-0.5160623910158526,-0.8565509959010037,151.0,151.0,151.0,148.1,151.0,True,True
2022-08-03,151.0,215,2,8,-0.5307300481619331,-0.8475409228928312,151.0,151.0,151.0,147.9,151.0,True,True
2022-08-04,151.0,216,3,8,-0.5452404385406507,-0.8382797052177745,151.0,151.0,151.0,147.7,151.0,True,True
2022-08-05,151.0,217,4,8,-0.5595892624101763,-0.828770087174504,151.0,151.0,151.0,147.5,151.0,True,True
2022-08-06,151.0,218,5,8,-0.5737722679043243,-0.8190148866680802,151.0,151.0,151.0,147.3,151.0,True,True
2022-08-07,151.0,219,6,8,-0.5877852522924734,-0.8090169943749472,151.0,151.0,151.0,147.1,151.0,True,True
2022-08-08,151.0,220,0,8,-0.6016240632249227,-0.7987793728863648,151.0,151.0,151.0,146.9,151.0,True,True
2022-08-09,151.0,221,1,8,-0.6152845999633277,-0.7883050558305253,151.0,151.0,151.0,146.7,151.0,True,True
2022-08-10,151.0,222,2,8,-0.6287628145958345,-0.7775971469736268,151.0,151.0,151.0,146.5,151.0,True,True
2022-08-11,150.9047619047619,223,3,8,-0.6420547132365636,-0.7666588193001592,151.0,151.0,151.0,146.5,150.9968253968254,True,True
2022-08-12,150.8095238095238,224,4,8,-0.655156357209085,-0.7554933140726804,150.9047619047619,151.0,151.0,146.5,150.9904761904762,True,True
2022-08-13,150.71428571428572,225,5,8,-0.6680638642135333,-0.7441039398713608,150.8095238095238,151.0,151.0,146.5,150.98095238095237,True,True
2022-08-14,150.61904761904762,226,6,8,-0.6807734094770159,-0.7324940716135792,150.71428571428572,151.0,151.0,146.5,150.96825396825398,True,True
2022-08-15,150.52380952380952,227,0,8,-0.6932812268869771,-0.7206671495538615,150.61904761904762,151.0,151.0,146.5,150.95238095238093,True,True
2022-08-16,150.42857142857142,228,1,8,-0.7055836101071774,-0.70862667826446,150.52380952380952,151.0,151.0,146.5,150.93333333333334,True,True
2022-08-17,150.33333333333334,229,2,8,-0.7176769136759615,-0.6963762255968726,150.42857142857142,151.0,151.0,146.5,150.9111111111111,True,True
2022-08-18,150.23809523809524,230,3,8,-0.7295575540864876,-0.6839194216246105,150.33333333333334,150.9047619047619,151.0,146.5,150.88571428571427,True,True
2022-08-19,150.14285714285714,231,4,8,-0.7412220108485957,-0.6712599575675315,150.23809523809524,150.8095238095238,151.0,146.5,150.85714285714283,True,True
2022-08-20,150.04761904761904,232,5,8,-0.7526668275320083,-0.6584015846980489,150.14285714285714,150.71428571428572,151.0,146.5,150.8253968253968,True,True
2022-08-21,149.95238095238096,233,6,8,-0.7638886127905429,-0.64534811322955,150.04761904761904,150.61904761904762,151.0,146.36363636363637,150.79047619047617,True,True
2022-08-22,149.85714285714286,234,0,8,-0.7748840413670406,-0.6321034111873488,149.95238095238096,150.52380952380952,151.0,146.22727272727272,150.75238095238095,True,True
2022-08-23,149.76190476190476,235,1,8,-0.7856498550787144,-0.6186714032625032,149.85714285714286,150.42857142857142,151.0,146.0909090909091,150.7111111111111,True,True
2022-08-24,149.66666666666666,236,2,8,-0.7961828637826154,-0.6050560696488494,149.76190476190476,150.33333333333334,151.0,145.95454545454547,150.66666666666666,True,True
2022-08-25,149.57142857142858,237,3,8,-0.8064799463209447,-0.5912614448635782,149.66666666666666,150.23809523809524,151.0,145.8181818181818,150.61904761904762,True,True
2022-08-26,149.47619047619048,238,4,8,-0.8165380514459157,-0.5772916165517278,149.57142857142858,150.14285714285714,151.0,145.6818181818182,150.56825396825397,True,True
2022-08-27,149.38095238095238,239,5,8,-0.8263541987239094,-0.5631507242749187,149.47619047619048,150.04761904761904,151.0,145.54545454545453,150.5142857142857,True,True
2022-08-28,149.28571428571428,240,6,8,-0.8359254794186365,-0.5488429582847199,149.38095238095238,149.95238095238096,151.0,145.4090909090909,150.45714285714286,True,True
2022-08-29,149.1904761904762,241,0,8,-0.8452490573530634,-0.5343725582809785,149.28571428571428,149.85714285714286,151.0,145.27272727272728,150.3968253968254,True,True
2022-08-30,149.0952380952381,242,1,8,-0.8543221697498269,-0.5197438121555157,149.1904761904762,149.76190476190476,151.0,145.13636363636363,150.33333333333334,True,True
2022-08-31,149.0,243,2,8,-0.8631421280499115,-0.5049610547215202,149.0952380952381,149.66666666666666,151.0,145.0,150.26666666666668,True,True
2022-09-01,149.0,244,3,9,-0.8717063187093217,-0.4900286664290594,149.0,149.57142857142858,151.0,145.0,150.2,True,True
2022-09-02,149.0,245,4,9,-0.8800122039735356,-0.4749510720670502,149.0,149.47619047619048,151.0,145.0,150.13333333333333,True,True
2022-09-03,149.0,246,5,9,-0.888057322629493,-0.4597327394521046,149.0,149.38095238095238,151.0,145.0,150.06666666666666,True,True
2022-09-04,149.0,247,6,9,-0.8958392907349089,-0.4443781781046134,149.0,149.28571428571428,151.0,145.0,150.0,True,True
2022-09-05,149.0,248,0,9,-0.9033558023246842,-0.4288919379124841,149.0,149.1904761904762,151.0,145.0,149.93333333333334,True,True
2022-09-06,149.0,249,1,9,-0.9106046300942162,-0.41327860778290443,149.0,149.0952380952381,151.0,145.0,149.86666666666667,True,True
2022-09-07,149.0,250,2,9,-0.9175836260593934,-0.3975428142825566,149.0,149.0,151.0,145.0,149.8,True,True
2022-09-08,149.0,251,3,9,-0.9242907221930934,-0.3816892202666586,149.0,149.0,151.0,145.0,149.73333333333332,True,True
